time,Minnesota,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. T. Zeller (A. Bradley gains possession),,,,Jump ball: G. Dieng vs. T. Zeller (A. Bradley gains possession)
11:47.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft (assist by T. Zeller)
11:29.0,A. Wiggins misses 2-pt shot from 13 ft,,0-2,,
11:28.0,Offensive rebound by G. Dieng,,0-2,,
11:27.0,G. Dieng misses 2-pt shot at rim (block by J. Sullinger),,0-2,,
11:26.0,,,0-2,,Defensive rebound by J. Sullinger
11:24.0,,,0-2,,Turnover by E. Turner (bad pass)
11:04.0,G. Dieng makes 2-pt shot from 10 ft,2,2-2,,
10:51.0,,,2-4,2,T. Zeller makes 2-pt shot at rim (assist by J. Sullinger)
10:35.0,S. Muhammad misses 2-pt shot at rim (block by E. Turner),,2-4,,
10:34.0,Offensive rebound by Team,,2-4,,
10:24.0,T. Young misses 2-pt shot from 8 ft (block by J. Sullinger),,2-4,,
10:23.0,,,2-4,,Defensive rebound by J. Green
10:19.0,,,2-6,2,A. Bradley makes 2-pt shot at rim (assist by J. Green)
10:04.0,T. Young makes 2-pt shot from 15 ft (assist by Z. LaVine),2,4-6,,
9:50.0,,,4-6,,A. Bradley misses 2-pt shot from 4 ft
9:49.0,Defensive rebound by Team,,4-6,,
9:35.0,S. Muhammad makes 2-pt shot from 9 ft,2,6-6,,
9:14.0,,,6-6,,A. Bradley misses 2-pt shot from 20 ft
9:12.0,,,6-6,,Offensive rebound by A. Bradley
9:10.0,,,6-6,,A. Bradley misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by Team,,6-6,,
9:00.0,,,6-6,,Personal block foul by A. Bradley (drawn by Z. LaVine)
8:50.0,T. Young misses 2-pt shot from 19 ft,,6-6,,
8:49.0,Offensive rebound by G. Dieng,,6-6,,
8:47.0,S. Muhammad misses 2-pt shot from 6 ft (block by T. Zeller),,6-6,,
8:46.0,Offensive rebound by Team,,6-6,,
8:45.0,Jump ball: S. Muhammad vs. T. Zeller (A. Wiggins gains possession),,,,Jump ball: S. Muhammad vs. T. Zeller (A. Wiggins gains possession)
8:32.0,Turnover by Z. LaVine (bad pass; steal by E. Turner),,6-6,,
8:31.0,,,6-6,,Shooting foul by T. Young (drawn by J. Green)
8:31.0,,,6-7,1,J. Green makes free throw 1 of 2
8:31.0,,,6-8,1,J. Green makes free throw 2 of 2
8:14.0,Z. LaVine makes 3-pt shot from 25 ft (assist by S. Muhammad),3,9-8,,
8:08.0,Personal foul by G. Dieng (drawn by T. Zeller),,9-8,,
8:00.0,,,9-10,2,A. Bradley makes 2-pt shot from 20 ft (assist by E. Turner)
7:47.0,,,9-10,,Personal foul by T. Zeller (drawn by G. Dieng)
7:40.0,S. Muhammad makes 2-pt shot from 9 ft,2,11-10,,
7:30.0,,,11-10,,Offensive foul by T. Zeller
7:30.0,,,11-10,,Turnover by T. Zeller (offensive foul)
7:17.0,A. Wiggins misses 2-pt shot from 16 ft,,11-10,,
7:16.0,,,11-10,,Defensive rebound by A. Bradley
7:07.0,,,11-10,,Turnover by J. Sullinger (bad pass; steal by A. Wiggins)
6:54.0,T. Young makes 2-pt shot from 11 ft,2,13-10,,
6:43.0,Personal foul by T. Young (drawn by J. Sullinger),,13-10,,
6:43.0,,,13-10,,K. Olynyk enters the game for T. Zeller
6:43.0,A. Bennett enters the game for T. Young,,13-10,,
6:37.0,,,13-12,2,K. Olynyk makes 2-pt shot at rim (assist by A. Bradley)
6:19.0,A. Wiggins misses 2-pt shot from 20 ft,,13-12,,
6:18.0,,,13-12,,Defensive rebound by A. Bradley
6:03.0,,,13-12,,A. Bradley misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by S. Muhammad,,13-12,,
5:59.0,Turnover by S. Muhammad (discontinued dribble),,13-12,,
5:59.0,,,13-12,,Boston full timeout
5:59.0,,,13-12,,M. Smart enters the game for E. Turner
5:51.0,,,13-12,,K. Olynyk misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by A. Bennett,,13-12,,
5:43.0,,,13-12,,Personal foul by M. Smart (drawn by S. Muhammad)
5:32.0,A. Wiggins misses 2-pt shot from 11 ft,,13-12,,
5:31.0,,,13-12,,Defensive rebound by J. Sullinger
5:25.0,,,13-12,,J. Green misses 2-pt shot at rim (block by A. Wiggins)
5:24.0,Defensive rebound by A. Bennett,,13-12,,
5:18.0,Z. LaVine misses 2-pt shot from 20 ft,,13-12,,
5:17.0,,,13-12,,Defensive rebound by K. Olynyk
5:03.0,,,13-14,2,J. Green makes 2-pt shot at rim
4:51.0,A. Bennett misses 2-pt shot from 19 ft,,13-14,,
