time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (J. Terry gains possession),,,,Jump ball: T. Chandler vs. D. Howard (J. Terry gains possession)
11:40.0,T. Jones misses 2-pt shot from 4 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Felton
11:28.0,Personal foul by J. Harden (drawn by R. Jefferson),,0-0,,
11:16.0,,,0-3,3,M. Ellis makes 3-pt shot from 24 ft (assist by R. Jefferson)
10:59.0,T. Ariza misses 2-pt shot from 5 ft,,0-3,,
10:58.0,Offensive rebound by T. Jones,,0-3,,
10:58.0,,,0-3,,Personal foul by R. Jefferson (drawn by T. Jones)
10:44.0,J. Terry misses 2-pt shot from 6 ft,,0-3,,
10:43.0,Offensive rebound by T. Jones,,0-3,,
10:43.0,Shooting foul by T. Chandler (drawn by T. Jones),,0-3,,
10:43.0,T. Jones makes free throw 1 of 2,1,1-3,,
10:43.0,T. Jones makes free throw 2 of 2,1,2-3,,
10:20.0,,,2-5,2,D. Nowitzki makes 2-pt shot from 10 ft
9:55.0,D. Howard makes 2-pt shot from 4 ft,2,4-5,,
9:35.0,,,4-5,,R. Felton misses 3-pt shot from 25 ft
9:34.0,,,4-5,,Offensive rebound by T. Chandler
9:30.0,,,4-5,,D. Nowitzki misses 3-pt shot from 25 ft
9:29.0,,,4-5,,Offensive rebound by T. Chandler
9:29.0,,,4-5,,Turnover by T. Chandler (step out of bounds)
9:17.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,7-5,,
9:01.0,,,7-5,,Turnover by D. Nowitzki (bad pass)
8:56.0,,,7-5,,Personal foul by R. Felton (drawn by J. Harden)
8:56.0,,,7-5,,D. Harris enters the game for R. Felton
8:43.0,T. Jones makes 2-pt shot from 7 ft,2,9-5,,
8:35.0,,,9-7,2,D. Harris makes 2-pt shot from 15 ft
8:21.0,Turnover by J. Harden (bad pass; steal by R. Jefferson),,9-7,,
8:12.0,,,9-7,,D. Harris misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by T. Jones,,9-7,,
8:02.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Ariza),3,12-7,,
7:53.0,,,12-9,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
7:29.0,Turnover by T. Ariza (bad pass; steal by R. Jefferson),,12-9,,
7:25.0,,,12-9,,Offensive charge foul by R. Jefferson
7:25.0,,,12-9,,Turnover by R. Jefferson (offensive foul)
7:25.0,,,12-9,,A. Aminu enters the game for D. Nowitzki
7:18.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,14-9,,
7:17.0,,,14-9,,Dallas full timeout
7:17.0,,,14-9,,C. Villanueva enters the game for R. Jefferson
6:58.0,,,14-11,2,D. Harris makes 2-pt shot from 2 ft (assist by M. Ellis)
6:47.0,J. Terry makes 2-pt shot from 1 ft,2,16-11,,
6:32.0,,,16-11,,M. Ellis misses 2-pt shot from 16 ft
6:31.0,Defensive rebound by D. Howard,,16-11,,
6:26.0,,,16-11,,Personal foul by A. Aminu (drawn by J. Terry)
6:16.0,D. Howard misses 2-pt shot from 11 ft,,16-11,,
6:15.0,Offensive rebound by D. Howard,,16-11,,
6:11.0,J. Harden makes 3-pt shot from 24 ft (assist by D. Howard),3,19-11,,
6:00.0,Personal block foul by T. Ariza (drawn by M. Ellis),,19-11,,
5:55.0,,,19-11,,Shooting foul by T. Jones (drawn by T. Chandler)
5:55.0,,,19-12,1,T. Chandler makes free throw 1 of 2
5:55.0,,,19-13,1,T. Chandler makes free throw 2 of 2
5:41.0,J. Harden makes 2-pt shot from 16 ft,2,21-13,,
5:33.0,,,21-15,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
5:22.0,J. Harden makes 2-pt shot from 11 ft,2,23-15,,
5:04.0,,,23-15,,D. Harris misses 3-pt shot from 25 ft
5:02.0,,,23-15,,Offensive rebound by C. Villanueva
5:02.0,,,23-15,,C. Villanueva misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by D. Howard,,23-15,,
4:53.0,,,23-15,,Personal foul by A. Aminu (drawn by T. Jones)
4:53.0,T. Jones makes free throw 1 of 2,1,24-15,,
4:53.0,P. Prigioni enters the game for J. Terry,,24-15,,
4:53.0,J. Smith enters the game for D. Howard,,24-15,,
4:53.0,,,24-15,,A. Stoudemire enters the game for T. Chandler
4:53.0,,,24-15,,D. Nowitzki enters the game for C. Villanueva
4:53.0,,,24-15,,R. Jefferson enters the game for A. Aminu
4:53.0,T. Jones makes free throw 2 of 2,1,25-15,,
4:37.0,,,25-15,,D. Nowitzki misses 2-pt shot from 10 ft
4:36.0,Defensive rebound by T. Jones,,25-15,,
