time,Chicago,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. P. Gasol (A. Brooks gains possession),,,,Jump ball: T. Duncan vs. P. Gasol (A. Brooks gains possession)
11:45.0,P. Gasol makes 2-pt shot at rim (assist by J. Noah),2,2-0,,
11:21.0,,,2-2,2,T. Parker makes 2-pt shot from 15 ft
11:01.0,T. Snell misses 2-pt shot from 1 ft (block by T. Duncan),,2-2,,
11:00.0,Offensive rebound by J. Noah,,2-2,,
10:58.0,J. Noah makes 2-pt shot from 1 ft,2,4-2,,
10:42.0,,,4-2,,T. Parker misses 2-pt shot at rim (block by P. Gasol)
10:41.0,Defensive rebound by J. Noah,,4-2,,
10:30.0,M. Dunleavy misses 3-pt shot from 24 ft,,4-2,,
10:29.0,,,4-2,,Defensive rebound by T. Parker
10:19.0,,,4-4,2,K. Leonard makes 2-pt shot from 15 ft
10:00.0,A. Brooks misses 2-pt shot from 4 ft,,4-4,,
9:58.0,,,4-4,,Defensive rebound by T. Duncan
9:52.0,,,4-4,,T. Splitter misses 2-pt shot from 4 ft
9:51.0,Defensive rebound by J. Noah,,4-4,,
9:42.0,A. Brooks misses 2-pt shot from 11 ft,,4-4,,
9:41.0,,,4-4,,Defensive rebound by T. Duncan
9:37.0,,,4-4,,Shooting foul by M. Dunleavy (drawn by T. Parker)
9:37.0,,,4-5,1,T. Parker makes free throw 1 of 2
9:37.0,,,4-5,,T. Parker misses free throw 2 of 2
9:37.0,,,4-5,,Offensive rebound by Team
9:37.0,Loose ball foul by J. Noah (drawn by T. Duncan),,4-5,,
9:26.0,,,4-5,,T. Duncan misses 2-pt shot from 8 ft (block by J. Noah)
9:25.0,,,4-5,,Offensive rebound by K. Leonard
9:24.0,Personal foul by M. Dunleavy (drawn by K. Leonard),,4-5,,
9:09.0,,,4-5,,K. Leonard misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by P. Gasol,,4-5,,
8:55.0,T. Snell misses 3-pt shot from 25 ft,,4-5,,
8:54.0,,,4-5,,Defensive rebound by T. Splitter
8:50.0,,,4-5,,Shooting foul by A. Brooks (drawn by T. Parker)
8:50.0,,,4-7,2,T. Parker makes 2-pt shot from 8 ft
8:50.0,,,4-8,1,T. Parker makes free throw 1 of 1
8:40.0,,,4-8,,Personal foul by T. Splitter (drawn by P. Gasol)
8:27.0,P. Gasol misses 2-pt shot from 11 ft,,4-8,,
