time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (T. Ariza gains possession),,,,Jump ball: T. Chandler vs. D. Howard (T. Ariza gains possession)
11:40.0,D. Howard makes 2-pt shot at rim (assist by T. Ariza),2,2-0,,
11:24.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 7 ft (assist by C. Parsons)
10:59.0,J. Harden makes 2-pt shot from 12 ft,2,4-2,,
10:37.0,,,4-4,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo)
10:22.0,T. Jones misses 2-pt shot from 9 ft,,4-4,,
10:20.0,,,4-4,,Defensive rebound by T. Chandler
10:16.0,,,4-4,,C. Parsons misses 2-pt shot from 1 ft
10:15.0,Defensive rebound by T. Ariza,,4-4,,
10:02.0,Turnover by T. Jones (bad pass; steal by T. Chandler),,4-4,,
9:48.0,,,4-6,2,T. Chandler makes 2-pt shot from 5 ft (assist by R. Rondo)
9:26.0,T. Jones misses 2-pt shot from 5 ft,,4-6,,
9:25.0,,,4-6,,Defensive rebound by T. Chandler
9:20.0,,,4-8,2,M. Ellis makes 2-pt shot at rim (assist by R. Rondo)
8:59.0,J. Terry misses 3-pt shot from 25 ft,,4-8,,
8:58.0,,,4-8,,Defensive rebound by T. Chandler
8:49.0,,,4-10,2,T. Chandler makes 2-pt shot from 16 ft (assist by R. Rondo)
8:34.0,T. Jones makes 2-pt shot from 3 ft (assist by J. Harden),2,6-10,,
8:27.0,,,6-10,,C. Parsons misses 2-pt shot at rim
8:26.0,Defensive rebound by T. Ariza,,6-10,,
8:22.0,,,6-10,,Personal foul by M. Ellis (drawn by J. Harden)
8:12.0,D. Howard misses 2-pt shot from 6 ft,,6-10,,
8:12.0,,,6-10,,Defensive rebound by D. Nowitzki
8:12.0,Loose ball foul by T. Jones (drawn by D. Nowitzki),,6-10,,
8:00.0,,,6-10,,Turnover by M. Ellis (bad pass; steal by J. Terry)
7:57.0,J. Terry makes 2-pt shot at rim,2,8-10,,
7:43.0,,,8-10,,Turnover by R. Rondo (bad pass)
7:36.0,J. Harden misses 3-pt shot from 25 ft,,8-10,,
7:35.0,,,8-10,,Defensive rebound by T. Chandler
7:28.0,,,8-10,,D. Nowitzki misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by J. Terry,,8-10,,
7:22.0,Turnover by D. Howard (lost ball),,8-10,,
7:15.0,,,8-10,,T. Chandler misses 2-pt shot from 5 ft
7:14.0,,,8-10,,Offensive rebound by R. Rondo
6:58.0,,,8-13,3,C. Parsons makes 3-pt shot from 24 ft (assist by R. Rondo)
6:40.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Terry),2,10-13,,
6:22.0,,,10-15,2,R. Rondo makes 2-pt shot from 19 ft
6:13.0,T. Ariza makes 2-pt shot at rim (assist by T. Jones),2,12-15,,
5:59.0,,,12-15,,M. Ellis misses 2-pt shot from 8 ft
5:58.0,Defensive rebound by D. Howard,,12-15,,
5:46.0,T. Ariza misses 2-pt shot from 4 ft,,12-15,,
5:45.0,,,12-15,,Defensive rebound by D. Nowitzki
5:43.0,Personal foul by J. Terry (drawn by C. Parsons),,12-15,,
5:43.0,,,12-15,,Dallas full timeout
5:43.0,,,12-15,,A. Stoudemire enters the game for D. Nowitzki
5:43.0,,,12-15,,A. Aminu enters the game for T. Chandler
5:43.0,J. Smith enters the game for T. Jones,,12-15,,
5:43.0,J. Dorsey enters the game for D. Howard,,12-15,,
5:43.0,P. Prigioni enters the game for J. Terry,,12-15,,
5:29.0,,,12-17,2,A. Stoudemire makes 2-pt shot from 3 ft
5:29.0,,,12-17,,Shooting foul by J. Dorsey (drawn by A. Stoudemire)
5:29.0,,,12-18,1,A. Stoudemire makes free throw 1 of 1
5:09.0,Shooting foul by A. Stoudemire (drawn by J. Dorsey),,12-18,,
5:09.0,J. Dorsey misses free throw 1 of 2,,12-18,,
5:09.0,Offensive rebound by Team,,12-18,,
5:09.0,J. Dorsey misses free throw 2 of 2,,12-18,,
5:08.0,,,12-18,,Defensive rebound by A. Stoudemire
4:49.0,,,12-18,,Turnover by A. Stoudemire (lost ball; steal by T. Ariza)
4:43.0,J. Dorsey misses 2-pt shot at rim,,12-18,,
4:41.0,,,12-18,,Defensive rebound by R. Rondo
4:29.0,,,12-20,2,A. Stoudemire makes 2-pt shot from 2 ft
4:08.0,P. Prigioni makes 3-pt shot from 23 ft (assist by J. Smith),3,15-20,,
3:51.0,,,15-20,,A. Stoudemire misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by J. Dorsey,,15-20,,
3:44.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,17-20,,
3:32.0,,,17-20,,R. Rondo misses 2-pt shot from 21 ft
3:31.0,,,17-20,,Offensive rebound by A. Aminu
3:20.0,,,17-20,,Turnover by C. Parsons (lost ball; steal by P. Prigioni)
3:13.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,20-20,,
3:06.0,,,20-20,,Dallas full timeout
3:06.0,Houston full timeout,,20-20,,
3:06.0,,,20-20,,D. Harris enters the game for R. Rondo
3:06.0,C. Brewer enters the game for T. Ariza,,20-20,,
2:53.0,,,20-20,,M. Ellis misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by J. Harden,,20-20,,
2:43.0,J. Harden misses 2-pt shot from 11 ft,,20-20,,
2:42.0,Offensive rebound by J. Dorsey,,20-20,,
2:40.0,J. Dorsey makes 2-pt shot from 1 ft,2,22-20,,
2:24.0,,,22-20,,Turnover by D. Harris (bad pass; steal by J. Dorsey)
2:19.0,J. Dorsey misses 2-pt shot from 1 ft,,22-20,,
2:19.0,Offensive rebound by J. Dorsey,,22-20,,
2:19.0,Shooting foul by D. Harris (drawn by J. Dorsey),,22-20,,
2:19.0,J. Dorsey makes free throw 1 of 2,1,23-20,,
2:19.0,,,23-20,,J. Barea enters the game for C. Parsons
2:19.0,,,23-20,,D. Nowitzki enters the game for M. Ellis
2:19.0,J. Dorsey misses free throw 2 of 2,,23-20,,
2:18.0,,,23-20,,Defensive rebound by A. Aminu
2:06.0,,,23-20,,A. Aminu misses 2-pt shot from 6 ft
2:04.0,,,23-20,,Offensive rebound by A. Stoudemire
2:04.0,,,23-22,2,A. Stoudemire makes 2-pt shot at rim
1:55.0,Shooting foul by A. Stoudemire (drawn by J. Harden),,23-22,,
1:55.0,J. Harden makes free throw 1 of 2,1,24-22,,
1:55.0,,,24-22,,T. Chandler enters the game for A. Stoudemire
1:55.0,J. Harden makes free throw 2 of 2,1,25-22,,
1:48.0,,,25-24,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
1:37.0,Turnover by J. Dorsey (bad pass; steal by D. Nowitzki),,25-24,,
1:30.0,Shooting block foul by J. Smith (drawn by A. Aminu),,25-24,,
1:30.0,,,25-24,,A. Aminu misses free throw 1 of 2
1:30.0,,,25-24,,Offensive rebound by Team
1:30.0,,,25-25,1,A. Aminu makes free throw 2 of 2
1:28.0,,,25-25,,Personal take foul by J. Barea (drawn by J. Dorsey)
1:28.0,J. Dorsey misses free throw 1 of 2,,25-25,,
1:28.0,Offensive rebound by Team,,25-25,,
1:28.0,J. Dorsey misses free throw 2 of 2,,25-25,,
1:27.0,Offensive rebound by C. Brewer,,25-25,,
1:21.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Prigioni),3,28-25,,
0:56.0,,,28-25,,D. Harris misses 2-pt shot from 4 ft
0:55.0,Defensive rebound by J. Dorsey,,28-25,,
0:50.0,Offensive charge foul by J. Harden,,28-25,,
0:50.0,Turnover by J. Harden (offensive foul),,28-25,,
0:50.0,T. Jones enters the game for J. Dorsey,,28-25,,
0:36.0,,,28-25,,J. Barea misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by P. Prigioni,,28-25,,
0:11.0,C. Brewer misses 2-pt shot from 4 ft (block by A. Aminu),,28-25,,
0:09.0,,,28-25,,Defensive rebound by D. Nowitzki
0:03.0,,,28-25,,A. Aminu misses 2-pt shot from 5 ft
0:02.0,Defensive rebound by J. Smith,,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by C. Brewer (drawn by D. Harris),,28-25,,
11:37.0,,,28-25,,A. Aminu misses 2-pt shot from 20 ft
11:36.0,,,28-25,,Offensive rebound by D. Nowitzki
11:32.0,,,28-25,,Turnover by D. Nowitzki (bad pass; steal by T. Jones)
11:31.0,,,28-25,,Shooting block foul by D. Harris (drawn by C. Brewer)
11:31.0,C. Brewer makes free throw 1 of 2,1,29-25,,
11:31.0,C. Brewer makes free throw 2 of 2,1,30-25,,
11:11.0,,,30-25,,J. Barea misses 3-pt shot from 24 ft
11:10.0,,,30-25,,Offensive rebound by A. Stoudemire
11:01.0,Personal foul by P. Prigioni (drawn by D. Nowitzki),,30-25,,
