time,Orlando,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Vucevic (A. Nicholson gains possession),,,,Jump ball: B. Lopez vs. N. Vucevic (A. Nicholson gains possession)
11:46.0,A. Nicholson makes 2-pt shot from 1 ft (assist by N. Vucevic),2,2-0,,
11:36.0,Personal foul by A. Gordon (drawn by D. Williams),,2-0,,
11:22.0,,,2-0,,M. Brown misses 2-pt shot from 12 ft
11:21.0,Defensive rebound by A. Gordon,,2-0,,
11:08.0,A. Nicholson makes 2-pt shot from 10 ft,2,4-0,,
10:44.0,,,4-0,,B. Lopez misses 2-pt shot from 10 ft
10:43.0,Defensive rebound by A. Nicholson,,4-0,,
10:31.0,V. Oladipo misses 3-pt shot from 26 ft,,4-0,,
10:30.0,,,4-0,,Defensive rebound by D. Williams
10:22.0,,,4-0,,T. Young misses 2-pt shot from 1 ft
10:21.0,,,4-0,,Offensive rebound by Team
10:08.0,,,4-2,2,D. Williams makes 2-pt shot from 13 ft
9:45.0,V. Oladipo makes 3-pt shot from 25 ft (assist by N. Vucevic),3,7-2,,
9:39.0,,,7-2,,Turnover by T. Young (bad pass; steal by E. Payton)
9:38.0,Shooting foul by D. Williams (drawn by E. Payton),,7-2,,
9:38.0,E. Payton misses free throw 1 of 2,,7-2,,
9:38.0,Offensive rebound by Team,,7-2,,
9:38.0,E. Payton misses free throw 2 of 2,,7-2,,
9:37.0,,,7-2,,Defensive rebound by J. Johnson
9:26.0,,,7-2,,B. Lopez misses 2-pt shot from 9 ft
9:25.0,Defensive rebound by N. Vucevic,,7-2,,
9:11.0,V. Oladipo misses 3-pt shot from 25 ft,,7-2,,
9:10.0,,,7-2,,Defensive rebound by D. Williams
9:03.0,,,7-4,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
8:49.0,Turnover by V. Oladipo (bad pass; steal by B. Lopez),,7-4,,
8:36.0,,,7-6,2,J. Johnson makes 2-pt shot from 6 ft
8:18.0,A. Nicholson makes 2-pt shot from 18 ft (assist by V. Oladipo),2,9-6,,
8:08.0,,,9-6,,D. Williams misses 2-pt shot at rim (block by N. Vucevic)
8:07.0,,,9-6,,Offensive rebound by B. Lopez
8:02.0,,,9-6,,T. Young misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by N. Vucevic,,9-6,,
7:48.0,E. Payton makes 2-pt shot from 1 ft,2,11-6,,
7:36.0,,,11-6,,T. Young misses 2-pt shot from 2 ft (block by A. Nicholson)
7:34.0,Defensive rebound by E. Payton,,11-6,,
7:20.0,Turnover by V. Oladipo (bad pass; steal by M. Brown),,11-6,,
7:17.0,,,11-8,2,M. Brown makes 2-pt shot at rim (assist by T. Young)
6:58.0,A. Nicholson makes 2-pt shot from 18 ft (assist by V. Oladipo),2,13-8,,
6:33.0,,,13-8,,Shooting foul by E. Payton (drawn by D. Williams)
6:33.0,,,13-9,1,D. Williams makes free throw 1 of 2
6:33.0,,,13-10,1,D. Williams makes free throw 2 of 2
6:17.0,A. Gordon misses 2-pt shot from 20 ft,,13-10,,
6:16.0,Offensive rebound by A. Nicholson,,13-10,,
6:15.0,A. Nicholson misses 2-pt shot from 2 ft,,13-10,,
6:14.0,Offensive rebound by A. Nicholson,,13-10,,
5:57.0,A. Gordon makes 3-pt shot from 24 ft (assist by N. Vucevic),3,16-10,,
5:42.0,,,16-10,,J. Johnson misses 2-pt shot from 21 ft
5:41.0,Defensive rebound by A. Nicholson,,16-10,,
5:34.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,18-10,,
5:32.0,,,18-10,,Brooklyn full timeout
5:14.0,,,18-12,2,B. Lopez makes 2-pt shot from 11 ft
4:52.0,N. Vucevic makes 2-pt shot from 9 ft,2,20-12,,
4:33.0,,,20-12,,D. Williams misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by A. Gordon,,20-12,,
4:23.0,N. Vucevic misses 2-pt shot from 17 ft,,20-12,,
4:22.0,,,20-12,,Defensive rebound by T. Young
4:00.0,,,20-15,3,J. Johnson makes 3-pt shot from 27 ft (assist by D. Williams)
3:39.0,A. Gordon misses 2-pt shot from 3 ft (block by B. Lopez),,20-15,,
3:37.0,Offensive rebound by A. Gordon,,20-15,,
3:33.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,22-15,,
3:22.0,,,22-15,,Turnover by B. Lopez (traveling)
3:15.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,24-15,,
