time,Milwaukee,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. L. Sanders (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. L. Sanders (S. Ibaka gains possession)
11:47.0,,,0-0,,Turnover by R. Westbrook (lost ball)
11:32.0,Turnover by O. Mayo (bad pass; steal by R. Westbrook),,0-0,,
11:28.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft
11:09.0,J. Parker makes 2-pt shot from 18 ft,2,2-2,,
10:51.0,,,2-2,,S. Adams misses 2-pt shot from 4 ft
10:51.0,,,2-2,,Offensive rebound by Team
10:51.0,Loose ball foul by G. Antetokounmpo (drawn by S. Ibaka),,2-2,,
10:45.0,,,2-2,,K. Durant misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by B. Knight,,2-2,,
10:33.0,O. Mayo makes 2-pt shot from 12 ft (assist by B. Knight),2,4-2,,
10:20.0,Personal foul by J. Parker (drawn by K. Durant),,4-2,,
10:14.0,,,4-2,,R. Westbrook misses 2-pt shot at rim
10:13.0,Defensive rebound by Team,,4-2,,
10:04.0,J. Parker misses 2-pt shot from 18 ft,,4-2,,
10:03.0,,,4-2,,Defensive rebound by K. Durant
9:59.0,,,4-2,,Turnover by K. Durant (bad pass)
9:42.0,L. Sanders makes 2-pt shot at rim (assist by J. Parker),2,6-2,,
9:31.0,,,6-2,,Shooting foul by L. Sanders (drawn by K. Durant)
9:31.0,,,6-3,1,K. Durant makes free throw 1 of 2
9:31.0,,,6-4,1,K. Durant makes free throw 2 of 2
9:21.0,Turnover by B. Knight (bad pass; steal by K. Durant),,6-4,,
9:15.0,,,6-4,,K. Durant misses 3-pt shot from 25 ft
9:13.0,,,6-4,,Offensive rebound by S. Ibaka
9:11.0,,,6-4,,Shooting foul by L. Sanders (drawn by S. Ibaka)
9:11.0,,,6-5,1,S. Ibaka makes free throw 1 of 2
9:11.0,Z. Pachulia enters the game for L. Sanders,,6-5,,
9:11.0,,,6-6,1,S. Ibaka makes free throw 2 of 2
8:56.0,Turnover by O. Mayo (bad pass; steal by S. Ibaka),,6-6,,
8:50.0,,,6-6,,Turnover by R. Westbrook (bad pass)
8:43.0,B. Knight misses 2-pt shot from 20 ft,,6-6,,
8:42.0,,,6-6,,Defensive rebound by R. Westbrook
8:36.0,,,6-6,,R. Westbrook misses 2-pt shot from 18 ft
8:34.0,Defensive rebound by B. Knight,,6-6,,
8:23.0,J. Parker makes 2-pt shot from 15 ft (assist by Z. Pachulia),2,8-6,,
8:08.0,,,8-9,3,K. Durant makes 3-pt shot from 22 ft (assist by R. Westbrook)
7:54.0,J. Parker makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,10-9,,
7:38.0,Personal foul by J. Parker (drawn by K. Durant),,10-9,,
7:38.0,,,10-10,1,K. Durant makes free throw 1 of 2
7:38.0,J. Dudley enters the game for J. Parker,,10-10,,
7:38.0,,,10-11,1,K. Durant makes free throw 2 of 2
7:17.0,J. Dudley misses 3-pt shot from 24 ft,,10-11,,
7:16.0,,,10-11,,Defensive rebound by A. Roberson
7:09.0,,,10-13,2,S. Ibaka makes 2-pt shot from 14 ft (assist by K. Durant)
7:09.0,,,10-13,,Shooting foul by G. Antetokounmpo (drawn by S. Ibaka)
7:09.0,,,10-13,,J. Lamb enters the game for K. Durant
7:09.0,K. Middleton enters the game for G. Antetokounmpo,,10-13,,
7:09.0,,,10-14,1,S. Ibaka makes free throw 1 of 1
6:49.0,B. Knight misses 3-pt shot from 25 ft,,10-14,,
6:48.0,,,10-14,,Defensive rebound by A. Roberson
6:42.0,Personal foul by Z. Pachulia (drawn by R. Westbrook),,10-14,,
6:42.0,Technical foul by O. Mayo,,10-14,,
6:42.0,,,10-15,1,R. Westbrook makes technical free throw
6:42.0,Milwaukee full timeout,,10-15,,
6:42.0,,,10-16,1,R. Westbrook makes free throw 1 of 2
6:42.0,,,10-17,1,R. Westbrook makes free throw 2 of 2
6:30.0,O. Mayo misses 3-pt shot from 22 ft,,10-17,,
6:29.0,Offensive rebound by O. Mayo,,10-17,,
6:27.0,O. Mayo makes 2-pt shot at rim,2,12-17,,
6:08.0,,,12-19,2,R. Westbrook makes 2-pt shot from 14 ft
5:46.0,J. Dudley makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,14-19,,
5:34.0,,,14-19,,R. Westbrook misses 2-pt shot from 12 ft
5:33.0,Defensive rebound by O. Mayo,,14-19,,
5:29.0,Shooting foul by A. Roberson (drawn by B. Knight),,14-19,,
5:29.0,B. Knight misses free throw 1 of 2,,14-19,,
5:29.0,Offensive rebound by Team,,14-19,,
5:29.0,,,14-19,,P. Jones enters the game for S. Ibaka
5:29.0,B. Knight makes free throw 2 of 2,1,15-19,,
5:11.0,,,15-19,,P. Jones misses 2-pt shot from 15 ft
5:10.0,Defensive rebound by K. Middleton,,15-19,,
5:02.0,J. Dudley misses 3-pt shot from 24 ft,,15-19,,
5:02.0,Offensive rebound by Team,,15-19,,
5:02.0,,,15-19,,Loose ball foul by S. Adams (drawn by Z. Pachulia)
5:02.0,,,15-19,,K. Perkins enters the game for S. Adams
4:57.0,J. Dudley makes 2-pt shot from 3 ft (assist by Z. Pachulia),2,17-19,,
4:37.0,,,17-19,,Turnover by A. Roberson (bad pass)
4:14.0,K. Middleton makes 2-pt shot from 15 ft,2,19-19,,
4:03.0,,,19-19,,Offensive foul by K. Perkins
4:03.0,,,19-19,,Turnover by K. Perkins (offensive foul)
4:03.0,,,19-19,,A. Morrow enters the game for A. Roberson
3:51.0,O. Mayo misses 2-pt shot from 21 ft,,19-19,,
3:50.0,,,19-19,,Defensive rebound by P. Jones
3:41.0,,,19-22,3,P. Jones makes 3-pt shot from 24 ft (assist by R. Westbrook)
3:30.0,Shooting foul by A. Morrow (drawn by K. Middleton),,19-22,,
3:30.0,K. Middleton misses free throw 1 of 2,,19-22,,
3:30.0,Offensive rebound by Team,,19-22,,
3:30.0,J. Bayless enters the game for O. Mayo,,19-22,,
3:30.0,K. Middleton makes free throw 2 of 2,1,20-22,,
3:11.0,,,20-22,,Turnover by R. Westbrook (lost ball)
3:01.0,B. Knight misses 3-pt shot from 24 ft,,20-22,,
3:00.0,,,20-22,,Defensive rebound by J. Lamb
2:48.0,,,20-24,2,R. Westbrook makes 2-pt shot from 18 ft (assist by J. Lamb)
2:35.0,,,20-24,,Personal foul by R. Westbrook (drawn by B. Knight)
2:35.0,,,20-24,,Oklahoma City full timeout
2:35.0,,,20-24,,R. Jackson enters the game for R. Westbrook
2:29.0,B. Knight misses 2-pt shot from 4 ft,,20-24,,
2:28.0,,,20-24,,Defensive rebound by R. Jackson
2:16.0,,,20-26,2,A. Morrow makes 2-pt shot from 18 ft (assist by R. Jackson)
1:49.0,K. Middleton misses 2-pt shot from 1 ft (block by K. Perkins),,20-26,,
1:48.0,,,20-26,,Defensive rebound by J. Lamb
1:43.0,,,20-26,,J. Lamb misses 3-pt shot from 25 ft
1:42.0,,,20-26,,Offensive rebound by K. Perkins
1:34.0,,,20-26,,P. Jones misses 3-pt shot from 22 ft
1:33.0,,,20-26,,Offensive rebound by K. Perkins
1:31.0,,,20-26,,K. Perkins misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by K. Middleton,,20-26,,
1:20.0,Z. Pachulia makes 2-pt shot from 1 ft,2,22-26,,
1:20.0,Shooting foul by K. Perkins (drawn by Z. Pachulia),,22-26,,
1:20.0,,,22-26,,K. Durant enters the game for P. Jones
1:20.0,Z. Pachulia makes free throw 1 of 1,1,23-26,,
1:15.0,,,23-26,,Turnover by K. Durant (bad pass; steal by J. Bayless)
1:03.0,B. Knight makes 3-pt shot from 24 ft,3,26-26,,
0:41.0,,,26-26,,A. Morrow misses 2-pt shot from 17 ft
0:38.0,,,26-26,,Offensive rebound by K. Perkins
0:38.0,,,26-26,,K. Perkins misses 2-pt shot from 3 ft
0:37.0,Defensive rebound by K. Middleton,,26-26,,
0:27.0,B. Knight makes 3-pt shot from 24 ft (assist by J. Bayless),3,29-26,,
0:04.0,,,29-26,,Turnover by K. Durant (bad pass; steal by J. Bayless)
0:04.0,,,29-26,,Clear path foul by A. Morrow
