time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Brand vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: E. Brand vs. M. Gortat (N. Hilario gains possession)
11:39.0,,,0-0,,B. Beal misses 3-pt shot from 28 ft
11:37.0,,,0-0,,Offensive rebound by P. Pierce
11:33.0,,,0-0,,P. Pierce misses 3-pt shot from 28 ft
11:31.0,,,0-0,,Offensive rebound by N. Hilario
11:15.0,,,0-0,,M. Gortat misses 2-pt shot from 2 ft
11:14.0,Defensive rebound by E. Brand,,0-0,,
10:51.0,Turnover by Team (shot clock),,0-0,,
10:42.0,,,0-0,,N. Hilario misses 2-pt shot from 20 ft
10:41.0,,,0-0,,Offensive rebound by M. Gortat
10:38.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by K. Bazemore,,0-0,,
10:23.0,M. Muscala makes 3-pt shot from 26 ft (assist by D. Schroder),3,3-0,,
10:01.0,,,3-3,3,J. Wall makes 3-pt shot from 24 ft (assist by M. Gortat)
9:42.0,M. Muscala misses 2-pt shot from 15 ft,,3-3,,
9:41.0,,,3-3,,Defensive rebound by N. Hilario
9:35.0,,,3-3,,Turnover by J. Wall (bad pass; steal by K. Bazemore)
9:29.0,Turnover by K. Bazemore (bad pass; steal by J. Wall),,3-3,,
9:22.0,,,3-3,,B. Beal misses 2-pt shot from 18 ft
9:20.0,Defensive rebound by J. Jenkins,,3-3,,
9:06.0,D. Schroder misses 3-pt shot from 28 ft,,3-3,,
9:05.0,,,3-3,,Defensive rebound by N. Hilario
8:49.0,,,3-3,,N. Hilario misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by M. Muscala,,3-3,,
8:32.0,E. Brand makes 2-pt shot from 15 ft (assist by M. Muscala),2,5-3,,
8:06.0,,,5-5,2,N. Hilario makes 2-pt shot from 19 ft (assist by P. Pierce)
7:52.0,J. Jenkins misses 2-pt shot from 19 ft,,5-5,,
7:51.0,,,5-5,,Defensive rebound by P. Pierce
7:41.0,,,5-8,3,P. Pierce makes 3-pt shot from 27 ft (assist by J. Wall)
7:26.0,J. Jenkins misses 3-pt shot from 26 ft,,5-8,,
7:25.0,,,5-8,,Defensive rebound by P. Pierce
7:07.0,,,5-8,,M. Gortat misses 2-pt shot from 10 ft
7:06.0,Defensive rebound by D. Schroder,,5-8,,
6:52.0,D. Schroder misses 2-pt shot at rim,,5-8,,
6:51.0,,,5-8,,Defensive rebound by M. Gortat
6:42.0,,,5-8,,J. Wall misses 2-pt shot from 16 ft
6:40.0,Defensive rebound by E. Brand,,5-8,,
6:23.0,K. Bazemore misses 3-pt shot from 27 ft,,5-8,,
6:21.0,,,5-8,,Defensive rebound by M. Gortat
6:06.0,,,5-8,,P. Pierce misses 2-pt shot from 15 ft
6:05.0,,,5-8,,Offensive rebound by M. Gortat
6:01.0,,,5-10,2,J. Wall makes 2-pt shot from 21 ft (assist by M. Gortat)
5:53.0,Atlanta full timeout,,5-10,,
5:53.0,,,5-10,,D. Gooden enters the game for N. Hilario
5:53.0,S. Mack enters the game for J. Jenkins,,5-10,,
5:53.0,M. Scott enters the game for E. Brand,,5-10,,
5:46.0,D. Schroder makes 2-pt shot from 6 ft (assist by M. Muscala),2,7-10,,
5:28.0,,,7-10,,B. Beal misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by K. Bazemore,,7-10,,
