time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: S. Adams vs. J. Thompson (D. Cousins gains possession)
11:47.0,,,0-0,,Turnover by D. Cousins (bad pass)
11:34.0,R. Westbrook misses 3-pt shot from 23 ft,,0-0,,
11:33.0,Offensive rebound by S. Adams,,0-0,,
11:21.0,Turnover by A. Roberson (bad pass; steal by D. Collison),,0-0,,
11:13.0,,,0-2,2,D. Collison makes 2-pt shot from 17 ft
10:54.0,R. Westbrook misses 2-pt shot from 6 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by D. Cousins
10:49.0,,,0-2,,D. Collison misses 2-pt shot from 2 ft
10:47.0,Defensive rebound by A. Roberson,,0-2,,
10:25.0,R. Westbrook misses 3-pt shot from 25 ft,,0-2,,
10:25.0,,,0-2,,Defensive rebound by Team
10:05.0,,,0-2,,D. Cousins misses 2-pt shot from 5 ft (block by S. Adams)
10:03.0,Defensive rebound by R. Westbrook,,0-2,,
9:59.0,Shooting foul by B. McLemore (drawn by A. Roberson),,0-2,,
9:59.0,A. Roberson misses free throw 1 of 2,,0-2,,
9:59.0,Offensive rebound by Team,,0-2,,
9:59.0,A. Roberson makes free throw 2 of 2,1,1-2,,
9:44.0,,,1-2,,B. McLemore misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by S. Ibaka,,1-2,,
9:27.0,Turnover by S. Adams (3 sec),,1-2,,
9:13.0,Personal block foul by S. Adams (drawn by D. Collison),,1-2,,
9:07.0,,,1-4,2,R. Gay makes 2-pt shot from 15 ft (assist by D. Collison)
8:55.0,K. Durant misses 2-pt shot from 14 ft,,1-4,,
8:54.0,,,1-4,,Defensive rebound by J. Thompson
8:47.0,,,1-4,,B. McLemore misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by K. Durant,,1-4,,
8:37.0,K. Durant misses 3-pt shot from 24 ft,,1-4,,
8:36.0,,,1-4,,Defensive rebound by J. Thompson
8:33.0,,,1-4,,R. Gay misses 2-pt shot from 3 ft (block by K. Durant)
8:33.0,,,1-4,,Offensive rebound by Team
8:24.0,,,1-6,2,R. Gay makes 2-pt shot from 4 ft
8:12.0,R. Westbrook makes 2-pt shot at rim,2,3-6,,
7:52.0,,,3-6,,Shooting foul by S. Adams (drawn by D. Cousins)
7:52.0,,,3-7,1,D. Cousins makes free throw 1 of 2
7:52.0,K. Perkins enters the game for S. Adams,,3-7,,
7:52.0,,,3-8,1,D. Cousins makes free throw 2 of 2
7:47.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,5-8,,
7:25.0,,,5-8,,D. Collison misses 2-pt shot from 5 ft (block by S. Ibaka)
7:23.0,Defensive rebound by S. Ibaka,,5-8,,
7:12.0,R. Westbrook misses 2-pt shot from 2 ft (block by J. Thompson),,5-8,,
7:10.0,,,5-8,,Defensive rebound by R. Gay
7:01.0,,,5-8,,J. Thompson misses 2-pt shot from 3 ft
7:00.0,,,5-8,,Offensive rebound by J. Thompson
6:53.0,,,5-11,3,D. Collison makes 3-pt shot from 24 ft (assist by B. McLemore)
6:45.0,Oklahoma City full timeout,,5-11,,
6:45.0,A. Morrow enters the game for A. Roberson,,5-11,,
6:38.0,Shooting foul by J. Thompson (drawn by K. Durant),,5-11,,
6:38.0,K. Durant makes free throw 1 of 2,1,6-11,,
6:38.0,K. Durant makes free throw 2 of 2,1,7-11,,
6:23.0,,,7-11,,R. Gay misses 2-pt shot from 2 ft
6:22.0,,,7-11,,Offensive rebound by R. Gay
6:22.0,,,7-11,,R. Gay misses 2-pt shot from 2 ft
6:21.0,,,7-11,,Offensive rebound by R. Gay
6:21.0,,,7-11,,R. Gay misses 2-pt shot from 2 ft
6:21.0,,,7-11,,Offensive rebound by J. Thompson
6:21.0,,,7-11,,Shooting foul by S. Ibaka (drawn by J. Thompson)
6:21.0,,,7-12,1,J. Thompson makes free throw 1 of 2
6:21.0,,,7-13,1,J. Thompson makes free throw 2 of 2
6:09.0,S. Ibaka misses 2-pt shot from 12 ft,,7-13,,
6:08.0,Offensive rebound by R. Westbrook,,7-13,,
6:06.0,R. Westbrook misses 2-pt shot from 1 ft,,7-13,,
6:05.0,,,7-13,,Defensive rebound by D. Cousins
5:59.0,,,7-16,3,R. Gay makes 3-pt shot from 23 ft (assist by D. Collison)
