time,Houston,pts.away,score,pts.home,Utah
11:44.0,,,27-27,,R. Hood misses 3-pt shot from 24 ft
11:42.0,,,27-27,,Offensive rebound by Team
11:21.0,,,27-29,2,A. Burks makes 2-pt shot from 21 ft
11:01.0,D. Howard misses 2-pt shot from 4 ft,,27-29,,
10:59.0,,,27-29,,Defensive rebound by A. Burks
10:49.0,Personal foul by J. Terry (drawn by D. Exum),,27-29,,
10:49.0,T. Jones enters the game for D. Motiejunas,,27-29,,
10:42.0,,,27-31,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
10:22.0,Turnover by D. Howard (lost ball; steal by R. Hood),,27-31,,
10:13.0,,,27-31,,Turnover by R. Gobert (bad pass)
10:13.0,,,27-31,,J. Ingles enters the game for R. Hood
9:51.0,I. Canaan makes 3-pt shot from 22 ft,3,30-31,,
9:36.0,Personal foul by T. Jones (drawn by T. Booker),,30-31,,
9:36.0,P. Beverley enters the game for J. Terry,,30-31,,
9:22.0,,,30-33,2,T. Booker makes 2-pt shot from 7 ft (assist by A. Burks)
8:58.0,P. Beverley makes 2-pt shot from 2 ft,2,32-33,,
8:44.0,,,32-36,3,D. Exum makes 3-pt shot from 24 ft (assist by A. Burks)
8:36.0,,,32-36,,Personal foul by R. Gobert (drawn by D. Howard)
8:36.0,Official timeout,,32-36,,
8:36.0,T. Ariza enters the game for K. Papanikolaou,,32-36,,
8:26.0,Turnover by P. Beverley (bad pass; steal by D. Exum),,32-36,,
8:21.0,,,32-38,2,D. Exum makes 2-pt shot from 2 ft
8:08.0,T. Ariza makes 2-pt shot from 3 ft,2,34-38,,
8:03.0,Personal foul by T. Jones (drawn by A. Burks),,34-38,,
8:03.0,,,34-38,,T. Burke enters the game for D. Exum
8:03.0,J. Harden enters the game for I. Canaan,,34-38,,
8:03.0,K. Papanikolaou enters the game for T. Jones,,34-38,,
7:50.0,,,34-38,,J. Ingles misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by Team,,34-38,,
7:50.0,,,34-38,,Loose ball foul by R. Gobert (drawn by D. Howard)
7:30.0,P. Beverley misses 2-pt shot from 3 ft,,34-38,,
7:28.0,,,34-38,,Defensive rebound by T. Booker
7:26.0,,,34-38,,Shooting foul by P. Beverley (drawn by A. Burks)
7:26.0,,,34-39,1,A. Burks makes free throw 1 of 2
7:26.0,,,34-40,1,A. Burks makes free throw 2 of 2
7:11.0,Offensive foul by D. Howard,,34-40,,
7:11.0,Turnover by D. Howard (offensive foul),,34-40,,
6:57.0,,,34-40,,Turnover by A. Burks (bad pass; steal by K. Papanikolaou)
6:52.0,T. Ariza makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,36-40,,
6:23.0,,,36-40,,T. Booker misses 3-pt shot from 24 ft
6:22.0,,,36-40,,Offensive rebound by T. Burke
6:18.0,,,36-42,2,T. Booker makes 2-pt shot from 3 ft (assist by T. Burke)
