time,New York,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. J. Hill (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. J. Hill (L. Galloway gains possession)
11:43.0,A. Bargnani misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Johnson
11:24.0,,,0-0,,Turnover by J. Hill (offensive foul)
11:24.0,,,0-0,,Offensive foul by J. Hill
11:08.0,L. Amundson misses 2-pt shot from 14 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by J. Hill
10:54.0,,,0-0,,W. Johnson misses 3-pt shot from 24 ft
10:53.0,Defensive rebound by L. Thomas,,0-0,,
10:44.0,L. Galloway makes 2-pt shot from 18 ft (assist by A. Shved),2,2-0,,
10:25.0,,,2-2,2,W. Ellington makes 2-pt shot from 19 ft (assist by T. Black)
10:07.0,L. Amundson misses 2-pt shot from 4 ft (block by W. Johnson),,2-2,,
10:07.0,Offensive rebound by Team,,2-2,,
10:01.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Shved),3,5-2,,
9:50.0,,,5-2,,J. Clarkson misses 2-pt shot from 4 ft
9:48.0,,,5-2,,Offensive rebound by T. Black
9:47.0,,,5-4,2,T. Black makes 2-pt shot at rim
9:28.0,A. Shved misses 3-pt shot from 26 ft,,5-4,,
9:26.0,,,5-4,,Defensive rebound by T. Black
9:19.0,,,5-6,2,J. Hill makes 2-pt shot from 13 ft
9:03.0,,,5-6,,Personal foul by J. Clarkson (drawn by A. Bargnani)
8:58.0,A. Bargnani makes 2-pt shot at rim (assist by L. Amundson),2,7-6,,
8:46.0,,,7-6,,J. Clarkson misses 2-pt shot from 6 ft
8:44.0,,,7-6,,Offensive rebound by T. Black
8:44.0,,,7-8,2,T. Black makes 2-pt shot at rim
8:31.0,L. Amundson misses 2-pt shot from 8 ft,,7-8,,
8:28.0,,,7-8,,Defensive rebound by J. Clarkson
8:22.0,,,7-8,,J. Clarkson misses 2-pt shot from 13 ft
8:21.0,Defensive rebound by L. Thomas,,7-8,,
8:09.0,A. Shved makes 2-pt shot from 2 ft (assist by L. Amundson),2,9-8,,
8:02.0,,,9-8,,W. Ellington misses 2-pt shot from 2 ft (block by L. Galloway)
7:58.0,,,9-8,,Offensive rebound by J. Clarkson
7:53.0,,,9-8,,Offensive foul by J. Clarkson
7:53.0,,,9-8,,Turnover by J. Clarkson (offensive foul)
7:53.0,,,9-8,,J. Lin enters the game for J. Clarkson
7:38.0,L. Thomas misses 2-pt shot from 18 ft,,9-8,,
7:37.0,,,9-8,,Defensive rebound by T. Black
7:30.0,,,9-10,2,J. Hill makes 2-pt shot from 3 ft (assist by J. Lin)
7:30.0,,,9-10,,Shooting foul by L. Galloway (drawn by J. Hill)
7:30.0,,,9-11,1,J. Hill makes free throw 1 of 1
7:18.0,A. Shved misses 3-pt shot from 25 ft,,9-11,,
7:17.0,,,9-11,,Defensive rebound by J. Hill
7:06.0,,,9-13,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Lin)
6:45.0,A. Bargnani misses 2-pt shot from 15 ft,,9-13,,
6:44.0,,,9-13,,Defensive rebound by J. Hill
6:34.0,Personal foul by A. Shved (drawn by W. Ellington),,9-13,,
6:25.0,,,9-15,2,J. Lin makes 2-pt shot from 21 ft
6:17.0,New York full timeout,,9-15,,
6:17.0,C. Early enters the game for L. Thomas,,9-15,,
6:17.0,C. Aldrich enters the game for L. Amundson,,9-15,,
6:02.0,A. Shved misses 3-pt shot from 25 ft,,9-15,,
6:01.0,,,9-15,,Defensive rebound by W. Ellington
5:48.0,,,9-15,,W. Ellington misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by A. Shved,,9-15,,
5:42.0,A. Shved misses 2-pt shot from 1 ft,,9-15,,
5:38.0,,,9-15,,Defensive rebound by J. Hill
5:34.0,,,9-15,,W. Johnson misses 2-pt shot from 1 ft
5:26.0,,,9-15,,Offensive rebound by T. Black
5:26.0,,,9-17,2,T. Black makes 2-pt shot from 2 ft
5:10.0,C. Aldrich makes 2-pt shot from 5 ft,2,11-17,,
4:59.0,,,11-19,2,J. Lin makes 2-pt shot from 2 ft
4:43.0,A. Shved makes 2-pt shot from 1 ft,2,13-19,,
4:25.0,Personal foul by C. Early (drawn by W. Johnson),,13-19,,
4:25.0,J. Smith enters the game for A. Bargnani,,13-19,,
4:25.0,T. Hardaway enters the game for L. Galloway,,13-19,,
4:25.0,,,13-19,,C. Boozer enters the game for J. Hill
4:16.0,,,13-19,,C. Boozer misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by C. Early,,13-19,,
4:03.0,Shooting foul by J. Lin (drawn by A. Shved),,13-19,,
4:03.0,A. Shved makes free throw 1 of 2,1,14-19,,
4:03.0,A. Shved makes free throw 2 of 2,1,15-19,,
3:53.0,Violation by A. Shved (kicked ball),,15-19,,
3:53.0,,,15-19,,E. Davis enters the game for T. Black
3:47.0,,,15-19,,W. Johnson misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by A. Shved,,15-19,,
3:35.0,C. Early makes 2-pt shot from 1 ft (assist by T. Hardaway),2,17-19,,
3:17.0,,,17-19,,Turnover by J. Lin (lost ball)
3:17.0,,,17-19,,J. Brown enters the game for W. Ellington
3:17.0,,,17-19,,R. Kelly enters the game for W. Johnson
2:59.0,T. Hardaway misses 2-pt shot from 15 ft,,17-19,,
2:58.0,,,17-19,,Defensive rebound by C. Boozer
2:39.0,,,17-19,,C. Boozer misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by A. Shved,,17-19,,
2:33.0,A. Shved misses 3-pt shot from 25 ft,,17-19,,
2:31.0,,,17-19,,Defensive rebound by J. Brown
2:30.0,,,17-19,,Shooting foul by C. Early (drawn by J. Brown)
2:30.0,,,17-19,,LA Lakers full timeout
