time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (E. Ilyasova gains possession)
11:36.0,,,0-0,,K. Middleton misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by P. Gasol,,0-0,,
11:21.0,J. Butler makes 2-pt shot at rim (assist by M. Dunleavy),2,2-0,,
11:05.0,,,2-0,,E. Ilyasova misses 2-pt shot from 4 ft (block by P. Gasol)
11:03.0,Defensive rebound by P. Gasol,,2-0,,
10:54.0,D. Rose makes 3-pt shot from 26 ft,3,5-0,,
10:41.0,,,5-2,2,M. Carter-Williams makes 2-pt shot from 10 ft
10:28.0,Turnover by D. Rose (bad pass),,5-2,,
10:12.0,,,5-2,,Z. Pachulia misses 2-pt shot from 14 ft
10:11.0,Defensive rebound by J. Noah,,5-2,,
9:49.0,J. Butler makes 2-pt shot from 14 ft (assist by J. Noah),2,7-2,,
9:32.0,,,7-2,,Z. Pachulia misses 2-pt shot at rim
9:31.0,,,7-2,,Offensive rebound by Z. Pachulia
9:25.0,,,7-2,,Turnover by M. Carter-Williams (bad pass; steal by D. Rose)
9:11.0,Turnover by J. Noah (bad pass; steal by M. Carter-Williams),,7-2,,
9:07.0,,,7-2,,Shooting foul by J. Butler (drawn by G. Antetokounmpo)
9:07.0,,,7-3,1,G. Antetokounmpo makes free throw 1 of 2
9:07.0,,,7-4,1,G. Antetokounmpo makes free throw 2 of 2
8:52.0,J. Butler misses 3-pt shot from 25 ft,,7-4,,
8:50.0,,,7-4,,Defensive rebound by M. Carter-Williams
8:38.0,,,7-4,,Turnover by E. Ilyasova (bad pass; steal by J. Butler)
8:30.0,D. Rose makes 3-pt shot from 26 ft,3,10-4,,
8:12.0,,,10-4,,M. Carter-Williams misses 2-pt shot from 12 ft
8:11.0,,,10-4,,Offensive rebound by Z. Pachulia
8:11.0,,,10-4,,Z. Pachulia misses 2-pt shot at rim
8:10.0,Defensive rebound by P. Gasol,,10-4,,
8:02.0,D. Rose misses 3-pt shot from 26 ft,,10-4,,
8:02.0,,,10-4,,Defensive rebound by Team
7:50.0,,,10-7,3,K. Middleton makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
7:38.0,J. Butler misses 2-pt shot from 19 ft,,10-7,,
7:37.0,,,10-7,,Defensive rebound by Z. Pachulia
7:27.0,,,10-9,2,K. Middleton makes 2-pt shot from 9 ft (assist by M. Carter-Williams)
7:01.0,M. Dunleavy misses 2-pt shot from 5 ft (block by E. Ilyasova),,10-9,,
6:59.0,,,10-9,,Defensive rebound by E. Ilyasova
6:56.0,,,10-11,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
6:30.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose),2,12-11,,
6:13.0,,,12-11,,Z. Pachulia misses 2-pt shot at rim (block by J. Noah)
6:10.0,Defensive rebound by M. Dunleavy,,12-11,,
