time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Motiejunas gains possession)
11:40.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,3-0,,
11:16.0,,,3-0,,H. Barnes misses 3-pt shot from 25 ft
11:15.0,Defensive rebound by D. Howard,,3-0,,
11:13.0,,,3-0,,Violation by K. Thompson (kicked ball)
11:07.0,D. Motiejunas misses 2-pt shot from 5 ft,,3-0,,
11:06.0,,,3-0,,Defensive rebound by H. Barnes
10:49.0,,,3-0,,K. Thompson misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by D. Howard,,3-0,,
10:44.0,T. Ariza misses 2-pt shot from 1 ft (block by A. Bogut),,3-0,,
10:42.0,Offensive rebound by D. Motiejunas,,3-0,,
10:38.0,T. Ariza misses 3-pt shot from 23 ft,,3-0,,
10:36.0,,,3-0,,Defensive rebound by A. Bogut
10:32.0,,,3-0,,Shooting foul by T. Ariza (drawn by K. Thompson)
10:32.0,,,3-1,1,K. Thompson makes free throw 1 of 2
10:32.0,,,3-2,1,K. Thompson makes free throw 2 of 2
10:14.0,D. Howard misses 2-pt shot from 1 ft (block by A. Bogut),,3-2,,
10:12.0,,,3-2,,Defensive rebound by A. Bogut
10:07.0,,,3-2,,Shooting foul by D. Motiejunas (drawn by D. Green)
10:07.0,,,3-2,,D. Green misses free throw 1 of 2
10:07.0,,,3-2,,Offensive rebound by Team
10:07.0,,,3-3,1,D. Green makes free throw 2 of 2
9:52.0,Shooting foul by K. Thompson (drawn by J. Harden),,3-3,,
9:52.0,J. Harden makes free throw 1 of 3,1,4-3,,
9:52.0,J. Harden makes free throw 2 of 3,1,5-3,,
9:52.0,J. Harden makes free throw 3 of 3,1,6-3,,
9:36.0,,,6-6,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
9:21.0,J. Harden misses 2-pt shot from 15 ft,,6-6,,
9:19.0,,,6-6,,Defensive rebound by H. Barnes
9:13.0,,,6-8,2,S. Curry makes 2-pt shot from 20 ft
8:50.0,D. Motiejunas misses 2-pt shot from 8 ft,,6-8,,
8:50.0,,,6-8,,Defensive rebound by S. Curry
8:44.0,,,6-11,3,S. Curry makes 3-pt shot from 23 ft
8:21.0,Shooting foul by H. Barnes (drawn by J. Harden),,6-11,,
8:21.0,J. Harden makes free throw 1 of 3,1,7-11,,
8:21.0,J. Harden makes free throw 2 of 3,1,8-11,,
8:21.0,J. Harden makes free throw 3 of 3,1,9-11,,
8:02.0,,,9-11,,Shooting foul by D. Howard (drawn by H. Barnes)
8:02.0,,,9-13,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
8:02.0,,,9-14,1,H. Barnes makes free throw 1 of 1
7:38.0,Turnover by Team (shot clock),,9-14,,
7:29.0,,,9-14,,D. Green misses 2-pt shot from 6 ft
7:28.0,,,9-14,,Offensive rebound by D. Green
7:26.0,,,9-16,2,D. Green makes 2-pt shot at rim
7:07.0,P. Beverley makes 2-pt shot from 1 ft (assist by J. Harden),2,11-16,,
6:56.0,,,11-16,,D. Green misses 3-pt shot from 26 ft
6:55.0,,,11-16,,Offensive rebound by K. Thompson
6:52.0,,,11-18,2,K. Thompson makes 2-pt shot from 15 ft
6:45.0,Houston full timeout,,11-18,,
6:33.0,Turnover by P. Beverley (lost ball; steal by S. Curry),,11-18,,
6:28.0,,,11-18,,K. Thompson misses 3-pt shot from 25 ft
6:27.0,,,11-18,,Offensive rebound by H. Barnes
6:25.0,,,11-20,2,H. Barnes makes 2-pt shot at rim
6:10.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by P. Beverley),2,13-20,,
6:09.0,Technical foul by D. Howard,,13-20,,
6:09.0,,,13-21,1,S. Curry makes technical free throw
5:57.0,,,13-21,,Offensive foul by A. Bogut
5:57.0,,,13-21,,Turnover by A. Bogut (offensive foul)
5:46.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,16-21,,
5:37.0,,,16-23,2,D. Green makes 2-pt shot from 15 ft
5:23.0,P. Beverley misses 3-pt shot from 25 ft,,16-23,,
5:21.0,,,16-23,,Defensive rebound by D. Green
5:16.0,,,16-26,3,H. Barnes makes 3-pt shot from 26 ft (assist by D. Green)
5:03.0,D. Howard misses 2-pt shot from 1 ft (block by A. Bogut),,16-26,,
5:01.0,Offensive rebound by D. Howard,,16-26,,
5:00.0,D. Howard misses 2-pt shot from 2 ft (block by A. Bogut),,16-26,,
4:59.0,Offensive rebound by P. Beverley,,16-26,,
4:53.0,J. Harden misses 3-pt shot from 23 ft,,16-26,,
