time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession),,,,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession)
11:38.0,Turnover by G. Hayward (lost ball),,0-0,,
11:20.0,,,0-3,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
10:59.0,,,0-3,,Personal foul by M. Barnes (drawn by E. Kanter)
10:46.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,2-3,,
10:22.0,,,2-3,,B. Griffin misses 2-pt shot from 21 ft
10:21.0,,,2-3,,Offensive rebound by D. Jordan
10:08.0,,,2-3,,M. Barnes misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by E. Kanter,,2-3,,
9:53.0,D. Favors misses 2-pt shot from 12 ft,,2-3,,
9:51.0,,,2-3,,Defensive rebound by C. Paul
9:42.0,,,2-3,,C. Paul misses 2-pt shot from 13 ft
9:41.0,,,2-3,,Offensive rebound by D. Jordan
9:40.0,,,2-3,,D. Jordan misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by T. Burke,,2-3,,
9:31.0,G. Hayward misses 2-pt shot from 2 ft,,2-3,,
9:30.0,,,2-3,,Defensive rebound by J. Redick
9:23.0,,,2-3,,M. Barnes misses 3-pt shot from 23 ft
9:19.0,Defensive rebound by T. Burke,,2-3,,
9:04.0,E. Kanter misses 3-pt shot from 25 ft,,2-3,,
9:03.0,,,2-3,,Defensive rebound by B. Griffin
8:53.0,,,2-3,,Turnover by J. Redick (bad pass; steal by E. Kanter)
8:49.0,Shooting foul by C. Paul (drawn by T. Burke),,2-3,,
8:49.0,T. Burke makes free throw 1 of 2,1,3-3,,
8:49.0,T. Burke makes free throw 2 of 2,1,4-3,,
8:35.0,,,4-5,2,C. Paul makes 2-pt shot from 18 ft (assist by B. Griffin)
8:19.0,A. Burks makes 3-pt shot from 24 ft (assist by G. Hayward),3,7-5,,
8:08.0,,,7-7,2,B. Griffin makes 2-pt shot from 22 ft (assist by C. Paul)
7:50.0,A. Burks misses 2-pt shot from 8 ft,,7-7,,
7:48.0,,,7-7,,Defensive rebound by B. Griffin
7:37.0,,,7-9,2,B. Griffin makes 2-pt shot from 19 ft (assist by J. Redick)
7:18.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke),3,10-9,,
