time,Golden State,pts.away,score,pts.home,Boston
8:30.0,,,7-11,,E. Turner misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by Team,,7-11,,
8:21.0,S. Curry makes 3-pt shot from 25 ft,3,10-11,,
8:00.0,,,10-11,,T. Zeller misses 2-pt shot from 12 ft
7:58.0,,,10-11,,Offensive rebound by B. Bass
7:47.0,,,10-13,2,E. Turner makes 2-pt shot from 18 ft
7:33.0,K. Thompson misses 3-pt shot from 25 ft,,10-13,,
7:32.0,,,10-13,,Defensive rebound by E. Turner
7:24.0,,,10-15,2,E. Turner makes 2-pt shot from 15 ft
7:10.0,A. Bogut misses 2-pt shot at rim,,10-15,,
7:08.0,,,10-15,,Defensive rebound by M. Smart
7:00.0,,,10-15,,A. Bradley misses 2-pt shot from 1 ft (block by A. Bogut)
6:59.0,Defensive rebound by H. Barnes,,10-15,,
6:49.0,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson),3,13-15,,
6:36.0,,,13-17,2,E. Turner makes 2-pt shot from 18 ft
6:22.0,H. Barnes misses 2-pt shot from 3 ft,,13-17,,
6:21.0,,,13-17,,Defensive rebound by E. Turner
6:15.0,,,13-20,3,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner)
5:58.0,S. Curry misses 2-pt shot from 1 ft,,13-20,,
5:57.0,,,13-20,,Defensive rebound by B. Bass
5:50.0,,,13-22,2,E. Turner makes 2-pt shot from 4 ft
5:43.0,Golden State full timeout,,13-22,,
5:26.0,S. Curry misses 3-pt shot from 26 ft,,13-22,,
5:25.0,,,13-22,,Defensive rebound by B. Bass
5:19.0,Violation by S. Curry (kicked ball),,13-22,,
5:11.0,,,13-24,2,T. Zeller makes 2-pt shot from 1 ft (assist by B. Bass)
4:59.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,16-24,,
4:43.0,,,16-24,,E. Turner misses 2-pt shot from 15 ft (block by D. Green)
4:42.0,Defensive rebound by A. Bogut,,16-24,,
4:33.0,D. Green misses 2-pt shot from 1 ft,,16-24,,
4:32.0,Offensive rebound by A. Bogut,,16-24,,
4:32.0,A. Bogut misses 2-pt shot at rim,,16-24,,
4:31.0,,,16-24,,Defensive rebound by E. Turner
4:19.0,,,16-26,2,B. Bass makes 2-pt shot from 3 ft (assist by T. Zeller)
4:08.0,K. Thompson misses 3-pt shot from 25 ft,,16-26,,
4:07.0,,,16-26,,Defensive rebound by T. Zeller
3:55.0,,,16-26,,T. Zeller misses 2-pt shot from 15 ft
3:54.0,Defensive rebound by A. Bogut,,16-26,,
3:45.0,S. Curry makes 2-pt shot from 5 ft,2,18-26,,
3:28.0,,,18-28,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
3:06.0,H. Barnes misses 3-pt shot from 25 ft,,18-28,,
3:05.0,,,18-28,,Defensive rebound by B. Bass
2:57.0,,,18-28,,A. Bradley misses 2-pt shot from 17 ft
2:56.0,,,18-28,,Offensive rebound by T. Zeller
2:54.0,,,18-28,,T. Zeller misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by A. Bogut,,18-28,,
2:37.0,A. Bogut misses 2-pt shot from 2 ft,,18-28,,
2:36.0,Offensive rebound by H. Barnes,,18-28,,
2:36.0,H. Barnes misses 2-pt shot at rim,,18-28,,
2:35.0,,,18-28,,Defensive rebound by E. Turner
2:31.0,,,18-28,,Shooting foul by A. Bogut (drawn by E. Turner)
2:31.0,,,18-28,,Boston full timeout
2:31.0,,,18-28,,I. Thomas enters the game for M. Smart
2:31.0,,,18-28,,J. Crowder enters the game for B. Bass
2:31.0,A. Iguodala enters the game for H. Barnes,,18-28,,
2:31.0,D. Lee enters the game for A. Bogut,,18-28,,
2:31.0,,,18-29,1,E. Turner makes free throw 1 of 2
2:31.0,,,18-30,1,E. Turner makes free throw 2 of 2
2:15.0,S. Curry makes 2-pt shot at rim,2,20-30,,
2:09.0,,,20-30,,A. Bradley misses 2-pt shot from 2 ft (block by K. Thompson)
2:08.0,Defensive rebound by D. Green,,20-30,,
1:59.0,S. Curry makes 3-pt shot from 25 ft,3,23-30,,
1:43.0,,,23-30,,J. Crowder misses 2-pt shot at rim
1:42.0,,,23-30,,Offensive rebound by J. Crowder
1:42.0,,,23-30,,J. Crowder misses 2-pt shot at rim
1:41.0,Defensive rebound by D. Lee,,23-30,,
1:33.0,D. Green misses 2-pt shot from 3 ft,,23-30,,
1:32.0,,,23-30,,Defensive rebound by E. Turner
1:29.0,,,23-30,,I. Thomas misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by D. Green,,23-30,,
1:17.0,D. Lee misses 2-pt shot from 5 ft,,23-30,,
1:15.0,,,23-30,,Defensive rebound by J. Crowder
1:09.0,,,23-33,3,I. Thomas makes 3-pt shot from 22 ft (assist by A. Bradley)
0:56.0,S. Curry makes 2-pt shot from 4 ft,2,25-33,,
0:44.0,,,25-35,2,I. Thomas makes 2-pt shot from 2 ft
0:36.0,S. Curry misses 2-pt shot from 21 ft,,25-35,,
0:34.0,Offensive rebound by D. Lee,,25-35,,
0:24.0,S. Curry misses 3-pt shot from 25 ft,,25-35,,
0:22.0,,,25-35,,Defensive rebound by A. Bradley
0:03.0,,,25-38,3,I. Thomas makes 3-pt shot from 24 ft
0:00.0,D. Lee misses 3-pt shot from 27 ft,,25-38,,
0:00.0,Offensive rebound by Team,,25-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-38,,J. Crowder misses 3-pt shot from 27 ft
11:42.0,,,25-38,,Offensive rebound by J. Jerebko
11:34.0,,,25-38,,M. Smart misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by D. Green,,25-38,,
11:16.0,Offensive foul by S. Livingston,,25-38,,
11:16.0,Turnover by S. Livingston (offensive foul),,25-38,,
11:02.0,,,25-38,,J. Crowder misses 2-pt shot from 5 ft
11:01.0,,,25-38,,Offensive rebound by Team
11:01.0,H. Barnes enters the game for D. Green,,25-38,,
10:53.0,,,25-40,2,M. Smart makes 2-pt shot from 14 ft (assist by J. Crowder)
10:38.0,Turnover by D. Lee (lost ball; steal by M. Smart),,25-40,,
10:29.0,,,25-40,,I. Thomas misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by H. Barnes,,25-40,,
10:15.0,S. Livingston misses 2-pt shot from 11 ft,,25-40,,
10:14.0,,,25-40,,Defensive rebound by J. Crowder
9:57.0,,,25-42,2,I. Thomas makes 2-pt shot from 1 ft
9:57.0,,,25-42,,Shooting foul by D. Lee (drawn by I. Thomas)
9:57.0,,,25-43,1,I. Thomas makes free throw 1 of 1
9:42.0,H. Barnes makes 2-pt shot from 18 ft,2,27-43,,
9:28.0,,,27-45,2,I. Thomas makes 2-pt shot from 1 ft
9:18.0,L. Barbosa misses 2-pt shot from 6 ft (block by J. Crowder),,27-45,,
9:17.0,Offensive rebound by D. Lee,,27-45,,
9:16.0,Shooting foul by M. Smart (drawn by D. Lee),,27-45,,
9:16.0,D. Lee makes free throw 1 of 2,1,28-45,,
9:16.0,D. Lee misses free throw 2 of 2,,28-45,,
9:16.0,,,28-45,,Defensive rebound by J. Young
9:00.0,,,28-45,,I. Thomas misses 3-pt shot from 26 ft
8:59.0,Defensive rebound by D. Lee,,28-45,,
8:46.0,H. Barnes misses 3-pt shot from 22 ft,,28-45,,
8:45.0,,,28-45,,Defensive rebound by J. Young
8:40.0,,,28-45,,J. Young misses 2-pt shot from 4 ft
8:39.0,Defensive rebound by H. Barnes,,28-45,,
8:35.0,Official timeout,,28-45,,
8:21.0,L. Barbosa misses 2-pt shot from 6 ft,,28-45,,
8:20.0,,,28-45,,Defensive rebound by M. Smart
8:17.0,,,28-47,2,I. Thomas makes 2-pt shot from 2 ft (assist by M. Smart)
8:01.0,D. Lee misses 2-pt shot from 2 ft (block by J. Jerebko),,28-47,,
7:59.0,,,28-47,,Defensive rebound by J. Crowder
7:53.0,,,28-50,3,J. Young makes 3-pt shot from 25 ft (assist by J. Crowder)
7:39.0,H. Barnes misses 2-pt shot from 15 ft,,28-50,,
7:37.0,Offensive rebound by D. Lee,,28-50,,
7:37.0,D. Lee makes 2-pt shot at rim,2,30-50,,
7:37.0,Violation by Team (delay of game),,30-50,,
