time,Golden State,pts.away,score,pts.home,Boston
5:27.0,,,92-94,,E. Turner misses 2-pt shot from 17 ft
5:26.0,Defensive rebound by Team,,92-94,,
5:26.0,,,92-94,,Loose ball foul by B. Bass (drawn by A. Iguodala)
5:26.0,,,92-94,,M. Smart enters the game for I. Thomas
5:13.0,Turnover by S. Curry (lost ball; steal by E. Turner),,92-94,,
5:12.0,Personal foul by K. Thompson (drawn by A. Bradley),,92-94,,
4:58.0,,,92-94,,Turnover by B. Bass (lost ball)
4:42.0,A. Iguodala makes 2-pt shot at rim (assist by S. Curry),2,94-94,,
4:29.0,,,94-94,,J. Crowder misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by K. Thompson,,94-94,,
4:03.0,K. Thompson misses 2-pt shot from 5 ft,,94-94,,
4:02.0,,,94-94,,Defensive rebound by J. Crowder
3:54.0,,,94-94,,E. Turner misses 3-pt shot from 27 ft
3:52.0,,,94-94,,Offensive rebound by J. Crowder
3:47.0,,,94-94,,Turnover by J. Crowder (bad pass; steal by K. Thompson)
3:28.0,D. Green misses 2-pt shot from 2 ft,,94-94,,
3:26.0,Offensive rebound by D. Green,,94-94,,
3:26.0,D. Green makes 2-pt shot at rim,2,96-94,,
3:26.0,,,96-94,,Boston full timeout
3:26.0,,,96-94,,I. Thomas enters the game for E. Turner
3:26.0,,,96-94,,T. Zeller enters the game for J. Crowder
3:04.0,,,96-94,,Turnover by I. Thomas (bad pass; steal by A. Iguodala)
2:58.0,K. Thompson misses 3-pt shot from 25 ft,,96-94,,
2:57.0,,,96-94,,Defensive rebound by M. Smart
2:52.0,,,96-96,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
2:37.0,S. Curry makes 2-pt shot from 18 ft,2,98-96,,
2:17.0,,,98-96,,T. Zeller misses 2-pt shot from 2 ft
2:16.0,Defensive rebound by A. Iguodala,,98-96,,
2:00.0,Turnover by S. Livingston (traveling),,98-96,,
2:00.0,,,98-96,,J. Crowder enters the game for B. Bass
1:43.0,,,98-99,3,M. Smart makes 3-pt shot from 28 ft (assist by I. Thomas)
1:37.0,Golden State full timeout,,98-99,,
1:37.0,,,98-99,,B. Bass enters the game for T. Zeller
1:37.0,H. Barnes enters the game for S. Livingston,,98-99,,
1:26.0,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson),2,100-99,,
1:07.0,,,100-99,,B. Bass misses 2-pt shot from 17 ft
1:06.0,,,100-99,,Offensive rebound by M. Smart
1:06.0,,,100-99,,M. Smart misses 2-pt shot at rim
1:05.0,,,100-99,,Offensive rebound by J. Crowder
0:51.0,,,100-99,,J. Crowder misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by A. Iguodala,,100-99,,
0:37.0,Golden State full timeout,,100-99,,
0:26.0,A. Iguodala makes 2-pt shot from 1 ft,2,102-99,,
0:26.0,,,102-99,,Boston full timeout
0:26.0,,,102-99,,E. Turner enters the game for B. Bass
0:26.0,,,102-99,,T. Zeller enters the game for M. Smart
0:19.0,,,102-99,,A. Bradley misses 3-pt shot from 22 ft
0:18.0,,,102-99,,Offensive rebound by I. Thomas
0:18.0,Personal foul by D. Green (drawn by I. Thomas),,102-99,,
0:18.0,,,102-99,,Boston full timeout
0:12.0,,,102-101,2,I. Thomas makes 2-pt shot from 1 ft
0:11.0,,,102-101,,Personal take foul by A. Bradley (drawn by S. Curry)
0:11.0,S. Curry makes free throw 1 of 2,1,103-101,,
0:11.0,S. Curry makes free throw 2 of 2,1,104-101,,
0:04.0,,,104-101,,I. Thomas misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by S. Curry,,104-101,,
0:03.0,,,104-101,,Personal take foul by A. Bradley (drawn by S. Curry)
0:03.0,S. Curry makes free throw 1 of 2,1,105-101,,
0:03.0,S. Curry makes free throw 2 of 2,1,106-101,,
0:03.0,,,106-101,,Turnover by J. Crowder (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
