time,Atlanta,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. A. Horford (D. Carroll gains possession),,,,Jump ball: D. Favors vs. A. Horford (D. Carroll gains possession)
11:34.0,Turnover by Team (shot clock),,0-0,,
11:17.0,,,0-0,,T. Burke misses 2-pt shot from 22 ft
11:16.0,Defensive rebound by P. Millsap,,0-0,,
11:06.0,A. Horford misses 2-pt shot at rim,,0-0,,
11:04.0,,,0-0,,Defensive rebound by E. Kanter
11:04.0,,,0-0,,Turnover by E. Kanter (bad pass)
10:55.0,J. Teague misses 3-pt shot from 24 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by Team
10:41.0,,,0-2,2,D. Favors makes 2-pt shot from 17 ft (assist by T. Burke)
10:23.0,Turnover by P. Millsap (bad pass; steal by T. Burke),,0-2,,
10:18.0,,,0-4,2,T. Burke makes 2-pt shot from 2 ft
10:04.0,P. Millsap misses 3-pt shot from 24 ft,,0-4,,
10:03.0,Offensive rebound by K. Korver,,0-4,,
9:59.0,Turnover by D. Carroll (lost ball),,0-4,,
9:41.0,,,0-4,,D. Favors misses 2-pt shot from 16 ft
9:40.0,Defensive rebound by K. Korver,,0-4,,
9:27.0,A. Horford misses 2-pt shot from 20 ft,,0-4,,
9:25.0,Offensive rebound by Team,,0-4,,
9:24.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Korver),2,2-4,,
9:24.0,Shooting foul by G. Hayward (drawn by D. Carroll),,2-4,,
9:24.0,D. Carroll makes free throw 1 of 1,1,3-4,,
9:08.0,,,3-4,,Turnover by P. Christopher (bad pass; steal by D. Carroll)
9:03.0,D. Carroll makes 2-pt shot at rim,2,5-4,,
8:44.0,,,5-4,,Turnover by D. Favors (lost ball; steal by J. Teague)
8:39.0,J. Teague makes 2-pt shot at rim (assist by P. Millsap),2,7-4,,
8:39.0,,,7-4,,Utah full timeout
8:25.0,,,7-6,2,E. Kanter makes 2-pt shot from 17 ft (assist by G. Hayward)
8:14.0,Turnover by P. Millsap (bad pass; steal by T. Burke),,7-6,,
8:08.0,,,7-6,,T. Burke misses 2-pt shot from 2 ft
8:07.0,Defensive rebound by D. Carroll,,7-6,,
8:00.0,J. Teague makes 3-pt shot from 22 ft (assist by P. Millsap),3,10-6,,
7:45.0,,,10-6,,E. Kanter misses 2-pt shot from 15 ft
7:41.0,,,10-6,,Offensive rebound by E. Kanter
7:35.0,,,10-6,,D. Favors misses 2-pt shot from 14 ft
7:34.0,Defensive rebound by J. Teague,,10-6,,
7:32.0,Shooting foul by T. Burke (drawn by P. Millsap),,10-6,,
7:32.0,P. Millsap makes free throw 1 of 2,1,11-6,,
7:32.0,P. Millsap makes free throw 2 of 2,1,12-6,,
7:11.0,,,12-6,,D. Favors misses 2-pt shot from 2 ft (block by A. Horford)
7:09.0,Defensive rebound by D. Carroll,,12-6,,
7:03.0,J. Teague makes 3-pt shot from 25 ft (assist by D. Carroll),3,15-6,,
6:47.0,,,15-6,,T. Burke misses 3-pt shot from 24 ft
6:46.0,,,15-6,,Offensive rebound by P. Christopher
6:42.0,,,15-6,,P. Christopher misses 2-pt shot from 6 ft (block by A. Horford)
6:41.0,Defensive rebound by A. Horford,,15-6,,
6:33.0,K. Korver makes 2-pt shot from 19 ft (assist by D. Carroll),2,17-6,,
6:33.0,,,17-6,,Utah full timeout
6:33.0,,,17-6,,D. Exum enters the game for P. Christopher
6:33.0,,,17-6,,T. Booker enters the game for E. Kanter
6:23.0,,,17-6,,Shooting foul by K. Korver (drawn by G. Hayward)
6:23.0,,,17-7,1,G. Hayward makes free throw 1 of 2
6:23.0,T. Sefolosha enters the game for D. Carroll,,17-7,,
6:23.0,,,17-8,1,G. Hayward makes free throw 2 of 2
6:05.0,P. Millsap misses 2-pt shot from 4 ft,,17-8,,
6:04.0,Offensive rebound by A. Horford,,17-8,,
6:04.0,A. Horford makes 2-pt shot at rim,2,19-8,,
5:51.0,,,19-8,,T. Burke misses 3-pt shot from 24 ft
5:48.0,,,19-8,,Offensive rebound by T. Booker
5:48.0,,,19-8,,T. Booker misses 2-pt shot at rim
5:46.0,,,19-8,,Offensive rebound by T. Booker
5:42.0,,,19-8,,Turnover by T. Booker (bad pass; steal by T. Sefolosha)
5:39.0,Shooting foul by D. Exum (drawn by T. Sefolosha),,19-8,,
5:39.0,T. Sefolosha makes free throw 1 of 2,1,20-8,,
5:39.0,E. Brand enters the game for A. Horford,,20-8,,
5:39.0,T. Sefolosha makes free throw 2 of 2,1,21-8,,
5:24.0,,,21-8,,Turnover by D. Exum (bad pass; steal by T. Sefolosha)
5:09.0,P. Millsap misses 2-pt shot from 3 ft,,21-8,,
5:05.0,Offensive rebound by P. Millsap,,21-8,,
5:05.0,P. Millsap misses 2-pt shot from 1 ft,,21-8,,
5:04.0,Offensive rebound by E. Brand,,21-8,,
5:04.0,Atlanta full timeout,,21-8,,
4:56.0,K. Korver misses 3-pt shot from 25 ft,,21-8,,
4:54.0,Offensive rebound by P. Millsap,,21-8,,
4:47.0,E. Brand makes 2-pt shot from 1 ft (assist by P. Millsap),2,23-8,,
4:32.0,,,23-8,,G. Hayward misses 2-pt shot from 5 ft
4:29.0,,,23-8,,Offensive rebound by T. Booker
4:26.0,,,23-8,,T. Burke misses 2-pt shot from 10 ft
4:24.0,Defensive rebound by P. Millsap,,23-8,,
4:14.0,E. Brand makes 2-pt shot from 18 ft (assist by J. Teague),2,25-8,,
3:52.0,,,25-8,,Shooting foul by P. Millsap (drawn by D. Favors)
3:52.0,,,25-8,,D. Favors misses free throw 1 of 2
3:52.0,,,25-8,,Offensive rebound by Team
3:52.0,D. Schroder enters the game for J. Teague,,25-8,,
3:52.0,,,25-8,,R. Gobert enters the game for T. Booker
3:52.0,,,25-9,1,D. Favors makes free throw 2 of 2
3:41.0,P. Millsap makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,28-9,,
3:19.0,,,28-9,,D. Exum misses 3-pt shot from 24 ft
3:18.0,Defensive rebound by E. Brand,,28-9,,
3:11.0,Turnover by T. Sefolosha (lost ball; steal by D. Exum),,28-9,,
3:06.0,,,28-9,,Shooting foul by D. Schroder (drawn by T. Burke)
3:06.0,,,28-10,1,T. Burke makes free throw 1 of 2
3:06.0,,,28-10,,T. Booker enters the game for D. Favors
3:06.0,,,28-11,1,T. Burke makes free throw 2 of 2
2:52.0,P. Millsap misses 2-pt shot from 4 ft,,28-11,,
2:51.0,,,28-11,,Defensive rebound by T. Booker
2:34.0,,,28-11,,G. Hayward misses 2-pt shot from 19 ft
2:33.0,Defensive rebound by E. Brand,,28-11,,
2:16.0,D. Schroder misses 2-pt shot from 4 ft (block by R. Gobert),,28-11,,
2:13.0,,,28-11,,Defensive rebound by T. Booker
2:04.0,,,28-14,3,D. Exum makes 3-pt shot from 24 ft (assist by T. Burke)
1:46.0,T. Sefolosha misses 3-pt shot from 24 ft,,28-14,,
1:44.0,Offensive rebound by T. Sefolosha,,28-14,,
1:44.0,,,28-14,,J. Ingles enters the game for T. Burke
1:44.0,M. Scott enters the game for P. Millsap,,28-14,,
1:44.0,D. Carroll enters the game for K. Korver,,28-14,,
1:39.0,Atlanta full timeout,,28-14,,
1:29.0,E. Brand misses 2-pt shot from 17 ft,,28-14,,
1:27.0,,,28-14,,Defensive rebound by R. Gobert
1:06.0,,,28-17,3,T. Booker makes 3-pt shot from 24 ft
0:54.0,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder),3,31-17,,
