time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Jefferson (M. Williams gains possession),,,,Jump ball: B. Bass vs. A. Jefferson (M. Williams gains possession)
11:35.0,,,0-2,2,G. Henderson makes 2-pt shot from 19 ft
11:15.0,A. Bradley makes 2-pt shot from 18 ft (assist by E. Turner),2,2-2,,
11:08.0,Personal foul by M. Smart (drawn by G. Henderson),,2-2,,
10:50.0,,,2-2,,K. Walker misses 3-pt shot from 28 ft
10:49.0,Defensive rebound by T. Zeller,,2-2,,
10:38.0,T. Zeller makes 2-pt shot from 18 ft (assist by B. Bass),2,4-2,,
10:21.0,,,4-2,,J. Taylor misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by E. Turner,,4-2,,
10:08.0,,,4-2,,Violation by M. Williams (kicked ball)
9:57.0,E. Turner misses 2-pt shot from 12 ft,,4-2,,
9:56.0,,,4-2,,Defensive rebound by A. Jefferson
9:47.0,,,4-2,,G. Henderson misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by A. Bradley,,4-2,,
9:37.0,A. Bradley makes 2-pt shot from 19 ft,2,6-2,,
9:16.0,,,6-2,,J. Taylor misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by A. Bradley,,6-2,,
9:07.0,M. Smart makes 2-pt shot from 19 ft (assist by A. Bradley),2,8-2,,
8:58.0,Personal foul by A. Bradley (drawn by K. Walker),,8-2,,
8:47.0,,,8-2,,G. Henderson misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by T. Zeller,,8-2,,
8:35.0,T. Zeller makes 2-pt shot from 11 ft,2,10-2,,
8:35.0,,,10-2,,Charlotte full timeout
8:24.0,,,10-4,2,A. Jefferson makes 2-pt shot from 6 ft (assist by K. Walker)
8:10.0,Turnover by A. Bradley (bad pass; steal by K. Walker),,10-4,,
8:06.0,,,10-6,2,K. Walker makes 2-pt shot at rim
7:55.0,,,10-6,,Personal foul by M. Williams (drawn by T. Zeller)
7:51.0,A. Bradley makes 2-pt shot from 16 ft (assist by T. Zeller),2,12-6,,
7:51.0,Shooting foul by G. Henderson (drawn by A. Bradley),,12-6,,
7:51.0,A. Bradley makes free throw 1 of 1,1,13-6,,
7:34.0,,,13-6,,M. Williams misses 3-pt shot from 25 ft
7:32.0,,,13-6,,Offensive rebound by A. Jefferson
7:22.0,,,13-6,,Turnover by J. Taylor (lost ball; steal by E. Turner)
7:14.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,15-6,,
6:50.0,,,15-6,,A. Jefferson misses 2-pt shot from 2 ft
6:49.0,Defensive rebound by T. Zeller,,15-6,,
6:32.0,E. Turner makes 2-pt shot from 10 ft,2,17-6,,
6:09.0,,,17-8,2,A. Jefferson makes 2-pt shot from 15 ft (assist by K. Walker)
5:55.0,T. Zeller misses 2-pt shot from 16 ft,,17-8,,
5:54.0,,,17-8,,Defensive rebound by G. Henderson
5:45.0,,,17-8,,Shooting foul by T. Zeller (drawn by K. Walker)
5:45.0,,,17-9,1,K. Walker makes free throw 1 of 2
5:45.0,I. Thomas enters the game for M. Smart,,17-9,,
5:45.0,,,17-10,1,K. Walker makes free throw 2 of 2
5:32.0,A. Bradley misses 2-pt shot from 17 ft,,17-10,,
5:30.0,Offensive rebound by B. Bass,,17-10,,
5:24.0,A. Bradley misses 3-pt shot from 23 ft,,17-10,,
5:22.0,,,17-10,,Defensive rebound by J. Taylor
5:18.0,,,17-12,2,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker)
5:18.0,,,17-12,,Shooting foul by E. Turner (drawn by G. Henderson)
5:18.0,,,17-12,,J. Maxiell enters the game for M. Williams
5:18.0,J. Crowder enters the game for B. Bass,,17-12,,
5:18.0,,,17-13,1,G. Henderson makes free throw 1 of 1
5:00.0,E. Turner makes 2-pt shot from 17 ft,2,19-13,,
4:42.0,,,19-13,,Turnover by A. Jefferson (bad pass)
4:42.0,,,19-13,,P. Hairston enters the game for J. Taylor
4:27.0,I. Thomas misses 3-pt shot from 24 ft,,19-13,,
4:25.0,,,19-13,,Defensive rebound by J. Maxiell
4:07.0,,,19-13,,A. Jefferson misses 2-pt shot from 6 ft
4:05.0,,,19-13,,Offensive rebound by J. Maxiell
4:05.0,,,19-15,2,J. Maxiell makes 2-pt shot from 1 ft
3:49.0,J. Crowder makes 2-pt shot from 2 ft,2,21-15,,
3:36.0,,,21-17,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
3:23.0,J. Crowder makes 2-pt shot from 10 ft (assist by I. Thomas),2,23-17,,
3:13.0,,,23-17,,Shooting foul by I. Thomas (drawn by K. Walker)
3:13.0,,,23-18,1,K. Walker makes free throw 1 of 2
3:13.0,,,23-18,,M. Williams enters the game for G. Henderson
3:13.0,,,23-19,1,K. Walker makes free throw 2 of 2
3:01.0,J. Crowder misses 2-pt shot from 15 ft,,23-19,,
3:00.0,,,23-19,,Defensive rebound by A. Jefferson
2:54.0,,,23-19,,K. Walker misses 2-pt shot from 18 ft
2:51.0,Defensive rebound by T. Zeller,,23-19,,
2:38.0,I. Thomas misses 3-pt shot from 25 ft,,23-19,,
2:37.0,,,23-19,,Defensive rebound by P. Hairston
2:24.0,,,23-21,2,J. Maxiell makes 2-pt shot from 1 ft (assist by A. Jefferson)
2:24.0,Boston full timeout,,23-21,,
2:24.0,G. Wallace enters the game for E. Turner,,23-21,,
2:24.0,K. Olynyk enters the game for T. Zeller,,23-21,,
2:24.0,,,23-21,,B. Biyombo enters the game for A. Jefferson
2:10.0,Offensive foul by K. Olynyk,,23-21,,
2:10.0,Turnover by K. Olynyk (offensive foul),,23-21,,
1:51.0,,,23-23,2,J. Maxiell makes 2-pt shot from 1 ft (assist by K. Walker)
1:35.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,26-23,,
1:21.0,,,26-23,,M. Williams misses 2-pt shot from 17 ft
1:21.0,,,26-23,,Offensive rebound by Team
1:21.0,,,26-23,,Shooting foul by K. Olynyk (drawn by B. Biyombo)
1:21.0,,,26-23,,B. Biyombo misses free throw 1 of 2
1:21.0,,,26-23,,Offensive rebound by Team
1:21.0,,,26-24,1,B. Biyombo makes free throw 2 of 2
1:02.0,K. Olynyk misses 2-pt shot from 18 ft,,26-24,,
1:02.0,Offensive rebound by G. Wallace,,26-24,,
1:02.0,Shooting foul by B. Biyombo (drawn by G. Wallace),,26-24,,
1:02.0,G. Wallace misses free throw 1 of 2,,26-24,,
1:02.0,Offensive rebound by Team,,26-24,,
1:02.0,G. Wallace misses free throw 2 of 2,,26-24,,
1:00.0,,,26-24,,Defensive rebound by J. Maxiell
0:44.0,,,26-24,,K. Walker misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by G. Wallace,,26-24,,
0:34.0,I. Thomas misses 3-pt shot from 25 ft,,26-24,,
0:33.0,Offensive rebound by K. Olynyk,,26-24,,
0:29.0,A. Bradley misses 2-pt shot from 19 ft,,26-24,,
0:28.0,,,26-24,,Defensive rebound by B. Biyombo
0:07.0,,,26-24,,P. Hairston misses 3-pt shot from 27 ft
0:04.0,,,26-24,,Offensive rebound by J. Maxiell
0:02.0,,,26-24,,J. Maxiell misses 2-pt shot from 14 ft
0:01.0,,,26-24,,Offensive rebound by M. Williams
0:00.0,,,26-24,,M. Williams misses 2-pt shot from 20 ft
0:00.0,,,26-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Crowder misses 3-pt shot from 24 ft,,26-24,,
11:45.0,,,26-24,,Defensive rebound by B. Biyombo
11:19.0,,,26-26,2,G. Henderson makes 2-pt shot from 16 ft
11:03.0,I. Thomas misses 2-pt shot from 1 ft (block by B. Biyombo),,26-26,,
11:02.0,,,26-26,,Defensive rebound by P. Hairston
10:55.0,,,26-29,3,M. Williams makes 3-pt shot from 24 ft
10:41.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,29-29,,
10:24.0,,,29-29,,J. Maxiell misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by J. Jerebko,,29-29,,
10:15.0,Shooting foul by P. Hairston (drawn by J. Jerebko),,29-29,,
10:15.0,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas),2,31-29,,
10:15.0,M. Smart enters the game for J. Crowder,,31-29,,
10:15.0,J. Jerebko makes free throw 1 of 1,1,32-29,,
9:57.0,,,32-31,2,G. Henderson makes 2-pt shot from 16 ft (assist by J. Maxiell)
9:44.0,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas),3,35-31,,
9:28.0,,,35-33,2,P. Hairston makes 2-pt shot from 20 ft
9:07.0,K. Olynyk misses 3-pt shot from 25 ft,,35-33,,
9:06.0,Offensive rebound by G. Wallace,,35-33,,
8:59.0,M. Smart makes 3-pt shot from 27 ft (assist by I. Thomas),3,38-33,,
8:41.0,,,38-33,,G. Henderson misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by K. Olynyk,,38-33,,
8:33.0,M. Smart misses 3-pt shot from 25 ft,,38-33,,
8:31.0,,,38-33,,Defensive rebound by B. Biyombo
8:20.0,,,38-35,2,M. Williams makes 2-pt shot from 19 ft
7:57.0,K. Olynyk makes 2-pt shot from 11 ft (assist by M. Smart),2,40-35,,
7:37.0,,,40-37,2,B. Biyombo makes 2-pt shot at rim (assist by J. Maxiell)
7:11.0,J. Jerebko misses 3-pt shot from 23 ft,,40-37,,
7:09.0,Offensive rebound by M. Smart,,40-37,,
7:07.0,M. Smart makes 2-pt shot from 1 ft,2,42-37,,
6:57.0,,,42-37,,Charlotte full timeout
6:57.0,A. Bradley enters the game for I. Thomas,,42-37,,
6:57.0,,,42-37,,A. Jefferson enters the game for J. Maxiell
