time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (K. Irving gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (K. Irving gains possession)
11:44.0,,,0-0,,K. Love misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by R. Butler,,0-0,,
11:27.0,R. Butler makes 3-pt shot from 24 ft (assist by R. Sessions),3,3-0,,
11:12.0,,,3-0,,K. Irving misses 2-pt shot at rim
11:09.0,Defensive rebound by R. Sessions,,3-0,,
11:03.0,O. Porter misses 2-pt shot from 14 ft,,3-0,,
11:02.0,,,3-0,,Defensive rebound by M. Miller
10:44.0,,,3-0,,J. Smith misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by K. Humphries,,3-0,,
10:35.0,M. Gortat misses 2-pt shot at rim,,3-0,,
10:34.0,,,3-0,,Defensive rebound by T. Mozgov
10:24.0,,,3-0,,K. Love misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by M. Gortat,,3-0,,
10:14.0,K. Humphries makes 2-pt shot from 18 ft (assist by R. Sessions),2,5-0,,
9:53.0,,,5-2,2,T. Mozgov makes 2-pt shot at rim (assist by J. Smith)
9:38.0,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat),2,7-2,,
9:20.0,,,7-4,2,K. Irving makes 2-pt shot from 19 ft
9:07.0,R. Butler misses 2-pt shot from 16 ft,,7-4,,
9:07.0,Offensive rebound by K. Humphries,,7-4,,
8:55.0,M. Gortat misses 2-pt shot from 11 ft,,7-4,,
8:54.0,,,7-4,,Defensive rebound by K. Love
8:40.0,,,7-4,,Turnover by K. Irving (bad pass; steal by R. Butler)
8:34.0,R. Butler misses 2-pt shot at rim,,7-4,,
8:32.0,Offensive rebound by K. Humphries,,7-4,,
8:32.0,K. Humphries makes 2-pt shot at rim,2,9-4,,
8:16.0,,,9-4,,J. Smith misses 2-pt shot from 1 ft (block by O. Porter)
8:15.0,,,9-4,,Offensive rebound by Team
8:11.0,,,9-6,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
