time,Brooklyn,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. N. Vucevic (K. Garnett gains possession),,,,Jump ball: M. Plumlee vs. N. Vucevic (K. Garnett gains possession)
11:42.0,Turnover by J. Jack (bad pass; steal by E. Payton),,0-0,,
11:33.0,,,0-0,,N. Vucevic misses 2-pt shot from 2 ft
11:32.0,,,0-0,,Offensive rebound by N. Vucevic
11:32.0,,,0-2,2,N. Vucevic makes 2-pt shot from 2 ft
11:07.0,Turnover by J. Jack (lost ball; steal by E. Payton),,0-2,,
11:02.0,,,0-4,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
10:45.0,Turnover by K. Garnett (back court),,0-4,,
10:21.0,,,0-4,,E. Payton misses 2-pt shot from 13 ft
10:20.0,,,0-4,,Offensive rebound by N. Vucevic
10:20.0,,,0-4,,N. Vucevic misses 2-pt shot from 2 ft
10:18.0,,,0-4,,Offensive rebound by E. Payton
10:13.0,,,0-4,,E. Payton misses 2-pt shot at rim
10:11.0,Defensive rebound by K. Garnett,,0-4,,
10:03.0,Turnover by M. Plumlee (lost ball; steal by N. Vucevic),,0-4,,
9:51.0,,,0-4,,Shooting foul by M. Plumlee (drawn by N. Vucevic)
9:51.0,,,0-4,,N. Vucevic misses free throw 1 of 2
9:51.0,,,0-4,,Offensive rebound by Team
9:51.0,,,0-5,1,N. Vucevic makes free throw 2 of 2
9:39.0,K. Garnett makes 2-pt shot from 20 ft (assist by J. Johnson),2,2-5,,
9:17.0,,,2-5,,K. O'Quinn misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by M. Plumlee,,2-5,,
9:00.0,J. Jack makes 2-pt shot from 19 ft,2,4-5,,
8:50.0,,,4-5,,Orlando full timeout
8:25.0,,,4-7,2,N. Vucevic makes 2-pt shot from 15 ft (assist by K. O'Quinn)
8:05.0,J. Johnson makes 2-pt shot from 15 ft (assist by S. Karasev),2,6-7,,
7:56.0,,,6-7,,Turnover by K. O'Quinn (bad pass)
7:45.0,K. Garnett makes 2-pt shot from 18 ft (assist by J. Johnson),2,8-7,,
7:28.0,,,8-7,,K. O'Quinn misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by K. Garnett,,8-7,,
7:17.0,K. Garnett misses 2-pt shot from 20 ft,,8-7,,
7:16.0,,,8-7,,Defensive rebound by V. Oladipo
7:11.0,,,8-9,2,V. Oladipo makes 2-pt shot from 2 ft
6:47.0,S. Karasev makes 2-pt shot from 15 ft (assist by K. Garnett),2,10-9,,
6:32.0,,,10-9,,Shooting foul by M. Plumlee (drawn by T. Harris)
6:32.0,,,10-10,1,T. Harris makes free throw 1 of 2
6:32.0,B. Lopez enters the game for K. Garnett,,10-10,,
6:32.0,,,10-11,1,T. Harris makes free throw 2 of 2
6:13.0,Turnover by J. Jack (bad pass; steal by V. Oladipo),,10-11,,
6:03.0,,,10-13,2,T. Harris makes 2-pt shot from 2 ft (assist by V. Oladipo)
5:59.0,Brooklyn full timeout,,10-13,,
5:59.0,M. Teletovic enters the game for M. Plumlee,,10-13,,
5:41.0,J. Johnson misses 3-pt shot from 26 ft,,10-13,,
5:40.0,Offensive rebound by B. Lopez,,10-13,,
5:37.0,B. Lopez makes 2-pt shot from 4 ft,2,12-13,,
5:19.0,,,12-13,,V. Oladipo misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by S. Karasev,,12-13,,
5:08.0,S. Karasev makes 3-pt shot from 23 ft (assist by J. Jack),3,15-13,,
4:47.0,,,15-15,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
4:27.0,J. Johnson misses 3-pt shot from 23 ft,,15-15,,
4:26.0,,,15-15,,Defensive rebound by V. Oladipo
4:17.0,,,15-18,3,T. Harris makes 3-pt shot from 22 ft (assist by E. Payton)
4:02.0,Turnover by S. Karasev (bad pass),,15-18,,
4:02.0,,,15-18,,C. Frye enters the game for K. O'Quinn
4:02.0,,,15-18,,E. Fournier enters the game for E. Payton
3:44.0,,,15-18,,N. Vucevic misses 2-pt shot from 1 ft
3:43.0,Defensive rebound by J. Jack,,15-18,,
3:35.0,J. Jack makes 2-pt shot from 16 ft,2,17-18,,
3:21.0,,,17-18,,E. Fournier misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by J. Jack,,17-18,,
3:14.0,Turnover by J. Johnson (bad pass; steal by T. Harris),,17-18,,
3:05.0,,,17-18,,Offensive foul by V. Oladipo
3:05.0,,,17-18,,Turnover by V. Oladipo (offensive foul)
2:44.0,J. Jack misses 2-pt shot from 19 ft,,17-18,,
2:43.0,,,17-18,,Defensive rebound by N. Vucevic
2:36.0,,,17-18,,Orlando full timeout
2:36.0,,,17-18,,D. Dedmon enters the game for N. Vucevic
2:36.0,,,17-18,,B. Gordon enters the game for V. Oladipo
2:36.0,D. Williams enters the game for J. Johnson,,17-18,,
2:36.0,A. Anderson enters the game for J. Jack,,17-18,,
2:36.0,,,17-18,,D. Marble enters the game for T. Harris
2:24.0,,,17-21,3,C. Frye makes 3-pt shot from 26 ft (assist by E. Fournier)
2:09.0,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams),2,19-21,,
1:55.0,,,19-21,,D. Marble misses 2-pt shot from 14 ft
1:53.0,Defensive rebound by B. Lopez,,19-21,,
1:50.0,,,19-21,,Personal foul by B. Gordon (drawn by D. Williams)
1:40.0,S. Karasev misses 2-pt shot from 17 ft,,19-21,,
1:39.0,Offensive rebound by B. Lopez,,19-21,,
1:34.0,M. Teletovic makes 2-pt shot from 10 ft (assist by S. Karasev),2,21-21,,
1:15.0,,,21-23,2,E. Fournier makes 2-pt shot from 1 ft (assist by D. Dedmon)
1:00.0,,,21-23,,Personal foul by D. Dedmon (drawn by B. Lopez)
1:00.0,B. Lopez misses free throw 1 of 2,,21-23,,
1:00.0,Offensive rebound by Team,,21-23,,
1:00.0,B. Lopez makes free throw 2 of 2,1,22-23,,
0:37.0,,,22-23,,B. Gordon misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by S. Karasev,,22-23,,
0:22.0,D. Williams misses 2-pt shot from 17 ft,,22-23,,
0:21.0,,,22-23,,Defensive rebound by D. Marble
0:07.0,Personal take foul by D. Williams (drawn by B. Gordon),,22-23,,
0:03.0,,,22-23,,E. Fournier misses 2-pt shot from 2 ft (block by B. Lopez)
0:02.0,,,22-23,,Offensive rebound by Team
0:00.0,,,22-25,2,C. Frye makes 2-pt shot from 20 ft (assist by E. Fournier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-25,,D. Dedmon misses 2-pt shot from 2 ft (block by B. Lopez)
11:36.0,Defensive rebound by B. Lopez,,22-25,,
11:23.0,B. Lopez makes 2-pt shot at rim (assist by M. Teletovic),2,24-25,,
11:01.0,,,24-25,,T. Harris misses 2-pt shot from 9 ft
10:59.0,Defensive rebound by M. Teletovic,,24-25,,
10:48.0,Turnover by D. Williams (bad pass; steal by B. Gordon),,24-25,,
10:44.0,,,24-25,,Shooting foul by M. Teletovic (drawn by B. Gordon)
10:44.0,,,24-26,1,B. Gordon makes free throw 1 of 2
10:44.0,,,24-26,,B. Gordon misses free throw 2 of 2
10:44.0,,,24-26,,Offensive rebound by D. Dedmon
