time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Davis (S. Curry gains possession)
11:42.0,A. Bogut misses 2-pt shot from 6 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by A. Davis
11:23.0,,,0-2,2,A. Davis makes 2-pt shot from 6 ft
11:12.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,3-2,,
10:57.0,,,3-5,3,E. Gordon makes 3-pt shot from 27 ft (assist by A. Davis)
10:38.0,Turnover by A. Bogut (bad pass; steal by T. Evans),,3-5,,
10:23.0,,,3-5,,T. Evans misses 3-pt shot from 25 ft
10:22.0,,,3-5,,Offensive rebound by A. Davis
10:07.0,,,3-7,2,A. Davis makes 2-pt shot from 15 ft (assist by Q. Pondexter)
9:44.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Thompson),3,6-7,,
9:27.0,,,6-7,,E. Gordon misses 3-pt shot from 26 ft
9:25.0,,,6-7,,Offensive rebound by O. Asik
9:19.0,,,6-7,,E. Gordon misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by H. Barnes,,6-7,,
9:12.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,9-7,,
8:51.0,,,9-9,2,A. Davis makes 2-pt shot from 17 ft (assist by O. Asik)
8:43.0,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry),2,11-9,,
8:25.0,,,11-9,,A. Davis misses 2-pt shot from 16 ft
8:24.0,,,11-9,,Offensive rebound by O. Asik
8:21.0,,,11-9,,O. Asik misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by A. Bogut,,11-9,,
8:11.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Bogut),3,14-9,,
7:51.0,,,14-9,,E. Gordon misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by D. Green,,14-9,,
7:44.0,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green),3,17-9,,
7:30.0,Personal foul by D. Green (drawn by A. Davis),,17-9,,
7:21.0,,,17-9,,A. Davis misses 2-pt shot from 14 ft
7:18.0,Defensive rebound by D. Green,,17-9,,
7:18.0,Golden State full timeout,,17-9,,
6:58.0,D. Green misses 2-pt shot from 8 ft,,17-9,,
6:56.0,Offensive rebound by A. Bogut,,17-9,,
6:51.0,S. Curry misses 2-pt shot from 21 ft,,17-9,,
6:50.0,,,17-9,,Defensive rebound by Q. Pondexter
6:29.0,,,17-9,,Shooting foul by D. Green (drawn by A. Davis)
6:29.0,,,17-9,,A. Davis misses free throw 1 of 2
6:29.0,,,17-9,,Offensive rebound by Team
6:29.0,A. Iguodala enters the game for D. Green,,17-9,,
6:29.0,,,17-10,1,A. Davis makes free throw 2 of 2
6:07.0,K. Thompson misses 3-pt shot from 25 ft,,17-10,,
6:06.0,,,17-10,,Defensive rebound by T. Evans
5:54.0,,,17-10,,T. Evans misses 2-pt shot from 2 ft (block by H. Barnes)
5:52.0,Defensive rebound by A. Bogut,,17-10,,
5:46.0,S. Curry misses 3-pt shot from 25 ft,,17-10,,
5:45.0,,,17-10,,Defensive rebound by E. Gordon
5:36.0,,,17-12,2,A. Davis makes 2-pt shot from 13 ft (assist by E. Gordon)
5:26.0,S. Curry makes 2-pt shot from 2 ft,2,19-12,,
5:04.0,,,19-12,,A. Davis misses 2-pt shot from 17 ft
5:02.0,Defensive rebound by A. Bogut,,19-12,,
4:51.0,Turnover by S. Curry (bad pass; steal by T. Evans),,19-12,,
4:47.0,,,19-14,2,T. Evans makes 2-pt shot at rim
4:25.0,A. Bogut makes 2-pt shot from 2 ft (assist by S. Curry),2,21-14,,
4:12.0,,,21-14,,Offensive charge foul by A. Davis
4:12.0,,,21-14,,Turnover by A. Davis (offensive foul)
4:12.0,,,21-14,,R. Anderson enters the game for O. Asik
4:12.0,L. Barbosa enters the game for K. Thompson,,21-14,,
3:53.0,A. Bogut misses 2-pt shot from 8 ft,,21-14,,
3:52.0,,,21-14,,Defensive rebound by T. Evans
3:48.0,,,21-16,2,T. Evans makes 2-pt shot from 2 ft
3:48.0,,,21-16,,Shooting foul by H. Barnes (drawn by T. Evans)
