time,New Orleans,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Lopez (Q. Pondexter gains possession),,,,Jump ball: A. Davis vs. B. Lopez (Q. Pondexter gains possession)
11:40.0,A. Davis makes 2-pt shot from 20 ft (assist by E. Gordon),2,2-0,,
11:16.0,,,2-2,2,T. Young makes 2-pt shot from 2 ft
10:55.0,N. Cole misses 2-pt shot from 20 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by M. Brown
10:45.0,,,2-5,3,T. Young makes 3-pt shot from 24 ft (assist by D. Williams)
10:25.0,E. Gordon misses 3-pt shot from 24 ft,,2-5,,
10:24.0,,,2-5,,Defensive rebound by B. Lopez
10:18.0,,,2-7,2,T. Young makes 2-pt shot from 1 ft
9:58.0,E. Gordon misses 2-pt shot from 20 ft,,2-7,,
9:57.0,,,2-7,,Defensive rebound by B. Lopez
9:49.0,,,2-7,,T. Young misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by O. Asik,,2-7,,
9:34.0,N. Cole misses 2-pt shot from 5 ft (block by B. Lopez),,2-7,,
9:32.0,,,2-7,,Defensive rebound by J. Johnson
9:22.0,,,2-7,,D. Williams misses 3-pt shot from 25 ft
9:21.0,,,2-7,,Offensive rebound by B. Lopez
9:16.0,,,2-7,,D. Williams misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by O. Asik,,2-7,,
9:07.0,E. Gordon misses 2-pt shot from 1 ft (block by D. Williams),,2-7,,
9:05.0,,,2-7,,Defensive rebound by J. Johnson
8:55.0,,,2-9,2,J. Johnson makes 2-pt shot from 5 ft
8:55.0,New Orleans full timeout,,2-9,,
8:39.0,Turnover by N. Cole (lost ball; steal by D. Williams),,2-9,,
8:27.0,,,2-9,,J. Johnson misses 2-pt shot from 5 ft
8:26.0,Defensive rebound by Team,,2-9,,
8:12.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,4-9,,
7:55.0,,,4-11,2,B. Lopez makes 2-pt shot from 8 ft (assist by D. Williams)
7:40.0,A. Davis misses 2-pt shot from 19 ft,,4-11,,
7:39.0,,,4-11,,Defensive rebound by J. Johnson
7:36.0,,,4-11,,Shooting foul by A. Davis (drawn by T. Young)
7:36.0,,,4-11,,T. Young misses free throw 1 of 2
7:36.0,,,4-11,,Offensive rebound by Team
7:36.0,,,4-12,1,T. Young makes free throw 2 of 2
7:18.0,E. Gordon misses 3-pt shot from 25 ft,,4-12,,
7:17.0,,,4-12,,Defensive rebound by M. Brown
7:02.0,,,4-12,,Turnover by T. Young (bad pass; steal by O. Asik)
6:55.0,Q. Pondexter misses 3-pt shot from 23 ft,,4-12,,
6:54.0,,,4-12,,Defensive rebound by T. Young
6:32.0,,,4-14,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Johnson)
6:11.0,Q. Pondexter misses 2-pt shot from 19 ft,,4-14,,
6:10.0,,,4-14,,Defensive rebound by D. Williams
5:55.0,,,4-17,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
5:39.0,N. Cole makes 2-pt shot from 20 ft (assist by A. Davis),2,6-17,,
5:27.0,,,6-17,,Turnover by J. Johnson (bad pass; steal by N. Cole)
5:23.0,N. Cole makes 2-pt shot from 1 ft,2,8-17,,
5:05.0,,,8-17,,Shooting foul by N. Cole (drawn by D. Williams)
5:05.0,,,8-18,1,D. Williams makes free throw 1 of 2
5:05.0,D. Cunningham enters the game for Q. Pondexter,,8-18,,
