time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. M. Plumlee (J. Teague gains possession),,,,Jump ball: A. Horford vs. M. Plumlee (J. Teague gains possession)
11:40.0,,,0-0,,A. Horford misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by M. Plumlee,,0-0,,
11:22.0,M. Plumlee makes 2-pt shot from 2 ft (assist by A. Anderson),2,2-0,,
11:15.0,,,2-0,,J. Teague misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by K. Garnett,,2-0,,
11:08.0,J. Jack misses 2-pt shot from 17 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by D. Carroll
10:49.0,,,2-3,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
10:27.0,J. Johnson makes 3-pt shot from 22 ft (assist by J. Jack),3,5-3,,
10:20.0,Personal foul by M. Plumlee (drawn by J. Teague),,5-3,,
10:07.0,,,5-3,,Turnover by P. Millsap (bad pass; steal by J. Jack)
10:02.0,J. Johnson misses 3-pt shot from 24 ft,,5-3,,
9:58.0,Offensive rebound by Team,,5-3,,
9:44.0,J. Johnson makes 2-pt shot from 9 ft,2,7-3,,
9:25.0,,,7-3,,Turnover by J. Teague (bad pass; steal by A. Anderson)
9:18.0,J. Jack makes 2-pt shot from 16 ft (assist by A. Anderson),2,9-3,,
9:02.0,,,9-3,,Shooting foul by K. Garnett (drawn by P. Millsap)
9:02.0,,,9-4,1,P. Millsap makes free throw 1 of 2
9:02.0,,,9-5,1,P. Millsap makes free throw 2 of 2
8:50.0,K. Garnett makes 2-pt shot from 18 ft,2,11-5,,
8:29.0,,,11-5,,Turnover by A. Horford (step out of bounds)
8:20.0,Shooting foul by D. Carroll (drawn by M. Plumlee),,11-5,,
8:20.0,M. Plumlee makes 2-pt shot at rim (assist by A. Anderson),2,13-5,,
8:20.0,,,13-5,,Atlanta full timeout
8:20.0,M. Plumlee misses free throw 1 of 1,,13-5,,
8:19.0,,,13-5,,Defensive rebound by P. Millsap
8:06.0,,,13-5,,Turnover by D. Carroll (bad pass; steal by J. Johnson)
7:58.0,Turnover by K. Garnett (bad pass; steal by K. Korver),,13-5,,
7:54.0,,,13-7,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Korver)
7:37.0,M. Plumlee misses 2-pt shot at rim,,13-7,,
7:36.0,,,13-7,,Defensive rebound by P. Millsap
7:22.0,,,13-9,2,A. Horford makes 2-pt shot from 11 ft (assist by D. Carroll)
7:10.0,J. Johnson makes 2-pt shot from 18 ft (assist by J. Jack),2,15-9,,
6:53.0,,,15-9,,Turnover by A. Horford (bad pass; steal by K. Garnett)
6:47.0,Turnover by M. Plumlee (lost ball),,15-9,,
6:32.0,,,15-9,,J. Teague misses 2-pt shot from 3 ft
6:30.0,,,15-9,,Offensive rebound by P. Millsap
6:17.0,,,15-11,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
6:03.0,J. Jack misses 2-pt shot from 12 ft,,15-11,,
6:01.0,,,15-11,,Defensive rebound by P. Millsap
5:54.0,,,15-11,,Turnover by J. Teague (bad pass; steal by J. Jack)
5:35.0,A. Anderson makes 2-pt shot at rim (assist by J. Jack),2,17-11,,
5:24.0,,,17-13,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
5:03.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,19-13,,
4:50.0,,,19-13,,Atlanta full timeout
4:50.0,,,19-13,,P. Antic enters the game for A. Horford
4:50.0,,,19-13,,D. Schroder enters the game for J. Teague
4:50.0,,,19-13,,T. Sefolosha enters the game for K. Korver
4:38.0,,,19-13,,P. Antic misses 2-pt shot from 2 ft
4:37.0,,,19-13,,Offensive rebound by P. Antic
4:36.0,,,19-13,,P. Antic misses 2-pt shot at rim (block by M. Plumlee)
4:34.0,Defensive rebound by J. Jack,,19-13,,
4:30.0,J. Jack makes 2-pt shot from 4 ft,2,21-13,,
4:13.0,Violation by M. Plumlee (def goaltending),,21-13,,
4:13.0,,,21-15,2,D. Schroder makes 2-pt shot at rim
3:49.0,J. Jack misses 2-pt shot from 18 ft,,21-15,,
3:48.0,,,21-15,,Defensive rebound by P. Millsap
3:32.0,,,21-17,2,P. Millsap makes 2-pt shot from 2 ft
3:10.0,M. Plumlee misses 2-pt shot from 2 ft,,21-17,,
3:09.0,,,21-17,,Defensive rebound by P. Antic
3:03.0,,,21-17,,Shooting foul by M. Plumlee (drawn by D. Schroder)
3:03.0,,,21-18,1,D. Schroder makes free throw 1 of 2
3:03.0,B. Bogdanovic enters the game for A. Anderson,,21-18,,
3:03.0,B. Lopez enters the game for M. Plumlee,,21-18,,
3:03.0,,,21-19,1,D. Schroder makes free throw 2 of 2
2:50.0,Turnover by J. Johnson (traveling),,21-19,,
2:50.0,Brooklyn full timeout,,21-19,,
2:36.0,,,21-19,,P. Millsap misses 2-pt shot from 18 ft
2:33.0,,,21-19,,Offensive rebound by P. Millsap
2:27.0,,,21-19,,Offensive charge foul by D. Schroder
2:27.0,,,21-19,,Turnover by D. Schroder (offensive foul)
2:06.0,J. Johnson makes 2-pt shot from 1 ft (assist by K. Garnett),2,23-19,,
1:55.0,,,23-19,,Shooting foul by J. Jack (drawn by D. Carroll)
1:55.0,,,23-20,1,D. Carroll makes free throw 1 of 2
1:55.0,,,23-20,,M. Scott enters the game for P. Millsap
1:55.0,,,23-21,1,D. Carroll makes free throw 2 of 2
1:35.0,Turnover by J. Johnson (lost ball; steal by T. Sefolosha),,23-21,,
1:26.0,,,23-24,3,D. Schroder makes 3-pt shot from 24 ft (assist by P. Antic)
1:14.0,,,23-24,,Personal foul by P. Antic (drawn by B. Lopez)
1:14.0,,,23-24,,K. Korver enters the game for D. Carroll
1:14.0,C. Jefferson enters the game for K. Garnett,,23-24,,
1:00.0,B. Lopez misses 2-pt shot from 12 ft,,23-24,,
1:00.0,Offensive rebound by Team,,23-24,,
1:00.0,Turnover by Team (shot clock),,23-24,,
1:00.0,,,23-24,,A. Horford enters the game for P. Antic
0:55.0,,,23-27,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder)
