time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,J. Harden misses 3-pt shot from 25 ft
12:00.0,Jump ball: K. Faried vs. T. Jones (T. Ariza gains possession),,,,Jump ball: K. Faried vs. T. Jones (T. Ariza gains possession)
11:41.0,Defensive rebound by K. Faried,,0-0,,
11:22.0,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson),3,3-0,,
11:05.0,,,3-2,2,T. Jones makes 2-pt shot from 1 ft (assist by D. Motiejunas)
10:39.0,K. Faried misses 2-pt shot from 8 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by D. Motiejunas
10:31.0,,,3-2,,Shooting foul by K. Faried (drawn by T. Jones)
10:31.0,,,3-3,1,T. Jones makes free throw 1 of 2
10:31.0,,,3-4,1,T. Jones makes free throw 2 of 2
10:18.0,D. Gallinari misses 3-pt shot from 24 ft,,3-4,,
10:17.0,,,3-4,,Defensive rebound by J. Harden
10:13.0,,,3-4,,Turnover by J. Harden (bad pass; steal by D. Gallinari)
10:07.0,D. Gallinari makes 2-pt shot from 1 ft (assist by W. Chandler),2,5-4,,
9:52.0,,,5-4,,T. Ariza misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by W. Chandler,,5-4,,
9:46.0,,,5-4,,Personal foul by D. Motiejunas (drawn by K. Faried)
9:41.0,T. Lawson misses 3-pt shot from 25 ft,,5-4,,
9:40.0,,,5-4,,Defensive rebound by J. Harden
9:28.0,,,5-6,2,T. Jones makes 2-pt shot at rim (assist by T. Ariza)
9:18.0,T. Lawson makes 2-pt shot from 2 ft,2,7-6,,
9:08.0,,,7-6,,T. Jones misses 2-pt shot from 6 ft
9:06.0,Defensive rebound by K. Faried,,7-6,,
8:57.0,,,7-6,,Personal foul by T. Ariza (drawn by W. Chandler)
8:48.0,W. Chandler makes 2-pt shot from 1 ft,2,9-6,,
8:41.0,,,9-8,2,T. Ariza makes 2-pt shot from 1 ft
8:33.0,,,9-8,,Personal foul by J. Harden (drawn by T. Lawson)
8:26.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,11-8,,
8:11.0,Personal foul by W. Chandler (drawn by T. Ariza),,11-8,,
8:05.0,,,11-11,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
8:03.0,,,11-11,,Violation by Team (delay of game)
7:45.0,W. Chandler misses 3-pt shot from 23 ft,,11-11,,
7:44.0,,,11-11,,Defensive rebound by J. Harden
7:38.0,,,11-14,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
7:13.0,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson),2,13-14,,
7:02.0,,,13-16,2,J. Harden makes 2-pt shot from 3 ft
7:02.0,,,13-16,,Shooting foul by D. Gallinari (drawn by J. Harden)
7:02.0,,,13-17,1,J. Harden makes free throw 1 of 1
6:55.0,T. Lawson misses 3-pt shot from 25 ft,,13-17,,
6:53.0,,,13-17,,Defensive rebound by T. Jones
6:43.0,,,13-17,,D. Motiejunas misses 2-pt shot from 6 ft
6:41.0,Defensive rebound by K. Faried,,13-17,,
6:28.0,W. Chandler makes 2-pt shot from 4 ft,2,15-17,,
6:12.0,,,15-17,,J. Harden misses 2-pt shot from 13 ft
6:09.0,,,15-17,,Offensive rebound by T. Jones
6:05.0,,,15-19,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden)
5:47.0,D. Gallinari makes 2-pt shot from 19 ft (assist by T. Lawson),2,17-19,,
