time,Detroit,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession)
11:44.0,Turnover by G. Monroe (bad pass; steal by J. Wall),,0-0,,
11:38.0,,,0-3,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
11:14.0,G. Monroe makes 2-pt shot from 10 ft,2,2-3,,
10:56.0,,,2-5,2,N. Hilario makes 2-pt shot from 14 ft (assist by B. Beal)
10:37.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,2-5,,
10:36.0,,,2-5,,Defensive rebound by M. Gortat
10:25.0,,,2-7,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
10:12.0,T. Prince makes 2-pt shot from 20 ft (assist by R. Jackson),2,4-7,,
9:58.0,Personal foul by G. Monroe (drawn by N. Hilario),,4-7,,
9:48.0,,,4-9,2,M. Gortat makes 2-pt shot from 1 ft (assist by N. Hilario)
9:37.0,R. Jackson misses 2-pt shot from 20 ft,,4-9,,
9:36.0,,,4-9,,Defensive rebound by P. Pierce
9:29.0,,,4-12,3,P. Pierce makes 3-pt shot from 27 ft (assist by J. Wall)
9:21.0,Detroit full timeout,,4-12,,
9:00.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,7-12,,
8:43.0,,,7-12,,P. Pierce misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by K. Caldwell-Pope,,7-12,,
8:30.0,Turnover by K. Caldwell-Pope (lost ball; steal by B. Beal),,7-12,,
8:23.0,,,7-12,,J. Wall misses 2-pt shot from 3 ft (block by A. Drummond)
8:22.0,Defensive rebound by R. Jackson,,7-12,,
8:18.0,T. Prince makes 2-pt shot from 1 ft (assist by R. Jackson),2,9-12,,
8:18.0,Shooting foul by P. Pierce (drawn by T. Prince),,9-12,,
8:18.0,T. Prince misses free throw 1 of 1,,9-12,,
8:16.0,,,9-12,,Defensive rebound by M. Gortat
8:02.0,,,9-14,2,N. Hilario makes 2-pt shot at rim
