time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. C. Zeller (D. West gains possession),,,,Jump ball: R. Hibbert vs. C. Zeller (D. West gains possession)
11:38.0,G. Hill makes 2-pt shot from 1 ft,2,2-0,,
11:20.0,,,2-0,,A. Jefferson misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by R. Hibbert,,2-0,,
10:58.0,G. Hill misses 2-pt shot from 2 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by A. Jefferson
10:43.0,,,2-0,,G. Henderson misses 2-pt shot from 11 ft
10:42.0,Defensive rebound by C. Miles,,2-0,,
10:25.0,R. Hibbert misses 2-pt shot from 15 ft,,2-0,,
10:24.0,Offensive rebound by D. West,,2-0,,
10:21.0,D. West makes 2-pt shot at rim,2,4-0,,
9:56.0,,,4-2,2,A. Jefferson makes 2-pt shot from 4 ft (assist by B. Roberts)
9:40.0,C. Miles misses 3-pt shot from 28 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by B. Roberts
9:27.0,,,4-4,2,G. Henderson makes 2-pt shot at rim (assist by C. Zeller)
9:13.0,R. Stuckey makes 2-pt shot from 15 ft,2,6-4,,
8:57.0,,,6-6,2,A. Jefferson makes 2-pt shot from 1 ft
8:37.0,R. Stuckey makes 2-pt shot from 2 ft (assist by D. West),2,8-6,,
8:13.0,,,8-8,2,A. Jefferson makes 2-pt shot from 15 ft
7:50.0,R. Hibbert makes 2-pt shot from 8 ft,2,10-8,,
7:27.0,,,10-10,2,A. Jefferson makes 2-pt shot from 5 ft
7:15.0,,,10-10,,Personal foul by A. Jefferson (drawn by R. Hibbert)
7:04.0,D. West misses 2-pt shot from 1 ft,,10-10,,
7:03.0,,,10-10,,Defensive rebound by A. Jefferson
6:51.0,,,10-12,2,C. Zeller makes 2-pt shot at rim (assist by G. Henderson)
6:29.0,D. West makes 2-pt shot from 17 ft (assist by R. Stuckey),2,12-12,,
6:11.0,,,12-12,,A. Jefferson misses 2-pt shot from 6 ft (block by D. West)
6:11.0,,,12-12,,Offensive rebound by Team
6:01.0,,,12-12,,C. Zeller misses 2-pt shot from 7 ft
6:00.0,,,12-12,,Offensive rebound by G. Henderson
5:55.0,,,12-15,3,B. Roberts makes 3-pt shot from 24 ft (assist by G. Henderson)
5:32.0,D. West misses 2-pt shot from 17 ft,,12-15,,
5:31.0,,,12-15,,Defensive rebound by J. Taylor
5:19.0,,,12-18,3,B. Roberts makes 3-pt shot from 22 ft (assist by G. Henderson)
5:19.0,Indiana full timeout,,12-18,,
5:07.0,R. Hibbert misses 2-pt shot from 6 ft,,12-18,,
5:06.0,,,12-18,,Defensive rebound by G. Henderson
4:53.0,,,12-18,,J. Taylor misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by Team,,12-18,,
4:50.0,S. Hill enters the game for C. Miles,,12-18,,
4:50.0,C. Watson enters the game for G. Hill,,12-18,,
4:36.0,D. West misses 2-pt shot from 2 ft,,12-18,,
4:34.0,Offensive rebound by R. Hibbert,,12-18,,
4:29.0,R. Hibbert misses 2-pt shot from 6 ft,,12-18,,
4:28.0,,,12-18,,Defensive rebound by A. Jefferson
4:18.0,,,12-18,,B. Roberts misses 2-pt shot from 7 ft
4:17.0,Defensive rebound by R. Hibbert,,12-18,,
4:07.0,R. Hibbert misses 2-pt shot from 15 ft,,12-18,,
4:06.0,,,12-18,,Defensive rebound by G. Henderson
3:58.0,,,12-20,2,G. Henderson makes 2-pt shot from 20 ft
3:35.0,R. Stuckey misses 3-pt shot from 23 ft,,12-20,,
3:34.0,,,12-20,,Defensive rebound by C. Zeller
3:24.0,,,12-23,3,J. Taylor makes 3-pt shot from 24 ft (assist by B. Roberts)
3:22.0,Indiana full timeout,,12-23,,
3:22.0,L. Scola enters the game for D. West,,12-23,,
3:22.0,D. Rudez enters the game for R. Stuckey,,12-23,,
3:22.0,,,12-23,,M. Williams enters the game for J. Taylor
3:22.0,,,12-23,,L. Stephenson enters the game for C. Zeller
3:12.0,C. Watson misses 3-pt shot from 24 ft,,12-23,,
3:11.0,,,12-23,,Defensive rebound by A. Jefferson
3:00.0,,,12-25,2,L. Stephenson makes 2-pt shot from 17 ft
2:34.0,C. Watson misses 2-pt shot from 21 ft,,12-25,,
2:33.0,,,12-25,,Defensive rebound by L. Stephenson
2:25.0,,,12-25,,Shooting foul by R. Hibbert (drawn by G. Henderson)
2:25.0,,,12-25,,Charlotte full timeout
2:25.0,,,12-25,,J. Maxiell enters the game for A. Jefferson
2:25.0,,,12-26,1,G. Henderson makes free throw 1 of 2
2:25.0,,,12-27,1,G. Henderson makes free throw 2 of 2
2:12.0,C. Watson misses 3-pt shot from 25 ft,,12-27,,
2:11.0,Offensive rebound by R. Hibbert,,12-27,,
2:07.0,S. Hill misses 3-pt shot from 26 ft,,12-27,,
2:06.0,,,12-27,,Defensive rebound by J. Maxiell
1:51.0,,,12-27,,Offensive foul by J. Maxiell
1:51.0,,,12-27,,Turnover by J. Maxiell (offensive foul)
1:49.0,S. Whittington enters the game for R. Hibbert,,12-27,,
1:38.0,C. Watson makes 3-pt shot from 23 ft (assist by S. Hill),3,15-27,,
1:21.0,,,15-27,,L. Stephenson misses 2-pt shot from 20 ft
1:20.0,Defensive rebound by S. Whittington,,15-27,,
1:08.0,Turnover by L. Scola (bad pass; steal by M. Williams),,15-27,,
1:03.0,,,15-29,2,M. Williams makes 2-pt shot at rim (assist by G. Henderson)
0:44.0,C. Watson makes 3-pt shot from 24 ft (assist by D. Rudez),3,18-29,,
0:30.0,,,18-31,2,B. Roberts makes 2-pt shot from 20 ft (assist by L. Stephenson)
0:22.0,S. Hill makes 2-pt shot from 1 ft,2,20-31,,
0:07.0,,,20-31,,Shooting foul by S. Whittington (drawn by L. Stephenson)
0:07.0,,,20-32,1,L. Stephenson makes free throw 1 of 2
0:07.0,C. Miles enters the game for S. Whittington,,20-32,,
0:07.0,,,20-32,,J. Taylor enters the game for J. Maxiell
0:07.0,,,20-32,,L. Stephenson misses free throw 2 of 2
0:06.0,Defensive rebound by L. Scola,,20-32,,
0:00.0,S. Hill misses 2-pt shot from 19 ft,,20-32,,
0:00.0,Offensive rebound by Team,,20-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,20-32,,B. Roberts misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by L. Scola,,20-32,,
11:33.0,S. Whittington misses 2-pt shot from 5 ft,,20-32,,
11:30.0,Offensive rebound by S. Whittington,,20-32,,
11:30.0,S. Whittington makes 2-pt shot at rim,2,22-32,,
11:14.0,,,22-34,2,M. Williams makes 2-pt shot from 15 ft (assist by G. Neal)
10:55.0,S. Hill misses 2-pt shot from 10 ft,,22-34,,
10:52.0,,,22-34,,Defensive rebound by J. Maxiell
10:37.0,,,22-36,2,J. Maxiell makes 2-pt shot at rim (assist by L. Stephenson)
10:17.0,L. Scola misses 2-pt shot from 4 ft,,22-36,,
10:16.0,,,22-36,,Defensive rebound by M. Williams
9:59.0,,,22-36,,L. Stephenson misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by L. Scola,,22-36,,
9:51.0,S. Whittington makes 2-pt shot from 1 ft (assist by C. Watson),2,24-36,,
9:13.0,,,24-38,2,B. Roberts makes 2-pt shot from 2 ft
9:01.0,,,24-38,,Personal foul by B. Roberts (drawn by C. Watson)
9:01.0,,,24-38,,J. Taylor enters the game for B. Roberts
8:48.0,L. Scola misses 2-pt shot from 1 ft,,24-38,,
8:48.0,Offensive rebound by Team,,24-38,,
8:48.0,,,24-38,,Loose ball foul by J. Taylor (drawn by S. Whittington)
8:48.0,Official timeout,,24-38,,
8:39.0,Turnover by C. Watson (traveling),,24-38,,
8:19.0,,,24-38,,J. Taylor misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by L. Scola,,24-38,,
8:11.0,Offensive foul by D. Rudez,,24-38,,
8:11.0,Turnover by D. Rudez (offensive foul),,24-38,,
7:59.0,,,24-38,,Shooting foul by L. Scola (drawn by J. Maxiell)
7:59.0,,,24-38,,J. Maxiell misses free throw 1 of 2
7:59.0,,,24-38,,Offensive rebound by Team
7:59.0,,,24-39,1,J. Maxiell makes free throw 2 of 2
7:50.0,S. Hill makes 2-pt shot from 6 ft,2,26-39,,
7:50.0,Shooting foul by J. Maxiell (drawn by S. Hill),,26-39,,
7:50.0,S. Hill makes free throw 1 of 1,1,27-39,,
7:40.0,,,27-39,,Shooting foul by S. Whittington (drawn by L. Stephenson)
7:40.0,,,27-40,1,L. Stephenson makes free throw 1 of 2
