time,Washington,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Noel (R. Sessions gains possession),,,,Jump ball: M. Gortat vs. N. Noel (R. Sessions gains possession)
11:49.0,B. Beal makes 2-pt shot at rim (assist by D. Gooden),2,2-0,,
11:28.0,,,2-0,,I. Smith misses 2-pt shot from 18 ft
11:26.0,Defensive rebound by P. Pierce,,2-0,,
11:19.0,P. Pierce misses 3-pt shot from 24 ft,,2-0,,
11:17.0,Offensive rebound by R. Sessions,,2-0,,
11:10.0,M. Gortat makes 2-pt shot from 5 ft (assist by D. Gooden),2,4-0,,
10:58.0,,,4-3,3,R. Covington makes 3-pt shot from 23 ft (assist by I. Smith)
10:37.0,P. Pierce makes 2-pt shot from 2 ft (assist by R. Sessions),2,6-3,,
10:25.0,,,6-3,,N. Noel misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by R. Sessions,,6-3,,
10:21.0,Shooting foul by I. Smith (drawn by R. Sessions),,6-3,,
10:21.0,R. Sessions misses free throw 1 of 2,,6-3,,
10:21.0,Offensive rebound by Team,,6-3,,
10:21.0,R. Sessions makes free throw 2 of 2,1,7-3,,
10:14.0,,,7-3,,I. Smith misses 2-pt shot from 10 ft
10:12.0,Defensive rebound by M. Gortat,,7-3,,
10:01.0,R. Sessions makes 2-pt shot from 6 ft,2,9-3,,
10:01.0,,,9-3,,Philadelphia full timeout
9:39.0,,,9-3,,F. Aldemir misses 2-pt shot from 17 ft
9:38.0,Defensive rebound by B. Beal,,9-3,,
9:30.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,11-3,,
9:15.0,,,11-6,3,R. Covington makes 3-pt shot from 27 ft (assist by F. Aldemir)
8:53.0,Shooting foul by R. Covington (drawn by B. Beal),,11-6,,
8:53.0,B. Beal makes free throw 1 of 2,1,12-6,,
8:53.0,B. Beal misses free throw 2 of 2,,12-6,,
8:52.0,,,12-6,,Defensive rebound by F. Aldemir
8:37.0,,,12-6,,I. Smith misses 2-pt shot from 10 ft
8:35.0,Defensive rebound by M. Gortat,,12-6,,
8:31.0,Shooting foul by I. Smith (drawn by R. Sessions),,12-6,,
8:31.0,R. Sessions makes free throw 1 of 2,1,13-6,,
8:31.0,R. Sessions makes free throw 2 of 2,1,14-6,,
8:12.0,,,14-6,,Turnover by J. Grant (lost ball; steal by P. Pierce)
8:10.0,R. Sessions misses 2-pt shot from 10 ft,,14-6,,
8:08.0,Offensive rebound by B. Beal,,14-6,,
8:04.0,M. Gortat makes 2-pt shot at rim (assist by D. Gooden),2,16-6,,
7:49.0,,,16-6,,F. Aldemir misses 2-pt shot from 3 ft (block by M. Gortat)
7:49.0,Defensive rebound by Team,,16-6,,
7:29.0,D. Gooden misses 2-pt shot from 18 ft,,16-6,,
7:28.0,,,16-6,,Defensive rebound by N. Noel
7:25.0,,,16-6,,Turnover by R. Covington (traveling)
7:25.0,,,16-6,,H. Thompson enters the game for J. Grant
7:25.0,,,16-6,,L. Mbah a Moute enters the game for N. Noel
7:25.0,,,16-6,,J. Sampson enters the game for F. Aldemir
7:25.0,,,16-6,,T. Robinson enters the game for R. Covington
7:25.0,,,16-6,,J. Richardson enters the game for I. Smith
7:10.0,B. Beal makes 2-pt shot from 15 ft (assist by M. Gortat),2,18-6,,
7:10.0,Shooting foul by H. Thompson (drawn by B. Beal),,18-6,,
7:10.0,B. Beal makes free throw 1 of 1,1,19-6,,
6:45.0,,,19-6,,T. Robinson misses 2-pt shot from 15 ft
6:44.0,,,19-6,,Offensive rebound by T. Robinson
6:42.0,,,19-8,2,T. Robinson makes 2-pt shot from 8 ft
6:23.0,D. Gooden makes 2-pt shot from 15 ft,2,21-8,,
6:08.0,,,21-8,,H. Thompson misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by P. Pierce,,21-8,,
5:51.0,Turnover by M. Gortat (lost ball; steal by T. Robinson),,21-8,,
5:44.0,Def 3 sec tech foul by M. Gortat,,21-8,,
5:44.0,,,21-9,1,J. Richardson makes technical free throw
5:44.0,O. Porter enters the game for P. Pierce,,21-9,,
5:28.0,,,21-9,,H. Thompson misses 2-pt shot from 11 ft
5:27.0,Defensive rebound by Team,,21-9,,
5:12.0,M. Gortat makes 2-pt shot at rim (assist by R. Sessions),2,23-9,,
4:57.0,,,23-12,3,J. Richardson makes 3-pt shot from 23 ft (assist by T. Robinson)
4:36.0,M. Gortat makes 2-pt shot at rim (assist by R. Sessions),2,25-12,,
4:21.0,,,25-12,,T. Robinson misses 2-pt shot from 14 ft
4:20.0,Defensive rebound by M. Gortat,,25-12,,
4:03.0,M. Gortat makes 2-pt shot at rim (assist by R. Sessions),2,27-12,,
4:03.0,,,27-12,,Philadelphia full timeout
4:03.0,R. Butler enters the game for B. Beal,,27-12,,
3:50.0,,,27-12,,Turnover by J. Richardson (bad pass; steal by O. Porter)
3:35.0,Turnover by R. Sessions (bad pass; steal by J. Sampson),,27-12,,
3:33.0,Personal foul by O. Porter (drawn by T. Robinson),,27-12,,
3:16.0,,,27-12,,T. Robinson misses 2-pt shot from 1 ft
3:14.0,,,27-12,,Offensive rebound by H. Thompson
3:14.0,,,27-12,,H. Thompson misses 2-pt shot from 2 ft
3:13.0,,,27-12,,Offensive rebound by H. Thompson
2:59.0,Washington full timeout,,27-12,,
2:50.0,,,27-12,,J. Sampson misses 2-pt shot from 3 ft
2:50.0,,,27-12,,Offensive rebound by Team
2:50.0,K. Humphries enters the game for D. Gooden,,27-12,,
2:39.0,,,27-14,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Sampson)
2:22.0,R. Butler misses 2-pt shot from 17 ft,,27-14,,
2:20.0,,,27-14,,Defensive rebound by L. Mbah a Moute
2:12.0,,,27-16,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Sampson)
2:01.0,R. Sessions makes 2-pt shot at rim,2,29-16,,
2:01.0,Shooting foul by J. Sampson (drawn by R. Sessions),,29-16,,
2:01.0,R. Sessions makes free throw 1 of 1,1,30-16,,
1:51.0,,,30-19,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Robinson)
1:28.0,O. Porter makes 2-pt shot at rim (assist by M. Gortat),2,32-19,,
1:09.0,,,32-19,,L. Mbah a Moute misses 3-pt shot from 24 ft
1:07.0,,,32-19,,Offensive rebound by T. Robinson
1:06.0,,,32-21,2,T. Robinson makes 2-pt shot at rim
0:45.0,K. Humphries makes 2-pt shot from 14 ft,2,34-21,,
0:35.0,,,34-21,,L. Mbah a Moute misses 2-pt shot from 19 ft
0:33.0,Defensive rebound by K. Humphries,,34-21,,
0:23.0,,,34-21,,Personal foul by J. Richardson (drawn by O. Porter)
0:23.0,O. Porter misses free throw 1 of 2,,34-21,,
0:23.0,Offensive rebound by Team,,34-21,,
0:23.0,,,34-21,,I. Smith enters the game for J. Sampson
0:23.0,W. Bynum enters the game for R. Sessions,,34-21,,
0:23.0,O. Porter makes free throw 2 of 2,1,35-21,,
0:01.0,,,35-21,,Shooting foul by W. Bynum (drawn by I. Smith)
0:01.0,,,35-22,1,I. Smith makes free throw 1 of 2
0:01.0,,,35-22,,I. Smith misses free throw 2 of 2
0:00.0,,,35-22,,Offensive rebound by T. Robinson
0:00.0,,,35-24,2,T. Robinson makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,35-24,,N. Noel misses 2-pt shot from 9 ft
11:35.0,Defensive rebound by K. Humphries,,35-24,,
11:29.0,,,35-24,,Personal foul by J. Grant (drawn by O. Porter)
11:19.0,K. Seraphin makes 2-pt shot from 1 ft (assist by W. Bynum),2,37-24,,
10:56.0,,,37-24,,J. Grant misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by K. Humphries,,37-24,,
