time,Atlanta,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Horford (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. A. Horford (S. Larkin gains possession)
11:33.0,,,0-0,,Turnover by Team (shot clock)
11:22.0,A. Horford makes 2-pt shot from 4 ft (assist by J. Teague),2,2-0,,
11:11.0,,,2-0,,Turnover by S. Dalembert (bad pass)
10:51.0,P. Millsap misses 2-pt shot from 11 ft,,2-0,,
10:50.0,,,2-0,,Defensive rebound by C. Anthony
10:38.0,,,2-2,2,I. Shumpert makes 2-pt shot from 20 ft (assist by T. Hardaway)
10:19.0,A. Horford makes 2-pt shot at rim,2,4-2,,
10:15.0,,,4-2,,Turnover by S. Dalembert (bad pass; steal by A. Horford)
10:09.0,D. Carroll misses 2-pt shot from 16 ft,,4-2,,
10:08.0,,,4-2,,Defensive rebound by C. Anthony
9:58.0,,,4-2,,I. Shumpert misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by P. Millsap,,4-2,,
9:34.0,A. Horford misses 2-pt shot from 13 ft,,4-2,,
9:33.0,,,4-2,,Defensive rebound by I. Shumpert
9:15.0,,,4-2,,T. Hardaway misses 2-pt shot from 6 ft
9:14.0,Defensive rebound by Team,,4-2,,
9:10.0,D. Carroll misses 2-pt shot from 1 ft (block by T. Hardaway),,4-2,,
9:09.0,Offensive rebound by Team,,4-2,,
9:04.0,J. Teague misses 3-pt shot from 24 ft,,4-2,,
9:03.0,,,4-2,,Defensive rebound by S. Dalembert
8:54.0,,,4-4,2,S. Larkin makes 2-pt shot from 2 ft (assist by C. Anthony)
8:47.0,Turnover by J. Teague (lost ball; steal by S. Larkin),,4-4,,
8:42.0,,,4-4,,S. Larkin misses 2-pt shot from 2 ft (block by J. Teague)
8:41.0,Defensive rebound by D. Carroll,,4-4,,
8:36.0,Turnover by D. Carroll (lost ball),,4-4,,
8:23.0,,,4-4,,T. Hardaway misses 3-pt shot from 26 ft
8:22.0,,,4-4,,Offensive rebound by S. Dalembert
8:11.0,,,4-4,,T. Hardaway misses 2-pt shot from 3 ft (block by A. Horford)
8:10.0,Defensive rebound by A. Horford,,4-4,,
8:03.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,7-4,,
7:39.0,,,7-6,2,C. Anthony makes 2-pt shot from 14 ft
7:25.0,A. Horford makes 2-pt shot from 17 ft (assist by K. Korver),2,9-6,,
7:00.0,,,9-6,,C. Anthony misses 2-pt shot from 11 ft
6:59.0,,,9-6,,Offensive rebound by S. Dalembert
6:58.0,Personal foul by J. Teague (drawn by S. Dalembert),,9-6,,
6:55.0,,,9-6,,S. Larkin misses 3-pt shot from 25 ft
6:54.0,,,9-6,,Offensive rebound by C. Anthony
6:39.0,,,9-8,2,C. Anthony makes 2-pt shot from 19 ft (assist by I. Shumpert)
6:33.0,Turnover by P. Millsap (lost ball),,9-8,,
6:20.0,,,9-10,2,I. Shumpert makes 2-pt shot from 16 ft (assist by C. Anthony)
6:07.0,J. Teague misses 3-pt shot from 24 ft,,9-10,,
6:06.0,,,9-10,,Defensive rebound by S. Dalembert
5:43.0,,,9-10,,I. Shumpert misses 2-pt shot from 15 ft
5:42.0,Defensive rebound by K. Korver,,9-10,,
5:32.0,K. Korver misses 3-pt shot from 25 ft,,9-10,,
5:31.0,,,9-10,,Defensive rebound by C. Anthony
5:24.0,,,9-10,,T. Hardaway misses 2-pt shot from 1 ft
5:23.0,Defensive rebound by D. Carroll,,9-10,,
5:18.0,Atlanta full timeout,,9-10,,
5:18.0,P. Antic enters the game for A. Horford,,9-10,,
5:18.0,,,9-10,,A. Stoudemire enters the game for S. Dalembert
5:18.0,,,9-10,,J. Smith enters the game for T. Hardaway
5:18.0,,,9-10,,P. Prigioni enters the game for S. Larkin
5:08.0,P. Millsap misses 2-pt shot from 11 ft,,9-10,,
5:07.0,,,9-10,,Defensive rebound by P. Prigioni
5:00.0,,,9-12,2,I. Shumpert makes 2-pt shot from 13 ft (assist by P. Prigioni)
4:46.0,K. Korver misses 3-pt shot from 24 ft,,9-12,,
4:45.0,Offensive rebound by D. Carroll,,9-12,,
4:41.0,K. Korver misses 3-pt shot from 25 ft,,9-12,,
4:40.0,,,9-12,,Defensive rebound by A. Stoudemire
4:18.0,,,9-12,,Shooting foul by P. Millsap (drawn by C. Anthony)
4:18.0,,,9-13,1,C. Anthony makes free throw 1 of 2
4:18.0,T. Sefolosha enters the game for K. Korver,,9-13,,
4:18.0,D. Schroder enters the game for J. Teague,,9-13,,
4:18.0,,,9-14,1,C. Anthony makes free throw 2 of 2
3:55.0,Turnover by P. Millsap (3 sec),,9-14,,
3:35.0,,,9-14,,C. Anthony misses 2-pt shot from 11 ft
3:34.0,Defensive rebound by D. Carroll,,9-14,,
3:17.0,,,9-14,,Personal foul by I. Shumpert (drawn by P. Millsap)
3:17.0,,,9-14,,C. Early enters the game for I. Shumpert
3:04.0,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder),3,12-14,,
2:47.0,,,12-14,,New York full timeout
2:37.0,,,12-14,,J. Smith misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by P. Antic,,12-14,,
2:26.0,D. Schroder makes 2-pt shot from 2 ft,2,14-14,,
2:11.0,,,14-16,2,A. Stoudemire makes 2-pt shot from 6 ft (assist by C. Anthony)
1:55.0,T. Sefolosha misses 2-pt shot from 3 ft,,14-16,,
1:54.0,,,14-16,,Defensive rebound by A. Stoudemire
1:47.0,,,14-16,,C. Anthony misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by T. Sefolosha,,14-16,,
1:39.0,D. Carroll makes 3-pt shot from 23 ft (assist by D. Schroder),3,17-16,,
1:23.0,M. Scott enters the game for P. Millsap,,17-16,,
1:23.0,K. Korver enters the game for D. Carroll,,17-16,,
1:23.0,A. Horford enters the game for P. Antic,,17-16,,
1:23.0,,,17-16,,J. Smith enters the game for C. Anthony
1:12.0,,,17-16,,C. Early misses 2-pt shot from 19 ft
1:11.0,Defensive rebound by Team,,17-16,,
1:11.0,,,17-16,,Loose ball foul by P. Prigioni (drawn by D. Schroder)
1:00.0,,,17-16,,Violation by P. Prigioni (kicked ball)
0:48.0,K. Korver misses 3-pt shot from 25 ft (block by C. Early),,17-16,,
0:47.0,Offensive rebound by K. Korver,,17-16,,
0:44.0,K. Korver misses 2-pt shot from 11 ft,,17-16,,
0:42.0,,,17-16,,Defensive rebound by J. Smith
0:38.0,,,17-16,,Turnover by J. Smith (bad pass; steal by T. Sefolosha)
0:17.0,Turnover by D. Schroder (lost ball; steal by P. Prigioni),,17-16,,
0:03.0,,,17-16,,J. Smith misses 3-pt shot from 24 ft
0:01.0,,,17-16,,Offensive rebound by J. Smith
0:00.0,,,17-16,,J. Smith misses 2-pt shot from 10 ft
0:00.0,,,17-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
