time,Philadelphia,pts.away,score,pts.home,Houston
5:57.0,T. Wroten makes 2-pt shot from 3 ft,2,20-13,,
5:51.0,,,20-15,2,J. Harden makes 2-pt shot from 2 ft (assist by T. Ariza)
5:30.0,H. Thompson makes 2-pt shot from 2 ft (assist by H. Sims),2,22-15,,
5:11.0,,,22-15,,Shooting foul by H. Sims (drawn by D. Howard)
5:11.0,,,22-15,,D. Howard misses free throw 1 of 2
5:11.0,,,22-15,,Offensive rebound by Team
5:11.0,N. Noel enters the game for T. Wroten,,22-15,,
5:11.0,M. Carter-Williams enters the game for H. Sims,,22-15,,
5:11.0,,,22-15,,K. Papanikolaou enters the game for D. Motiejunas
5:11.0,,,22-15,,J. Terry enters the game for I. Canaan
5:11.0,K. McDaniels enters the game for H. Thompson,,22-15,,
5:11.0,,,22-15,,D. Howard misses free throw 2 of 2
5:11.0,Defensive rebound by K. McDaniels,,22-15,,
4:59.0,Turnover by M. Carter-Williams (traveling),,22-15,,
4:46.0,,,22-15,,D. Howard misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by L. Mbah a Moute,,22-15,,
4:22.0,N. Noel misses 2-pt shot from 9 ft,,22-15,,
4:20.0,,,22-15,,Defensive rebound by K. Papanikolaou
4:07.0,,,22-15,,J. Harden misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by L. Mbah a Moute,,22-15,,
4:00.0,Philadelphia full timeout,,22-15,,
4:00.0,,,22-15,,T. Black enters the game for D. Howard
4:00.0,C. Johnson enters the game for L. Mbah a Moute,,22-15,,
4:00.0,D. Gordon enters the game for B. Davies,,22-15,,
3:51.0,C. Johnson misses 3-pt shot from 24 ft,,22-15,,
3:50.0,,,22-15,,Defensive rebound by T. Black
3:40.0,,,22-15,,T. Ariza misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by D. Gordon,,22-15,,
3:26.0,C. Johnson makes 2-pt shot from 1 ft (assist by D. Gordon),2,24-15,,
2:58.0,,,24-15,,J. Harden misses 2-pt shot from 10 ft
2:58.0,Defensive rebound by Team,,24-15,,
2:58.0,,,24-15,,Personal foul by T. Ariza (drawn by K. McDaniels)
2:58.0,,,24-15,,F. Garcia enters the game for J. Harden
2:52.0,,,24-15,,Personal foul by T. Black (drawn by N. Noel)
2:42.0,Shooting foul by T. Black (drawn by N. Noel),,24-15,,
2:42.0,N. Noel makes free throw 1 of 2,1,25-15,,
2:42.0,N. Noel makes free throw 2 of 2,1,26-15,,
2:27.0,,,26-15,,T. Black misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by N. Noel,,26-15,,
2:17.0,Turnover by D. Gordon (lost ball; steal by F. Garcia),,26-15,,
2:13.0,,,26-15,,Turnover by F. Garcia (lost ball)
1:54.0,Turnover by N. Noel (lost ball; steal by F. Garcia),,26-15,,
1:47.0,,,26-15,,F. Garcia misses 3-pt shot from 23 ft
1:46.0,Defensive rebound by K. McDaniels,,26-15,,
1:42.0,K. McDaniels makes 2-pt shot from 1 ft,2,28-15,,
1:30.0,,,28-15,,Turnover by K. Papanikolaou (lost ball; steal by D. Gordon)
1:25.0,Turnover by K. McDaniels (bad pass; steal by J. Terry),,28-15,,
