time,Philadelphia,pts.away,score,pts.home,Houston
7:54.0,,,71-70,,T. Ariza misses 3-pt shot from 25 ft
7:54.0,,,71-70,,Offensive rebound by Team
7:54.0,Loose ball foul by H. Thompson (drawn by D. Howard),,71-70,,
7:44.0,Personal foul by N. Noel (drawn by D. Motiejunas),,71-70,,
7:44.0,,,71-71,1,D. Motiejunas makes free throw 1 of 2
7:44.0,,,71-71,,D. Motiejunas misses free throw 2 of 2
7:43.0,Defensive rebound by N. Noel,,71-71,,
7:23.0,Turnover by H. Thompson (bad pass; steal by D. Howard),,71-71,,
7:21.0,Shooting block foul by L. Mbah a Moute (drawn by J. Harden),,71-71,,
7:21.0,,,71-72,1,J. Harden makes free throw 1 of 2
7:21.0,,,71-73,1,J. Harden makes free throw 2 of 2
7:06.0,Turnover by L. Mbah a Moute (bad pass; steal by D. Howard),,71-73,,
6:56.0,,,71-73,,J. Harden misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by N. Noel,,71-73,,
6:50.0,,,71-73,,Shooting block foul by J. Harden (drawn by T. Wroten)
6:50.0,T. Wroten makes free throw 1 of 2,1,72-73,,
6:50.0,B. Davies enters the game for H. Sims,,72-73,,
6:50.0,M. Carter-Williams enters the game for H. Thompson,,72-73,,
6:50.0,T. Wroten misses free throw 2 of 2,,72-73,,
6:50.0,,,72-73,,Defensive rebound by T. Ariza
6:37.0,,,72-73,,J. Harden misses 2-pt shot from 18 ft
6:35.0,Defensive rebound by L. Mbah a Moute,,72-73,,
6:29.0,Shooting foul by J. Harden (drawn by B. Davies),,72-73,,
6:29.0,B. Davies misses free throw 1 of 2,,72-73,,
6:29.0,Offensive rebound by Team,,72-73,,
6:29.0,B. Davies misses free throw 2 of 2,,72-73,,
6:29.0,,,72-73,,Defensive rebound by D. Howard
6:05.0,,,72-73,,Turnover by D. Howard (bad pass; steal by M. Carter-Williams)
5:59.0,T. Wroten misses 3-pt shot from 24 ft,,72-73,,
5:57.0,,,72-73,,Defensive rebound by T. Ariza
5:51.0,,,72-73,,J. Harden misses 2-pt shot from 4 ft (block by N. Noel)
5:50.0,Defensive rebound by L. Mbah a Moute,,72-73,,
5:44.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by D. Howard),,72-73,,
5:43.0,Offensive rebound by B. Davies,,72-73,,
5:42.0,Philadelphia full timeout,,72-73,,
5:33.0,Turnover by M. Carter-Williams (lost ball; steal by J. Harden),,72-73,,
5:33.0,Loose ball foul by N. Noel (drawn by T. Ariza),,72-73,,
5:33.0,,,72-74,1,T. Ariza makes free throw 1 of 2
5:33.0,,,72-75,1,T. Ariza makes free throw 2 of 2
5:18.0,B. Davies misses 2-pt shot from 2 ft,,72-75,,
5:17.0,,,72-75,,Defensive rebound by I. Canaan
5:07.0,Def 3 sec tech foul by B. Davies,,72-75,,
5:07.0,,,72-76,1,J. Harden makes technical free throw
5:07.0,H. Sims enters the game for N. Noel,,72-76,,
4:57.0,,,72-76,,D. Motiejunas misses 2-pt shot from 4 ft
4:56.0,,,72-76,,Offensive rebound by D. Howard
4:56.0,,,72-76,,D. Howard misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by L. Mbah a Moute,,72-76,,
4:49.0,Turnover by T. Wroten (lost ball; steal by T. Ariza),,72-76,,
4:44.0,,,72-79,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:20.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by T. Wroten),3,75-79,,
3:59.0,,,75-79,,Turnover by D. Howard (offensive foul)
3:59.0,,,75-79,,Offensive charge foul by D. Howard
3:59.0,H. Thompson enters the game for L. Mbah a Moute,,75-79,,
3:59.0,,,75-79,,J. Terry enters the game for I. Canaan
3:49.0,,,75-79,,Personal block foul by T. Ariza (drawn by M. Carter-Williams)
3:49.0,M. Carter-Williams makes free throw 1 of 2,1,76-79,,
3:49.0,M. Carter-Williams makes free throw 2 of 2,1,77-79,,
3:32.0,,,77-81,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
3:17.0,H. Sims makes 2-pt shot from 19 ft (assist by B. Davies),2,79-81,,
2:50.0,,,79-81,,Offensive charge foul by J. Harden
2:50.0,,,79-81,,Turnover by J. Harden (offensive foul)
2:50.0,,,79-81,,Houston full timeout
2:27.0,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,81-81,,
2:08.0,,,81-81,,J. Terry misses 3-pt shot from 24 ft
2:07.0,,,81-81,,Offensive rebound by Team
2:07.0,Loose ball foul by H. Sims (drawn by D. Howard),,81-81,,
2:07.0,,,81-82,1,D. Howard makes free throw 1 of 2
2:07.0,,,81-82,,D. Howard misses free throw 2 of 2
2:06.0,,,81-82,,Offensive rebound by D. Howard
2:02.0,,,81-82,,J. Harden misses 2-pt shot at rim
2:00.0,,,81-82,,Offensive rebound by D. Howard
2:00.0,,,81-84,2,D. Howard makes 2-pt shot from 2 ft
1:44.0,H. Thompson makes 2-pt shot from 1 ft,2,83-84,,
1:33.0,,,83-84,,Offensive charge foul by J. Harden
1:33.0,,,83-84,,Turnover by J. Harden (offensive foul)
1:22.0,Shooting foul by T. Ariza (drawn by T. Wroten),,83-84,,
1:22.0,T. Wroten makes free throw 1 of 2,1,84-84,,
1:22.0,L. Mbah a Moute enters the game for H. Thompson,,84-84,,
1:22.0,T. Wroten misses free throw 2 of 2,,84-84,,
1:21.0,,,84-84,,Defensive rebound by D. Howard
1:09.0,,,84-84,,J. Harden misses 2-pt shot from 3 ft (block by H. Sims)
1:07.0,Defensive rebound by H. Sims,,84-84,,
0:51.0,T. Wroten makes 3-pt shot from 26 ft,3,87-84,,
0:51.0,,,87-84,,Houston full timeout
0:48.0,,,87-84,,Offensive foul by D. Howard
0:48.0,,,87-84,,Turnover by D. Howard (offensive foul)
0:37.0,Turnover by B. Davies (bad pass; steal by J. Harden),,87-84,,
0:36.0,,,87-84,,Shooting foul by M. Carter-Williams (drawn by J. Harden)
0:36.0,Technical foul by Team,,87-84,,
0:36.0,,,87-84,,J. Harden misses technical free throw
0:36.0,,,87-84,,Offensive rebound by Team
0:36.0,,,87-85,1,J. Harden makes free throw 1 of 2
0:36.0,,,87-86,1,J. Harden makes free throw 2 of 2
0:36.0,Philadelphia full timeout,,87-86,,
0:17.0,Turnover by M. Carter-Williams (lost ball),,87-86,,
0:17.0,,,87-86,,I. Canaan enters the game for D. Motiejunas
0:09.0,,,87-88,2,J. Harden makes 2-pt shot from 3 ft
0:09.0,Philadelphia full timeout,,87-88,,
0:02.0,M. Carter-Williams misses 2-pt shot from 19 ft,,87-88,,
0:01.0,,,87-88,,Defensive rebound by D. Howard
0:00.0,End of 4th quarter,,,,End of 4th quarter
