time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (M. Conley gains possession)
11:37.0,Z. Randolph makes 2-pt shot from 15 ft (assist by C. Lee),2,2-0,,
11:21.0,,,2-0,,K. Thompson misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by Z. Randolph,,2-0,,
11:00.0,M. Gasol misses 2-pt shot from 12 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by A. Bogut
10:53.0,,,2-0,,K. Thompson misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by J. Green,,2-0,,
10:45.0,Turnover by J. Green (bad pass; steal by D. Green),,2-0,,
10:41.0,,,2-0,,Turnover by H. Barnes (bad pass; steal by M. Conley)
10:25.0,M. Gasol misses 2-pt shot from 12 ft,,2-0,,
10:24.0,Offensive rebound by Z. Randolph,,2-0,,
10:23.0,Z. Randolph makes 2-pt shot from 4 ft,2,4-0,,
10:11.0,,,4-0,,Shooting foul by C. Lee (drawn by H. Barnes)
10:11.0,,,4-1,1,H. Barnes makes free throw 1 of 2
10:11.0,,,4-2,1,H. Barnes makes free throw 2 of 2
9:59.0,Turnover by Z. Randolph (lost ball; steal by S. Curry),,4-2,,
9:53.0,,,4-2,,Turnover by S. Curry (bad pass)
9:31.0,M. Gasol misses 2-pt shot from 7 ft,,4-2,,
9:30.0,Offensive rebound by Z. Randolph,,4-2,,
9:29.0,Z. Randolph makes 2-pt shot from 3 ft,2,6-2,,
9:18.0,,,6-4,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
8:57.0,J. Green makes 2-pt shot from 13 ft (assist by M. Gasol),2,8-4,,
8:44.0,,,8-4,,D. Green misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by Z. Randolph,,8-4,,
8:25.0,Z. Randolph makes 3-pt shot from 25 ft (assist by M. Gasol),3,11-4,,
8:22.0,,,11-4,,Golden State full timeout
8:10.0,,,11-4,,K. Thompson misses 2-pt shot from 7 ft
8:08.0,,,11-4,,Offensive rebound by A. Bogut
7:58.0,,,11-4,,D. Green misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by M. Gasol,,11-4,,
7:45.0,M. Gasol makes 2-pt shot from 5 ft (assist by Z. Randolph),2,13-4,,
7:33.0,,,13-7,3,S. Curry makes 3-pt shot from 25 ft
7:05.0,Z. Randolph misses 2-pt shot from 17 ft,,13-7,,
7:04.0,,,13-7,,Defensive rebound by A. Bogut
6:58.0,,,13-7,,Turnover by D. Green (lost ball; steal by M. Conley)
