time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. A. Horford (R. Jackson gains possession)
11:43.0,,,0-2,2,A. Drummond makes 2-pt shot from 5 ft (assist by A. Tolliver)
11:30.0,K. Korver makes 2-pt shot at rim (assist by P. Millsap),2,2-2,,
11:16.0,,,2-4,2,A. Tolliver makes 2-pt shot from 18 ft (assist by R. Jackson)
10:55.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,4-4,,
10:34.0,,,4-4,,Turnover by C. Butler (bad pass; steal by P. Millsap)
10:24.0,Turnover by J. Teague (bad pass; steal by K. Caldwell-Pope),,4-4,,
10:16.0,,,4-7,3,A. Tolliver makes 3-pt shot from 22 ft (assist by R. Jackson)
10:00.0,,,4-7,,Personal foul by K. Caldwell-Pope (drawn by K. Korver)
9:54.0,Turnover by K. Korver (lost ball; steal by C. Butler),,4-7,,
9:47.0,,,4-7,,Turnover by R. Jackson (lost ball; steal by J. Teague)
9:47.0,,,4-7,,Personal foul by R. Jackson (drawn by J. Teague)
9:32.0,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague),2,6-7,,
9:15.0,,,6-9,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:58.0,A. Horford makes 2-pt shot from 13 ft,2,8-9,,
8:46.0,,,8-9,,Shooting foul by A. Horford (drawn by A. Drummond)
8:46.0,,,8-10,1,A. Drummond makes free throw 1 of 2
8:46.0,,,8-10,,A. Drummond misses free throw 2 of 2
8:45.0,Defensive rebound by A. Horford,,8-10,,
8:33.0,J. Teague misses 2-pt shot from 7 ft,,8-10,,
8:30.0,,,8-10,,Defensive rebound by A. Drummond
8:22.0,,,8-10,,A. Tolliver misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by K. Korver,,8-10,,
8:01.0,A. Horford makes 2-pt shot from 1 ft,2,10-10,,
7:47.0,,,10-12,2,C. Butler makes 2-pt shot from 18 ft (assist by R. Jackson)
7:32.0,J. Teague makes 2-pt shot at rim,2,12-12,,
7:19.0,,,12-14,2,R. Jackson makes 2-pt shot from 1 ft
7:12.0,Turnover by J. Teague (lost ball),,12-14,,
6:48.0,,,12-17,3,C. Butler makes 3-pt shot from 23 ft (assist by R. Jackson)
6:42.0,,,12-17,,Violation by Team (delay of game)
6:27.0,P. Millsap misses 2-pt shot from 17 ft,,12-17,,
6:25.0,,,12-17,,Defensive rebound by A. Drummond
6:08.0,,,12-20,3,R. Jackson makes 3-pt shot from 25 ft (assist by A. Drummond)
5:53.0,A. Horford makes 2-pt shot from 20 ft (assist by P. Millsap),2,14-20,,
5:36.0,,,14-22,2,C. Butler makes 2-pt shot from 20 ft
5:21.0,J. Teague misses 2-pt shot from 18 ft,,14-22,,
5:20.0,,,14-22,,Defensive rebound by A. Drummond
5:11.0,,,14-25,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
5:08.0,Atlanta full timeout,,14-25,,
5:08.0,S. Mack enters the game for D. Carroll,,14-25,,
5:08.0,P. Antic enters the game for P. Millsap,,14-25,,
5:08.0,T. Sefolosha enters the game for A. Horford,,14-25,,
5:08.0,K. Bazemore enters the game for K. Korver,,14-25,,
5:08.0,M. Muscala enters the game for J. Teague,,14-25,,
4:50.0,S. Mack makes 2-pt shot from 19 ft,2,16-25,,
4:38.0,,,16-25,,Shooting foul by P. Antic (drawn by A. Drummond)
4:38.0,,,16-26,1,A. Drummond makes free throw 1 of 2
4:38.0,,,16-27,1,A. Drummond makes free throw 2 of 2
4:26.0,M. Muscala misses 2-pt shot from 18 ft,,16-27,,
4:25.0,,,16-27,,Defensive rebound by R. Jackson
4:15.0,,,16-27,,A. Tolliver misses 3-pt shot from 23 ft
4:14.0,Defensive rebound by K. Bazemore,,16-27,,
3:53.0,K. Bazemore makes 2-pt shot from 17 ft (assist by S. Mack),2,18-27,,
3:36.0,,,18-27,,R. Jackson misses 2-pt shot at rim
3:35.0,,,18-27,,Offensive rebound by A. Drummond
3:34.0,,,18-29,2,A. Drummond makes 2-pt shot at rim
3:15.0,Turnover by M. Muscala (offensive foul),,18-29,,
3:15.0,Offensive foul by M. Muscala,,18-29,,
3:15.0,,,18-29,,J. Meeks enters the game for K. Caldwell-Pope
3:15.0,,,18-29,,S. Dinwiddie enters the game for R. Jackson
3:00.0,,,18-29,,C. Butler misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by K. Bazemore,,18-29,,
2:53.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Bazemore),2,20-29,,
2:33.0,,,20-29,,Turnover by J. Meeks (lost ball; steal by T. Sefolosha)
2:24.0,S. Mack makes 2-pt shot from 19 ft,2,22-29,,
2:24.0,,,22-29,,Detroit full timeout
2:09.0,,,22-29,,J. Meeks misses 2-pt shot at rim
2:08.0,Defensive rebound by S. Mack,,22-29,,
1:47.0,M. Muscala misses 3-pt shot from 23 ft,,22-29,,
1:45.0,Offensive rebound by M. Muscala,,22-29,,
1:34.0,T. Sefolosha misses 2-pt shot at rim,,22-29,,
1:33.0,Offensive rebound by M. Muscala,,22-29,,
1:31.0,M. Muscala makes 2-pt shot at rim,2,24-29,,
1:15.0,,,24-29,,A. Drummond misses 2-pt shot from 5 ft
1:15.0,,,24-29,,Offensive rebound by A. Drummond
1:15.0,,,24-29,,S. Williams enters the game for A. Tolliver
1:09.0,,,24-29,,S. Williams misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by Team,,24-29,,
0:53.0,T. Sefolosha makes 2-pt shot at rim (assist by S. Mack),2,26-29,,
0:41.0,,,26-31,2,J. Meeks makes 2-pt shot from 9 ft (assist by S. Dinwiddie)
0:33.0,S. Mack makes 2-pt shot from 7 ft,2,28-31,,
0:18.0,,,28-33,2,A. Drummond makes 2-pt shot at rim (assist by S. Dinwiddie)
0:03.0,P. Antic misses 3-pt shot from 26 ft,,28-33,,
0:00.0,Offensive rebound by Team,,28-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,28-33,,Personal foul by S. Dinwiddie (drawn by K. Korver)
11:38.0,Shooting foul by S. Dinwiddie (drawn by D. Carroll),,28-33,,
11:38.0,D. Carroll makes 2-pt shot at rim (assist by K. Korver),2,30-33,,
11:38.0,D. Carroll misses free throw 1 of 1,,30-33,,
11:37.0,,,30-33,,Defensive rebound by J. Anthony
11:11.0,,,30-33,,J. Meeks misses 2-pt shot from 13 ft
11:09.0,,,30-33,,Offensive rebound by S. Williams
11:08.0,,,30-33,,S. Williams misses 2-pt shot at rim
11:08.0,Defensive rebound by P. Millsap,,30-33,,
11:05.0,,,30-33,,Personal foul by J. Anthony (drawn by P. Millsap)
11:05.0,,,30-33,,Detroit full timeout
11:05.0,,,30-33,,R. Jackson enters the game for S. Dinwiddie
10:54.0,K. Korver misses 2-pt shot from 20 ft,,30-33,,
10:53.0,,,30-33,,Defensive rebound by T. Prince
10:28.0,,,30-35,2,T. Prince makes 2-pt shot from 19 ft (assist by J. Anthony)
10:15.0,Turnover by K. Korver (bad pass; steal by J. Anthony),,30-35,,
10:04.0,,,30-38,3,T. Prince makes 3-pt shot from 22 ft (assist by R. Jackson)
9:44.0,P. Millsap makes 2-pt shot from 5 ft,2,32-38,,
9:44.0,Shooting foul by S. Williams (drawn by P. Millsap),,32-38,,
9:44.0,P. Millsap misses free throw 1 of 1,,32-38,,
9:43.0,,,32-38,,Defensive rebound by J. Anthony
9:27.0,Personal foul by J. Teague (drawn by R. Jackson),,32-38,,
9:15.0,,,32-40,2,J. Anthony makes 2-pt shot at rim (assist by R. Jackson)
8:58.0,J. Teague makes 3-pt shot from 26 ft (assist by A. Horford),3,35-40,,
8:32.0,,,35-40,,S. Williams misses 2-pt shot from 8 ft
8:31.0,Defensive rebound by A. Horford,,35-40,,
8:24.0,D. Carroll makes 2-pt shot from 18 ft,2,37-40,,
7:56.0,,,37-40,,R. Jackson misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by P. Millsap,,37-40,,
7:41.0,A. Horford makes 2-pt shot from 17 ft,2,39-40,,
7:24.0,,,39-42,2,J. Anthony makes 2-pt shot at rim (assist by R. Jackson)
7:24.0,,,39-42,,Shooting foul by D. Carroll (drawn by J. Anthony)
7:24.0,,,39-43,1,J. Anthony makes free throw 1 of 1
7:11.0,D. Carroll misses 3-pt shot from 26 ft,,39-43,,
7:10.0,,,39-43,,Defensive rebound by R. Jackson
7:01.0,,,39-43,,Shooting foul by P. Millsap (drawn by S. Williams)
7:01.0,,,39-44,1,S. Williams makes free throw 1 of 2
7:01.0,K. Bazemore enters the game for D. Carroll,,39-44,,
7:01.0,S. Mack enters the game for P. Millsap,,39-44,,
7:01.0,M. Muscala enters the game for A. Horford,,39-44,,
7:01.0,T. Sefolosha enters the game for K. Korver,,39-44,,
7:01.0,P. Antic enters the game for J. Teague,,39-44,,
7:01.0,,,39-45,1,S. Williams makes free throw 2 of 2
6:49.0,P. Antic misses 2-pt shot from 18 ft,,39-45,,
6:47.0,,,39-45,,Defensive rebound by S. Williams
6:38.0,,,39-45,,Turnover by R. Jackson (lost ball; steal by P. Antic)
6:29.0,,,39-45,,Personal foul by S. Williams (drawn by M. Muscala)
6:29.0,M. Muscala makes free throw 1 of 2,1,40-45,,
6:29.0,M. Muscala makes free throw 2 of 2,1,41-45,,
6:14.0,,,41-45,,J. Meeks misses 2-pt shot from 21 ft
6:13.0,Defensive rebound by T. Sefolosha,,41-45,,
6:04.0,P. Antic misses 2-pt shot from 18 ft,,41-45,,
6:03.0,,,41-45,,Defensive rebound by R. Jackson
5:48.0,,,41-45,,S. Williams misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by K. Bazemore,,41-45,,
5:39.0,Turnover by K. Bazemore (lost ball; steal by J. Meeks),,41-45,,
5:39.0,Personal foul by M. Muscala (drawn by J. Meeks),,41-45,,
5:39.0,Official timeout,,41-45,,
5:39.0,,,41-45,,K. Caldwell-Pope enters the game for R. Jackson
5:39.0,,,41-45,,J. Lucas III enters the game for J. Meeks
5:39.0,,,41-45,,A. Tolliver enters the game for S. Williams
5:39.0,,,41-45,,A. Drummond enters the game for J. Anthony
5:15.0,,,41-45,,T. Prince misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by S. Mack,,41-45,,
5:06.0,Turnover by S. Mack (bad pass; steal by J. Lucas III),,41-45,,
4:56.0,,,41-47,2,J. Lucas III makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope)
4:31.0,P. Antic misses 3-pt shot from 23 ft,,41-47,,
4:30.0,,,41-47,,Defensive rebound by K. Caldwell-Pope
4:13.0,,,41-47,,T. Prince misses 2-pt shot from 5 ft
4:11.0,Defensive rebound by M. Muscala,,41-47,,
4:04.0,S. Mack makes 2-pt shot from 7 ft,2,43-47,,
3:38.0,,,43-47,,J. Lucas III misses 3-pt shot from 23 ft
3:37.0,Defensive rebound by M. Muscala,,43-47,,
3:26.0,M. Muscala makes 2-pt shot from 18 ft (assist by T. Sefolosha),2,45-47,,
3:11.0,,,45-47,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:10.0,Defensive rebound by S. Mack,,45-47,,
3:02.0,P. Antic misses 3-pt shot from 26 ft,,45-47,,
3:01.0,Offensive rebound by T. Sefolosha,,45-47,,
2:57.0,Atlanta full timeout,,45-47,,
2:57.0,A. Daye enters the game for P. Antic,,45-47,,
2:51.0,T. Sefolosha makes 2-pt shot at rim (assist by A. Daye),2,47-47,,
2:34.0,,,47-47,,K. Caldwell-Pope misses 2-pt shot from 3 ft
2:33.0,Defensive rebound by T. Sefolosha,,47-47,,
2:29.0,Turnover by T. Sefolosha (lost ball; steal by T. Prince),,47-47,,
2:27.0,,,47-47,,Turnover by T. Prince (bad pass)
2:17.0,Turnover by A. Daye (bad pass),,47-47,,
2:07.0,,,47-47,,Turnover by J. Lucas III (bad pass; steal by S. Mack)
2:01.0,K. Bazemore makes 3-pt shot from 25 ft (assist by S. Mack),3,50-47,,
1:42.0,,,50-47,,K. Caldwell-Pope misses 2-pt shot from 3 ft
1:41.0,Defensive rebound by M. Muscala,,50-47,,
1:36.0,Turnover by S. Mack (bad pass; steal by A. Drummond),,50-47,,
1:33.0,,,50-47,,Turnover by A. Drummond (bad pass; steal by A. Daye)
1:26.0,S. Mack misses 3-pt shot from 26 ft,,50-47,,
1:25.0,,,50-47,,Defensive rebound by J. Lucas III
1:13.0,,,50-47,,Turnover by T. Prince (step out of bounds)
1:13.0,,,50-47,,R. Jackson enters the game for J. Lucas III
0:59.0,Turnover by M. Muscala (lost ball; steal by A. Drummond),,50-47,,
0:56.0,,,50-49,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by T. Prince)
0:56.0,,,50-49,,Shooting foul by K. Bazemore (drawn by K. Caldwell-Pope)
0:56.0,,,50-50,1,K. Caldwell-Pope makes free throw 1 of 1
0:35.0,K. Bazemore misses 3-pt shot from 27 ft,,50-50,,
0:32.0,Offensive rebound by Team,,50-50,,
0:32.0,Turnover by Team (shot clock),,50-50,,
0:21.0,,,50-52,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
0:04.0,M. Muscala misses 2-pt shot from 18 ft,,50-52,,
0:03.0,,,50-52,,Defensive rebound by A. Tolliver
0:01.0,,,50-52,,K. Caldwell-Pope misses 3-pt shot from 51 ft
0:00.0,,,50-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Korver misses 3-pt shot from 25 ft,,50-52,,
11:45.0,,,50-52,,Defensive rebound by A. Tolliver
11:30.0,,,50-52,,Shooting foul by A. Horford (drawn by A. Drummond)
11:30.0,,,50-52,,A. Drummond misses free throw 1 of 2
11:30.0,,,50-52,,Offensive rebound by Team
11:30.0,,,50-53,1,A. Drummond makes free throw 2 of 2
11:14.0,D. Carroll misses 2-pt shot from 1 ft (block by A. Drummond),,50-53,,
11:12.0,,,50-53,,Defensive rebound by R. Jackson
11:03.0,,,50-53,,A. Drummond misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by K. Korver,,50-53,,
11:03.0,,,50-53,,Personal foul by A. Drummond (drawn by K. Korver)
10:53.0,A. Horford misses 2-pt shot from 7 ft,,50-53,,
10:52.0,Offensive rebound by J. Teague,,50-53,,
10:52.0,,,50-53,,Loose ball foul by C. Butler (drawn by D. Carroll)
10:52.0,,,50-53,,Technical foul by C. Butler (drawn by D. Carroll)
10:52.0,K. Korver misses technical free throw,,50-53,,
10:52.0,Offensive rebound by Team,,50-53,,
10:46.0,K. Korver misses 2-pt shot from 18 ft,,50-53,,
10:45.0,,,50-53,,Defensive rebound by A. Drummond
10:38.0,,,50-53,,Turnover by C. Butler (bad pass; steal by P. Millsap)
10:28.0,Shooting foul by A. Tolliver (drawn by P. Millsap),,50-53,,
10:28.0,P. Millsap makes free throw 1 of 2,1,51-53,,
10:28.0,P. Millsap makes free throw 2 of 2,1,52-53,,
10:16.0,,,52-53,,R. Jackson misses 2-pt shot from 8 ft
10:15.0,Defensive rebound by A. Horford,,52-53,,
10:08.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,55-53,,
9:53.0,,,55-56,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by R. Jackson)
9:40.0,P. Millsap misses 3-pt shot from 26 ft,,55-56,,
9:39.0,Offensive rebound by A. Horford,,55-56,,
9:34.0,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford),3,58-56,,
9:26.0,,,58-56,,Detroit full timeout
9:26.0,,,58-56,,J. Lucas III enters the game for R. Jackson
9:16.0,,,58-58,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
9:05.0,J. Teague misses 3-pt shot from 26 ft,,58-58,,
9:04.0,,,58-58,,Defensive rebound by A. Drummond
8:46.0,,,58-61,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Lucas III)
8:25.0,Turnover by A. Horford (bad pass; steal by J. Lucas III),,58-61,,
8:18.0,,,58-61,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:17.0,,,58-61,,Offensive rebound by A. Tolliver
8:13.0,,,58-61,,C. Butler misses 2-pt shot from 14 ft
8:10.0,,,58-61,,Offensive rebound by A. Drummond
8:09.0,,,58-61,,A. Drummond misses 2-pt shot at rim
8:08.0,,,58-61,,Offensive rebound by A. Drummond
7:51.0,,,58-63,2,K. Caldwell-Pope makes 2-pt shot at rim
7:31.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague),3,61-63,,
7:19.0,,,61-63,,J. Lucas III misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by D. Carroll,,61-63,,
7:06.0,Turnover by D. Carroll (bad pass),,61-63,,
6:54.0,,,61-63,,C. Butler misses 3-pt shot from 23 ft
6:53.0,Defensive rebound by D. Carroll,,61-63,,
6:33.0,D. Carroll makes 2-pt shot from 6 ft (assist by P. Millsap),2,63-63,,
6:19.0,,,63-63,,K. Caldwell-Pope misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by P. Millsap,,63-63,,
6:02.0,,,63-63,,Personal foul by K. Caldwell-Pope (drawn by D. Carroll)
5:46.0,P. Millsap misses 2-pt shot from 16 ft,,63-63,,
5:46.0,,,63-63,,Defensive rebound by A. Drummond
5:31.0,,,63-65,2,A. Drummond makes 2-pt shot from 5 ft (assist by C. Butler)
5:15.0,A. Horford misses 2-pt shot from 14 ft,,63-65,,
5:14.0,Offensive rebound by D. Carroll,,63-65,,
5:12.0,D. Carroll makes 2-pt shot at rim,2,65-65,,
4:49.0,,,65-65,,Turnover by A. Tolliver (step out of bounds)
4:49.0,Atlanta full timeout,,65-65,,
4:49.0,P. Antic enters the game for D. Carroll,,65-65,,
