time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Zeller (J. Sullinger gains possession),,,,Jump ball: M. Gortat vs. T. Zeller (J. Sullinger gains possession)
11:47.0,Turnover by M. Smart (bad pass; steal by N. Hilario),,0-0,,
11:39.0,,,0-2,2,P. Pierce makes 2-pt shot from 14 ft (assist by J. Wall)
11:23.0,J. Green makes 2-pt shot from 14 ft,2,2-2,,
11:03.0,,,2-2,,Shooting foul by T. Zeller (drawn by M. Gortat)
11:03.0,,,2-2,,M. Gortat misses free throw 1 of 2
11:03.0,,,2-2,,Offensive rebound by Team
11:03.0,,,2-3,1,M. Gortat makes free throw 2 of 2
10:47.0,J. Green misses 3-pt shot from 25 ft,,2-3,,
10:46.0,Offensive rebound by T. Zeller,,2-3,,
10:43.0,T. Zeller misses 2-pt shot at rim,,2-3,,
10:43.0,,,2-3,,Defensive rebound by M. Gortat
10:36.0,,,2-3,,N. Hilario misses 2-pt shot from 16 ft
10:35.0,,,2-3,,Offensive rebound by B. Beal
10:30.0,,,2-3,,B. Beal misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by J. Green,,2-3,,
10:23.0,Turnover by A. Bradley (bad pass; steal by B. Beal),,2-3,,
10:19.0,,,2-3,,Shooting foul by M. Smart (drawn by P. Pierce)
10:19.0,,,2-4,1,P. Pierce makes free throw 1 of 2
10:19.0,,,2-4,,P. Pierce misses free throw 2 of 2
10:17.0,Defensive rebound by J. Green,,2-4,,
10:01.0,Turnover by J. Sullinger (lost ball; steal by P. Pierce),,2-4,,
9:56.0,,,2-6,2,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall)
9:42.0,J. Green misses 2-pt shot from 21 ft,,2-6,,
9:41.0,,,2-6,,Defensive rebound by M. Gortat
9:30.0,,,2-9,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
9:09.0,J. Sullinger misses 2-pt shot from 3 ft (block by M. Gortat),,2-9,,
9:07.0,,,2-9,,Defensive rebound by P. Pierce
9:04.0,,,2-11,2,B. Beal makes 2-pt shot from 1 ft (assist by P. Pierce)
9:03.0,Boston full timeout,,2-11,,
8:56.0,,,2-11,,Violation by M. Gortat (kicked ball)
8:49.0,Turnover by M. Smart (bad pass; steal by P. Pierce),,2-11,,
8:36.0,,,2-13,2,M. Gortat makes 2-pt shot from 7 ft
8:24.0,Turnover by M. Smart (lost ball; steal by J. Wall),,2-13,,
8:17.0,,,2-13,,B. Beal misses 2-pt shot at rim
8:16.0,,,2-13,,Offensive rebound by M. Gortat
8:15.0,,,2-15,2,M. Gortat makes 2-pt shot from 1 ft
7:59.0,A. Bradley misses 3-pt shot from 24 ft,,2-15,,
7:58.0,,,2-15,,Defensive rebound by M. Gortat
7:49.0,,,2-15,,J. Wall misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by Team,,2-15,,
7:48.0,,,2-15,,Loose ball foul by J. Wall (drawn by A. Bradley)
7:48.0,J. Nelson enters the game for M. Smart,,2-15,,
7:32.0,Offensive foul by T. Zeller,,2-15,,
7:32.0,Turnover by T. Zeller (offensive foul),,2-15,,
7:09.0,,,2-15,,Turnover by J. Wall (lost ball; steal by A. Bradley)
7:05.0,Shooting foul by P. Pierce (drawn by J. Green),,2-15,,
7:05.0,J. Green makes free throw 1 of 2,1,3-15,,
7:05.0,J. Green makes free throw 2 of 2,1,4-15,,
6:54.0,,,4-15,,Offensive foul by M. Gortat
6:54.0,,,4-15,,Turnover by M. Gortat (offensive foul)
6:45.0,Turnover by A. Bradley (bad pass; steal by M. Gortat),,4-15,,
6:37.0,,,4-15,,Turnover by J. Wall (bad pass; steal by A. Bradley)
6:30.0,T. Zeller misses 2-pt shot at rim,,4-15,,
6:29.0,,,4-15,,Defensive rebound by M. Gortat
6:17.0,,,4-15,,J. Wall misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by Team,,4-15,,
6:17.0,,,4-15,,Loose ball foul by N. Hilario (drawn by J. Sullinger)
6:01.0,J. Green makes 2-pt shot from 13 ft (assist by J. Nelson),2,6-15,,
5:38.0,,,6-18,3,P. Pierce makes 3-pt shot from 28 ft (assist by M. Gortat)
5:18.0,J. Nelson misses 3-pt shot from 27 ft,,6-18,,
5:17.0,,,6-18,,Defensive rebound by N. Hilario
5:15.0,,,6-18,,K. Humphries enters the game for N. Hilario
5:15.0,K. Olynyk enters the game for T. Zeller,,6-18,,
5:01.0,,,6-18,,J. Wall misses 2-pt shot from 19 ft
5:00.0,,,6-18,,Offensive rebound by Team
5:00.0,E. Turner enters the game for A. Bradley,,6-18,,
4:49.0,,,6-20,2,K. Humphries makes 2-pt shot from 17 ft (assist by P. Pierce)
4:38.0,K. Olynyk makes 2-pt shot at rim (assist by J. Nelson),2,8-20,,
4:12.0,,,8-22,2,K. Humphries makes 2-pt shot from 18 ft (assist by M. Gortat)
3:52.0,J. Green makes 3-pt shot from 23 ft (assist by J. Sullinger),3,11-22,,
3:33.0,,,11-24,2,K. Humphries makes 2-pt shot at rim
3:22.0,Turnover by J. Nelson (bad pass; steal by B. Beal),,11-24,,
3:16.0,,,11-26,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
2:53.0,K. Olynyk misses 2-pt shot from 11 ft,,11-26,,
2:52.0,,,11-26,,Defensive rebound by B. Beal
2:39.0,,,11-26,,K. Humphries misses 2-pt shot from 3 ft
2:38.0,,,11-26,,Offensive rebound by K. Humphries
2:38.0,,,11-28,2,K. Humphries makes 2-pt shot from 3 ft
2:38.0,Boston full timeout,,11-28,,
2:38.0,,,11-28,,Washington full timeout
2:38.0,B. Bass enters the game for J. Sullinger,,11-28,,
2:38.0,,,11-28,,R. Butler enters the game for P. Pierce
2:24.0,Shooting foul by K. Humphries (drawn by K. Olynyk),,11-28,,
2:24.0,K. Olynyk makes free throw 1 of 2,1,12-28,,
2:24.0,K. Olynyk misses free throw 2 of 2,,12-28,,
2:22.0,,,12-28,,Defensive rebound by R. Butler
1:56.0,,,12-28,,R. Butler misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by J. Nelson,,12-28,,
1:38.0,J. Green misses 3-pt shot from 25 ft,,12-28,,
1:37.0,,,12-28,,Defensive rebound by M. Gortat
1:20.0,,,12-28,,K. Humphries misses 2-pt shot from 1 ft
1:19.0,,,12-28,,Offensive rebound by K. Humphries
1:17.0,,,12-28,,K. Humphries misses 2-pt shot at rim
1:16.0,Defensive rebound by B. Bass,,12-28,,
1:02.0,B. Bass misses 2-pt shot from 4 ft,,12-28,,
1:01.0,,,12-28,,Defensive rebound by M. Gortat
0:54.0,,,12-28,,Turnover by J. Wall (lost ball; steal by E. Turner)
0:45.0,J. Green misses 3-pt shot from 24 ft (block by B. Beal),,12-28,,
0:43.0,,,12-28,,Defensive rebound by J. Wall
0:34.0,,,12-30,2,J. Wall makes 2-pt shot at rim
0:19.0,J. Nelson misses 3-pt shot from 26 ft,,12-30,,
0:18.0,,,12-30,,Defensive rebound by R. Butler
0:02.0,,,12-30,,K. Humphries misses 2-pt shot from 22 ft
0:01.0,Defensive rebound by B. Bass,,12-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,12-32,2,O. Porter makes 2-pt shot from 20 ft (assist by K. Humphries)
11:29.0,E. Turner misses 2-pt shot from 1 ft,,12-32,,
11:28.0,Offensive rebound by K. Olynyk,,12-32,,
11:26.0,K. Olynyk makes 2-pt shot at rim,2,14-32,,
11:11.0,,,14-34,2,K. Humphries makes 2-pt shot at rim (assist by R. Butler)
10:56.0,Shooting foul by K. Seraphin (drawn by K. Olynyk),,14-34,,
10:56.0,K. Olynyk makes free throw 1 of 2,1,15-34,,
10:56.0,P. Pressey enters the game for J. Nelson,,15-34,,
10:56.0,K. Olynyk makes free throw 2 of 2,1,16-34,,
10:43.0,,,16-36,2,R. Butler makes 2-pt shot from 20 ft (assist by K. Humphries)
10:25.0,E. Turner makes 2-pt shot from 14 ft,2,18-36,,
10:13.0,,,18-36,,R. Butler misses 2-pt shot from 14 ft
10:13.0,,,18-36,,Offensive rebound by Team
10:13.0,Loose ball foul by K. Olynyk (drawn by K. Humphries),,18-36,,
9:57.0,,,18-38,2,K. Seraphin makes 2-pt shot from 8 ft (assist by O. Porter)
9:43.0,B. Bass misses 2-pt shot from 3 ft,,18-38,,
9:42.0,Offensive rebound by J. Crowder,,18-38,,
9:40.0,J. Crowder makes 2-pt shot at rim,2,20-38,,
9:34.0,,,20-38,,Turnover by A. Miller (lost ball; steal by P. Pressey)
9:29.0,P. Pressey misses 2-pt shot at rim (block by A. Miller),,20-38,,
9:29.0,,,20-38,,Defensive rebound by Team
9:19.0,,,20-38,,Turnover by A. Miller (lost ball; steal by P. Pressey)
9:14.0,P. Pressey misses 2-pt shot from 1 ft,,20-38,,
9:13.0,,,20-38,,Defensive rebound by K. Humphries
9:05.0,,,20-38,,Turnover by K. Seraphin (lost ball)
8:52.0,K. Olynyk misses 3-pt shot from 25 ft,,20-38,,
8:51.0,,,20-38,,Defensive rebound by A. Miller
8:40.0,,,20-40,2,K. Humphries makes 2-pt shot from 13 ft (assist by A. Miller)
8:19.0,Turnover by E. Turner (bad pass),,20-40,,
8:19.0,Official timeout,,20-40,,
8:19.0,B. Wright enters the game for B. Bass,,20-40,,
8:03.0,,,20-42,2,K. Seraphin makes 2-pt shot from 2 ft (assist by R. Butler)
7:42.0,B. Wright makes 2-pt shot from 8 ft (assist by E. Turner),2,22-42,,
7:24.0,,,22-44,2,K. Seraphin makes 2-pt shot from 16 ft (assist by A. Miller)
7:12.0,,,22-44,,Personal foul by A. Miller (drawn by P. Pressey)
7:04.0,E. Turner makes 2-pt shot from 13 ft,2,24-44,,
6:48.0,Personal foul by P. Pressey (drawn by K. Humphries),,24-44,,
6:48.0,J. Sullinger enters the game for K. Olynyk,,24-44,,
6:38.0,,,24-44,,Turnover by K. Seraphin (lost ball; steal by J. Sullinger)
6:25.0,Shooting foul by O. Porter (drawn by E. Turner),,24-44,,
6:25.0,E. Turner misses free throw 1 of 2,,24-44,,
6:25.0,Offensive rebound by Team,,24-44,,
6:25.0,E. Turner makes free throw 2 of 2,1,25-44,,
6:11.0,,,25-44,,K. Seraphin misses 2-pt shot from 2 ft (block by J. Crowder)
6:10.0,Defensive rebound by B. Wright,,25-44,,
5:58.0,J. Crowder misses 2-pt shot from 1 ft,,25-44,,
5:57.0,,,25-44,,Defensive rebound by K. Humphries
5:38.0,,,25-44,,K. Seraphin misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by P. Pressey,,25-44,,
5:29.0,J. Sullinger makes 2-pt shot from 1 ft (assist by P. Pressey),2,27-44,,
5:18.0,Personal foul by P. Pressey (drawn by A. Miller),,27-44,,
5:18.0,,,27-44,,Washington full timeout
5:18.0,,,27-44,,J. Wall enters the game for A. Miller
5:18.0,,,27-44,,N. Hilario enters the game for K. Humphries
5:18.0,,,27-44,,B. Beal enters the game for O. Porter
5:05.0,,,27-46,2,N. Hilario makes 2-pt shot from 1 ft
5:05.0,,,27-46,,Shooting foul by B. Wright (drawn by N. Hilario)
5:05.0,,,27-47,1,N. Hilario makes free throw 1 of 1
4:49.0,E. Turner makes 2-pt shot from 14 ft (assist by J. Sullinger),2,29-47,,
4:30.0,,,29-50,3,R. Butler makes 3-pt shot from 23 ft (assist by N. Hilario)
4:19.0,E. Turner misses 3-pt shot from 26 ft,,29-50,,
4:18.0,,,29-50,,Defensive rebound by J. Wall
4:10.0,,,29-50,,Shooting foul by E. Turner (drawn by N. Hilario)
4:10.0,,,29-50,,N. Hilario misses free throw 1 of 2
4:10.0,,,29-50,,Offensive rebound by Team
4:10.0,,,29-50,,M. Gortat enters the game for K. Seraphin
4:10.0,A. Bradley enters the game for P. Pressey,,29-50,,
4:10.0,J. Green enters the game for J. Crowder,,29-50,,
4:10.0,,,29-51,1,N. Hilario makes free throw 2 of 2
3:59.0,E. Turner misses 2-pt shot from 14 ft,,29-51,,
3:57.0,,,29-51,,Defensive rebound by M. Gortat
3:44.0,,,29-51,,M. Gortat misses 2-pt shot from 11 ft
3:43.0,Defensive rebound by J. Sullinger,,29-51,,
3:35.0,Turnover by E. Turner (bad pass; steal by J. Wall),,29-51,,
3:31.0,,,29-51,,Turnover by J. Wall (bad pass)
3:31.0,M. Smart enters the game for E. Turner,,29-51,,
3:31.0,Boston full timeout,,29-51,,
3:31.0,K. Olynyk enters the game for B. Wright,,29-51,,
3:10.0,J. Green misses 2-pt shot from 4 ft,,29-51,,
3:09.0,,,29-51,,Defensive rebound by B. Beal
3:03.0,,,29-51,,Turnover by B. Beal (bad pass)
2:52.0,J. Green makes 2-pt shot from 12 ft,2,31-51,,
2:36.0,,,31-53,2,B. Beal makes 2-pt shot from 18 ft
2:26.0,J. Sullinger makes 3-pt shot from 27 ft (assist by M. Smart),3,34-53,,
2:06.0,,,34-53,,B. Beal misses 2-pt shot from 19 ft
2:05.0,Defensive rebound by J. Sullinger,,34-53,,
2:00.0,Offensive foul by M. Smart,,34-53,,
2:00.0,Turnover by M. Smart (offensive foul),,34-53,,
2:00.0,,,34-53,,P. Pierce enters the game for R. Butler
1:40.0,,,34-53,,J. Wall misses 2-pt shot from 12 ft
1:38.0,,,34-53,,Offensive rebound by Team
1:26.0,,,34-53,,M. Gortat misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by J. Sullinger,,34-53,,
1:20.0,,,34-53,,Personal foul by J. Wall (drawn by K. Olynyk)
1:15.0,A. Bradley misses 2-pt shot from 16 ft,,34-53,,
1:14.0,,,34-53,,Defensive rebound by P. Pierce
1:04.0,,,34-53,,N. Hilario misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by M. Smart,,34-53,,
0:59.0,,,34-53,,Shooting block foul by P. Pierce (drawn by J. Green)
0:59.0,J. Green makes free throw 1 of 2,1,35-53,,
0:59.0,J. Green makes free throw 2 of 2,1,36-53,,
0:43.0,,,36-53,,P. Pierce misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by M. Smart,,36-53,,
0:38.0,Offensive foul by J. Green,,36-53,,
0:38.0,Turnover by J. Green (offensive foul),,36-53,,
0:30.0,,,36-56,3,P. Pierce makes 3-pt shot from 23 ft (assist by J. Wall)
0:17.0,J. Sullinger makes 3-pt shot from 25 ft (assist by M. Smart),3,39-56,,
0:01.0,,,39-56,,J. Wall misses 2-pt shot from 7 ft
0:00.0,,,39-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,39-58,2,B. Beal makes 2-pt shot from 1 ft
11:15.0,A. Bradley misses 2-pt shot at rim,,39-58,,
11:13.0,,,39-58,,Defensive rebound by N. Hilario
10:53.0,,,39-60,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
10:37.0,J. Green misses 3-pt shot from 26 ft,,39-60,,
10:36.0,Offensive rebound by K. Olynyk,,39-60,,
10:36.0,,,39-60,,Personal foul by M. Gortat (drawn by K. Olynyk)
10:36.0,J. Nelson enters the game for M. Smart,,39-60,,
10:26.0,J. Green makes 2-pt shot from 1 ft,2,41-60,,
10:26.0,Shooting foul by P. Pierce (drawn by J. Green),,41-60,,
10:26.0,J. Green makes free throw 1 of 1,1,42-60,,
10:04.0,,,42-60,,B. Beal misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by J. Green,,42-60,,
9:59.0,K. Olynyk makes 2-pt shot at rim (assist by A. Bradley),2,44-60,,
9:34.0,,,44-60,,N. Hilario misses 2-pt shot from 9 ft
9:32.0,Defensive rebound by J. Green,,44-60,,
9:22.0,K. Olynyk misses 2-pt shot from 11 ft,,44-60,,
