time,Orlando,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Vucevic (M. Ellis gains possession),,,,Jump ball: T. Chandler vs. N. Vucevic (M. Ellis gains possession)
11:43.0,,,0-2,2,M. Ellis makes 2-pt shot from 6 ft
11:24.0,V. Oladipo misses 2-pt shot from 1 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by Team
11:14.0,Personal foul by C. Frye (drawn by M. Ellis),,0-2,,
11:02.0,,,0-4,2,C. Parsons makes 2-pt shot from 2 ft
10:47.0,C. Frye misses 3-pt shot from 24 ft,,0-4,,
10:46.0,,,0-4,,Defensive rebound by T. Chandler
10:44.0,,,0-4,,Turnover by T. Chandler (bad pass; steal by M. Harkless)
10:33.0,M. Harkless misses 2-pt shot from 6 ft,,0-4,,
10:31.0,,,0-4,,Defensive rebound by M. Ellis
10:24.0,,,0-7,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Rondo)
10:10.0,Turnover by M. Harkless (bad pass; steal by R. Rondo),,0-7,,
10:03.0,,,0-10,3,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis)
9:43.0,V. Oladipo misses 3-pt shot from 26 ft,,0-10,,
9:42.0,,,0-10,,Defensive rebound by T. Chandler
9:36.0,,,0-12,2,R. Rondo makes 2-pt shot from 1 ft
9:35.0,Orlando full timeout,,0-12,,
9:22.0,M. Harkless makes 3-pt shot from 23 ft (assist by V. Oladipo),3,3-12,,
9:05.0,,,3-12,,D. Nowitzki misses 2-pt shot from 15 ft
9:04.0,Defensive rebound by N. Vucevic,,3-12,,
8:54.0,,,3-12,,Personal foul by C. Parsons (drawn by N. Vucevic)
8:41.0,N. Vucevic makes 2-pt shot from 6 ft (assist by C. Frye),2,5-12,,
8:26.0,,,5-12,,D. Nowitzki misses 3-pt shot from 24 ft
8:25.0,,,5-12,,Offensive rebound by R. Rondo
8:23.0,,,5-12,,Turnover by R. Rondo (lost ball)
8:13.0,C. Frye makes 3-pt shot from 25 ft (assist by V. Oladipo),3,8-12,,
7:56.0,,,8-14,2,M. Ellis makes 2-pt shot from 18 ft (assist by R. Rondo)
7:41.0,Offensive foul by V. Oladipo,,8-14,,
7:41.0,Turnover by V. Oladipo (offensive foul),,8-14,,
7:29.0,,,8-16,2,R. Rondo makes 2-pt shot at rim (assist by D. Nowitzki)
7:13.0,M. Harkless makes 3-pt shot from 23 ft (assist by E. Payton),3,11-16,,
6:58.0,,,11-19,3,M. Ellis makes 3-pt shot from 25 ft (assist by C. Parsons)
6:30.0,C. Frye misses 3-pt shot from 24 ft,,11-19,,
6:28.0,,,11-19,,Defensive rebound by D. Nowitzki
6:22.0,,,11-19,,Turnover by R. Rondo (lost ball; steal by M. Harkless)
6:14.0,Shooting foul by D. Nowitzki (drawn by V. Oladipo),,11-19,,
6:14.0,V. Oladipo makes free throw 1 of 2,1,12-19,,
6:14.0,,,12-19,,C. Villanueva enters the game for D. Nowitzki
6:14.0,V. Oladipo makes free throw 2 of 2,1,13-19,,
6:06.0,,,13-19,,Turnover by C. Parsons (lost ball; steal by M. Harkless)
5:59.0,V. Oladipo misses 3-pt shot from 26 ft,,13-19,,
5:57.0,Offensive rebound by N. Vucevic,,13-19,,
5:52.0,C. Frye misses 2-pt shot from 14 ft,,13-19,,
5:51.0,,,13-19,,Defensive rebound by C. Parsons
5:44.0,,,13-19,,C. Parsons misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by V. Oladipo,,13-19,,
5:35.0,Turnover by V. Oladipo (bad pass),,13-19,,
5:15.0,,,13-19,,Turnover by R. Rondo (bad pass; steal by C. Frye)
5:04.0,,,13-19,,Personal foul by M. Ellis (drawn by M. Harkless)
5:04.0,A. Gordon enters the game for C. Frye,,13-19,,
4:49.0,E. Payton misses 3-pt shot from 25 ft,,13-19,,
4:48.0,,,13-19,,Defensive rebound by T. Chandler
4:40.0,Violation by N. Vucevic (kicked ball),,13-19,,
4:27.0,,,13-19,,C. Villanueva misses 2-pt shot from 7 ft
4:24.0,Defensive rebound by A. Gordon,,13-19,,
4:16.0,A. Gordon misses 3-pt shot from 27 ft,,13-19,,
4:15.0,,,13-19,,Defensive rebound by R. Rondo
4:09.0,,,13-22,3,C. Villanueva makes 3-pt shot from 22 ft (assist by R. Rondo)
3:55.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,15-22,,
3:47.0,,,15-24,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
3:33.0,E. Payton makes 2-pt shot from 1 ft,2,17-24,,
3:32.0,,,17-24,,Dallas full timeout
3:32.0,,,17-24,,D. Harris enters the game for T. Chandler
3:32.0,,,17-24,,A. Stoudemire enters the game for R. Rondo
3:32.0,B. Gordon enters the game for V. Oladipo,,17-24,,
3:20.0,,,17-24,,Turnover by M. Ellis (lost ball; steal by E. Payton)
3:16.0,E. Payton makes 2-pt shot from 2 ft,2,19-24,,
2:59.0,,,19-26,2,A. Stoudemire makes 2-pt shot from 4 ft
