time,Toronto,pts.away,score,pts.home,Chicago
0:32.0,,,22-28,,Defensive rebound by N. Mirotic
0:24.0,,,22-28,,N. Mirotic misses 3-pt shot from 25 ft (block by T. Hansbrough)
0:21.0,,,22-28,,Offensive rebound by N. Mirotic
0:21.0,,,22-30,2,N. Mirotic makes 2-pt shot from 1 ft
0:05.0,,,22-30,,Personal foul by T. Snell (drawn by D. DeRozan)
0:05.0,D. DeRozan makes free throw 1 of 2,1,23-30,,
0:05.0,,,23-30,,A. Brooks enters the game for T. Gibson
0:05.0,D. DeRozan makes free throw 2 of 2,1,24-30,,
0:03.0,Personal take foul by L. Williams (drawn by A. Brooks),,24-30,,
0:00.0,,,24-32,2,N. Mirotic makes 2-pt shot from 1 ft (assist by K. Hinrich)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by J. Johnson (drawn by N. Mirotic),,24-32,,
11:32.0,,,24-32,,N. Mirotic misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by G. Vasquez,,24-32,,
11:18.0,G. Vasquez makes 2-pt shot from 2 ft,2,26-32,,
10:55.0,,,26-34,2,E. Moore makes 2-pt shot from 19 ft
10:40.0,Shooting foul by J. Noah (drawn by L. Williams),,26-34,,
10:40.0,L. Williams makes free throw 1 of 2,1,27-34,,
10:40.0,,,27-34,,D. McDermott enters the game for T. Gibson
10:40.0,L. Williams makes free throw 2 of 2,1,28-34,,
10:22.0,,,28-34,,Shooting foul by T. Hansbrough (drawn by N. Mirotic)
10:22.0,,,28-35,1,N. Mirotic makes free throw 1 of 2
10:22.0,,,28-35,,N. Mirotic misses free throw 2 of 2
10:20.0,Defensive rebound by P. Patterson,,28-35,,
10:08.0,L. Williams makes 3-pt shot from 24 ft,3,31-35,,
9:58.0,,,31-38,3,D. McDermott makes 3-pt shot from 24 ft (assist by J. Noah)
9:36.0,G. Vasquez misses 3-pt shot from 24 ft,,31-38,,
9:35.0,,,31-38,,Defensive rebound by E. Moore
9:14.0,,,31-38,,N. Mirotic misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by G. Vasquez,,31-38,,
8:59.0,P. Patterson makes 2-pt shot from 6 ft,2,33-38,,
8:47.0,,,33-38,,D. McDermott misses 3-pt shot from 24 ft
8:46.0,,,33-38,,Offensive rebound by D. McDermott
8:44.0,,,33-38,,Offensive charge foul by D. McDermott
8:44.0,,,33-38,,Turnover by D. McDermott (offensive foul)
8:44.0,Toronto full timeout,,33-38,,
8:44.0,D. DeRozan enters the game for J. Johnson,,33-38,,
8:44.0,,,33-38,,A. Brooks enters the game for D. McDermott
8:44.0,,,33-38,,T. Snell enters the game for E. Moore
8:26.0,P. Patterson makes 2-pt shot from 12 ft,2,35-38,,
8:12.0,,,35-40,2,T. Snell makes 2-pt shot from 1 ft (assist by J. Noah)
7:46.0,P. Patterson misses 2-pt shot from 18 ft,,35-40,,
7:44.0,,,35-40,,Defensive rebound by T. Snell
7:30.0,,,35-42,2,J. Noah makes 2-pt shot at rim (assist by A. Brooks)
7:11.0,Shooting foul by A. Brooks (drawn by G. Vasquez),,35-42,,
7:11.0,D. DeRozan makes free throw 1 of 2,1,36-42,,
7:11.0,D. DeRozan makes free throw 2 of 2,1,37-42,,
7:01.0,,,37-44,2,T. Snell makes 2-pt shot at rim (assist by J. Noah)
6:44.0,G. Vasquez makes 3-pt shot from 23 ft (assist by L. Williams),3,40-44,,
6:22.0,,,40-44,,N. Mirotic misses 3-pt shot from 25 ft
6:21.0,,,40-44,,Offensive rebound by A. Brooks
6:13.0,,,40-46,2,T. Snell makes 2-pt shot from 3 ft (assist by J. Noah)
5:48.0,L. Williams misses 2-pt shot from 17 ft,,40-46,,
5:47.0,,,40-46,,Defensive rebound by N. Mirotic
5:39.0,,,40-46,,T. Snell misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by D. DeRozan,,40-46,,
5:25.0,T. Hansbrough makes 2-pt shot at rim (assist by P. Patterson),2,42-46,,
4:58.0,,,42-49,3,K. Hinrich makes 3-pt shot from 23 ft (assist by J. Noah)
4:50.0,Toronto full timeout,,42-49,,
4:50.0,,,42-49,,P. Gasol enters the game for J. Noah
4:50.0,J. Valanciunas enters the game for L. Williams,,42-49,,
4:50.0,A. Johnson enters the game for P. Patterson,,42-49,,
4:50.0,T. Ross enters the game for T. Hansbrough,,42-49,,
4:34.0,D. DeRozan misses 2-pt shot from 5 ft,,42-49,,
4:34.0,,,42-49,,Defensive rebound by Team
4:34.0,Loose ball foul by J. Valanciunas (drawn by P. Gasol),,42-49,,
4:34.0,,,42-49,,M. Dunleavy enters the game for K. Hinrich
4:23.0,,,42-51,2,A. Brooks makes 2-pt shot from 2 ft
4:08.0,G. Vasquez misses 2-pt shot from 11 ft,,42-51,,
4:07.0,,,42-51,,Defensive rebound by N. Mirotic
3:51.0,,,42-51,,Turnover by T. Snell (traveling)
3:41.0,D. DeRozan makes 2-pt shot from 14 ft (assist by G. Vasquez),2,44-51,,
3:27.0,,,44-53,2,N. Mirotic makes 2-pt shot from 2 ft
3:12.0,A. Johnson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,47-53,,
2:53.0,,,47-55,2,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol)
2:32.0,T. Ross misses 2-pt shot from 2 ft (block by N. Mirotic),,47-55,,
2:30.0,,,47-55,,Defensive rebound by N. Mirotic
2:24.0,,,47-55,,Chicago full timeout
2:24.0,L. Williams enters the game for G. Vasquez,,47-55,,
2:11.0,,,47-57,2,A. Brooks makes 2-pt shot from 1 ft
1:49.0,A. Johnson misses 2-pt shot from 6 ft (block by P. Gasol),,47-57,,
1:47.0,,,47-57,,Defensive rebound by A. Brooks
1:39.0,,,47-57,,P. Gasol misses 2-pt shot from 20 ft
1:38.0,Defensive rebound by L. Williams,,47-57,,
1:21.0,T. Ross misses 3-pt shot from 24 ft,,47-57,,
1:19.0,Offensive rebound by J. Valanciunas,,47-57,,
1:19.0,Shooting foul by T. Snell (drawn by J. Valanciunas),,47-57,,
1:19.0,J. Valanciunas makes free throw 1 of 2,1,48-57,,
1:19.0,P. Patterson enters the game for A. Johnson,,48-57,,
1:19.0,,,48-57,,K. Hinrich enters the game for T. Snell
1:19.0,J. Valanciunas misses free throw 2 of 2,,48-57,,
1:17.0,,,48-57,,Defensive rebound by N. Mirotic
0:55.0,,,48-57,,M. Dunleavy misses 3-pt shot from 23 ft
0:54.0,,,48-57,,Offensive rebound by A. Brooks
0:38.0,,,48-57,,A. Brooks misses 2-pt shot from 5 ft
0:37.0,,,48-57,,Offensive rebound by A. Brooks
0:32.0,,,48-57,,Turnover by M. Dunleavy (bad pass; steal by P. Patterson)
0:10.0,L. Williams misses 2-pt shot from 7 ft,,48-57,,
0:09.0,,,48-57,,Defensive rebound by P. Gasol
0:00.0,,,48-60,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-60,,P. Gasol misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by A. Johnson,,48-60,,
11:33.0,D. DeRozan misses 2-pt shot from 19 ft,,48-60,,
11:32.0,,,48-60,,Defensive rebound by P. Gasol
11:12.0,,,48-60,,Turnover by P. Gasol (bad pass; steal by T. Ross)
10:53.0,G. Vasquez makes 2-pt shot from 9 ft,2,50-60,,
10:32.0,,,50-60,,A. Brooks misses 2-pt shot from 2 ft
10:31.0,Defensive rebound by G. Vasquez,,50-60,,
10:24.0,T. Ross misses 3-pt shot from 24 ft,,50-60,,
10:23.0,,,50-60,,Defensive rebound by M. Dunleavy
10:11.0,,,50-60,,Shooting foul by J. Valanciunas (drawn by P. Gasol)
10:11.0,,,50-61,1,P. Gasol makes free throw 1 of 2
10:11.0,,,50-62,1,P. Gasol makes free throw 2 of 2
9:55.0,J. Valanciunas misses 2-pt shot from 5 ft,,50-62,,
9:54.0,,,50-62,,Defensive rebound by J. Noah
9:41.0,,,50-62,,M. Dunleavy misses 2-pt shot from 16 ft
9:40.0,Defensive rebound by T. Ross,,50-62,,
9:35.0,T. Ross misses 2-pt shot from 2 ft,,50-62,,
9:34.0,,,50-62,,Defensive rebound by J. Noah
9:24.0,,,50-64,2,P. Gasol makes 2-pt shot from 15 ft (assist by J. Noah)
9:07.0,A. Johnson misses 2-pt shot from 2 ft,,50-64,,
9:06.0,,,50-64,,Defensive rebound by J. Noah
8:54.0,,,50-64,,Turnover by P. Gasol (bad pass; steal by J. Valanciunas)
8:48.0,G. Vasquez misses 2-pt shot at rim,,50-64,,
8:48.0,,,50-64,,Defensive rebound by Team
8:37.0,,,50-66,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
8:37.0,,,50-66,,Shooting foul by D. DeRozan (drawn by M. Dunleavy)
8:37.0,,,50-67,1,M. Dunleavy makes free throw 1 of 1
8:31.0,,,50-67,,Personal foul by T. Snell (drawn by D. DeRozan)
8:31.0,,,50-67,,K. Hinrich enters the game for T. Snell
8:23.0,D. DeRozan makes 2-pt shot from 2 ft (assist by A. Johnson),2,52-67,,
8:08.0,Personal foul by J. Valanciunas (drawn by J. Noah),,52-67,,
8:00.0,,,52-69,2,M. Dunleavy makes 2-pt shot from 20 ft (assist by A. Brooks)
7:45.0,Shooting foul by J. Noah (drawn by D. DeRozan),,52-69,,
7:45.0,D. DeRozan misses free throw 1 of 2,,52-69,,
7:45.0,Offensive rebound by Team,,52-69,,
7:45.0,D. DeRozan makes free throw 2 of 2,1,53-69,,
