time,San Antonio,pts.away,score,pts.home,LA Clippers
0:04.0,Shooting foul by C. Paul (drawn by M. Belinelli),,27-24,,
0:04.0,M. Belinelli misses free throw 1 of 2,,27-24,,
0:04.0,Offensive rebound by Team,,27-24,,
0:04.0,,,27-24,,J. Redick enters the game for G. Davis
0:04.0,K. Leonard enters the game for T. Splitter,,27-24,,
0:04.0,M. Belinelli makes free throw 2 of 2,1,28-24,,
0:01.0,,,28-24,,J. Crawford misses 3-pt shot from 45 ft
0:00.0,,,28-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,28-26,2,B. Griffin makes 2-pt shot from 2 ft
11:40.0,B. Diaw misses 2-pt shot from 20 ft,,28-26,,
11:39.0,Offensive rebound by T. Splitter,,28-26,,
11:25.0,B. Diaw misses 3-pt shot from 27 ft,,28-26,,
11:24.0,,,28-26,,Defensive rebound by J. Crawford
11:06.0,,,28-26,,B. Griffin misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by B. Diaw,,28-26,,
10:52.0,M. Ginobili makes 2-pt shot from 1 ft (assist by P. Mills),2,30-26,,
10:52.0,Shooting foul by G. Davis (drawn by M. Ginobili),,30-26,,
10:52.0,M. Ginobili makes free throw 1 of 1,1,31-26,,
10:43.0,Personal foul by P. Mills (drawn by B. Griffin),,31-26,,
10:31.0,,,31-28,2,B. Griffin makes 2-pt shot from 10 ft
10:18.0,M. Ginobili misses 2-pt shot from 5 ft,,31-28,,
10:17.0,,,31-28,,Defensive rebound by J. Redick
10:08.0,Personal foul by P. Mills (drawn by J. Crawford),,31-28,,
10:08.0,C. Joseph enters the game for P. Mills,,31-28,,
9:58.0,,,31-28,,A. Rivers misses 2-pt shot from 6 ft (block by C. Joseph)
9:57.0,Defensive rebound by M. Ginobili,,31-28,,
9:55.0,,,31-28,,Technical foul by Team
9:55.0,M. Belinelli makes technical free throw,1,32-28,,
9:41.0,M. Ginobili misses 3-pt shot from 26 ft,,32-28,,
9:40.0,,,32-28,,Defensive rebound by J. Crawford
9:27.0,,,32-30,2,B. Griffin makes 2-pt shot at rim (assist by J. Crawford)
9:27.0,San Antonio full timeout,,32-30,,
9:27.0,D. Green enters the game for C. Joseph,,32-30,,
9:13.0,M. Belinelli misses 3-pt shot from 27 ft,,32-30,,
9:12.0,,,32-30,,Defensive rebound by J. Crawford
8:53.0,,,32-32,2,A. Rivers makes 2-pt shot from 20 ft (assist by J. Redick)
8:37.0,M. Belinelli misses 3-pt shot from 25 ft,,32-32,,
8:35.0,Offensive rebound by M. Belinelli,,32-32,,
8:29.0,M. Ginobili misses 3-pt shot from 26 ft,,32-32,,
8:28.0,,,32-32,,Defensive rebound by B. Griffin
8:15.0,,,32-34,2,J. Crawford makes 2-pt shot from 10 ft (assist by B. Griffin)
8:01.0,Turnover by T. Splitter (step out of bounds),,32-34,,
7:46.0,,,32-36,2,J. Crawford makes 2-pt shot from 16 ft
7:26.0,Shooting foul by J. Crawford (drawn by T. Splitter),,32-36,,
7:26.0,T. Splitter misses free throw 1 of 2,,32-36,,
7:26.0,Offensive rebound by Team,,32-36,,
7:26.0,,,32-36,,D. Jordan enters the game for G. Davis
7:26.0,T. Duncan enters the game for B. Diaw,,32-36,,
7:26.0,T. Splitter makes free throw 2 of 2,1,33-36,,
7:11.0,,,33-36,,J. Crawford misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by T. Splitter,,33-36,,
7:04.0,Shooting foul by D. Jordan (drawn by M. Ginobili),,33-36,,
7:04.0,M. Ginobili makes 2-pt shot from 2 ft,2,35-36,,
7:04.0,M. Bonner enters the game for T. Splitter,,35-36,,
7:04.0,M. Ginobili misses free throw 1 of 1,,35-36,,
7:03.0,,,35-36,,Defensive rebound by D. Jordan
6:44.0,,,35-38,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
