time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. I. Mahinmi (D. West gains possession),,,,Jump ball: L. Amundson vs. I. Mahinmi (D. West gains possession)
11:46.0,,,0-0,,Turnover by I. Mahinmi (lost ball; steal by C. Early)
11:25.0,Turnover by L. Amundson (lost ball; steal by I. Mahinmi),,0-0,,
11:09.0,,,0-2,2,I. Mahinmi makes 2-pt shot from 5 ft
11:09.0,,,0-2,,Shooting foul by L. Amundson (drawn by I. Mahinmi)
11:09.0,,,0-2,,I. Mahinmi misses free throw 1 of 1
11:09.0,Defensive rebound by C. Early,,0-2,,
10:52.0,Turnover by L. Amundson (bad pass),,0-2,,
10:39.0,,,0-2,,C. Miles misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by L. Galloway,,0-2,,
10:28.0,A. Bargnani misses 2-pt shot from 18 ft,,0-2,,
10:27.0,,,0-2,,Defensive rebound by G. Hill
10:13.0,,,0-5,3,C. Miles makes 3-pt shot from 27 ft (assist by G. Hill)
9:59.0,C. Early misses 3-pt shot from 26 ft,,0-5,,
9:58.0,,,0-5,,Defensive rebound by G. Hill
9:50.0,,,0-7,2,G. Hill makes 2-pt shot at rim
9:32.0,L. Amundson makes 2-pt shot from 17 ft (assist by C. Early),2,2-7,,
9:24.0,Personal foul by C. Early (drawn by C. Miles),,2-7,,
9:24.0,,,2-8,1,C. Miles makes free throw 1 of 3
9:24.0,,,2-9,1,C. Miles makes free throw 2 of 3
9:24.0,,,2-10,1,C. Miles makes free throw 3 of 3
9:07.0,A. Bargnani makes 2-pt shot from 18 ft (assist by T. Hardaway),2,4-10,,
8:51.0,,,4-12,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
8:28.0,A. Bargnani makes 2-pt shot from 20 ft,2,6-12,,
8:02.0,,,6-12,,D. West misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by C. Early,,6-12,,
7:49.0,A. Bargnani misses 2-pt shot from 1 ft,,6-12,,
7:48.0,,,6-12,,Defensive rebound by C. Miles
7:42.0,,,6-12,,Shooting foul by T. Hardaway (drawn by C. Miles)
7:42.0,,,6-13,1,C. Miles makes free throw 1 of 2
7:42.0,,,6-14,1,C. Miles makes free throw 2 of 2
7:25.0,,,6-14,,Personal foul by G. Hill (drawn by L. Galloway)
7:20.0,T. Hardaway makes 2-pt shot from 6 ft (assist by A. Bargnani),2,8-14,,
7:20.0,,,8-14,,Shooting block foul by S. Hill (drawn by T. Hardaway)
7:20.0,T. Hardaway makes free throw 1 of 1,1,9-14,,
7:07.0,,,9-14,,S. Hill misses 2-pt shot from 9 ft
7:06.0,Defensive rebound by A. Bargnani,,9-14,,
6:57.0,T. Hardaway misses 2-pt shot from 2 ft,,9-14,,
6:56.0,Offensive rebound by T. Hardaway,,9-14,,
6:56.0,,,9-14,,Loose ball foul by I. Mahinmi (drawn by T. Hardaway)
6:51.0,L. Galloway makes 2-pt shot at rim (assist by L. Amundson),2,11-14,,
6:35.0,,,11-16,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
6:18.0,L. Galloway misses 2-pt shot from 1 ft,,11-16,,
6:17.0,Offensive rebound by L. Amundson,,11-16,,
6:17.0,L. Amundson makes 2-pt shot at rim,2,13-16,,
6:02.0,,,13-16,,Turnover by D. West (traveling)
5:49.0,T. Hardaway misses 2-pt shot from 3 ft,,13-16,,
5:47.0,,,13-16,,Defensive rebound by I. Mahinmi
5:42.0,,,13-16,,Offensive foul by D. West
5:42.0,,,13-16,,Turnover by D. West (offensive foul)
5:42.0,,,13-16,,Indiana full timeout
5:42.0,L. Thomas enters the game for C. Early,,13-16,,
5:26.0,Turnover by L. Amundson (bad pass; steal by G. Hill),,13-16,,
5:20.0,,,13-18,2,G. Hill makes 2-pt shot from 3 ft
4:59.0,T. Hardaway misses 2-pt shot at rim,,13-18,,
4:57.0,,,13-18,,Defensive rebound by S. Hill
4:47.0,,,13-20,2,D. West makes 2-pt shot from 20 ft (assist by S. Hill)
4:22.0,Turnover by A. Bargnani (lost ball; steal by D. West),,13-20,,
4:14.0,,,13-22,2,S. Hill makes 2-pt shot from 5 ft
3:59.0,Turnover by T. Hardaway (bad pass; steal by C. Miles),,13-22,,
3:45.0,,,13-22,,C. Miles misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by L. Galloway,,13-22,,
3:36.0,A. Bargnani makes 2-pt shot from 1 ft,2,15-22,,
3:15.0,,,15-22,,I. Mahinmi misses 2-pt shot from 1 ft
