time,Chicago,pts.away,score,pts.home,Sacramento
2:32.0,A. Brooks misses 2-pt shot from 15 ft,,86-99,,
2:28.0,,,86-99,,Defensive rebound by D. Cousins
2:10.0,,,86-99,,D. Collison misses 2-pt shot from 20 ft
2:09.0,Defensive rebound by J. Noah,,86-99,,
1:59.0,M. Dunleavy misses 3-pt shot from 24 ft,,86-99,,
1:59.0,,,86-99,,Defensive rebound by D. Collison
1:44.0,,,86-99,,D. Cousins misses 2-pt shot from 8 ft
1:43.0,Defensive rebound by T. Gibson,,86-99,,
1:37.0,,,86-99,,Turnover by R. Gay (bad pass)
1:37.0,Turnover by A. Brooks (bad pass; steal by D. Collison),,86-99,,
1:13.0,T. Snell enters the game for T. Gibson,,86-99,,
1:13.0,N. Mohammed enters the game for J. Butler,,86-99,,
1:13.0,D. McDermott enters the game for M. Dunleavy,,86-99,,
1:13.0,N. Mirotic enters the game for J. Noah,,86-99,,
1:13.0,E. Moore enters the game for A. Brooks,,86-99,,
1:10.0,,,86-99,,O. Casspi enters the game for J. Thompson
0:57.0,T. Snell makes 2-pt shot from 5 ft (assist by E. Moore),2,88-99,,
0:37.0,,,88-101,2,D. Cousins makes 2-pt shot from 6 ft (assist by D. Collison)
0:25.0,Turnover by D. McDermott (bad pass),,88-101,,
0:25.0,,,88-101,,R. McCallum enters the game for B. McLemore
0:25.0,,,88-101,,R. Hollins enters the game for R. Gay
0:25.0,,,88-101,,N. Stauskas enters the game for D. Cousins
0:12.0,,,88-103,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Hollins)
0:05.0,E. Moore misses 2-pt shot from 18 ft,,88-103,,
0:03.0,,,88-103,,Defensive rebound by R. Hollins
0:00.0,End of 4th quarter,,,,End of 4th quarter
