time,Chicago,pts.away,score,pts.home,Sacramento
10:08.0,,,33-26,,C. Landry misses 2-pt shot from 19 ft
10:08.0,Defensive rebound by N. Mirotic,,33-26,,
9:49.0,N. Mirotic misses 2-pt shot from 18 ft,,33-26,,
9:48.0,,,33-26,,Defensive rebound by R. Gay
9:41.0,,,33-26,,R. Gay misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by N. Mirotic,,33-26,,
9:34.0,Turnover by A. Brooks (bad pass; steal by R. Sessions),,33-26,,
9:26.0,,,33-28,2,O. Casspi makes 2-pt shot from 1 ft (assist by D. Williams)
9:03.0,T. Snell misses 3-pt shot from 25 ft,,33-28,,
9:00.0,,,33-28,,Defensive rebound by R. Gay
8:50.0,,,33-30,2,D. Williams makes 2-pt shot from 7 ft
8:50.0,,,33-30,,Shooting foul by N. Mirotic (drawn by D. Williams)
8:50.0,Official timeout,,33-30,,
8:50.0,T. Gibson enters the game for N. Mirotic,,33-30,,
8:50.0,,,33-30,,D. Williams misses free throw 1 of 1
8:49.0,Defensive rebound by T. Snell,,33-30,,
8:28.0,T. Gibson makes 2-pt shot from 4 ft (assist by A. Brooks),2,35-30,,
8:14.0,,,35-30,,D. Williams misses 2-pt shot from 19 ft
8:13.0,Defensive rebound by T. Snell,,35-30,,
8:06.0,A. Brooks makes 2-pt shot from 9 ft,2,37-30,,
7:40.0,,,37-32,2,C. Landry makes 2-pt shot from 11 ft (assist by R. Sessions)
7:24.0,Turnover by A. Brooks (bad pass; steal by O. Casspi),,37-32,,
7:20.0,,,37-32,,Offensive charge foul by R. Sessions
7:20.0,,,37-32,,Turnover by R. Sessions (offensive foul)
7:20.0,,,37-32,,D. Collison enters the game for R. Sessions
7:20.0,K. Hinrich enters the game for T. Snell,,37-32,,
7:06.0,T. Gibson misses 2-pt shot from 15 ft,,37-32,,
7:06.0,,,37-32,,Defensive rebound by D. Collison
6:53.0,,,37-34,2,D. Williams makes 2-pt shot from 2 ft (assist by R. Gay)
6:53.0,,,37-34,,Shooting foul by T. Gibson (drawn by D. Williams)
6:53.0,J. Butler enters the game for D. McDermott,,37-34,,
6:53.0,,,37-35,1,D. Williams makes free throw 1 of 1
6:28.0,A. Brooks misses 2-pt shot from 19 ft,,37-35,,
6:27.0,,,37-35,,Defensive rebound by R. Gay
6:23.0,,,37-35,,Offensive charge foul by C. Landry
6:23.0,,,37-35,,Turnover by C. Landry (offensive foul)
6:23.0,M. Dunleavy enters the game for A. Brooks,,37-35,,
6:23.0,,,37-35,,D. Cousins enters the game for O. Casspi
6:09.0,M. Dunleavy misses 3-pt shot from 24 ft,,37-35,,
6:08.0,,,37-35,,Defensive rebound by D. Cousins
5:55.0,,,37-37,2,R. Gay makes 2-pt shot from 3 ft (assist by D. Collison)
5:43.0,Turnover by T. Gibson (offensive foul),,37-37,,
5:43.0,Offensive charge foul by T. Gibson,,37-37,,
5:43.0,,,37-37,,Sacramento full timeout
5:30.0,,,37-37,,Shooting foul by T. Gibson (drawn by D. Cousins)
5:30.0,,,37-38,1,D. Cousins makes free throw 1 of 2
5:30.0,C. Bairstow enters the game for T. Gibson,,37-38,,
5:30.0,,,37-39,1,D. Cousins makes free throw 2 of 2
5:13.0,J. Noah misses 2-pt shot from 17 ft,,37-39,,
5:12.0,,,37-39,,Defensive rebound by D. Williams
