time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. J. Valanciunas (N. Cole gains possession),,,,Jump ball: C. Bosh vs. J. Valanciunas (N. Cole gains possession)
11:38.0,,,0-0,,Shooting foul by J. Valanciunas (drawn by C. Bosh)
11:38.0,,,0-1,1,C. Bosh makes free throw 1 of 2
11:38.0,,,0-2,1,C. Bosh makes free throw 2 of 2
11:20.0,P. Patterson misses 2-pt shot from 20 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by D. Wade
11:00.0,,,0-2,,N. Cole misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by Team,,0-2,,
10:49.0,J. Valanciunas makes 2-pt shot from 1 ft,2,2-2,,
10:38.0,,,2-4,2,C. Bosh makes 2-pt shot from 1 ft (assist by D. Wade)
10:23.0,D. DeRozan makes 2-pt shot from 9 ft,2,4-4,,
10:07.0,,,4-4,,L. Deng misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by K. Lowry,,4-4,,
9:57.0,Shooting foul by S. Williams (drawn by D. DeRozan),,4-4,,
9:57.0,D. DeRozan makes free throw 1 of 2,1,5-4,,
9:57.0,D. DeRozan makes free throw 2 of 2,1,6-4,,
9:48.0,,,6-4,,S. Williams misses 3-pt shot from 24 ft
9:47.0,,,6-4,,Offensive rebound by L. Deng
9:45.0,,,6-4,,L. Deng misses 2-pt shot from 1 ft
9:44.0,,,6-4,,Offensive rebound by L. Deng
9:43.0,,,6-6,2,L. Deng makes 2-pt shot from 1 ft
9:26.0,T. Ross misses 2-pt shot from 2 ft,,6-6,,
9:25.0,Offensive rebound by J. Valanciunas,,6-6,,
9:24.0,J. Valanciunas makes 2-pt shot at rim,2,8-6,,
9:07.0,Personal block foul by P. Patterson (drawn by N. Cole),,8-6,,
8:56.0,,,8-8,2,S. Williams makes 2-pt shot from 20 ft (assist by D. Wade)
8:29.0,D. DeRozan makes 2-pt shot from 16 ft,2,10-8,,
8:15.0,,,10-10,2,N. Cole makes 2-pt shot from 2 ft
8:01.0,D. DeRozan misses 2-pt shot from 18 ft,,10-10,,
8:00.0,,,10-10,,Defensive rebound by D. Wade
7:49.0,Def 3 sec tech foul by K. Lowry,,10-10,,
7:49.0,,,10-11,1,C. Bosh makes technical free throw
7:42.0,,,10-13,2,D. Wade makes 2-pt shot from 4 ft
7:26.0,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Wade),,10-13,,
7:25.0,,,10-13,,Defensive rebound by D. Wade
7:19.0,,,10-13,,C. Bosh misses 3-pt shot from 25 ft
7:18.0,,,10-13,,Offensive rebound by D. Wade
7:14.0,,,10-16,3,S. Williams makes 3-pt shot from 25 ft (assist by D. Wade)
7:05.0,Toronto full timeout,,10-16,,
7:05.0,,,10-16,,J. Hamilton enters the game for C. Bosh
6:51.0,K. Lowry makes 2-pt shot from 4 ft,2,12-16,,
6:30.0,,,12-18,2,D. Wade makes 2-pt shot from 12 ft
6:01.0,D. DeRozan misses 2-pt shot from 2 ft,,12-18,,
6:00.0,Offensive rebound by Team,,12-18,,
5:52.0,K. Lowry misses 3-pt shot from 25 ft,,12-18,,
5:51.0,,,12-18,,Defensive rebound by J. Hamilton
5:41.0,,,12-20,2,D. Wade makes 2-pt shot from 8 ft
5:32.0,Shooting foul by N. Cole (drawn by K. Lowry),,12-20,,
5:32.0,K. Lowry misses free throw 1 of 2,,12-20,,
5:32.0,Offensive rebound by Team,,12-20,,
5:32.0,K. Lowry misses free throw 2 of 2,,12-20,,
5:31.0,,,12-20,,Defensive rebound by L. Deng
5:18.0,,,12-22,2,J. Hamilton makes 2-pt shot from 7 ft (assist by N. Cole)
5:01.0,Shooting foul by L. Deng (drawn by D. DeRozan),,12-22,,
5:01.0,D. DeRozan makes free throw 1 of 2,1,13-22,,
5:01.0,T. Hansbrough enters the game for J. Valanciunas,,13-22,,
5:01.0,D. DeRozan makes free throw 2 of 2,1,14-22,,
4:48.0,,,14-22,,Turnover by D. Wade (bad pass; steal by T. Ross)
4:43.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,16-22,,
4:30.0,,,16-24,2,D. Wade makes 2-pt shot from 4 ft (assist by L. Deng)
4:24.0,,,16-24,,Def 3 sec tech foul by S. Williams
4:24.0,D. DeRozan misses technical free throw,,16-24,,
4:24.0,Offensive rebound by Team,,16-24,,
4:24.0,,,16-24,,M. Chalmers enters the game for L. Deng
4:13.0,D. DeRozan misses 2-pt shot from 1 ft (block by J. Hamilton),,16-24,,
4:12.0,Offensive rebound by D. DeRozan,,16-24,,
4:06.0,D. DeRozan misses 2-pt shot from 17 ft,,16-24,,
4:04.0,,,16-24,,Defensive rebound by J. Hamilton
4:00.0,Jump ball: J. Hamilton vs. P. Patterson (T. Ross gains possession),,,,Jump ball: J. Hamilton vs. P. Patterson (T. Ross gains possession)
3:59.0,,,16-24,,Turnover by J. Hamilton (lost ball; steal by P. Patterson)
3:49.0,Shooting foul by D. Wade (drawn by T. Ross),,16-24,,
3:49.0,T. Ross makes free throw 1 of 2,1,17-24,,
3:49.0,T. Ross makes free throw 2 of 2,1,18-24,,
3:45.0,,,18-24,,Miami full timeout
3:45.0,L. Williams enters the game for T. Ross,,18-24,,
3:45.0,C. Hayes enters the game for P. Patterson,,18-24,,
3:45.0,,,18-24,,C. Bosh enters the game for S. Williams
3:45.0,,,18-24,,J. Ennis enters the game for D. Wade
3:35.0,,,18-24,,Offensive charge foul by J. Ennis
3:35.0,,,18-24,,Turnover by J. Ennis (offensive foul)
3:20.0,Shooting foul by J. Ennis (drawn by D. DeRozan),,18-24,,
3:20.0,D. DeRozan makes free throw 1 of 2,1,19-24,,
3:20.0,D. DeRozan misses free throw 2 of 2,,19-24,,
3:19.0,,,19-24,,Defensive rebound by J. Ennis
3:13.0,Personal foul by T. Hansbrough (drawn by N. Cole),,19-24,,
3:01.0,,,19-24,,Turnover by C. Bosh (bad pass)
2:53.0,,,19-24,,Personal foul by M. Chalmers (drawn by L. Williams)
2:53.0,L. Williams makes free throw 1 of 2,1,20-24,,
2:53.0,L. Williams misses free throw 2 of 2,,20-24,,
2:51.0,,,20-24,,Defensive rebound by J. Hamilton
2:40.0,,,20-24,,Shooting foul by C. Hayes (drawn by C. Bosh)
2:40.0,,,20-25,1,C. Bosh makes free throw 1 of 2
2:40.0,,,20-26,1,C. Bosh makes free throw 2 of 2
2:23.0,D. DeRozan makes 2-pt shot at rim,2,22-26,,
2:01.0,,,22-26,,C. Bosh misses 2-pt shot from 18 ft
2:00.0,Defensive rebound by T. Hansbrough,,22-26,,
1:42.0,D. DeRozan misses 2-pt shot from 18 ft,,22-26,,
1:41.0,,,22-26,,Defensive rebound by M. Chalmers
1:34.0,,,22-29,3,J. Ennis makes 3-pt shot from 25 ft (assist by M. Chalmers)
1:12.0,D. DeRozan makes 2-pt shot from 18 ft,2,24-29,,
0:55.0,,,24-31,2,M. Chalmers makes 2-pt shot from 1 ft (assist by C. Bosh)
0:37.0,D. DeRozan misses 2-pt shot from 18 ft,,24-31,,
0:35.0,Offensive rebound by Team,,24-31,,
0:35.0,G. Vasquez enters the game for D. DeRozan,,24-31,,
0:30.0,Turnover by K. Lowry (bad pass; steal by M. Chalmers),,24-31,,
0:22.0,,,24-31,,Turnover by J. Hamilton (offensive foul)
0:22.0,,,24-31,,Offensive foul by J. Hamilton
0:04.0,Shooting foul by J. Hamilton (drawn by K. Lowry),,24-31,,
0:04.0,K. Lowry makes free throw 1 of 2,1,25-31,,
0:04.0,K. Lowry makes free throw 2 of 2,1,26-31,,
0:01.0,,,26-31,,M. Chalmers misses 3-pt shot from 34 ft
0:00.0,,,26-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,L. Williams misses 2-pt shot from 19 ft,,26-31,,
11:41.0,,,26-31,,Defensive rebound by C. Bosh
11:17.0,,,26-31,,Turnover by Team (shot clock)
11:08.0,G. Vasquez makes 2-pt shot from 19 ft,2,28-31,,
10:52.0,,,28-31,,Turnover by S. Napier (lost ball)
10:51.0,,,28-31,,Loose ball foul by J. Ennis (drawn by T. Hansbrough)
10:44.0,,,28-31,,Personal foul by M. Chalmers (drawn by G. Vasquez)
10:44.0,,,28-31,,L. Deng enters the game for J. Ennis
10:44.0,,,28-31,,Violation by Team (delay of game)
10:33.0,L. Williams misses 3-pt shot from 25 ft,,28-31,,
10:32.0,,,28-31,,Defensive rebound by S. Napier
10:23.0,,,28-33,2,J. McRoberts makes 2-pt shot at rim (assist by C. Bosh)
10:04.0,J. Johnson makes 2-pt shot from 12 ft,2,30-33,,
9:53.0,,,30-36,3,S. Napier makes 3-pt shot from 24 ft (assist by M. Chalmers)
9:33.0,G. Vasquez misses 3-pt shot from 25 ft,,30-36,,
