time,San Antonio,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Hibbert (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Hibbert (T. Parker gains possession)
11:49.0,T. Parker makes 2-pt shot from 16 ft,2,2-0,,
11:31.0,,,2-0,,Shooting foul by M. Bonner (drawn by D. West)
11:31.0,,,2-1,1,D. West makes free throw 1 of 2
11:31.0,,,2-2,1,D. West makes free throw 2 of 2
11:16.0,K. Leonard makes 2-pt shot from 2 ft,2,4-2,,
11:02.0,,,4-4,2,C. Miles makes 2-pt shot at rim (assist by R. Hibbert)
10:49.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Parker),2,6-4,,
10:39.0,,,6-6,2,R. Hibbert makes 2-pt shot from 18 ft (assist by G. Hill)
10:25.0,D. Green makes 3-pt shot from 27 ft (assist by T. Parker),3,9-6,,
10:08.0,,,9-6,,D. West misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by T. Duncan,,9-6,,
9:57.0,T. Parker makes 2-pt shot from 3 ft,2,11-6,,
9:45.0,,,11-8,2,G. Hill makes 2-pt shot from 1 ft
9:33.0,Turnover by T. Duncan (bad pass; steal by R. Stuckey),,11-8,,
9:22.0,,,11-8,,R. Hibbert misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by D. Green,,11-8,,
9:00.0,T. Duncan misses 2-pt shot from 5 ft,,11-8,,
8:59.0,,,11-8,,Defensive rebound by D. West
8:51.0,,,11-10,2,R. Hibbert makes 2-pt shot at rim (assist by G. Hill)
8:31.0,T. Parker makes 2-pt shot from 3 ft,2,13-10,,
8:15.0,,,13-10,,R. Hibbert misses 2-pt shot from 20 ft
8:14.0,Defensive rebound by T. Parker,,13-10,,
8:06.0,T. Parker makes 2-pt shot from 18 ft,2,15-10,,
8:05.0,,,15-10,,Indiana full timeout
7:48.0,,,15-10,,D. West misses 2-pt shot from 14 ft
7:47.0,Defensive rebound by D. Green,,15-10,,
7:32.0,K. Leonard makes 3-pt shot from 26 ft (assist by T. Parker),3,18-10,,
7:16.0,,,18-12,2,G. Hill makes 2-pt shot from 17 ft
6:56.0,T. Parker misses 2-pt shot from 17 ft,,18-12,,
6:54.0,,,18-12,,Defensive rebound by D. West
6:38.0,,,18-15,3,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey)
6:14.0,T. Parker makes 2-pt shot from 2 ft,2,20-15,,
6:14.0,Shooting foul by G. Hill (drawn by T. Parker),,20-15,,
6:14.0,B. Diaw enters the game for M. Bonner,,20-15,,
6:14.0,M. Belinelli enters the game for D. Green,,20-15,,
6:14.0,T. Parker makes free throw 1 of 1,1,21-15,,
5:57.0,,,21-15,,Turnover by R. Stuckey (bad pass; steal by K. Leonard)
5:43.0,T. Parker misses 2-pt shot from 19 ft,,21-15,,
5:42.0,,,21-15,,Defensive rebound by D. West
5:31.0,,,21-15,,D. West misses 2-pt shot from 21 ft
5:30.0,Defensive rebound by K. Leonard,,21-15,,
5:19.0,T. Parker misses 2-pt shot from 18 ft,,21-15,,
5:18.0,,,21-15,,Defensive rebound by R. Hibbert
4:58.0,,,21-18,3,G. Hill makes 3-pt shot from 25 ft
4:57.0,San Antonio full timeout,,21-18,,
4:57.0,P. Mills enters the game for T. Duncan,,21-18,,
4:57.0,T. Splitter enters the game for T. Parker,,21-18,,
4:57.0,,,21-18,,S. Hill enters the game for R. Stuckey
4:57.0,,,21-18,,C. Watson enters the game for G. Hill
4:44.0,K. Leonard misses 2-pt shot from 14 ft,,21-18,,
4:43.0,Offensive rebound by T. Splitter,,21-18,,
4:40.0,P. Mills misses 3-pt shot from 27 ft,,21-18,,
4:38.0,,,21-18,,Defensive rebound by D. West
4:20.0,,,21-18,,C. Miles misses 3-pt shot from 27 ft
4:19.0,Defensive rebound by T. Splitter,,21-18,,
4:11.0,P. Mills misses 2-pt shot from 20 ft,,21-18,,
4:10.0,,,21-18,,Defensive rebound by C. Watson
4:03.0,,,21-21,3,S. Hill makes 3-pt shot from 27 ft (assist by C. Watson)
3:50.0,K. Leonard misses 2-pt shot from 6 ft,,21-21,,
3:47.0,Offensive rebound by K. Leonard,,21-21,,
3:34.0,B. Diaw misses 2-pt shot from 17 ft,,21-21,,
3:33.0,,,21-21,,Defensive rebound by R. Hibbert
3:23.0,,,21-23,2,R. Hibbert makes 2-pt shot from 1 ft (assist by C. Watson)
3:01.0,T. Splitter makes 2-pt shot from 2 ft (assist by B. Diaw),2,23-23,,
2:41.0,,,23-23,,C. Miles misses 2-pt shot from 7 ft
2:40.0,,,23-23,,Offensive rebound by R. Hibbert
2:40.0,,,23-23,,R. Hibbert misses 2-pt shot at rim
2:39.0,Defensive rebound by T. Splitter,,23-23,,
2:35.0,D. Green enters the game for K. Leonard,,23-23,,
2:35.0,,,23-23,,L. Scola enters the game for R. Hibbert
2:23.0,Turnover by T. Splitter (bad pass; steal by C. Watson),,23-23,,
2:18.0,,,23-23,,C. Watson misses 2-pt shot from 1 ft
2:17.0,Defensive rebound by B. Diaw,,23-23,,
2:09.0,M. Belinelli misses 3-pt shot from 23 ft,,23-23,,
2:08.0,,,23-23,,Defensive rebound by C. Miles
1:46.0,,,23-26,3,L. Scola makes 3-pt shot from 26 ft
1:32.0,Shooting foul by L. Scola (drawn by T. Splitter),,23-26,,
1:32.0,T. Splitter makes free throw 1 of 2,1,24-26,,
1:32.0,,,24-26,,D. Rudez enters the game for C. Miles
1:32.0,T. Splitter makes free throw 2 of 2,1,25-26,,
1:19.0,,,25-26,,L. Scola misses 2-pt shot from 6 ft
1:18.0,,,25-26,,Offensive rebound by D. West
1:16.0,,,25-26,,L. Scola misses 2-pt shot from 12 ft
1:14.0,Defensive rebound by D. Green,,25-26,,
0:51.0,T. Splitter makes 2-pt shot from 7 ft (assist by P. Mills),2,27-26,,
0:36.0,,,27-26,,S. Hill misses 2-pt shot from 1 ft (block by D. Green)
0:35.0,Defensive rebound by B. Diaw,,27-26,,
0:24.0,,,27-26,,Personal foul by S. Hill (drawn by D. Green)
0:24.0,D. Green misses free throw 1 of 2,,27-26,,
0:24.0,Offensive rebound by Team,,27-26,,
0:24.0,D. Green makes free throw 2 of 2,1,28-26,,
0:08.0,,,28-26,,Shooting foul by P. Mills (drawn by C. Watson)
0:08.0,,,28-27,1,C. Watson makes free throw 1 of 2
0:08.0,,,28-28,1,C. Watson makes free throw 2 of 2
0:03.0,P. Mills makes 2-pt shot from 19 ft,2,30-28,,
0:00.0,,,30-28,,C. Watson misses 3-pt shot from 46 ft
0:00.0,,,30-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,30-28,,S. Hill misses 3-pt shot from 26 ft
11:38.0,,,30-28,,Offensive rebound by Team
11:38.0,Loose ball foul by B. Diaw (drawn by S. Whittington),,30-28,,
11:15.0,,,30-28,,L. Scola misses 2-pt shot from 3 ft
11:14.0,,,30-28,,Offensive rebound by S. Whittington
11:14.0,,,30-28,,S. Whittington misses 2-pt shot at rim
11:13.0,Defensive rebound by D. Green,,30-28,,
11:03.0,Shooting foul by S. Whittington (drawn by B. Diaw),,30-28,,
11:03.0,B. Diaw makes free throw 1 of 2,1,31-28,,
11:03.0,B. Diaw misses free throw 2 of 2,,31-28,,
11:03.0,,,31-28,,Defensive rebound by S. Whittington
10:42.0,,,31-28,,S. Whittington misses 2-pt shot from 6 ft
10:41.0,Defensive rebound by T. Splitter,,31-28,,
10:35.0,,,31-28,,Personal foul by S. Hill (drawn by M. Belinelli)
10:27.0,P. Mills makes 3-pt shot from 26 ft (assist by D. Green),3,34-28,,
10:08.0,,,34-28,,Turnover by D. Rudez (bad pass; steal by M. Belinelli)
9:59.0,B. Diaw misses 3-pt shot from 25 ft,,34-28,,
9:58.0,,,34-28,,Defensive rebound by L. Scola
9:47.0,,,34-30,2,L. Scola makes 2-pt shot from 20 ft (assist by C. Watson)
9:46.0,San Antonio full timeout,,34-30,,
9:46.0,,,34-30,,R. Stuckey enters the game for S. Hill
9:35.0,,,34-30,,Violation by R. Stuckey (kicked ball)
9:35.0,T. Parker enters the game for P. Mills,,34-30,,
9:35.0,T. Duncan enters the game for T. Splitter,,34-30,,
9:20.0,T. Duncan misses 2-pt shot from 10 ft,,34-30,,
9:19.0,,,34-30,,Defensive rebound by C. Watson
9:03.0,,,34-30,,R. Stuckey misses 2-pt shot from 19 ft
9:02.0,,,34-30,,Offensive rebound by S. Whittington
9:01.0,,,34-30,,S. Whittington misses 2-pt shot at rim (block by T. Duncan)
9:01.0,Defensive rebound by T. Duncan,,34-30,,
9:01.0,Jump ball: T. Duncan vs. S. Whittington (B. Diaw gains possession),,,,Jump ball: T. Duncan vs. S. Whittington (B. Diaw gains possession)
8:53.0,Turnover by D. Green (step out of bounds),,34-30,,
8:36.0,,,34-32,2,S. Whittington makes 2-pt shot from 18 ft (assist by L. Scola)
8:11.0,T. Parker misses 3-pt shot from 22 ft,,34-32,,
8:10.0,,,34-32,,Defensive rebound by C. Watson
8:04.0,,,34-34,2,R. Stuckey makes 2-pt shot at rim (assist by C. Watson)
7:52.0,T. Parker misses 2-pt shot at rim,,34-34,,
7:52.0,,,34-34,,Defensive rebound by L. Scola
7:43.0,,,34-34,,S. Whittington misses 2-pt shot from 1 ft (block by T. Duncan)
7:42.0,Defensive rebound by B. Diaw,,34-34,,
7:30.0,T. Duncan makes 2-pt shot from 9 ft,2,36-34,,
7:14.0,Personal foul by D. Green (drawn by R. Stuckey),,36-34,,
7:14.0,K. Leonard enters the game for D. Green,,36-34,,
7:14.0,,,36-34,,R. Hibbert enters the game for S. Whittington
7:05.0,,,36-34,,Turnover by D. Rudez (bad pass; steal by B. Diaw)
7:00.0,T. Duncan makes 2-pt shot from 1 ft (assist by M. Belinelli),2,38-34,,
6:52.0,,,38-34,,Indiana full timeout
6:52.0,D. Green enters the game for M. Belinelli,,38-34,,
6:52.0,T. Splitter enters the game for B. Diaw,,38-34,,
6:52.0,,,38-34,,G. Hill enters the game for C. Watson
6:41.0,,,38-34,,D. Rudez misses 3-pt shot from 23 ft
6:40.0,Defensive rebound by D. Green,,38-34,,
6:25.0,T. Duncan makes 2-pt shot from 20 ft (assist by T. Parker),2,40-34,,
6:13.0,,,40-34,,Turnover by D. Rudez (bad pass)
5:56.0,T. Duncan makes 2-pt shot from 7 ft,2,42-34,,
5:41.0,Violation by K. Leonard (kicked ball),,42-34,,
5:41.0,,,42-34,,C. Miles enters the game for D. Rudez
5:39.0,,,42-34,,Turnover by C. Miles (bad pass; steal by T. Duncan)
5:26.0,T. Splitter makes 2-pt shot from 3 ft (assist by T. Parker),2,44-34,,
5:12.0,,,44-36,2,L. Scola makes 2-pt shot from 21 ft (assist by G. Hill)
4:57.0,T. Splitter misses 2-pt shot from 4 ft,,44-36,,
4:56.0,,,44-36,,Defensive rebound by R. Hibbert
4:45.0,,,44-36,,R. Stuckey misses 2-pt shot at rim
4:44.0,,,44-36,,Offensive rebound by R. Hibbert
4:44.0,,,44-38,2,R. Hibbert makes 2-pt shot from 1 ft
4:27.0,K. Leonard misses 2-pt shot from 17 ft,,44-38,,
4:26.0,,,44-38,,Defensive rebound by L. Scola
4:22.0,Personal foul by K. Leonard (drawn by C. Miles),,44-38,,
4:22.0,,,44-38,,D. West enters the game for L. Scola
4:18.0,,,44-40,2,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West)
4:02.0,K. Leonard misses 2-pt shot at rim,,44-40,,
4:01.0,,,44-40,,Defensive rebound by D. West
4:00.0,Personal foul by T. Splitter (drawn by C. Miles),,44-40,,
4:00.0,B. Diaw enters the game for T. Splitter,,44-40,,
3:45.0,,,44-40,,Turnover by D. West (bad pass)
3:29.0,T. Duncan misses 2-pt shot from 11 ft,,44-40,,
3:27.0,,,44-40,,Defensive rebound by G. Hill
3:22.0,,,44-40,,G. Hill misses 2-pt shot from 1 ft
3:21.0,Defensive rebound by B. Diaw,,44-40,,
3:21.0,,,44-40,,Technical foul by G. Hill
3:21.0,D. Green makes technical free throw,1,45-40,,
3:00.0,T. Duncan misses 2-pt shot from 3 ft (block by R. Hibbert),,45-40,,
2:59.0,,,45-40,,Defensive rebound by R. Hibbert
2:53.0,,,45-40,,C. Miles misses 3-pt shot from 25 ft
2:52.0,,,45-40,,Offensive rebound by D. West
2:33.0,,,45-40,,G. Hill misses 2-pt shot at rim (block by T. Duncan)
2:33.0,,,45-40,,Offensive rebound by Team
2:33.0,Official timeout,,45-40,,
2:28.0,,,45-40,,D. West misses 2-pt shot from 17 ft
2:27.0,Defensive rebound by T. Duncan,,45-40,,
2:12.0,D. Green misses 3-pt shot from 22 ft,,45-40,,
2:11.0,,,45-40,,Defensive rebound by D. West
1:57.0,,,45-43,3,R. Stuckey makes 3-pt shot from 23 ft (assist by D. West)
1:38.0,Turnover by D. Green (bad pass; steal by C. Miles),,45-43,,
1:35.0,,,45-43,,Shooting foul by D. Green (drawn by C. Miles)
1:35.0,,,45-44,1,C. Miles makes free throw 1 of 2
1:35.0,M. Belinelli enters the game for D. Green,,45-44,,
1:35.0,,,45-45,1,C. Miles makes free throw 2 of 2
1:21.0,T. Parker misses 2-pt shot from 5 ft (block by G. Hill),,45-45,,
1:21.0,Offensive rebound by Team,,45-45,,
1:16.0,B. Diaw misses 2-pt shot from 19 ft,,45-45,,
1:15.0,,,45-45,,Defensive rebound by G. Hill
0:53.0,,,45-45,,D. West misses 2-pt shot from 9 ft
0:53.0,Defensive rebound by Team,,45-45,,
0:38.0,K. Leonard makes 2-pt shot from 9 ft,2,47-45,,
0:19.0,,,47-45,,C. Miles misses 3-pt shot from 23 ft
0:17.0,Defensive rebound by K. Leonard,,47-45,,
0:08.0,,,47-45,,Personal take foul by C. Miles (drawn by T. Parker)
0:08.0,M. Bonner enters the game for B. Diaw,,47-45,,
0:01.0,M. Bonner misses 2-pt shot from 6 ft (block by D. West),,47-45,,
0:00.0,Offensive rebound by Team,,47-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-45,,Turnover by D. West (bad pass; steal by D. Green)
11:38.0,Turnover by T. Parker (lost ball),,47-45,,
11:22.0,,,47-45,,C. Miles misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by D. Green,,47-45,,
10:59.0,T. Duncan misses 2-pt shot from 20 ft,,47-45,,
10:58.0,,,47-45,,Defensive rebound by D. West
10:54.0,,,47-47,2,R. Stuckey makes 2-pt shot at rim (assist by D. West)
10:37.0,M. Bonner misses 3-pt shot from 26 ft,,47-47,,
10:36.0,,,47-47,,Defensive rebound by G. Hill
10:31.0,,,47-49,2,C. Miles makes 2-pt shot from 6 ft
10:06.0,T. Parker makes 2-pt shot from 20 ft (assist by T. Duncan),2,49-49,,
9:49.0,,,49-49,,R. Hibbert misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by D. Green,,49-49,,
9:43.0,,,49-49,,Shooting block foul by C. Miles (drawn by T. Parker)
9:43.0,T. Parker makes free throw 1 of 2,1,50-49,,
9:43.0,T. Parker makes free throw 2 of 2,1,51-49,,
9:35.0,Violation by T. Parker (kicked ball),,51-49,,
9:31.0,,,51-49,,Shooting foul by D. Green (drawn by R. Stuckey)
9:31.0,,,51-50,1,R. Stuckey makes free throw 1 of 2
9:31.0,,,51-51,1,R. Stuckey makes free throw 2 of 2
9:18.0,T. Duncan makes 2-pt shot from 7 ft (assist by M. Bonner),2,53-51,,
9:18.0,Shooting foul by D. West (drawn by T. Duncan),,53-51,,
9:18.0,T. Duncan makes free throw 1 of 1,1,54-51,,
8:58.0,,,54-53,2,D. West makes 2-pt shot from 19 ft (assist by G. Hill)
8:39.0,D. Green misses 3-pt shot from 26 ft,,54-53,,
8:37.0,Offensive rebound by M. Bonner,,54-53,,
8:26.0,T. Duncan misses 2-pt shot from 4 ft (block by R. Hibbert),,54-53,,
8:24.0,Offensive rebound by K. Leonard,,54-53,,
8:21.0,M. Bonner misses 3-pt shot from 22 ft,,54-53,,
8:20.0,Offensive rebound by T. Duncan,,54-53,,
8:16.0,D. Green misses 3-pt shot from 26 ft,,54-53,,
8:15.0,,,54-53,,Defensive rebound by R. Stuckey
8:11.0,,,54-53,,R. Stuckey misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by Team,,54-53,,
7:52.0,M. Bonner misses 3-pt shot from 23 ft,,54-53,,
7:51.0,,,54-53,,Defensive rebound by D. West
7:41.0,,,54-55,2,D. West makes 2-pt shot from 5 ft (assist by G. Hill)
7:15.0,T. Parker makes 2-pt shot at rim,2,56-55,,
