time,Phoenix,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Len (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Len (J. Wall gains possession)
11:36.0,,,0-2,2,K. Humphries makes 2-pt shot from 18 ft (assist by J. Wall)
11:23.0,Turnover by P. Tucker (bad pass; steal by B. Beal),,0-2,,
11:16.0,,,0-2,,Turnover by P. Pierce (bad pass)
10:56.0,Turnover by G. Dragic (bad pass; steal by P. Pierce),,0-2,,
10:49.0,,,0-2,,K. Humphries misses 2-pt shot at rim
10:48.0,,,0-2,,Offensive rebound by B. Beal
10:46.0,,,0-4,2,B. Beal makes 2-pt shot at rim
10:37.0,Turnover by A. Len (bad pass; steal by J. Wall),,0-4,,
10:32.0,,,0-6,2,J. Wall makes 2-pt shot at rim
10:21.0,P. Tucker misses 3-pt shot from 23 ft,,0-6,,
10:20.0,Offensive rebound by P. Tucker,,0-6,,
10:18.0,,,0-6,,Personal foul by J. Wall (drawn by P. Tucker)
10:13.0,Turnover by E. Bledsoe (bad pass),,0-6,,
9:57.0,,,0-6,,B. Beal misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by P. Tucker,,0-6,,
9:33.0,E. Bledsoe misses 2-pt shot from 1 ft (block by M. Gortat),,0-6,,
9:32.0,Offensive rebound by A. Len,,0-6,,
9:29.0,A. Len makes 2-pt shot from 1 ft,2,2-6,,
9:12.0,,,2-8,2,K. Humphries makes 2-pt shot from 1 ft (assist by J. Wall)
8:51.0,G. Dragic makes 2-pt shot from 5 ft,2,4-8,,
8:40.0,,,4-8,,P. Pierce misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by M. Morris,,4-8,,
8:32.0,G. Dragic misses 3-pt shot from 25 ft,,4-8,,
8:30.0,Offensive rebound by G. Dragic,,4-8,,
8:23.0,Shooting foul by P. Pierce (drawn by A. Len),,4-8,,
8:23.0,A. Len makes free throw 1 of 2,1,5-8,,
8:23.0,A. Len misses free throw 2 of 2,,5-8,,
