time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Zeller (A. Bradley gains possession),,,,Jump ball: M. Plumlee vs. T. Zeller (A. Bradley gains possession)
11:44.0,Turnover by T. Zeller (bad pass; steal by J. Johnson),,0-0,,
11:31.0,,,0-2,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack)
11:11.0,J. Green misses 2-pt shot from 17 ft,,0-2,,
11:09.0,Offensive rebound by T. Zeller,,0-2,,
11:08.0,T. Zeller misses 2-pt shot from 1 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by M. Plumlee
10:51.0,Personal foul by J. Green (drawn by J. Johnson),,0-2,,
10:38.0,,,0-2,,J. Johnson misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by A. Bradley,,0-2,,
10:34.0,Turnover by A. Bradley (bad pass),,0-2,,
10:18.0,,,0-4,2,J. Johnson makes 2-pt shot from 14 ft
9:52.0,T. Zeller makes 2-pt shot at rim (assist by J. Sullinger),2,2-4,,
9:32.0,,,2-4,,K. Garnett misses 2-pt shot from 15 ft
9:31.0,Defensive rebound by A. Bradley,,2-4,,
9:21.0,T. Zeller misses 2-pt shot from 2 ft,,2-4,,
9:20.0,,,2-4,,Defensive rebound by M. Plumlee
9:10.0,,,2-6,2,K. Garnett makes 2-pt shot from 18 ft (assist by J. Jack)
8:56.0,J. Sullinger misses 2-pt shot from 7 ft,,2-6,,
8:55.0,,,2-6,,Defensive rebound by K. Garnett
8:51.0,,,2-6,,M. Plumlee misses 2-pt shot from 2 ft
8:49.0,,,2-6,,Offensive rebound by S. Karasev
8:28.0,,,2-6,,S. Karasev misses 2-pt shot from 8 ft
8:27.0,Defensive rebound by J. Sullinger,,2-6,,
8:12.0,J. Green misses 2-pt shot from 7 ft,,2-6,,
8:11.0,,,2-6,,Defensive rebound by K. Garnett
8:00.0,Personal foul by J. Green (drawn by J. Johnson),,2-6,,
7:47.0,,,2-8,2,J. Jack makes 2-pt shot from 7 ft (assist by K. Garnett)
7:30.0,A. Bradley misses 2-pt shot from 2 ft,,2-8,,
7:29.0,,,2-8,,Defensive rebound by K. Garnett
7:23.0,,,2-10,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
7:21.0,Boston full timeout,,2-10,,
7:07.0,T. Zeller makes 2-pt shot from 7 ft,2,4-10,,
6:42.0,,,4-10,,J. Johnson misses 3-pt shot from 22 ft
6:41.0,Defensive rebound by T. Zeller,,4-10,,
6:36.0,,,4-10,,Personal foul by M. Plumlee (drawn by T. Zeller)
6:25.0,J. Green makes 2-pt shot from 15 ft,2,6-10,,
