time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. A. Horford (J. Teague gains possession),,,,Jump ball: J. Henson vs. A. Horford (J. Teague gains possession)
11:47.0,Turnover by K. Korver (bad pass),,0-0,,
11:31.0,,,0-2,2,J. Bayless makes 2-pt shot from 20 ft (assist by J. Dudley)
11:11.0,Turnover by P. Millsap (traveling),,0-2,,
10:54.0,,,0-2,,Turnover by J. Bayless (bad pass; steal by J. Teague)
10:37.0,J. Teague makes 2-pt shot from 16 ft,2,2-2,,
10:16.0,,,2-5,3,J. Bayless makes 3-pt shot from 26 ft (assist by K. Middleton)
10:09.0,J. Teague misses 2-pt shot from 11 ft,,2-5,,
10:08.0,Offensive rebound by A. Horford,,2-5,,
10:03.0,D. Carroll misses 3-pt shot from 23 ft,,2-5,,
10:02.0,,,2-5,,Defensive rebound by J. Henson
9:53.0,,,2-5,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:52.0,,,2-5,,Offensive rebound by J. Henson
9:51.0,,,2-5,,Turnover by J. Henson (step out of bounds)
9:30.0,A. Horford misses 3-pt shot from 23 ft,,2-5,,
9:28.0,Offensive rebound by P. Millsap,,2-5,,
9:28.0,P. Millsap makes 2-pt shot at rim,2,4-5,,
9:12.0,,,4-5,,G. Antetokounmpo misses 2-pt shot from 19 ft
9:11.0,Defensive rebound by K. Korver,,4-5,,
8:59.0,D. Carroll makes 2-pt shot from 16 ft (assist by P. Millsap),2,6-5,,
8:43.0,,,6-5,,Turnover by J. Henson (lost ball)
8:28.0,J. Teague misses 2-pt shot from 13 ft,,6-5,,
8:27.0,,,6-5,,Defensive rebound by J. Henson
8:21.0,,,6-5,,Turnover by J. Bayless (lost ball; steal by J. Teague)
8:18.0,J. Teague makes 2-pt shot at rim,2,8-5,,
7:50.0,,,8-5,,J. Bayless misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by A. Horford,,8-5,,
7:30.0,A. Horford misses 2-pt shot from 16 ft,,8-5,,
7:29.0,,,8-5,,Defensive rebound by K. Middleton
7:19.0,,,8-7,2,K. Middleton makes 2-pt shot from 11 ft
