time,Brooklyn,pts.away,score,pts.home,LA Lakers
4:02.0,,,107-98,3,N. Young makes 3-pt shot from 24 ft
3:38.0,D. Williams misses 2-pt shot from 20 ft,,107-98,,
3:34.0,,,107-98,,Defensive rebound by Team
3:25.0,,,107-98,,J. Lin misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by B. Lopez,,107-98,,
3:09.0,D. Williams misses 2-pt shot from 2 ft,,107-98,,
3:08.0,,,107-98,,Defensive rebound by J. Lin
2:55.0,,,107-98,,J. Hill misses 2-pt shot from 16 ft
2:53.0,Defensive rebound by D. Williams,,107-98,,
2:33.0,Turnover by J. Johnson (bad pass; steal by E. Davis),,107-98,,
2:29.0,,,107-100,2,E. Davis makes 2-pt shot from 1 ft (assist by R. Price)
2:29.0,,,107-100,,Shooting foul by D. Williams (drawn by E. Davis)
2:29.0,,,107-100,,LA Lakers full timeout
2:29.0,A. Anderson enters the game for T. Young,,107-100,,
2:29.0,,,107-100,,E. Davis misses free throw 1 of 1
2:27.0,Defensive rebound by B. Lopez,,107-100,,
2:13.0,D. Williams makes 2-pt shot from 2 ft,2,109-100,,
1:51.0,,,109-100,,R. Price misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by Team,,109-100,,
1:27.0,A. Anderson misses 2-pt shot from 12 ft,,109-100,,
1:25.0,,,109-100,,Defensive rebound by N. Young
1:16.0,,,109-100,,N. Young misses 3-pt shot from 25 ft
1:15.0,Defensive rebound by J. Johnson,,109-100,,
0:55.0,B. Bogdanovic misses 3-pt shot from 22 ft,,109-100,,
0:54.0,,,109-100,,Defensive rebound by E. Davis
0:48.0,,,109-100,,R. Price misses 2-pt shot at rim
0:47.0,,,109-100,,Offensive rebound by E. Davis
0:45.0,,,109-102,2,E. Davis makes 2-pt shot at rim
0:26.0,,,109-102,,Personal foul by J. Lin (drawn by A. Anderson)
0:26.0,A. Anderson misses free throw 1 of 2,,109-102,,
0:26.0,Offensive rebound by Team,,109-102,,
0:26.0,A. Anderson makes free throw 2 of 2,1,110-102,,
0:26.0,,,110-102,,LA Lakers full timeout
0:24.0,,,110-102,,Shooting foul by J. Johnson (drawn by J. Lin)
0:24.0,,,110-103,1,J. Lin makes free throw 1 of 2
0:24.0,,,110-103,,J. Lin misses free throw 2 of 2
0:23.0,Defensive rebound by J. Johnson,,110-103,,
0:21.0,,,110-103,,Personal take foul by R. Price (drawn by J. Johnson)
0:21.0,J. Johnson makes free throw 1 of 2,1,111-103,,
0:21.0,J. Johnson makes free throw 2 of 2,1,112-103,,
0:17.0,,,112-103,,Turnover by R. Price (lost ball; steal by D. Williams)
0:06.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by A. Anderson),2,114-103,,
0:01.0,,,114-103,,Shooting foul by B. Lopez (drawn by R. Price)
0:01.0,,,114-104,1,R. Price makes free throw 1 of 2
0:01.0,,,114-105,1,R. Price makes free throw 2 of 2
0:01.0,Turnover by B. Lopez (bad pass; steal by J. Lin),,114-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
