time,Brooklyn,pts.away,score,pts.home,LA Lakers
8:42.0,,,8-9,,Defensive rebound by R. Sacre
8:35.0,Personal foul by M. Plumlee (drawn by T. Black),,8-9,,
8:35.0,B. Lopez enters the game for M. Plumlee,,8-9,,
8:29.0,,,8-11,2,R. Kelly makes 2-pt shot from 16 ft (assist by R. Sacre)
8:05.0,B. Bogdanovic misses 3-pt shot from 24 ft,,8-11,,
8:04.0,Offensive rebound by Team,,8-11,,
8:04.0,,,8-11,,Loose ball foul by J. Clarkson (drawn by J. Johnson)
8:00.0,B. Bogdanovic misses 2-pt shot from 14 ft,,8-11,,
7:57.0,,,8-11,,Defensive rebound by J. Clarkson
7:50.0,,,8-11,,T. Black misses 2-pt shot from 2 ft
7:50.0,Defensive rebound by Team,,8-11,,
7:50.0,,,8-11,,Loose ball foul by R. Sacre (drawn by B. Lopez)
7:43.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams),2,10-11,,
7:32.0,,,10-14,3,J. Clarkson makes 3-pt shot from 25 ft
7:23.0,D. Williams makes 2-pt shot from 7 ft,2,12-14,,
7:09.0,,,12-16,2,T. Black makes 2-pt shot from 4 ft (assist by J. Clarkson)
6:47.0,J. Johnson misses 2-pt shot from 14 ft,,12-16,,
6:46.0,,,12-16,,Defensive rebound by Team
6:34.0,,,12-16,,Turnover by T. Black (lost ball)
6:20.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by D. Williams),2,14-16,,
6:12.0,,,14-18,2,J. Clarkson makes 2-pt shot from 15 ft
6:03.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Williams),2,16-18,,
5:43.0,,,16-20,2,J. Clarkson makes 2-pt shot from 9 ft (assist by R. Sacre)
5:43.0,,,16-20,,Shooting foul by J. Johnson (drawn by J. Clarkson)
5:43.0,,,16-20,,LA Lakers full timeout
5:43.0,,,16-21,1,J. Clarkson makes free throw 1 of 1
5:28.0,A. Anderson makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,18-21,,
5:11.0,,,18-21,,T. Black misses 2-pt shot from 2 ft
5:11.0,,,18-21,,Offensive rebound by R. Sacre
5:11.0,,,18-21,,Shooting foul by B. Lopez (drawn by R. Sacre)
5:11.0,,,18-21,,R. Sacre misses free throw 1 of 2
5:11.0,,,18-21,,Offensive rebound by Team
5:11.0,,,18-22,1,R. Sacre makes free throw 2 of 2
4:59.0,Turnover by D. Williams (bad pass; steal by R. Sacre),,18-22,,
4:49.0,,,18-24,2,W. Ellington makes 2-pt shot from 2 ft (assist by J. Clarkson)
4:37.0,Shooting foul by T. Black (drawn by J. Johnson),,18-24,,
4:37.0,J. Johnson makes free throw 1 of 2,1,19-24,,
4:37.0,,,19-24,,J. Hill enters the game for R. Sacre
4:37.0,,,19-24,,E. Davis enters the game for T. Black
4:37.0,J. Johnson makes free throw 2 of 2,1,20-24,,
4:23.0,,,20-24,,W. Ellington misses 3-pt shot from 22 ft
4:22.0,Defensive rebound by J. Johnson,,20-24,,
4:09.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by A. Anderson),3,23-24,,
3:54.0,,,23-24,,J. Clarkson misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by A. Anderson,,23-24,,
3:46.0,D. Williams misses 2-pt shot from 13 ft,,23-24,,
3:44.0,Offensive rebound by B. Lopez,,23-24,,
3:44.0,B. Lopez misses 2-pt shot at rim,,23-24,,
3:40.0,Offensive rebound by B. Lopez,,23-24,,
3:40.0,B. Lopez makes 2-pt shot at rim,2,25-24,,
3:20.0,,,25-24,,N. Young enters the game for R. Kelly
3:20.0,,,25-24,,R. Price enters the game for W. Ellington
3:20.0,,,25-24,,J. Lin enters the game for J. Clarkson
3:17.0,,,25-24,,J. Hill misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by B. Bogdanovic,,25-24,,
3:05.0,B. Lopez misses 2-pt shot from 3 ft,,25-24,,
3:03.0,,,25-24,,Defensive rebound by E. Davis
2:53.0,,,25-26,2,E. Davis makes 2-pt shot from 1 ft (assist by R. Price)
2:47.0,Brooklyn full timeout,,25-26,,
2:47.0,M. Plumlee enters the game for J. Johnson,,25-26,,
2:47.0,D. Morris enters the game for A. Anderson,,25-26,,
2:47.0,M. Brown enters the game for D. Williams,,25-26,,
2:35.0,B. Lopez makes 2-pt shot from 1 ft (assist by M. Brown),2,27-26,,
2:15.0,,,27-26,,J. Hill misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by M. Plumlee,,27-26,,
2:07.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Morris),2,29-26,,
1:45.0,,,29-28,2,J. Lin makes 2-pt shot from 22 ft (assist by R. Price)
1:32.0,B. Lopez misses 2-pt shot from 21 ft,,29-28,,
1:31.0,,,29-28,,Defensive rebound by E. Davis
1:21.0,,,29-30,2,E. Davis makes 2-pt shot at rim (assist by R. Price)
0:58.0,Shooting foul by J. Lin (drawn by B. Lopez),,29-30,,
0:58.0,B. Lopez makes free throw 1 of 2,1,30-30,,
0:58.0,B. Lopez misses free throw 2 of 2,,30-30,,
0:57.0,,,30-30,,Defensive rebound by J. Hill
0:39.0,,,30-30,,N. Young misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by M. Plumlee,,30-30,,
0:32.0,M. Brown makes 2-pt shot from 1 ft (assist by M. Plumlee),2,32-30,,
0:14.0,,,32-32,2,R. Price makes 2-pt shot from 2 ft
0:00.0,D. Morris makes 2-pt shot from 7 ft,2,34-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Brown misses 3-pt shot from 25 ft,,34-32,,
11:44.0,Offensive rebound by B. Lopez,,34-32,,
11:43.0,Shooting foul by E. Davis (drawn by B. Lopez),,34-32,,
11:43.0,B. Lopez makes free throw 1 of 2,1,35-32,,
11:43.0,B. Lopez makes free throw 2 of 2,1,36-32,,
11:30.0,,,36-32,,N. Young misses 2-pt shot from 15 ft
11:27.0,,,36-32,,Offensive rebound by J. Hill
11:21.0,,,36-32,,Turnover by N. Young (bad pass; steal by M. Plumlee)
11:06.0,Turnover by B. Bogdanovic (bad pass; steal by J. Hill),,36-32,,
10:58.0,,,36-34,2,J. Hill makes 2-pt shot from 2 ft (assist by E. Davis)
10:40.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Morris),3,39-34,,
10:15.0,,,39-34,,J. Hill misses 2-pt shot from 11 ft
10:13.0,,,39-34,,Offensive rebound by E. Davis
10:09.0,,,39-36,2,E. Davis makes 2-pt shot from 1 ft
10:03.0,Turnover by D. Morris (lost ball; steal by R. Price),,39-36,,
9:59.0,,,39-38,2,R. Price makes 2-pt shot at rim
9:58.0,Brooklyn full timeout,,39-38,,
9:58.0,D. Williams enters the game for M. Plumlee,,39-38,,
9:58.0,T. Young enters the game for D. Morris,,39-38,,
9:49.0,T. Young makes 2-pt shot from 7 ft (assist by D. Williams),2,41-38,,
9:22.0,,,41-38,,J. Hill misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by B. Bogdanovic,,41-38,,
9:13.0,B. Lopez misses 2-pt shot from 6 ft,,41-38,,
9:10.0,,,41-38,,Defensive rebound by E. Davis
9:01.0,,,41-38,,N. Young misses 2-pt shot from 19 ft
8:54.0,Defensive rebound by D. Williams,,41-38,,
8:50.0,M. Brown makes 2-pt shot at rim (assist by T. Young),2,43-38,,
8:37.0,,,43-38,,Turnover by J. Lin (lost ball; steal by M. Brown)
8:30.0,T. Young misses 2-pt shot from 2 ft (block by E. Davis),,43-38,,
8:27.0,Offensive rebound by T. Young,,43-38,,
8:22.0,B. Lopez makes 2-pt shot from 10 ft (assist by B. Bogdanovic),2,45-38,,
8:03.0,,,45-38,,J. Hill misses 2-pt shot from 6 ft
7:59.0,Defensive rebound by D. Williams,,45-38,,
7:56.0,Turnover by D. Williams (bad pass; steal by R. Price),,45-38,,
7:42.0,,,45-38,,E. Davis misses 2-pt shot from 4 ft
7:41.0,Defensive rebound by B. Lopez,,45-38,,
7:39.0,Turnover by B. Lopez (bad pass; steal by E. Davis),,45-38,,
7:34.0,,,45-41,3,J. Lin makes 3-pt shot from 22 ft (assist by R. Price)
7:14.0,T. Young misses 2-pt shot from 18 ft,,45-41,,
7:13.0,,,45-41,,Defensive rebound by N. Young
6:57.0,,,45-43,2,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin)
6:41.0,B. Bogdanovic misses 3-pt shot from 24 ft,,45-43,,
6:40.0,,,45-43,,Defensive rebound by E. Davis
6:35.0,,,45-43,,Shooting foul by B. Lopez (drawn by J. Hill)
6:35.0,,,45-43,,J. Hill misses free throw 1 of 2
6:35.0,,,45-43,,Offensive rebound by Team
6:35.0,A. Anderson enters the game for B. Bogdanovic,,45-43,,
6:35.0,J. Johnson enters the game for B. Lopez,,45-43,,
6:35.0,J. Jordan enters the game for M. Brown,,45-43,,
6:35.0,,,45-43,,R. Kelly enters the game for E. Davis
6:35.0,,,45-43,,J. Clarkson enters the game for J. Lin
6:35.0,,,45-43,,W. Ellington enters the game for R. Price
6:35.0,,,45-43,,R. Sacre enters the game for N. Young
6:35.0,,,45-43,,J. Hill misses free throw 2 of 2
6:34.0,Defensive rebound by J. Johnson,,45-43,,
6:20.0,J. Jordan misses 2-pt shot from 1 ft,,45-43,,
6:18.0,,,45-43,,Defensive rebound by J. Hill
6:06.0,,,45-45,2,J. Hill makes 2-pt shot at rim (assist by J. Clarkson)
5:48.0,T. Young misses 2-pt shot from 3 ft,,45-45,,
5:45.0,Offensive rebound by T. Young,,45-45,,
5:42.0,T. Young makes 2-pt shot from 1 ft,2,47-45,,
5:32.0,Personal foul by J. Jordan (drawn by R. Sacre),,47-45,,
5:32.0,Official timeout,,47-45,,
5:32.0,,,47-45,,T. Black enters the game for J. Hill
5:22.0,,,47-47,2,R. Kelly makes 2-pt shot from 12 ft
5:02.0,J. Jordan misses 2-pt shot from 2 ft (block by R. Sacre),,47-47,,
5:01.0,Offensive rebound by J. Jordan,,47-47,,
4:59.0,J. Jordan misses 2-pt shot from 1 ft (block by R. Kelly),,47-47,,
4:57.0,,,47-47,,Defensive rebound by J. Clarkson
4:53.0,,,47-50,3,R. Kelly makes 3-pt shot from 24 ft (assist by J. Clarkson)
4:31.0,J. Johnson misses 3-pt shot from 24 ft,,47-50,,
4:30.0,,,47-50,,Defensive rebound by J. Clarkson
4:22.0,,,47-50,,Turnover by R. Kelly (bad pass; steal by T. Young)
4:16.0,D. Williams misses 3-pt shot from 24 ft,,47-50,,
4:14.0,Offensive rebound by T. Young,,47-50,,
4:10.0,T. Young makes 2-pt shot from 4 ft,2,49-50,,
4:01.0,,,49-50,,R. Sacre misses 2-pt shot from 4 ft
3:59.0,Defensive rebound by T. Young,,49-50,,
3:53.0,D. Williams misses 2-pt shot from 1 ft,,49-50,,
3:53.0,Offensive rebound by J. Jordan,,49-50,,
3:53.0,J. Jordan misses 2-pt shot from 1 ft,,49-50,,
3:53.0,,,49-50,,Defensive rebound by Team
3:53.0,C. Jefferson enters the game for T. Young,,49-50,,
3:53.0,M. Plumlee enters the game for J. Jordan,,49-50,,
3:41.0,,,49-50,,Turnover by R. Sacre (lost ball; steal by M. Plumlee)
3:33.0,Turnover by D. Williams (lost ball; steal by W. Ellington),,49-50,,
3:28.0,,,49-52,2,W. Ellington makes 2-pt shot from 2 ft
3:04.0,J. Johnson misses 2-pt shot from 4 ft,,49-52,,
3:03.0,,,49-52,,Defensive rebound by T. Black
2:54.0,,,49-52,,R. Kelly misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by A. Anderson,,49-52,,
2:38.0,C. Jefferson misses 2-pt shot from 9 ft,,49-52,,
2:35.0,,,49-52,,Defensive rebound by R. Sacre
2:33.0,,,49-52,,Turnover by R. Sacre (bad pass)
2:33.0,,,49-52,,LA Lakers full timeout
2:22.0,A. Anderson makes 3-pt shot from 24 ft (assist by D. Williams),3,52-52,,
2:09.0,,,52-52,,W. Ellington misses 3-pt shot from 25 ft
2:07.0,,,52-52,,Offensive rebound by R. Sacre
2:03.0,,,52-54,2,R. Sacre makes 2-pt shot from 3 ft
1:48.0,M. Plumlee misses 2-pt shot from 6 ft,,52-54,,
1:46.0,Offensive rebound by C. Jefferson,,52-54,,
1:44.0,C. Jefferson makes 2-pt shot from 1 ft,2,54-54,,
1:31.0,,,54-54,,Shooting foul by C. Jefferson (drawn by T. Black)
1:31.0,,,54-55,1,T. Black makes free throw 1 of 2
1:31.0,,,54-55,,T. Black misses free throw 2 of 2
1:30.0,Defensive rebound by A. Anderson,,54-55,,
1:11.0,C. Jefferson misses 2-pt shot from 12 ft,,54-55,,
1:09.0,,,54-55,,Defensive rebound by T. Black
0:55.0,,,54-55,,T. Black misses 2-pt shot at rim
0:52.0,Defensive rebound by M. Plumlee,,54-55,,
0:48.0,Shooting foul by T. Black (drawn by A. Anderson),,54-55,,
0:48.0,A. Anderson makes free throw 1 of 2,1,55-55,,
0:48.0,A. Anderson makes free throw 2 of 2,1,56-55,,
0:28.0,,,56-57,2,R. Sacre makes 2-pt shot from 8 ft
0:21.0,Brooklyn full timeout,,56-57,,
0:10.0,Turnover by D. Williams (bad pass),,56-57,,
0:03.0,,,56-57,,W. Ellington misses 3-pt shot from 24 ft
0:00.0,,,56-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,58-57,,
11:35.0,Personal foul by M. Plumlee (drawn by R. Sacre),,58-57,,
11:28.0,,,58-57,,R. Sacre misses 2-pt shot from 6 ft
11:25.0,,,58-57,,Offensive rebound by R. Sacre
11:21.0,,,58-57,,W. Ellington misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by B. Bogdanovic,,58-57,,
11:07.0,A. Anderson makes 3-pt shot from 23 ft (assist by D. Williams),3,61-57,,
10:52.0,,,61-57,,Shooting foul by A. Anderson (drawn by W. Ellington)
10:52.0,,,61-58,1,W. Ellington makes free throw 1 of 2
10:52.0,,,61-59,1,W. Ellington makes free throw 2 of 2
10:41.0,A. Anderson makes 3-pt shot from 25 ft,3,64-59,,
10:13.0,,,64-59,,J. Clarkson misses 2-pt shot from 19 ft
10:12.0,Defensive rebound by J. Johnson,,64-59,,
10:03.0,Turnover by J. Johnson (bad pass; steal by W. Ellington),,64-59,,
9:51.0,,,64-59,,R. Kelly misses 3-pt shot from 24 ft
9:49.0,Defensive rebound by M. Plumlee,,64-59,,
9:39.0,J. Johnson makes 3-pt shot from 24 ft (assist by A. Anderson),3,67-59,,
9:38.0,,,67-59,,LA Lakers full timeout
9:23.0,,,67-61,2,W. Ellington makes 2-pt shot from 9 ft
9:08.0,B. Bogdanovic misses 3-pt shot from 23 ft,,67-61,,
9:07.0,,,67-61,,Defensive rebound by R. Sacre
8:58.0,,,67-61,,W. Ellington misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by D. Williams,,67-61,,
8:48.0,M. Plumlee makes 2-pt shot from 3 ft (assist by A. Anderson),2,69-61,,
8:24.0,,,69-61,,Shooting foul by M. Plumlee (drawn by R. Sacre)
8:24.0,,,69-62,1,R. Sacre makes free throw 1 of 2
8:24.0,B. Lopez enters the game for M. Plumlee,,69-62,,
8:24.0,,,69-63,1,R. Sacre makes free throw 2 of 2
8:12.0,J. Johnson makes 3-pt shot from 24 ft (assist by D. Williams),3,72-63,,
7:50.0,,,72-65,2,J. Clarkson makes 2-pt shot from 9 ft
7:28.0,B. Lopez makes 2-pt shot from 18 ft (assist by D. Williams),2,74-65,,
7:15.0,,,74-67,2,R. Sacre makes 2-pt shot from 18 ft (assist by J. Clarkson)
7:00.0,B. Lopez makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,76-67,,
6:36.0,,,76-67,,R. Sacre misses 2-pt shot from 15 ft
6:35.0,Defensive rebound by A. Anderson,,76-67,,
6:25.0,D. Williams misses 2-pt shot from 16 ft,,76-67,,
6:24.0,,,76-67,,Defensive rebound by T. Black
6:14.0,,,76-67,,R. Sacre misses 2-pt shot from 3 ft (block by D. Williams)
6:14.0,,,76-67,,Offensive rebound by Team
6:14.0,,,76-67,,J. Hill enters the game for T. Black
6:14.0,,,76-67,,E. Davis enters the game for R. Sacre
6:07.0,,,76-67,,Turnover by W. Ellington (bad pass)
5:55.0,,,76-67,,Personal foul by E. Davis (drawn by B. Lopez)
5:55.0,,,76-67,,R. Price enters the game for W. Ellington
5:47.0,B. Lopez misses 2-pt shot from 7 ft,,76-67,,
5:46.0,,,76-67,,Defensive rebound by E. Davis
