time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (N. Hilario gains possession)
11:41.0,M. Gortat misses 2-pt shot from 5 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Jefferson
11:27.0,,,0-0,,A. Jefferson misses 2-pt shot from 8 ft (block by M. Gortat)
11:25.0,Defensive rebound by M. Gortat,,0-0,,
11:22.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Pierce),,0-0,,
11:22.0,P. Pierce makes 2-pt shot from 1 ft (assist by J. Wall),2,2-0,,
11:22.0,P. Pierce makes free throw 1 of 1,1,3-0,,
11:02.0,,,3-2,2,G. Henderson makes 2-pt shot from 18 ft
10:49.0,P. Pierce misses 2-pt shot from 16 ft,,3-2,,
10:47.0,,,3-2,,Defensive rebound by A. Jefferson
10:39.0,,,3-4,2,G. Henderson makes 2-pt shot from 12 ft
10:15.0,M. Gortat misses 2-pt shot from 4 ft (block by C. Zeller),,3-4,,
10:13.0,,,3-4,,Defensive rebound by G. Henderson
10:09.0,,,3-4,,Shooting foul by P. Pierce (drawn by M. Kidd-Gilchrist)
10:09.0,,,3-5,1,M. Kidd-Gilchrist makes free throw 1 of 2
10:09.0,,,3-6,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:55.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,6-6,,
9:37.0,,,6-8,2,G. Henderson makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
9:27.0,B. Beal misses 2-pt shot from 1 ft (block by G. Henderson),,6-8,,
9:24.0,Offensive rebound by N. Hilario,,6-8,,
9:21.0,Shooting foul by B. Roberts (drawn by J. Wall),,6-8,,
9:21.0,J. Wall makes free throw 1 of 2,1,7-8,,
9:21.0,J. Wall makes free throw 2 of 2,1,8-8,,
9:07.0,,,8-10,2,M. Kidd-Gilchrist makes 2-pt shot from 14 ft (assist by B. Roberts)
8:51.0,B. Beal misses 2-pt shot from 17 ft,,8-10,,
8:50.0,,,8-10,,Defensive rebound by M. Kidd-Gilchrist
8:41.0,,,8-10,,B. Roberts misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by N. Hilario,,8-10,,
8:27.0,N. Hilario makes 2-pt shot from 2 ft,2,10-10,,
8:10.0,,,10-10,,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Wall)
7:59.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,12-10,,
7:41.0,,,12-12,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by C. Zeller)
7:27.0,Turnover by M. Gortat (lost ball; steal by A. Jefferson),,12-12,,
7:17.0,,,12-12,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
7:14.0,,,12-12,,Offensive rebound by A. Jefferson
7:08.0,,,12-12,,A. Jefferson misses 2-pt shot from 15 ft
7:07.0,Defensive rebound by J. Wall,,12-12,,
6:57.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,14-12,,
6:53.0,,,14-12,,Charlotte full timeout
6:40.0,,,14-12,,B. Roberts misses 2-pt shot from 2 ft (block by N. Hilario)
6:40.0,,,14-12,,Offensive rebound by Team
6:40.0,,,14-14,2,G. Henderson makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
6:40.0,,,14-14,,Shooting foul by M. Gortat (drawn by G. Henderson)
6:40.0,,,14-15,1,G. Henderson makes free throw 1 of 1
6:19.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Pierce),,14-15,,
6:19.0,P. Pierce makes free throw 1 of 2,1,15-15,,
6:19.0,,,15-15,,L. Stephenson enters the game for M. Kidd-Gilchrist
6:19.0,P. Pierce makes free throw 2 of 2,1,16-15,,
6:01.0,,,16-17,2,G. Henderson makes 2-pt shot from 16 ft
5:49.0,N. Hilario misses 2-pt shot from 17 ft,,16-17,,
5:47.0,,,16-17,,Defensive rebound by A. Jefferson
5:33.0,,,16-19,2,G. Henderson makes 2-pt shot from 13 ft
5:20.0,B. Beal misses 2-pt shot from 17 ft,,16-19,,
5:18.0,Offensive rebound by M. Gortat,,16-19,,
5:18.0,Shooting foul by L. Stephenson (drawn by M. Gortat),,16-19,,
5:18.0,M. Gortat makes free throw 1 of 2,1,17-19,,
5:18.0,M. Gortat makes free throw 2 of 2,1,18-19,,
5:00.0,,,18-19,,A. Jefferson misses 2-pt shot from 7 ft
4:58.0,Defensive rebound by M. Gortat,,18-19,,
4:52.0,J. Wall makes 2-pt shot from 1 ft,2,20-19,,
4:36.0,,,20-19,,G. Henderson misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by B. Beal,,20-19,,
4:25.0,M. Gortat misses 2-pt shot from 15 ft,,20-19,,
4:23.0,Offensive rebound by B. Beal,,20-19,,
4:23.0,Shooting foul by C. Zeller (drawn by B. Beal),,20-19,,
4:23.0,B. Beal makes free throw 1 of 2,1,21-19,,
4:23.0,G. Temple enters the game for N. Hilario,,21-19,,
4:23.0,K. Humphries enters the game for J. Wall,,21-19,,
4:23.0,,,21-19,,M. Williams enters the game for C. Zeller
4:23.0,,,21-19,,J. Maxiell enters the game for A. Jefferson
4:23.0,B. Beal misses free throw 2 of 2,,21-19,,
4:20.0,,,21-19,,Defensive rebound by J. Maxiell
4:11.0,Personal foul by G. Temple (drawn by B. Roberts),,21-19,,
4:06.0,,,21-19,,Turnover by L. Stephenson (lost ball; steal by G. Temple)
3:52.0,G. Temple misses 3-pt shot from 23 ft,,21-19,,
3:50.0,,,21-19,,Defensive rebound by J. Maxiell
3:40.0,,,21-19,,B. Roberts misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by B. Beal,,21-19,,
3:33.0,Shooting foul by J. Maxiell (drawn by M. Gortat),,21-19,,
3:33.0,M. Gortat makes free throw 1 of 2,1,22-19,,
3:33.0,M. Gortat makes free throw 2 of 2,1,23-19,,
3:21.0,,,23-21,2,J. Maxiell makes 2-pt shot from 1 ft (assist by B. Roberts)
3:06.0,K. Humphries misses 2-pt shot from 1 ft,,23-21,,
3:04.0,,,23-21,,Defensive rebound by M. Williams
2:59.0,,,23-24,3,L. Stephenson makes 3-pt shot from 25 ft (assist by B. Roberts)
2:42.0,B. Beal misses 2-pt shot from 11 ft (block by M. Williams),,23-24,,
2:41.0,,,23-24,,Defensive rebound by M. Williams
2:24.0,,,23-24,,L. Stephenson misses 2-pt shot from 19 ft
2:24.0,,,23-24,,Offensive rebound by Team
2:24.0,Loose ball foul by M. Gortat (drawn by J. Maxiell),,23-24,,
2:24.0,Washington full timeout,,23-24,,
2:24.0,,,23-24,,G. Neal enters the game for G. Henderson
2:24.0,D. Blair enters the game for M. Gortat,,23-24,,
2:12.0,,,23-24,,Shooting foul by D. Blair (drawn by J. Maxiell)
2:12.0,,,23-25,1,J. Maxiell makes free throw 1 of 2
2:12.0,,,23-26,1,J. Maxiell makes free throw 2 of 2
1:57.0,B. Beal misses 2-pt shot from 5 ft (block by J. Maxiell),,23-26,,
1:55.0,,,23-26,,Defensive rebound by J. Maxiell
1:42.0,,,23-29,3,L. Stephenson makes 3-pt shot from 25 ft (assist by G. Neal)
1:25.0,P. Pierce makes 2-pt shot from 6 ft,2,25-29,,
1:13.0,,,25-32,3,L. Stephenson makes 3-pt shot from 26 ft
1:03.0,P. Pierce misses 2-pt shot from 1 ft,,25-32,,
1:03.0,Offensive rebound by Team,,25-32,,
1:03.0,O. Porter enters the game for B. Beal,,25-32,,
1:03.0,R. Butler enters the game for P. Pierce,,25-32,,
0:49.0,G. Temple makes 3-pt shot from 25 ft,3,28-32,,
0:41.0,,,28-32,,Turnover by M. Williams (offensive foul)
0:41.0,,,28-32,,Offensive foul by M. Williams
0:28.0,G. Temple misses 2-pt shot from 2 ft (block by J. Maxiell),,28-32,,
0:26.0,,,28-32,,Defensive rebound by M. Williams
0:08.0,,,28-32,,B. Roberts misses 3-pt shot from 25 ft
0:06.0,,,28-32,,Offensive rebound by J. Maxiell
0:06.0,,,28-32,,Shooting foul by K. Humphries (drawn by J. Maxiell)
0:06.0,,,28-33,1,J. Maxiell makes free throw 1 of 2
0:06.0,J. Wall enters the game for G. Temple,,28-33,,
0:06.0,,,28-34,1,J. Maxiell makes free throw 2 of 2
0:00.0,J. Wall makes 2-pt shot from 1 ft,2,30-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,30-34,,G. Neal misses 3-pt shot from 26 ft
11:41.0,,,30-34,,Offensive rebound by J. Maxiell
11:37.0,,,30-36,2,J. Maxiell makes 2-pt shot from 1 ft
11:24.0,K. Humphries misses 2-pt shot from 18 ft,,30-36,,
11:21.0,Offensive rebound by D. Blair,,30-36,,
11:21.0,D. Blair makes 2-pt shot at rim,2,32-36,,
11:05.0,,,32-38,2,J. Maxiell makes 2-pt shot from 10 ft (assist by L. Stephenson)
10:47.0,R. Butler misses 2-pt shot from 16 ft,,32-38,,
10:46.0,,,32-38,,Defensive rebound by L. Stephenson
10:39.0,,,32-38,,J. Maxiell misses 2-pt shot from 5 ft
10:38.0,Defensive rebound by J. Wall,,32-38,,
10:27.0,J. Wall misses 2-pt shot from 2 ft,,32-38,,
10:26.0,,,32-38,,Defensive rebound by M. Kidd-Gilchrist
10:22.0,,,32-38,,Shooting foul by O. Porter (drawn by M. Kidd-Gilchrist)
10:22.0,,,32-38,,M. Kidd-Gilchrist misses free throw 1 of 2
10:22.0,,,32-38,,Offensive rebound by Team
10:22.0,,,32-39,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:09.0,D. Blair misses 2-pt shot from 2 ft,,32-39,,
10:07.0,Offensive rebound by D. Blair,,32-39,,
10:07.0,D. Blair makes 2-pt shot from 1 ft,2,34-39,,
9:46.0,,,34-39,,M. Williams misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by J. Wall,,34-39,,
9:37.0,R. Butler makes 3-pt shot from 23 ft (assist by O. Porter),3,37-39,,
9:20.0,,,37-39,,L. Stephenson misses 3-pt shot from 27 ft
9:19.0,Defensive rebound by D. Blair,,37-39,,
9:09.0,Turnover by J. Wall (palming),,37-39,,
8:46.0,,,37-39,,L. Stephenson misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by K. Humphries,,37-39,,
8:35.0,J. Wall makes 2-pt shot from 17 ft,2,39-39,,
8:12.0,,,39-39,,M. Williams misses 3-pt shot from 22 ft
8:10.0,Defensive rebound by R. Butler,,39-39,,
8:05.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,41-39,,
7:57.0,,,41-39,,Charlotte full timeout
7:57.0,,,41-39,,C. Zeller enters the game for M. Williams
7:42.0,,,41-39,,L. Stephenson misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Blair,,41-39,,
7:38.0,Turnover by D. Blair (bad pass),,41-39,,
7:29.0,,,41-39,,Turnover by G. Neal (lost ball)
