time,Brooklyn,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. C. Zeller (D. Williams gains possession),,,,Jump ball: M. Plumlee vs. C. Zeller (D. Williams gains possession)
11:43.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Williams),3,3-0,,
11:31.0,,,3-0,,L. Stephenson misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by J. Johnson,,3-0,,
11:22.0,J. Johnson makes 2-pt shot from 5 ft,2,5-0,,
11:10.0,,,5-0,,Turnover by A. Jefferson (lost ball)
10:47.0,J. Johnson makes 2-pt shot from 14 ft,2,7-0,,
10:28.0,,,7-0,,Turnover by C. Zeller (bad pass; steal by J. Johnson)
10:24.0,,,7-0,,Personal foul by G. Henderson (drawn by J. Johnson)
10:17.0,D. Williams misses 3-pt shot from 24 ft,,7-0,,
10:17.0,Offensive rebound by Team,,7-0,,
10:04.0,J. Johnson misses 2-pt shot from 15 ft,,7-0,,
10:03.0,,,7-0,,Defensive rebound by A. Jefferson
9:52.0,,,7-2,2,A. Jefferson makes 2-pt shot from 5 ft (assist by K. Walker)
9:40.0,M. Plumlee misses 2-pt shot from 16 ft,,7-2,,
9:38.0,,,7-2,,Defensive rebound by K. Walker
9:31.0,,,7-2,,K. Walker misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by M. Plumlee,,7-2,,
9:15.0,D. Williams misses 2-pt shot from 17 ft,,7-2,,
9:15.0,,,7-2,,Defensive rebound by Team
9:15.0,Loose ball foul by C. Jefferson (drawn by K. Walker),,7-2,,
8:57.0,,,7-2,,A. Jefferson misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by D. Williams,,7-2,,
8:48.0,C. Jefferson makes 2-pt shot from 8 ft (assist by D. Williams),2,9-2,,
8:36.0,,,9-2,,Turnover by L. Stephenson (bad pass)
8:11.0,J. Johnson misses 2-pt shot from 12 ft,,9-2,,
8:09.0,Offensive rebound by M. Plumlee,,9-2,,
7:59.0,J. Johnson makes 2-pt shot from 10 ft (assist by D. Williams),2,11-2,,
7:43.0,Shooting block foul by S. Karasev (drawn by G. Henderson),,11-2,,
7:43.0,,,11-3,1,G. Henderson makes free throw 1 of 2
7:43.0,,,11-4,1,G. Henderson makes free throw 2 of 2
7:32.0,Turnover by J. Johnson (bad pass),,11-4,,
7:16.0,,,11-4,,L. Stephenson misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by J. Johnson,,11-4,,
7:00.0,M. Plumlee makes 2-pt shot from 7 ft,2,13-4,,
6:46.0,,,13-6,2,L. Stephenson makes 2-pt shot from 1 ft (assist by K. Walker)
6:40.0,D. Williams misses 2-pt shot from 2 ft (block by A. Jefferson),,13-6,,
6:40.0,Offensive rebound by Team,,13-6,,
6:30.0,J. Johnson makes 2-pt shot from 1 ft,2,15-6,,
6:18.0,,,15-6,,A. Jefferson misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by Team,,15-6,,
6:18.0,,,15-6,,Loose ball foul by A. Jefferson (drawn by S. Karasev)
6:18.0,,,15-6,,M. Kidd-Gilchrist enters the game for G. Henderson
6:08.0,C. Jefferson makes 2-pt shot from 3 ft,2,17-6,,
6:08.0,Shooting foul by M. Kidd-Gilchrist (drawn by C. Jefferson),,17-6,,
6:08.0,,,17-6,,Charlotte full timeout
6:08.0,C. Jefferson makes free throw 1 of 1,1,18-6,,
5:45.0,,,18-6,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by M. Plumlee,,18-6,,
5:23.0,M. Plumlee misses 2-pt shot from 1 ft (block by A. Jefferson),,18-6,,
5:21.0,,,18-6,,Defensive rebound by A. Jefferson
5:11.0,,,18-6,,C. Zeller misses 2-pt shot at rim (block by M. Plumlee)
5:08.0,Defensive rebound by C. Jefferson,,18-6,,
4:59.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,21-6,,
4:45.0,Personal foul by D. Williams (drawn by K. Walker),,21-6,,
4:45.0,,,21-6,,M. Williams enters the game for C. Zeller
4:35.0,,,21-6,,M. Williams misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by Team,,21-6,,
4:35.0,,,21-6,,Loose ball foul by M. Kidd-Gilchrist (drawn by M. Plumlee)
4:21.0,J. Johnson misses 2-pt shot from 2 ft,,21-6,,
4:20.0,,,21-6,,Defensive rebound by A. Jefferson
4:18.0,,,21-6,,Shooting foul by S. Karasev (drawn by L. Stephenson)
4:18.0,,,21-8,2,L. Stephenson makes 2-pt shot from 4 ft (assist by A. Jefferson)
4:18.0,A. Anderson enters the game for S. Karasev,,21-8,,
4:18.0,,,21-8,,L. Stephenson misses free throw 1 of 1
4:16.0,Defensive rebound by M. Plumlee,,21-8,,
3:57.0,D. Williams makes 3-pt shot from 23 ft (assist by A. Anderson),3,24-8,,
3:40.0,,,24-10,2,K. Walker makes 2-pt shot from 10 ft
3:19.0,A. Anderson makes 3-pt shot from 22 ft (assist by J. Johnson),3,27-10,,
3:07.0,,,27-12,2,L. Stephenson makes 2-pt shot from 18 ft (assist by K. Walker)
2:47.0,Turnover by D. Williams (lost ball),,27-12,,
2:47.0,Brooklyn full timeout,,27-12,,
2:47.0,,,27-12,,B. Biyombo enters the game for A. Jefferson
2:47.0,,,27-12,,B. Roberts enters the game for K. Walker
2:47.0,B. Bogdanovic enters the game for J. Johnson,,27-12,,
2:27.0,,,27-12,,M. Kidd-Gilchrist misses 2-pt shot from 9 ft (block by B. Bogdanovic)
2:25.0,Defensive rebound by D. Williams,,27-12,,
2:25.0,Turnover by D. Williams (bad pass),,27-12,,
2:09.0,,,27-12,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
2:06.0,Defensive rebound by B. Bogdanovic,,27-12,,
1:49.0,A. Anderson makes 3-pt shot from 25 ft (assist by D. Williams),3,30-12,,
1:36.0,Personal foul by A. Anderson (drawn by B. Roberts),,30-12,,
1:36.0,,,30-13,1,B. Roberts makes free throw 1 of 2
1:36.0,,,30-13,,B. Roberts misses free throw 2 of 2
1:35.0,Defensive rebound by C. Jefferson,,30-13,,
1:19.0,,,30-13,,Personal foul by B. Biyombo (drawn by M. Plumlee)
1:19.0,M. Plumlee misses free throw 1 of 2,,30-13,,
1:19.0,Offensive rebound by Team,,30-13,,
1:19.0,M. Plumlee misses free throw 2 of 2,,30-13,,
1:17.0,,,30-13,,Defensive rebound by M. Williams
1:08.0,,,30-13,,L. Stephenson misses 2-pt shot from 22 ft
1:06.0,,,30-13,,Offensive rebound by B. Biyombo
0:58.0,,,30-13,,Shooting foul by C. Jefferson (drawn by B. Biyombo)
0:58.0,,,30-13,,B. Biyombo misses free throw 1 of 2
0:58.0,,,30-13,,Offensive rebound by Team
0:58.0,J. Jordan enters the game for M. Plumlee,,30-13,,
0:58.0,B. Davies enters the game for C. Jefferson,,30-13,,
0:58.0,J. Jack enters the game for D. Williams,,30-13,,
0:58.0,,,30-14,1,B. Biyombo makes free throw 2 of 2
0:41.0,B. Davies misses 2-pt shot from 17 ft,,30-14,,
0:40.0,,,30-14,,Defensive rebound by B. Biyombo
0:28.0,,,30-14,,M. Williams misses 3-pt shot from 26 ft
0:27.0,,,30-14,,Offensive rebound by B. Biyombo
