time,Orlando,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. K. O'Quinn (D. Green gains possession),,,,Jump ball: A. Bogut vs. K. O'Quinn (D. Green gains possession)
11:42.0,,,0-0,,D. Green misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by T. Harris,,0-0,,
11:23.0,C. Frye misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by K. Thompson
11:11.0,,,0-0,,D. Green misses 3-pt shot from 27 ft
11:10.0,Defensive rebound by C. Frye,,0-0,,
11:02.0,T. Harris misses 2-pt shot from 13 ft,,0-0,,
11:01.0,,,0-0,,Defensive rebound by S. Curry
10:53.0,,,0-0,,Shooting foul by K. O'Quinn (drawn by A. Bogut)
10:53.0,,,0-1,1,A. Bogut makes free throw 1 of 2
10:53.0,,,0-1,,A. Bogut misses free throw 2 of 2
10:52.0,,,0-1,,Offensive rebound by H. Barnes
10:45.0,,,0-4,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
10:23.0,E. Fournier misses 2-pt shot from 2 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by K. Thompson
10:17.0,,,0-4,,K. Thompson misses 3-pt shot from 27 ft
10:16.0,Defensive rebound by K. O'Quinn,,0-4,,
10:12.0,D. Dedmon enters the game for K. O'Quinn,,0-4,,
9:52.0,D. Dedmon makes 2-pt shot from 8 ft,2,2-4,,
9:38.0,,,2-4,,S. Curry misses 3-pt shot from 23 ft
9:36.0,Defensive rebound by T. Harris,,2-4,,
9:29.0,T. Harris makes 2-pt shot from 2 ft,2,4-4,,
9:16.0,,,4-4,,Turnover by D. Green (bad pass; steal by C. Frye)
9:00.0,V. Oladipo makes 2-pt shot from 1 ft,2,6-4,,
8:38.0,,,6-6,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
8:13.0,C. Frye misses 2-pt shot from 15 ft,,6-6,,
8:12.0,,,6-6,,Defensive rebound by A. Bogut
8:01.0,,,6-6,,D. Green misses 3-pt shot from 22 ft
8:00.0,,,6-6,,Offensive rebound by A. Bogut
7:51.0,,,6-6,,D. Green misses 2-pt shot from 1 ft
7:50.0,Defensive rebound by C. Frye,,6-6,,
7:39.0,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Harris),3,9-6,,
7:17.0,,,9-6,,Turnover by S. Curry (bad pass)
7:00.0,T. Harris makes 2-pt shot from 8 ft,2,11-6,,
6:49.0,,,11-8,2,S. Curry makes 2-pt shot from 2 ft
6:29.0,D. Dedmon makes 2-pt shot from 5 ft (assist by E. Fournier),2,13-8,,
6:20.0,,,13-8,,Turnover by S. Curry (lost ball; steal by V. Oladipo)
6:16.0,V. Oladipo makes 2-pt shot at rim,2,15-8,,
6:09.0,,,15-8,,Golden State full timeout
6:09.0,,,15-8,,A. Iguodala enters the game for D. Green
6:04.0,,,15-8,,S. Curry misses 3-pt shot from 27 ft
6:03.0,,,15-8,,Offensive rebound by A. Bogut
5:59.0,,,15-10,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
5:40.0,Shooting foul by K. Thompson (drawn by V. Oladipo),,15-10,,
5:40.0,V. Oladipo makes free throw 1 of 2,1,16-10,,
5:40.0,E. Payton enters the game for D. Dedmon,,16-10,,
5:40.0,V. Oladipo makes free throw 2 of 2,1,17-10,,
5:26.0,,,17-12,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
5:03.0,V. Oladipo misses 3-pt shot from 23 ft,,17-12,,
5:01.0,,,17-12,,Defensive rebound by S. Curry
4:55.0,,,17-12,,H. Barnes misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by C. Frye,,17-12,,
4:54.0,,,17-12,,Personal foul by A. Bogut (drawn by C. Frye)
4:54.0,,,17-12,,M. Speights enters the game for A. Bogut
4:54.0,K. O'Quinn enters the game for C. Frye,,17-12,,
4:42.0,K. O'Quinn misses 2-pt shot from 7 ft,,17-12,,
4:41.0,,,17-12,,Defensive rebound by H. Barnes
4:28.0,,,17-14,2,H. Barnes makes 2-pt shot at rim (assist by A. Iguodala)
4:19.0,Offensive foul by E. Payton,,17-14,,
4:19.0,Turnover by E. Payton (offensive foul),,17-14,,
4:19.0,,,17-14,,L. Barbosa enters the game for K. Thompson
4:06.0,,,17-16,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Curry)
3:47.0,T. Harris misses 2-pt shot from 2 ft,,17-16,,
3:46.0,Offensive rebound by K. O'Quinn,,17-16,,
3:46.0,K. O'Quinn makes 2-pt shot from 2 ft,2,19-16,,
3:46.0,Shooting foul by M. Speights (drawn by K. O'Quinn),,19-16,,
3:46.0,W. Green enters the game for V. Oladipo,,19-16,,
3:46.0,B. Gordon enters the game for E. Fournier,,19-16,,
3:46.0,K. O'Quinn makes free throw 1 of 1,1,20-16,,
3:32.0,,,20-18,2,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry)
3:26.0,Orlando full timeout,,20-18,,
3:26.0,C. Frye enters the game for T. Harris,,20-18,,
3:14.0,W. Green misses 2-pt shot from 9 ft,,20-18,,
3:13.0,,,20-18,,Defensive rebound by H. Barnes
3:06.0,,,20-18,,Shooting foul by B. Gordon (drawn by L. Barbosa)
3:06.0,,,20-19,1,L. Barbosa makes free throw 1 of 2
3:06.0,,,20-20,1,L. Barbosa makes free throw 2 of 2
2:51.0,B. Gordon misses 2-pt shot from 13 ft,,20-20,,
2:50.0,,,20-20,,Defensive rebound by A. Iguodala
2:32.0,,,20-20,,M. Speights misses 2-pt shot from 9 ft
2:31.0,,,20-20,,Offensive rebound by H. Barnes
2:31.0,,,20-22,2,H. Barnes makes 2-pt shot from 1 ft
2:31.0,,,20-22,,Shooting foul by B. Gordon (drawn by H. Barnes)
2:31.0,,,20-23,1,H. Barnes makes free throw 1 of 1
2:10.0,E. Payton makes 2-pt shot from 2 ft,2,22-23,,
1:49.0,,,22-23,,Offensive foul by M. Speights
1:49.0,,,22-23,,Turnover by M. Speights (offensive foul)
1:35.0,K. O'Quinn makes 2-pt shot from 6 ft,2,24-23,,
1:23.0,,,24-23,,S. Curry misses 2-pt shot from 2 ft
1:21.0,,,24-23,,Offensive rebound by M. Speights
1:21.0,,,24-23,,M. Speights misses 2-pt shot at rim
1:19.0,,,24-23,,Offensive rebound by H. Barnes
1:15.0,,,24-23,,Shooting foul by K. O'Quinn (drawn by H. Barnes)
1:15.0,,,24-23,,H. Barnes misses free throw 1 of 2
1:15.0,,,24-23,,Offensive rebound by Team
1:15.0,,,24-23,,A. Bogut enters the game for M. Speights
1:15.0,,,24-23,,S. Livingston enters the game for S. Curry
1:15.0,,,24-24,1,H. Barnes makes free throw 2 of 2
0:59.0,W. Green misses 2-pt shot from 23 ft,,24-24,,
0:58.0,,,24-24,,Defensive rebound by H. Barnes
0:41.0,,,24-24,,Turnover by A. Bogut (lost ball; steal by E. Payton)
0:33.0,B. Gordon misses 3-pt shot from 26 ft,,24-24,,
0:32.0,Offensive rebound by E. Payton,,24-24,,
0:30.0,Shooting foul by A. Bogut (drawn by E. Payton),,24-24,,
0:30.0,E. Payton misses free throw 1 of 2,,24-24,,
0:30.0,Offensive rebound by Team,,24-24,,
0:30.0,V. Oladipo enters the game for K. O'Quinn,,24-24,,
0:30.0,E. Payton makes free throw 2 of 2,1,25-24,,
0:11.0,,,25-24,,L. Barbosa misses 2-pt shot from 21 ft
0:10.0,Defensive rebound by W. Green,,25-24,,
0:01.0,C. Frye misses 3-pt shot from 26 ft,,25-24,,
0:00.0,Offensive rebound by Team,,25-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,E. Payton misses 2-pt shot from 12 ft,,25-24,,
11:43.0,,,25-24,,Defensive rebound by D. Green
11:31.0,,,25-24,,L. Barbosa misses 3-pt shot from 27 ft
11:30.0,Defensive rebound by V. Oladipo,,25-24,,
11:23.0,Shooting foul by S. Livingston (drawn by V. Oladipo),,25-24,,
11:23.0,V. Oladipo makes free throw 1 of 2,1,26-24,,
11:23.0,V. Oladipo makes free throw 2 of 2,1,27-24,,
11:11.0,,,27-26,2,M. Speights makes 2-pt shot from 18 ft (assist by D. Green)
10:53.0,B. Gordon makes 2-pt shot from 1 ft,2,29-26,,
10:42.0,,,29-26,,Offensive foul by D. Green
10:42.0,,,29-26,,Turnover by D. Green (offensive foul)
10:42.0,,,29-26,,K. Thompson enters the game for L. Barbosa
10:31.0,E. Payton misses 3-pt shot from 23 ft,,29-26,,
10:30.0,,,29-26,,Defensive rebound by K. Thompson
10:14.0,,,29-28,2,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:56.0,W. Green misses 2-pt shot from 18 ft,,29-28,,
9:54.0,,,29-28,,Defensive rebound by M. Speights
9:49.0,,,29-30,2,D. Green makes 2-pt shot from 1 ft (assist by M. Speights)
9:42.0,Orlando full timeout,,29-30,,
9:42.0,K. O'Quinn enters the game for D. Dedmon,,29-30,,
9:42.0,E. Fournier enters the game for W. Green,,29-30,,
9:42.0,T. Harris enters the game for B. Gordon,,29-30,,
9:28.0,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo),3,32-30,,
9:08.0,,,32-32,2,S. Livingston makes 2-pt shot from 13 ft (assist by M. Speights)
8:52.0,V. Oladipo makes 2-pt shot from 18 ft,2,34-32,,
8:31.0,,,34-34,2,S. Livingston makes 2-pt shot from 13 ft (assist by D. Green)
8:12.0,Turnover by K. O'Quinn (bad pass; steal by K. Thompson),,34-34,,
8:06.0,,,34-36,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
7:41.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by T. Harris),2,36-36,,
