time,New Orleans,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. A. Davis (C. Zeller gains possession),,,,Jump ball: B. Biyombo vs. A. Davis (C. Zeller gains possession)
11:42.0,,,0-0,,C. Zeller misses 2-pt shot from 7 ft
11:40.0,Defensive rebound by A. Davis,,0-0,,
11:24.0,E. Gordon misses 3-pt shot from 26 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by B. Biyombo
11:12.0,,,0-0,,G. Henderson misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by T. Evans,,0-0,,
10:59.0,A. Davis makes 2-pt shot from 13 ft,2,2-0,,
10:39.0,,,2-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
10:38.0,,,2-0,,Offensive rebound by M. Kidd-Gilchrist
10:32.0,,,2-0,,Turnover by K. Walker (bad pass; steal by J. Holiday)
10:21.0,O. Asik misses 2-pt shot from 1 ft,,2-0,,
10:21.0,Offensive rebound by O. Asik,,2-0,,
10:21.0,Shooting foul by G. Henderson (drawn by O. Asik),,2-0,,
10:21.0,O. Asik makes free throw 1 of 2,1,3-0,,
10:21.0,O. Asik makes free throw 2 of 2,1,4-0,,
9:58.0,,,4-0,,G. Henderson misses 2-pt shot from 9 ft
9:57.0,Defensive rebound by A. Davis,,4-0,,
9:50.0,E. Gordon makes 2-pt shot from 18 ft (assist by J. Holiday),2,6-0,,
9:33.0,,,6-3,3,K. Walker makes 3-pt shot from 26 ft (assist by G. Henderson)
9:23.0,Turnover by J. Holiday (step out of bounds),,6-3,,
9:07.0,,,6-3,,Turnover by C. Zeller (traveling)
8:50.0,A. Davis misses 2-pt shot from 20 ft,,6-3,,
8:48.0,,,6-3,,Defensive rebound by B. Biyombo
8:38.0,,,6-3,,K. Walker misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by O. Asik,,6-3,,
8:22.0,Turnover by T. Evans (lost ball; steal by M. Kidd-Gilchrist),,6-3,,
8:22.0,,,6-3,,Charlotte full timeout
8:08.0,,,6-5,2,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker)
7:57.0,Shooting foul by C. Zeller (drawn by O. Asik),,6-5,,
7:57.0,O. Asik makes free throw 1 of 2,1,7-5,,
7:57.0,O. Asik makes free throw 2 of 2,1,8-5,,
7:41.0,,,8-5,,K. Walker misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by O. Asik,,8-5,,
7:24.0,Turnover by E. Gordon (bad pass; steal by C. Zeller),,8-5,,
7:13.0,,,8-7,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by G. Henderson)
6:54.0,A. Davis misses 2-pt shot from 18 ft,,8-7,,
6:53.0,,,8-7,,Defensive rebound by M. Kidd-Gilchrist
6:44.0,,,8-7,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
6:43.0,Defensive rebound by A. Davis,,8-7,,
6:38.0,T. Evans misses 2-pt shot at rim,,8-7,,
6:34.0,Offensive rebound by A. Davis,,8-7,,
6:34.0,A. Davis makes 2-pt shot at rim,2,10-7,,
6:14.0,,,10-7,,K. Walker misses 3-pt shot from 25 ft (block by J. Holiday)
6:12.0,,,10-7,,Offensive rebound by K. Walker
6:12.0,,,10-7,,Shooting foul by J. Holiday (drawn by K. Walker)
6:12.0,,,10-7,,K. Walker misses free throw 1 of 3
6:12.0,,,10-7,,Offensive rebound by Team
6:12.0,,,10-8,1,K. Walker makes free throw 2 of 3
6:12.0,,,10-8,,K. Walker misses free throw 3 of 3
6:11.0,Defensive rebound by A. Davis,,10-8,,
6:00.0,Turnover by T. Evans (palming),,10-8,,
5:43.0,,,10-8,,G. Henderson misses 2-pt shot from 7 ft
5:42.0,Defensive rebound by T. Evans,,10-8,,
5:34.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Holiday),3,13-8,,
5:21.0,,,13-10,2,K. Walker makes 2-pt shot from 7 ft
5:07.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Evans),,13-10,,
5:07.0,T. Evans misses free throw 1 of 2,,13-10,,
5:07.0,Offensive rebound by Team,,13-10,,
5:07.0,,,13-10,,M. Williams enters the game for C. Zeller
5:07.0,T. Evans misses free throw 2 of 2,,13-10,,
5:06.0,,,13-10,,Defensive rebound by B. Biyombo
4:54.0,,,13-12,2,K. Walker makes 2-pt shot from 15 ft
4:27.0,A. Davis makes 2-pt shot from 9 ft,2,15-12,,
4:11.0,,,15-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
4:11.0,,,15-14,,Shooting foul by O. Asik (drawn by M. Kidd-Gilchrist)
4:11.0,R. Anderson enters the game for O. Asik,,15-14,,
4:11.0,D. Cunningham enters the game for E. Gordon,,15-14,,
4:11.0,,,15-15,1,M. Kidd-Gilchrist makes free throw 1 of 1
3:59.0,J. Holiday makes 2-pt shot from 1 ft,2,17-15,,
3:45.0,,,17-17,2,M. Williams makes 2-pt shot at rim
3:35.0,Turnover by J. Holiday (lost ball; steal by K. Walker),,17-17,,
3:29.0,,,17-17,,G. Henderson misses 2-pt shot from 1 ft
3:28.0,,,17-17,,Offensive rebound by B. Biyombo
3:28.0,,,17-17,,Shooting foul by D. Cunningham (drawn by B. Biyombo)
3:28.0,,,17-17,,B. Biyombo misses free throw 1 of 2
3:28.0,,,17-17,,Offensive rebound by Team
3:28.0,,,17-17,,G. Neal enters the game for G. Henderson
3:28.0,,,17-18,1,B. Biyombo makes free throw 2 of 2
3:12.0,T. Evans makes 2-pt shot from 15 ft,2,19-18,,
2:46.0,,,19-18,,K. Walker misses 2-pt shot from 11 ft
2:43.0,Defensive rebound by T. Evans,,19-18,,
2:29.0,Shooting foul by K. Walker (drawn by J. Holiday),,19-18,,
2:29.0,New Orleans full timeout,,19-18,,
2:29.0,,,19-18,,P. Hairston enters the game for M. Kidd-Gilchrist
2:29.0,,,19-18,,J. Maxiell enters the game for B. Biyombo
2:29.0,J. Holiday misses free throw 1 of 2,,19-18,,
2:29.0,Offensive rebound by Team,,19-18,,
2:29.0,J. Holiday makes free throw 2 of 2,1,20-18,,
2:12.0,,,20-18,,G. Neal misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by R. Anderson,,20-18,,
1:50.0,A. Davis misses 2-pt shot from 16 ft,,20-18,,
1:48.0,,,20-18,,Defensive rebound by G. Neal
1:39.0,,,20-18,,K. Walker misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by R. Anderson,,20-18,,
1:30.0,T. Evans makes 2-pt shot at rim (assist by J. Holiday),2,22-18,,
1:15.0,,,22-18,,J. Maxiell misses 2-pt shot from 11 ft
1:14.0,Defensive rebound by J. Holiday,,22-18,,
1:06.0,T. Evans makes 2-pt shot from 1 ft,2,24-18,,
0:46.0,Personal foul by R. Anderson (drawn by K. Walker),,24-18,,
0:46.0,J. Fredette enters the game for J. Holiday,,24-18,,
0:41.0,,,24-18,,B. Roberts enters the game for K. Walker
0:32.0,,,24-20,2,B. Roberts makes 2-pt shot from 14 ft
0:20.0,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans),2,26-20,,
0:20.0,Shooting foul by B. Roberts (drawn by A. Davis),,26-20,,
0:20.0,A. Davis makes free throw 1 of 1,1,27-20,,
0:00.0,,,27-20,,G. Neal misses 2-pt shot from 1 ft
0:00.0,,,27-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Anderson misses 2-pt shot from 1 ft,,27-20,,
11:44.0,,,27-20,,Defensive rebound by P. Hairston
11:23.0,,,27-20,,Turnover by B. Roberts (lost ball; steal by R. Anderson)
11:19.0,,,27-20,,Shooting block foul by G. Neal (drawn by E. Gordon)
11:19.0,E. Gordon misses free throw 1 of 2,,27-20,,
11:19.0,Offensive rebound by Team,,27-20,,
11:19.0,E. Gordon makes free throw 2 of 2,1,28-20,,
11:00.0,,,28-20,,Turnover by G. Neal (lost ball; steal by E. Gordon)
10:52.0,R. Anderson misses 3-pt shot from 26 ft,,28-20,,
10:51.0,,,28-20,,Defensive rebound by B. Roberts
10:39.0,,,28-20,,G. Neal misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by Team,,28-20,,
10:29.0,Shooting foul by J. Maxiell (drawn by A. Ajinca),,28-20,,
10:29.0,A. Ajinca misses free throw 1 of 2,,28-20,,
10:29.0,Offensive rebound by Team,,28-20,,
10:29.0,A. Ajinca makes free throw 2 of 2,1,29-20,,
10:18.0,,,29-20,,B. Roberts misses 2-pt shot from 18 ft
10:17.0,Defensive rebound by A. Ajinca,,29-20,,
10:06.0,A. Ajinca makes 2-pt shot from 8 ft (assist by J. Fredette),2,31-20,,
10:01.0,,,31-20,,Charlotte full timeout
9:47.0,,,31-22,2,J. Maxiell makes 2-pt shot from 9 ft (assist by M. Williams)
9:34.0,Turnover by E. Gordon (bad pass; steal by M. Williams),,31-22,,
9:25.0,,,31-22,,P. Hairston misses 3-pt shot from 25 ft
9:24.0,,,31-22,,Offensive rebound by J. Maxiell
9:16.0,,,31-22,,Turnover by P. Hairston (traveling)
9:08.0,Shooting foul by B. Roberts (drawn by J. Fredette),,31-22,,
9:08.0,J. Fredette makes free throw 1 of 2,1,32-22,,
9:08.0,J. Fredette makes free throw 2 of 2,1,33-22,,
8:53.0,,,33-22,,P. Hairston misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by E. Gordon,,33-22,,
8:44.0,E. Gordon misses 2-pt shot from 1 ft,,33-22,,
8:43.0,,,33-22,,Defensive rebound by P. Hairston
8:26.0,,,33-24,2,G. Neal makes 2-pt shot from 15 ft
8:10.0,R. Anderson makes 2-pt shot from 1 ft,2,35-24,,
7:55.0,,,35-27,3,B. Roberts makes 3-pt shot from 26 ft
7:38.0,,,35-27,,Personal block foul by M. Williams (drawn by E. Gordon)
7:38.0,A. Davis enters the game for A. Ajinca,,35-27,,
7:38.0,,,35-27,,G. Henderson enters the game for G. Neal
7:38.0,,,35-27,,C. Zeller enters the game for J. Maxiell
7:31.0,J. Fredette misses 2-pt shot from 19 ft,,35-27,,
7:30.0,,,35-27,,Defensive rebound by G. Henderson
7:28.0,,,35-27,,Turnover by G. Henderson (bad pass; steal by J. Fredette)
7:25.0,J. Fredette misses 2-pt shot from 1 ft,,35-27,,
7:23.0,Offensive rebound by J. Fredette,,35-27,,
7:20.0,Turnover by J. Fredette (bad pass),,35-27,,
