time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Sanders vs. A. Varejao (G. Antetokounmpo gains possession),,,,Jump ball: L. Sanders vs. A. Varejao (G. Antetokounmpo gains possession)
11:45.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by S. Marion
11:27.0,,,0-0,,K. Love misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by L. Sanders,,0-0,,
11:15.0,O. Mayo misses 2-pt shot from 12 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by K. Love
11:10.0,,,0-0,,Shooting foul by O. Mayo (drawn by K. Irving)
11:10.0,,,0-1,1,K. Irving makes free throw 1 of 2
11:10.0,,,0-2,1,K. Irving makes free throw 2 of 2
10:49.0,B. Knight misses 2-pt shot from 22 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by K. Love
10:40.0,,,0-2,,Turnover by K. Love (traveling)
10:27.0,J. Parker misses 2-pt shot from 16 ft,,0-2,,
10:26.0,,,0-2,,Defensive rebound by A. Varejao
10:22.0,,,0-2,,S. Marion misses 2-pt shot from 2 ft (block by O. Mayo)
10:22.0,,,0-2,,Offensive rebound by Team
10:17.0,,,0-2,,A. Varejao misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:12.0,,,0-2,,Personal block foul by L. James (drawn by G. Antetokounmpo)
10:01.0,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight),2,2-2,,
9:49.0,,,2-2,,L. James misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by B. Knight,,2-2,,
9:44.0,,,2-2,,Violation by K. Irving (kicked ball)
9:32.0,L. Sanders makes 2-pt shot from 1 ft (assist by J. Parker),2,4-2,,
9:15.0,,,4-4,2,K. Love makes 2-pt shot from 1 ft (assist by A. Varejao)
9:00.0,B. Knight makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,6-4,,
8:37.0,,,6-4,,S. Marion misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by O. Mayo,,6-4,,
8:16.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,6-4,,
8:13.0,Offensive rebound by L. Sanders,,6-4,,
8:13.0,L. Sanders misses 2-pt shot from 1 ft,,6-4,,
8:10.0,Offensive rebound by J. Parker,,6-4,,
8:08.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,6-4,,
8:05.0,,,6-4,,Defensive rebound by K. Love
8:02.0,,,6-6,2,S. Marion makes 2-pt shot at rim (assist by L. James)
7:49.0,O. Mayo misses 2-pt shot from 4 ft,,6-6,,
7:46.0,,,6-6,,Defensive rebound by Team
7:45.0,,,6-8,2,K. Irving makes 2-pt shot from 5 ft
7:45.0,,,6-8,,Shooting foul by B. Knight (drawn by K. Irving)
7:45.0,,,6-8,,K. Irving misses free throw 1 of 1
7:37.0,Defensive rebound by B. Knight,,6-8,,
7:37.0,B. Knight misses 2-pt shot from 7 ft (block by K. Irving),,6-8,,
7:37.0,Offensive rebound by Team,,6-8,,
7:23.0,L. Sanders makes 2-pt shot at rim,2,8-8,,
7:17.0,,,8-10,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
7:17.0,,,8-10,,Shooting foul by J. Parker (drawn by K. Love)
7:17.0,,,8-11,1,K. Love makes free throw 1 of 1
6:52.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by L. Sanders),2,10-11,,
6:40.0,,,10-13,2,A. Varejao makes 2-pt shot from 16 ft (assist by L. James)
6:17.0,L. Sanders misses 2-pt shot from 15 ft,,10-13,,
6:16.0,,,10-13,,Defensive rebound by K. Love
6:07.0,Personal foul by G. Antetokounmpo (drawn by L. James),,10-13,,
6:07.0,,,10-13,,T. Thompson enters the game for A. Varejao
6:07.0,Z. Pachulia enters the game for L. Sanders,,10-13,,
5:57.0,,,10-13,,S. Marion misses 2-pt shot from 7 ft
5:54.0,,,10-13,,Offensive rebound by S. Marion
5:54.0,,,10-15,2,S. Marion makes 2-pt shot at rim
5:29.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,10-15,,
5:28.0,,,10-15,,Defensive rebound by K. Love
5:25.0,,,10-15,,Turnover by K. Love (bad pass; steal by B. Knight)
5:22.0,,,10-15,,Personal foul by T. Thompson (drawn by G. Antetokounmpo)
5:22.0,,,10-15,,Cleveland full timeout
5:09.0,J. Parker makes 2-pt shot at rim (assist by B. Knight),2,12-15,,
5:00.0,Personal foul by G. Antetokounmpo (drawn by L. James),,12-15,,
5:00.0,,,12-16,1,L. James makes free throw 1 of 2
5:00.0,J. Dudley enters the game for G. Antetokounmpo,,12-16,,
5:00.0,,,12-16,,L. James misses free throw 2 of 2
