time,LA Lakers,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession),,,,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession)
11:38.0,,,0-0,,M. Dunleavy misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by E. Davis,,0-0,,
11:20.0,W. Johnson misses 3-pt shot from 25 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by J. Noah
11:13.0,,,0-2,2,D. Rose makes 2-pt shot from 21 ft
10:52.0,J. Hill misses 2-pt shot from 16 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by M. Dunleavy
10:43.0,,,0-4,2,D. Rose makes 2-pt shot from 7 ft
10:29.0,Shooting foul by J. Butler (drawn by W. Johnson),,0-4,,
10:29.0,W. Johnson misses free throw 1 of 2,,0-4,,
10:29.0,Offensive rebound by Team,,0-4,,
10:29.0,W. Johnson makes free throw 2 of 2,1,1-4,,
10:15.0,,,1-4,,J. Butler misses 2-pt shot from 7 ft
10:14.0,Defensive rebound by E. Davis,,1-4,,
10:02.0,W. Johnson misses 2-pt shot from 20 ft,,1-4,,
10:01.0,,,1-4,,Defensive rebound by J. Noah
9:51.0,,,1-7,3,D. Rose makes 3-pt shot from 24 ft (assist by M. Dunleavy)
9:32.0,J. Hill makes 2-pt shot from 15 ft (assist by W. Ellington),2,3-7,,
9:13.0,,,3-7,,Turnover by D. Rose (bad pass; steal by W. Johnson)
9:06.0,W. Johnson misses 3-pt shot from 24 ft,,3-7,,
9:04.0,,,3-7,,Defensive rebound by D. Rose
8:54.0,,,3-7,,P. Gasol misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by W. Johnson,,3-7,,
8:42.0,J. Hill misses 2-pt shot from 20 ft,,3-7,,
8:41.0,,,3-7,,Defensive rebound by M. Dunleavy
8:27.0,,,3-7,,D. Rose misses 2-pt shot from 13 ft
8:26.0,Defensive rebound by J. Hill,,3-7,,
8:09.0,Turnover by J. Hill (traveling),,3-7,,
7:54.0,,,3-7,,P. Gasol misses 2-pt shot from 9 ft
7:53.0,,,3-7,,Offensive rebound by J. Noah
7:53.0,,,3-9,2,J. Noah makes 2-pt shot from 1 ft
7:36.0,W. Ellington misses 2-pt shot from 22 ft,,3-9,,
7:36.0,Offensive rebound by E. Davis,,3-9,,
7:36.0,Shooting foul by M. Dunleavy (drawn by E. Davis),,3-9,,
7:36.0,E. Davis misses free throw 1 of 2,,3-9,,
7:36.0,Offensive rebound by Team,,3-9,,
7:36.0,E. Davis makes free throw 2 of 2,1,4-9,,
7:19.0,,,4-9,,M. Dunleavy misses 2-pt shot from 2 ft (block by J. Hill)
7:18.0,Defensive rebound by J. Hill,,4-9,,
7:08.0,W. Ellington misses 2-pt shot from 2 ft,,4-9,,
7:07.0,Offensive rebound by E. Davis,,4-9,,
7:07.0,E. Davis makes 2-pt shot from 2 ft,2,6-9,,
6:39.0,,,6-9,,J. Butler misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by E. Davis,,6-9,,
6:28.0,R. Price misses 2-pt shot from 15 ft,,6-9,,
6:27.0,,,6-9,,Defensive rebound by P. Gasol
6:24.0,,,6-9,,Turnover by P. Gasol (bad pass; steal by R. Price)
6:10.0,W. Johnson makes 2-pt shot from 21 ft (assist by W. Ellington),2,8-9,,
5:56.0,,,8-9,,D. Rose misses 2-pt shot from 14 ft
5:55.0,Defensive rebound by W. Johnson,,8-9,,
5:44.0,R. Price makes 3-pt shot from 24 ft (assist by J. Hill),3,11-9,,
5:21.0,,,11-9,,J. Noah misses 2-pt shot from 20 ft
5:19.0,,,11-9,,Offensive rebound by J. Butler
5:19.0,,,11-11,2,J. Butler makes 2-pt shot from 1 ft
4:57.0,W. Ellington makes 2-pt shot from 22 ft,2,13-11,,
4:42.0,,,13-14,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
4:26.0,W. Johnson misses 2-pt shot from 20 ft,,13-14,,
4:25.0,,,13-14,,Defensive rebound by J. Butler
4:14.0,,,13-16,2,J. Butler makes 2-pt shot from 1 ft
3:55.0,W. Johnson misses 2-pt shot from 14 ft,,13-16,,
3:54.0,Offensive rebound by E. Davis,,13-16,,
3:54.0,E. Davis misses 2-pt shot from 1 ft,,13-16,,
3:52.0,Offensive rebound by E. Davis,,13-16,,
3:52.0,E. Davis misses 2-pt shot from 1 ft,,13-16,,
3:51.0,Offensive rebound by W. Johnson,,13-16,,
3:46.0,W. Ellington misses 3-pt shot from 23 ft,,13-16,,
3:44.0,Offensive rebound by E. Davis,,13-16,,
3:44.0,E. Davis makes 2-pt shot from 1 ft,2,15-16,,
3:36.0,,,15-16,,Chicago full timeout
3:36.0,N. Young enters the game for W. Johnson,,15-16,,
3:36.0,C. Boozer enters the game for E. Davis,,15-16,,
3:36.0,J. Lin enters the game for R. Price,,15-16,,
3:36.0,,,15-16,,T. Gibson enters the game for J. Noah
3:36.0,,,15-16,,A. Brooks enters the game for D. Rose
3:24.0,,,15-16,,A. Brooks misses 2-pt shot from 15 ft
3:21.0,Defensive rebound by J. Hill,,15-16,,
3:14.0,J. Lin makes 2-pt shot from 1 ft,2,17-16,,
3:01.0,,,17-18,2,P. Gasol makes 2-pt shot at rim
