time,Oklahoma City,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. M. Gortat (R. Westbrook gains possession)
11:44.0,K. Durant misses 3-pt shot from 26 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by B. Beal
11:25.0,,,0-2,2,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall)
11:06.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-2,,
10:54.0,,,2-2,,B. Beal misses 2-pt shot from 21 ft
10:53.0,Defensive rebound by S. Adams,,2-2,,
10:45.0,R. Westbrook makes 2-pt shot from 5 ft,2,4-2,,
10:35.0,,,4-2,,P. Pierce misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by A. Roberson,,4-2,,
10:26.0,R. Westbrook misses 2-pt shot from 2 ft,,4-2,,
10:25.0,,,4-2,,Defensive rebound by N. Hilario
10:15.0,,,4-4,2,P. Pierce makes 2-pt shot at rim (assist by N. Hilario)
9:57.0,Turnover by K. Durant (lost ball; steal by P. Pierce),,4-4,,
9:49.0,,,4-4,,N. Hilario misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by S. Ibaka,,4-4,,
9:36.0,S. Ibaka misses 3-pt shot from 26 ft,,4-4,,
9:35.0,,,4-4,,Defensive rebound by J. Wall
9:19.0,,,4-6,2,N. Hilario makes 2-pt shot from 2 ft
9:19.0,,,4-6,,Shooting foul by S. Ibaka (drawn by N. Hilario)
9:19.0,,,4-7,1,N. Hilario makes free throw 1 of 1
9:10.0,Shooting foul by N. Hilario (drawn by K. Durant),,4-7,,
9:10.0,K. Durant makes free throw 1 of 2,1,5-7,,
9:10.0,K. Durant makes free throw 2 of 2,1,6-7,,
8:52.0,,,6-9,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
8:34.0,Turnover by S. Ibaka (lost ball; steal by J. Wall),,6-9,,
8:22.0,,,6-9,,B. Beal misses 3-pt shot from 26 ft
8:21.0,,,6-9,,Offensive rebound by B. Beal
8:19.0,,,6-9,,Turnover by B. Beal (bad pass)
8:11.0,R. Westbrook misses 2-pt shot from 2 ft,,6-9,,
8:10.0,,,6-9,,Defensive rebound by P. Pierce
7:54.0,,,6-9,,P. Pierce misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by K. Durant,,6-9,,
7:42.0,K. Durant misses 2-pt shot from 1 ft,,6-9,,
7:41.0,,,6-9,,Defensive rebound by P. Pierce
7:36.0,,,6-11,2,B. Beal makes 2-pt shot from 3 ft (assist by P. Pierce)
7:21.0,,,6-11,,Personal foul by J. Wall (drawn by S. Adams)
7:08.0,S. Ibaka makes 2-pt shot from 10 ft (assist by S. Adams),2,8-11,,
6:45.0,,,8-11,,Shooting foul by A. Roberson (drawn by N. Hilario)
6:45.0,,,8-12,1,N. Hilario makes free throw 1 of 2
6:45.0,,,8-13,1,N. Hilario makes free throw 2 of 2
6:31.0,R. Westbrook misses 3-pt shot from 26 ft,,8-13,,
6:30.0,,,8-13,,Defensive rebound by N. Hilario
6:21.0,,,8-13,,P. Pierce misses 2-pt shot from 3 ft
6:20.0,Defensive rebound by A. Roberson,,8-13,,
6:15.0,K. Durant makes 2-pt shot from 2 ft,2,10-13,,
6:15.0,Shooting foul by N. Hilario (drawn by K. Durant),,10-13,,
6:15.0,,,10-13,,K. Humphries enters the game for N. Hilario
6:15.0,K. Durant makes free throw 1 of 1,1,11-13,,
6:01.0,,,11-13,,J. Wall misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by S. Adams,,11-13,,
5:55.0,,,11-13,,Shooting block foul by B. Beal (drawn by R. Westbrook)
5:55.0,,,11-13,,Washington full timeout
5:55.0,A. Morrow enters the game for K. Durant,,11-13,,
5:55.0,R. Westbrook makes free throw 1 of 2,1,12-13,,
5:55.0,R. Westbrook makes free throw 2 of 2,1,13-13,,
5:32.0,,,13-13,,Shooting foul by A. Morrow (drawn by P. Pierce)
5:32.0,,,13-14,1,P. Pierce makes free throw 1 of 2
5:32.0,,,13-15,1,P. Pierce makes free throw 2 of 2
5:28.0,Shooting foul by M. Gortat (drawn by R. Westbrook),,13-15,,
5:28.0,R. Westbrook makes free throw 1 of 2,1,14-15,,
5:28.0,R. Westbrook misses free throw 2 of 2,,14-15,,
5:27.0,,,14-15,,Defensive rebound by K. Humphries
5:03.0,,,14-15,,M. Gortat misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by R. Westbrook,,14-15,,
4:58.0,S. Adams misses 2-pt shot from 1 ft,,14-15,,
4:55.0,,,14-15,,Defensive rebound by M. Gortat
4:54.0,,,14-15,,R. Butler enters the game for B. Beal
4:54.0,D. Waiters enters the game for A. Roberson,,14-15,,
4:41.0,,,14-15,,K. Humphries misses 2-pt shot from 17 ft
4:40.0,,,14-15,,Offensive rebound by M. Gortat
4:37.0,,,14-17,2,M. Gortat makes 2-pt shot from 1 ft
4:22.0,S. Adams misses 2-pt shot from 2 ft (block by M. Gortat),,14-17,,
4:21.0,,,14-17,,Defensive rebound by J. Wall
4:13.0,,,14-17,,J. Wall misses 3-pt shot from 27 ft
4:12.0,Defensive rebound by S. Adams,,14-17,,
4:05.0,R. Westbrook misses 2-pt shot from 18 ft,,14-17,,
4:04.0,Offensive rebound by S. Adams,,14-17,,
4:02.0,S. Adams misses 2-pt shot from 1 ft,,14-17,,
4:01.0,Offensive rebound by S. Adams,,14-17,,
4:00.0,S. Adams makes 2-pt shot from 2 ft,2,16-17,,
3:43.0,,,16-17,,O. Porter enters the game for P. Pierce
3:39.0,,,16-19,2,R. Butler makes 2-pt shot from 18 ft (assist by O. Porter)
3:22.0,Turnover by R. Westbrook (bad pass; steal by R. Butler),,16-19,,
3:17.0,,,16-21,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
3:09.0,Oklahoma City full timeout,,16-21,,
3:09.0,K. Perkins enters the game for S. Adams,,16-21,,
3:00.0,D. Waiters makes 2-pt shot at rim,2,18-21,,
2:46.0,,,18-23,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
2:32.0,D. Waiters makes 2-pt shot from 19 ft (assist by R. Westbrook),2,20-23,,
2:19.0,,,20-23,,O. Porter misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by D. Waiters,,20-23,,
2:07.0,K. Durant enters the game for R. Westbrook,,20-23,,
2:07.0,R. Jackson enters the game for S. Ibaka,,20-23,,
2:05.0,A. Morrow misses 2-pt shot from 16 ft,,20-23,,
2:03.0,,,20-23,,Defensive rebound by R. Butler
1:57.0,,,20-23,,Shooting foul by A. Morrow (drawn by O. Porter)
1:57.0,,,20-23,,O. Porter misses free throw 1 of 2
1:57.0,,,20-23,,Offensive rebound by Team
1:57.0,,,20-24,1,O. Porter makes free throw 2 of 2
1:45.0,K. Perkins makes 2-pt shot from 4 ft (assist by K. Durant),2,22-24,,
1:22.0,,,22-24,,J. Wall misses 2-pt shot from 18 ft
1:21.0,,,22-24,,Offensive rebound by K. Humphries
1:16.0,,,22-24,,M. Gortat misses 2-pt shot from 15 ft
1:15.0,Defensive rebound by D. Waiters,,22-24,,
1:09.0,D. Waiters misses 2-pt shot from 2 ft (block by M. Gortat),,22-24,,
1:07.0,Offensive rebound by A. Morrow,,22-24,,
1:05.0,A. Morrow makes 2-pt shot from 1 ft,2,24-24,,
0:55.0,,,24-24,,K. Seraphin enters the game for M. Gortat
0:51.0,Personal foul by K. Perkins (drawn by R. Butler),,24-24,,
0:51.0,,,24-25,1,R. Butler makes free throw 1 of 2
0:51.0,,,24-26,1,R. Butler makes free throw 2 of 2
0:36.0,K. Durant makes 2-pt shot from 17 ft,2,26-26,,
0:30.0,,,26-26,,R. Butler misses 3-pt shot from 25 ft
0:29.0,,,26-26,,Offensive rebound by K. Seraphin
0:27.0,,,26-26,,K. Seraphin misses 2-pt shot from 1 ft
0:27.0,,,26-26,,Offensive rebound by K. Seraphin
0:26.0,,,26-28,2,K. Seraphin makes 2-pt shot from 1 ft
0:05.0,K. Durant misses 2-pt shot from 4 ft,,26-28,,
0:04.0,Offensive rebound by K. Perkins,,26-28,,
0:02.0,K. Perkins misses 2-pt shot from 3 ft,,26-28,,
0:01.0,,,26-28,,Defensive rebound by O. Porter
0:00.0,,,26-31,3,J. Wall makes 3-pt shot from 31 ft
