time,San Antonio,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession),,,,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession)
11:48.0,,,0-0,,Personal foul by J. Butler (drawn by T. Parker)
11:33.0,T. Parker makes 3-pt shot from 24 ft,3,3-0,,
11:14.0,,,3-0,,D. Rose misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by T. Splitter,,3-0,,
10:54.0,T. Splitter makes 2-pt shot from 6 ft (assist by T. Duncan),2,5-0,,
10:34.0,,,5-0,,T. Snell misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by K. Leonard,,5-0,,
10:21.0,K. Leonard misses 2-pt shot from 21 ft,,5-0,,
10:20.0,,,5-0,,Defensive rebound by T. Gibson
10:12.0,,,5-0,,Shooting foul by T. Splitter (drawn by T. Snell)
10:12.0,,,5-1,1,T. Snell makes free throw 1 of 2
10:12.0,,,5-2,1,T. Snell makes free throw 2 of 2
9:46.0,T. Duncan makes 2-pt shot from 12 ft (assist by T. Parker),2,7-2,,
9:26.0,,,7-4,2,P. Gasol makes 2-pt shot from 17 ft (assist by T. Snell)
9:12.0,T. Parker misses 2-pt shot from 19 ft,,7-4,,
9:11.0,,,7-4,,Defensive rebound by T. Gibson
8:54.0,,,7-4,,J. Butler misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by K. Leonard,,7-4,,
8:39.0,T. Splitter misses 2-pt shot from 2 ft (block by T. Gibson),,7-4,,
8:37.0,,,7-4,,Defensive rebound by P. Gasol
8:26.0,,,7-4,,T. Gibson misses 2-pt shot from 11 ft
8:24.0,,,7-4,,Offensive rebound by D. Rose
8:23.0,,,7-6,2,D. Rose makes 2-pt shot from 1 ft
8:07.0,T. Duncan misses 2-pt shot from 5 ft (block by P. Gasol),,7-6,,
8:05.0,,,7-6,,Defensive rebound by T. Gibson
8:00.0,,,7-8,2,D. Rose makes 2-pt shot from 1 ft
7:43.0,Shooting foul by J. Butler (drawn by K. Leonard),,7-8,,
7:43.0,K. Leonard makes free throw 1 of 2,1,8-8,,
7:43.0,,,8-8,,K. Hinrich enters the game for J. Butler
7:43.0,K. Leonard makes free throw 2 of 2,1,9-8,,
7:29.0,,,9-8,,P. Gasol misses 2-pt shot from 6 ft
7:28.0,Defensive rebound by T. Duncan,,9-8,,
7:09.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,12-8,,
6:59.0,Violation by D. Green (kicked ball),,12-8,,
6:41.0,,,12-10,2,D. Rose makes 2-pt shot from 5 ft
6:29.0,Turnover by T. Splitter (lost ball; steal by D. Rose),,12-10,,
6:25.0,,,12-10,,D. Rose misses 2-pt shot from 2 ft (block by D. Green)
6:25.0,,,12-10,,Offensive rebound by Team
6:14.0,,,12-10,,K. Hinrich misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by T. Parker,,12-10,,
6:02.0,T. Duncan makes 2-pt shot from 6 ft,2,14-10,,
5:46.0,,,14-10,,Chicago full timeout
5:46.0,M. Ginobili enters the game for D. Green,,14-10,,
5:43.0,Jump ball: P. Gasol vs. T. Splitter,,,,Jump ball: P. Gasol vs. T. Splitter
5:43.0,,,14-10,,Turnover by P. Gasol (lost ball; steal by T. Splitter)
5:32.0,Turnover by K. Leonard (lost ball),,14-10,,
5:32.0,P. Mills enters the game for T. Parker,,14-10,,
5:32.0,B. Diaw enters the game for T. Splitter,,14-10,,
5:15.0,,,14-10,,Shooting foul by K. Leonard (drawn by T. Gibson)
5:15.0,,,14-11,1,T. Gibson makes free throw 1 of 2
5:15.0,,,14-11,,A. Brooks enters the game for D. Rose
5:15.0,,,14-12,1,T. Gibson makes free throw 2 of 2
5:01.0,M. Ginobili makes 2-pt shot from 2 ft,2,16-12,,
4:36.0,,,16-12,,K. Hinrich misses 2-pt shot from 19 ft
4:35.0,,,16-12,,Offensive rebound by T. Snell
4:23.0,Personal foul by M. Ginobili (drawn by A. Brooks),,16-12,,
4:09.0,,,16-14,2,T. Gibson makes 2-pt shot from 5 ft
3:57.0,B. Diaw misses 2-pt shot from 1 ft,,16-14,,
3:56.0,,,16-14,,Defensive rebound by P. Gasol
3:46.0,,,16-16,2,P. Gasol makes 2-pt shot from 19 ft (assist by A. Brooks)
3:44.0,San Antonio full timeout,,16-16,,
3:44.0,A. Baynes enters the game for T. Duncan,,16-16,,
3:29.0,P. Mills misses 2-pt shot from 12 ft,,16-16,,
3:28.0,,,16-16,,Defensive rebound by P. Gasol
3:15.0,,,16-16,,Shooting foul by A. Baynes (drawn by P. Gasol)
3:15.0,,,16-17,1,P. Gasol makes free throw 1 of 2
3:15.0,D. Green enters the game for K. Leonard,,16-17,,
3:15.0,,,16-18,1,P. Gasol makes free throw 2 of 2
3:03.0,A. Baynes misses 2-pt shot from 8 ft,,16-18,,
3:02.0,,,16-18,,Defensive rebound by P. Gasol
2:58.0,,,16-18,,Turnover by A. Brooks (bad pass; steal by A. Baynes)
2:43.0,M. Ginobili misses 2-pt shot from 1 ft (block by T. Gibson),,16-18,,
2:42.0,,,16-18,,Defensive rebound by P. Gasol
2:35.0,,,16-18,,T. Snell misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by B. Diaw,,16-18,,
2:23.0,,,16-18,,Personal foul by K. Hinrich (drawn by M. Ginobili)
2:23.0,,,16-18,,N. Mohammed enters the game for P. Gasol
2:16.0,M. Ginobili misses 2-pt shot from 9 ft (block by T. Gibson),,16-18,,
2:13.0,,,16-18,,Defensive rebound by N. Mohammed
1:58.0,,,16-18,,T. Gibson misses 2-pt shot from 5 ft
1:56.0,Defensive rebound by D. Green,,16-18,,
1:38.0,Shooting foul by A. Brooks (drawn by P. Mills),,16-18,,
1:38.0,P. Mills makes free throw 1 of 2,1,17-18,,
1:38.0,P. Mills makes free throw 2 of 2,1,18-18,,
1:18.0,,,18-18,,Shooting foul by A. Baynes (drawn by A. Brooks)
1:18.0,,,18-18,,A. Brooks misses free throw 1 of 2
1:18.0,,,18-18,,Offensive rebound by Team
1:18.0,,,18-18,,A. Brooks misses free throw 2 of 2
1:16.0,Defensive rebound by A. Baynes,,18-18,,
1:06.0,Shooting foul by T. Gibson (drawn by P. Mills),,18-18,,
1:06.0,P. Mills makes free throw 1 of 2,1,19-18,,
1:06.0,P. Mills makes free throw 2 of 2,1,20-18,,
0:49.0,,,20-18,,K. Hinrich misses 3-pt shot from 22 ft
0:48.0,Defensive rebound by D. Green,,20-18,,
0:36.0,P. Mills makes 2-pt shot from 1 ft (assist by M. Ginobili),2,22-18,,
0:19.0,,,22-21,3,A. Brooks makes 3-pt shot from 25 ft
0:01.0,B. Diaw misses 3-pt shot from 22 ft,,22-21,,
0:00.0,Offensive rebound by D. Green,,22-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-21,,Turnover by A. Brooks (step out of bounds)
11:18.0,B. Diaw misses 2-pt shot from 8 ft,,22-21,,
11:16.0,,,22-21,,Defensive rebound by N. Mohammed
11:02.0,,,22-21,,Turnover by A. Brooks (bad pass; steal by T. Parker)
10:56.0,D. Green makes 2-pt shot from 1 ft (assist by T. Parker),2,24-21,,
10:41.0,,,24-21,,J. Butler misses 2-pt shot from 2 ft (block by D. Green)
10:41.0,,,24-21,,Offensive rebound by Team
10:41.0,,,24-21,,D. Rose enters the game for K. Hinrich
10:34.0,,,24-24,3,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose)
10:24.0,Turnover by A. Baynes (bad pass),,24-24,,
10:16.0,,,24-24,,D. Rose misses 2-pt shot from 3 ft (block by A. Baynes)
10:16.0,,,24-24,,Offensive rebound by Team
10:16.0,K. Leonard enters the game for M. Ginobili,,24-24,,
10:16.0,T. Splitter enters the game for A. Baynes,,24-24,,
9:59.0,,,24-24,,N. Mirotic misses 2-pt shot from 20 ft
9:58.0,Defensive rebound by T. Splitter,,24-24,,
9:44.0,B. Diaw misses 3-pt shot from 24 ft,,24-24,,
9:43.0,,,24-24,,Defensive rebound by N. Mohammed
9:35.0,,,24-24,,Shooting foul by T. Parker (drawn by A. Brooks)
9:35.0,,,24-27,3,A. Brooks makes 3-pt shot from 23 ft (assist by D. Rose)
9:35.0,,,24-28,1,A. Brooks makes free throw 1 of 1
