time,Detroit,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (G. Monroe gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (G. Monroe gains possession)
11:40.0,A. Drummond misses 2-pt shot from 7 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by N. Batum
11:32.0,,,0-0,,R. Lopez misses 2-pt shot from 1 ft
11:31.0,Defensive rebound by A. Drummond,,0-0,,
11:07.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by N. Batum
10:43.0,,,0-0,,D. Lillard misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by A. Drummond,,0-0,,
10:32.0,G. Monroe misses 2-pt shot from 18 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by A. Afflalo
10:24.0,,,0-2,2,D. Lillard makes 2-pt shot from 1 ft
10:05.0,G. Monroe makes 2-pt shot from 6 ft,2,2-2,,
9:44.0,,,2-5,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Lillard)
9:21.0,R. Jackson misses 2-pt shot from 15 ft,,2-5,,
9:20.0,,,2-5,,Defensive rebound by N. Batum
9:15.0,,,2-5,,Shooting foul by C. Butler (drawn by A. Afflalo)
9:15.0,,,2-7,2,A. Afflalo makes 2-pt shot from 16 ft (assist by D. Lillard)
9:15.0,,,2-8,1,A. Afflalo makes free throw 1 of 1
9:01.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,2-8,,
9:00.0,Offensive rebound by A. Drummond,,2-8,,
9:00.0,A. Drummond misses 2-pt shot at rim,,2-8,,
8:59.0,Offensive rebound by Team,,2-8,,
8:47.0,G. Monroe makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope),2,4-8,,
8:26.0,,,4-8,,A. Afflalo misses 2-pt shot from 22 ft
8:24.0,,,4-8,,Offensive rebound by R. Lopez
8:24.0,,,4-8,,R. Lopez misses 2-pt shot at rim
8:23.0,Defensive rebound by G. Monroe,,4-8,,
8:17.0,R. Jackson makes 2-pt shot from 1 ft,2,6-8,,
7:56.0,,,6-8,,L. Aldridge misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by G. Monroe,,6-8,,
7:49.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,8-8,,
7:33.0,,,8-10,2,L. Aldridge makes 2-pt shot from 4 ft
7:18.0,C. Butler makes 3-pt shot from 25 ft (assist by G. Monroe),3,11-10,,
7:03.0,,,11-10,,N. Batum misses 2-pt shot from 17 ft
7:02.0,Defensive rebound by R. Jackson,,11-10,,
6:55.0,Turnover by G. Monroe (traveling),,11-10,,
6:36.0,,,11-10,,Turnover by L. Aldridge (lost ball; steal by G. Monroe)
6:31.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,13-10,,
6:15.0,,,13-12,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
6:01.0,G. Monroe makes 2-pt shot from 2 ft (assist by R. Jackson),2,15-12,,
6:01.0,Shooting foul by N. Batum (drawn by G. Monroe),,15-12,,
6:01.0,,,15-12,,Portland full timeout
6:01.0,G. Monroe makes free throw 1 of 1,1,16-12,,
5:37.0,,,16-14,2,R. Lopez makes 2-pt shot from 10 ft (assist by D. Lillard)
5:15.0,R. Jackson makes 2-pt shot from 7 ft,2,18-14,,
4:52.0,,,18-17,3,D. Lillard makes 3-pt shot from 29 ft
4:39.0,Turnover by G. Monroe (bad pass),,18-17,,
4:39.0,,,18-17,,C. McCollum enters the game for A. Afflalo
4:39.0,,,18-17,,C. Kaman enters the game for R. Lopez
4:26.0,,,18-17,,Shooting foul by A. Drummond (drawn by N. Batum)
4:26.0,,,18-18,1,N. Batum makes free throw 1 of 2
4:26.0,T. Prince enters the game for C. Butler,,18-18,,
4:26.0,,,18-19,1,N. Batum makes free throw 2 of 2
4:08.0,A. Drummond misses 2-pt shot from 5 ft,,18-19,,
4:06.0,Offensive rebound by R. Jackson,,18-19,,
4:03.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,18-19,,
4:02.0,Offensive rebound by A. Drummond,,18-19,,
4:01.0,Shooting foul by C. Kaman (drawn by A. Drummond),,18-19,,
4:01.0,A. Drummond misses free throw 1 of 2,,18-19,,
4:01.0,Offensive rebound by Team,,18-19,,
4:01.0,J. Meeks enters the game for K. Caldwell-Pope,,18-19,,
4:01.0,,,18-19,,D. Wright enters the game for N. Batum
4:01.0,A. Drummond misses free throw 2 of 2,,18-19,,
4:00.0,,,18-19,,Defensive rebound by D. Wright
3:37.0,,,18-22,3,L. Aldridge makes 3-pt shot from 26 ft
3:25.0,A. Drummond misses 2-pt shot from 5 ft,,18-22,,
3:23.0,,,18-22,,Defensive rebound by C. Kaman
3:14.0,,,18-25,3,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum)
3:05.0,Detroit full timeout,,18-25,,
3:05.0,A. Tolliver enters the game for G. Monroe,,18-25,,
2:58.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,20-25,,
2:40.0,,,20-27,2,D. Lillard makes 2-pt shot from 2 ft (assist by C. McCollum)
2:20.0,A. Drummond makes 2-pt shot from 5 ft (assist by R. Jackson),2,22-27,,
1:58.0,,,22-27,,L. Aldridge misses 2-pt shot from 11 ft
1:57.0,Defensive rebound by R. Jackson,,22-27,,
1:50.0,J. Meeks misses 3-pt shot from 23 ft,,22-27,,
1:48.0,,,22-27,,Defensive rebound by C. Kaman
1:43.0,,,22-29,2,C. McCollum makes 2-pt shot from 16 ft (assist by D. Lillard)
1:30.0,J. Meeks makes 2-pt shot from 2 ft (assist by R. Jackson),2,24-29,,
1:05.0,,,24-32,3,D. Lillard makes 3-pt shot from 23 ft (assist by D. Wright)
