time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. F. Ezeli (J. Nelson gains possession),,,,Jump ball: T. Chandler vs. F. Ezeli (J. Nelson gains possession)
11:41.0,,,0-0,,Turnover by D. Nowitzki (bad pass)
11:21.0,H. Barnes misses 2-pt shot from 19 ft,,0-0,,
11:20.0,Offensive rebound by F. Ezeli,,0-0,,
11:20.0,F. Ezeli makes 2-pt shot at rim,2,2-0,,
11:10.0,,,2-0,,M. Ellis misses 2-pt shot from 19 ft
11:08.0,Defensive rebound by D. Green,,2-0,,
10:59.0,H. Barnes makes 2-pt shot from 1 ft,2,4-0,,
10:41.0,,,4-2,2,D. Nowitzki makes 2-pt shot from 13 ft
10:32.0,S. Curry makes 2-pt shot from 12 ft,2,6-2,,
10:11.0,,,6-2,,Turnover by D. Nowitzki (bad pass)
9:56.0,S. Curry misses 3-pt shot from 25 ft,,6-2,,
9:55.0,,,6-2,,Defensive rebound by T. Chandler
9:32.0,,,6-2,,R. Jefferson misses 2-pt shot from 6 ft (block by H. Barnes)
9:31.0,Defensive rebound by D. Green,,6-2,,
9:21.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,9-2,,
8:56.0,,,9-5,3,R. Jefferson makes 3-pt shot from 22 ft (assist by J. Nelson)
8:47.0,S. Curry makes 3-pt shot from 24 ft,3,12-5,,
8:28.0,,,12-5,,D. Nowitzki misses 2-pt shot from 16 ft
8:27.0,Defensive rebound by H. Barnes,,12-5,,
8:19.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,15-5,,
8:18.0,,,15-5,,Dallas full timeout
8:04.0,,,15-7,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
7:42.0,H. Barnes makes 2-pt shot from 5 ft,2,17-7,,
7:27.0,,,17-7,,J. Nelson misses 3-pt shot from 25 ft
7:26.0,Defensive rebound by D. Green,,17-7,,
7:19.0,D. Green makes 2-pt shot from 14 ft,2,19-7,,
7:05.0,,,19-7,,Shooting foul by F. Ezeli (drawn by T. Chandler)
7:05.0,,,19-7,,T. Chandler misses free throw 1 of 2
7:05.0,,,19-7,,Offensive rebound by Team
7:05.0,,,19-8,1,T. Chandler makes free throw 2 of 2
6:53.0,K. Thompson misses 3-pt shot from 23 ft,,19-8,,
6:52.0,,,19-8,,Defensive rebound by J. Nelson
