time,Milwaukee,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Bogut vs. Z. Pachulia (D. Green gains possession)
11:43.0,,,0-2,2,K. Thompson makes 2-pt shot from 7 ft (assist by S. Curry)
11:25.0,M. Carter-Williams misses 2-pt shot from 15 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by A. Bogut
11:10.0,,,0-2,,H. Barnes misses 2-pt shot from 5 ft
11:09.0,Defensive rebound by Z. Pachulia,,0-2,,
10:56.0,K. Middleton makes 2-pt shot from 16 ft (assist by Z. Pachulia),2,2-2,,
10:43.0,,,2-2,,Turnover by A. Bogut (bad pass; steal by M. Carter-Williams)
10:34.0,J. Dudley misses 2-pt shot from 2 ft,,2-2,,
10:32.0,Offensive rebound by Z. Pachulia,,2-2,,
10:32.0,Z. Pachulia makes 2-pt shot at rim,2,4-2,,
10:23.0,Personal foul by M. Carter-Williams (drawn by S. Curry),,4-2,,
10:10.0,,,4-2,,D. Green misses 3-pt shot from 24 ft
10:09.0,,,4-2,,Offensive rebound by Team
10:09.0,,,4-2,,Turnover by Team (shot clock)
9:56.0,M. Carter-Williams misses 2-pt shot from 9 ft,,4-2,,
9:55.0,,,4-2,,Defensive rebound by A. Bogut
9:48.0,,,4-2,,S. Curry misses 2-pt shot from 8 ft
9:47.0,,,4-2,,Offensive rebound by Team
9:47.0,Loose ball foul by J. Dudley (drawn by D. Green),,4-2,,
9:42.0,,,4-4,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
9:17.0,Turnover by Team (shot clock),,4-4,,
9:03.0,,,4-4,,K. Thompson misses 2-pt shot from 9 ft (block by G. Antetokounmpo)
9:02.0,Defensive rebound by Z. Pachulia,,4-4,,
9:00.0,J. Dudley misses 3-pt shot from 26 ft,,4-4,,
8:59.0,Offensive rebound by Z. Pachulia,,4-4,,
8:55.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by D. Green),,4-4,,
8:52.0,Offensive rebound by Team,,4-4,,
8:50.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Bogut),,4-4,,
8:49.0,Personal foul by K. Middleton (drawn by K. Thompson),,4-4,,
8:33.0,,,4-7,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
8:25.0,Turnover by M. Carter-Williams (lost ball; steal by K. Thompson),,4-7,,
8:20.0,,,4-9,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
8:06.0,Z. Pachulia makes 2-pt shot from 15 ft,2,6-9,,
7:49.0,,,6-9,,H. Barnes misses 3-pt shot from 22 ft
7:48.0,Defensive rebound by G. Antetokounmpo,,6-9,,
7:31.0,M. Carter-Williams misses 2-pt shot from 12 ft,,6-9,,
7:30.0,,,6-9,,Defensive rebound by D. Green
7:23.0,,,6-9,,S. Curry misses 3-pt shot from 26 ft
7:22.0,Defensive rebound by Z. Pachulia,,6-9,,
7:09.0,,,6-9,,Personal foul by K. Thompson (drawn by M. Carter-Williams)
6:56.0,K. Middleton misses 3-pt shot from 22 ft,,6-9,,
6:55.0,Offensive rebound by Z. Pachulia,,6-9,,
6:53.0,Z. Pachulia makes 2-pt shot from 1 ft,2,8-9,,
6:41.0,,,8-11,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
6:28.0,K. Middleton makes 2-pt shot from 8 ft (assist by M. Carter-Williams),2,10-11,,
6:14.0,,,10-11,,Golden State full timeout
6:14.0,E. Ilyasova enters the game for J. Dudley,,10-11,,
6:10.0,,,10-13,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
5:46.0,E. Ilyasova misses 2-pt shot from 22 ft,,10-13,,
5:45.0,,,10-13,,Defensive rebound by A. Bogut
5:32.0,,,10-16,3,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes)
5:16.0,Z. Pachulia misses 2-pt shot from 22 ft,,10-16,,
5:15.0,Offensive rebound by M. Carter-Williams,,10-16,,
5:04.0,K. Middleton misses 2-pt shot from 1 ft,,10-16,,
5:04.0,,,10-16,,Defensive rebound by A. Bogut
4:58.0,,,10-19,3,S. Curry makes 3-pt shot from 28 ft
4:46.0,Shooting foul by S. Curry (drawn by M. Carter-Williams),,10-19,,
4:46.0,M. Carter-Williams makes free throw 1 of 2,1,11-19,,
4:46.0,M. Carter-Williams makes free throw 2 of 2,1,12-19,,
4:35.0,Violation by E. Ilyasova (kicked ball),,12-19,,
4:27.0,,,12-22,3,D. Green makes 3-pt shot from 24 ft (assist by S. Curry)
4:08.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,15-22,,
3:57.0,,,15-22,,Offensive charge foul by A. Bogut
3:57.0,,,15-22,,Turnover by A. Bogut (offensive foul)
3:57.0,,,15-22,,A. Iguodala enters the game for H. Barnes
3:57.0,,,15-22,,J. Holiday enters the game for K. Thompson
3:37.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by D. Green),,15-22,,
3:36.0,,,15-22,,Defensive rebound by D. Green
3:31.0,,,15-22,,S. Curry misses 3-pt shot from 29 ft
3:30.0,Defensive rebound by K. Middleton,,15-22,,
3:18.0,K. Middleton makes 2-pt shot from 13 ft (assist by Z. Pachulia),2,17-22,,
2:53.0,,,17-25,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
2:47.0,Milwaukee full timeout,,17-25,,
2:47.0,J. Henson enters the game for Z. Pachulia,,17-25,,
2:47.0,J. Bayless enters the game for M. Carter-Williams,,17-25,,
2:47.0,,,17-25,,D. Lee enters the game for A. Bogut
2:36.0,E. Ilyasova misses 2-pt shot from 18 ft,,17-25,,
2:35.0,,,17-25,,Defensive rebound by D. Lee
2:16.0,,,17-25,,A. Iguodala misses 2-pt shot from 4 ft
2:15.0,Defensive rebound by E. Ilyasova,,17-25,,
1:58.0,J. Henson misses 2-pt shot from 2 ft,,17-25,,
1:57.0,Offensive rebound by J. Henson,,17-25,,
1:52.0,J. Henson misses 2-pt shot from 5 ft,,17-25,,
1:51.0,Offensive rebound by E. Ilyasova,,17-25,,
1:51.0,E. Ilyasova misses 2-pt shot at rim,,17-25,,
1:50.0,,,17-25,,Defensive rebound by D. Lee
1:41.0,,,17-25,,A. Iguodala misses 3-pt shot from 23 ft
1:39.0,Defensive rebound by K. Middleton,,17-25,,
1:23.0,E. Ilyasova misses 2-pt shot from 7 ft,,17-25,,
1:22.0,,,17-25,,Defensive rebound by J. Holiday
1:17.0,,,17-25,,Shooting foul by G. Antetokounmpo (drawn by D. Lee)
1:17.0,,,17-25,,D. Lee misses free throw 1 of 2
1:17.0,,,17-25,,Offensive rebound by Team
1:17.0,,,17-25,,D. Lee misses free throw 2 of 2
1:14.0,Defensive rebound by J. Henson,,17-25,,
1:07.0,Turnover by K. Middleton (bad pass),,17-25,,
1:07.0,J. Dudley enters the game for K. Middleton,,17-25,,
0:43.0,,,17-25,,D. Green misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by G. Antetokounmpo,,17-25,,
0:32.0,,,17-25,,Personal foul by A. Iguodala (drawn by G. Antetokounmpo)
0:32.0,G. Antetokounmpo makes free throw 1 of 2,1,18-25,,
0:32.0,,,18-25,,H. Barnes enters the game for D. Green
0:32.0,G. Antetokounmpo makes free throw 2 of 2,1,19-25,,
0:09.0,,,19-25,,S. Curry misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by J. Bayless,,19-25,,
0:01.0,J. Bayless misses 2-pt shot from 14 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Ennis makes 3-pt shot from 26 ft,3,22-25,,
11:33.0,,,22-25,,Shooting foul by J. Henson (drawn by J. Holiday)
11:33.0,,,22-26,1,J. Holiday makes free throw 1 of 2
11:33.0,,,22-27,1,J. Holiday makes free throw 2 of 2
11:08.0,T. Ennis misses 2-pt shot from 2 ft (block by D. Lee),,22-27,,
11:07.0,Offensive rebound by Team,,22-27,,
10:49.0,T. Ennis makes 2-pt shot from 8 ft (assist by J. Dudley),2,24-27,,
10:32.0,,,24-27,,Turnover by D. Lee (lost ball; steal by T. Ennis)
10:23.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by J. Dudley),3,27-27,,
10:12.0,,,27-27,,Offensive foul by S. Livingston
10:12.0,,,27-27,,Turnover by S. Livingston (offensive foul)
9:51.0,Milwaukee full timeout,,27-27,,
9:51.0,,,27-27,,Personal foul by J. Holiday (drawn by J. Bayless)
9:51.0,,,27-27,,K. Thompson enters the game for J. Holiday
9:42.0,Turnover by T. Ennis (bad pass; steal by A. Iguodala),,27-27,,
9:37.0,,,27-27,,S. Livingston misses 2-pt shot from 6 ft
9:36.0,Defensive rebound by J. Henson,,27-27,,
9:12.0,T. Ennis misses 2-pt shot from 15 ft,,27-27,,
9:11.0,,,27-27,,Defensive rebound by D. Lee
9:03.0,,,27-29,2,D. Lee makes 2-pt shot from 1 ft (assist by S. Livingston)
8:49.0,J. Bayless makes 2-pt shot from 18 ft (assist by T. Ennis),2,29-29,,
8:29.0,,,29-32,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Lee)
8:16.0,J. Bayless makes 2-pt shot from 10 ft,2,31-32,,
8:05.0,,,31-34,2,H. Barnes makes 2-pt shot from 2 ft (assist by S. Livingston)
7:48.0,Turnover by J. Henson (lost ball; steal by A. Iguodala),,31-34,,
7:28.0,,,31-34,,Shooting foul by T. Ennis (drawn by S. Livingston)
7:28.0,,,31-35,1,S. Livingston makes free throw 1 of 2
7:28.0,Z. Pachulia enters the game for J. Henson,,31-35,,
7:28.0,,,31-35,,F. Ezeli enters the game for D. Lee
7:28.0,,,31-36,1,S. Livingston makes free throw 2 of 2
7:18.0,Turnover by J. Bayless (bad pass; steal by F. Ezeli),,31-36,,
7:12.0,,,31-36,,H. Barnes misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by Z. Pachulia,,31-36,,
6:52.0,J. Bayless makes 3-pt shot from 26 ft (assist by E. Ilyasova),3,34-36,,
6:33.0,,,34-38,2,H. Barnes makes 2-pt shot from 18 ft
6:13.0,J. Bayless misses 2-pt shot from 15 ft,,34-38,,
6:11.0,,,34-38,,Defensive rebound by H. Barnes
6:05.0,,,34-38,,K. Thompson misses 3-pt shot from 27 ft
6:04.0,,,34-38,,Offensive rebound by A. Iguodala
6:03.0,,,34-38,,Turnover by A. Iguodala (bad pass)
5:52.0,T. Ennis misses 2-pt shot from 1 ft,,34-38,,
5:51.0,,,34-38,,Defensive rebound by F. Ezeli
5:40.0,,,34-40,2,F. Ezeli makes 2-pt shot from 6 ft (assist by S. Livingston)
5:17.0,Z. Pachulia misses 2-pt shot from 2 ft,,34-40,,
5:16.0,Offensive rebound by Z. Pachulia,,34-40,,
5:15.0,Z. Pachulia misses 2-pt shot at rim,,34-40,,
5:14.0,Offensive rebound by Z. Pachulia,,34-40,,
5:12.0,Z. Pachulia misses 2-pt shot from 1 ft,,34-40,,
5:11.0,,,34-40,,Defensive rebound by A. Iguodala
5:05.0,,,34-40,,K. Thompson misses 3-pt shot from 22 ft
5:04.0,Defensive rebound by E. Ilyasova,,34-40,,
4:53.0,T. Ennis makes 2-pt shot from 2 ft,2,36-40,,
4:53.0,Shooting foul by S. Livingston (drawn by T. Ennis),,36-40,,
4:53.0,Official timeout,,36-40,,
4:53.0,K. Middleton enters the game for J. Bayless,,36-40,,
4:53.0,,,36-40,,D. Green enters the game for H. Barnes
4:53.0,,,36-40,,S. Curry enters the game for A. Iguodala
4:53.0,G. Antetokounmpo enters the game for J. Dudley,,36-40,,
4:53.0,T. Ennis misses free throw 1 of 1,,36-40,,
4:50.0,,,36-40,,Defensive rebound by D. Green
4:29.0,,,36-43,3,D. Green makes 3-pt shot from 23 ft (assist by S. Curry)
4:20.0,T. Ennis misses 2-pt shot from 4 ft (block by F. Ezeli),,36-43,,
4:20.0,Offensive rebound by Team,,36-43,,
4:20.0,M. Carter-Williams enters the game for T. Ennis,,36-43,,
4:14.0,Z. Pachulia makes 2-pt shot from 7 ft (assist by K. Middleton),2,38-43,,
4:02.0,,,38-45,2,S. Livingston makes 2-pt shot at rim (assist by K. Thompson)
3:42.0,M. Carter-Williams misses 2-pt shot from 13 ft (block by S. Curry),,38-45,,
3:42.0,Offensive rebound by Z. Pachulia,,38-45,,
3:42.0,Technical foul by M. Carter-Williams,,38-45,,
3:42.0,,,38-46,1,S. Curry makes technical free throw
3:41.0,,,38-46,,Personal foul by F. Ezeli (drawn by Z. Pachulia)
3:31.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,38-46,,
3:30.0,,,38-46,,Defensive rebound by F. Ezeli
3:06.0,,,38-46,,D. Green misses 3-pt shot from 28 ft
3:06.0,,,38-46,,Offensive rebound by Team
3:06.0,Personal foul by E. Ilyasova (drawn by F. Ezeli),,38-46,,
3:06.0,,,38-46,,Golden State full timeout
2:54.0,,,38-49,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
2:42.0,Turnover by M. Carter-Williams (bad pass; steal by S. Curry),,38-49,,
2:37.0,,,38-51,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
2:26.0,M. Carter-Williams misses 2-pt shot from 11 ft (block by S. Curry),,38-51,,
2:25.0,Offensive rebound by Team,,38-51,,
2:25.0,,,38-51,,A. Bogut enters the game for F. Ezeli
2:22.0,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,40-51,,
2:09.0,,,40-51,,D. Green misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by G. Antetokounmpo,,40-51,,
1:56.0,G. Antetokounmpo makes 2-pt shot from 13 ft,2,42-51,,
1:47.0,,,42-53,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
1:31.0,M. Carter-Williams makes 2-pt shot from 14 ft,2,44-53,,
1:23.0,,,44-53,,Shooting foul by K. Middleton (drawn by D. Green)
1:23.0,,,44-53,,D. Green misses free throw 1 of 2
1:23.0,,,44-53,,Offensive rebound by Team
1:23.0,,,44-53,,D. Green misses free throw 2 of 2
1:21.0,Defensive rebound by Z. Pachulia,,44-53,,
1:09.0,Shooting foul by S. Livingston (drawn by G. Antetokounmpo),,44-53,,
1:09.0,G. Antetokounmpo makes free throw 1 of 2,1,45-53,,
1:09.0,,,45-53,,H. Barnes enters the game for S. Livingston
1:09.0,G. Antetokounmpo makes free throw 2 of 2,1,46-53,,
1:00.0,,,46-53,,Turnover by S. Curry (bad pass; steal by Z. Pachulia)
0:55.0,,,46-53,,Personal foul by H. Barnes (drawn by Z. Pachulia)
0:55.0,Z. Pachulia makes free throw 1 of 2,1,47-53,,
0:55.0,Z. Pachulia makes free throw 2 of 2,1,48-53,,
0:35.0,,,48-53,,Turnover by D. Green (bad pass; steal by G. Antetokounmpo)
0:29.0,Shooting foul by D. Green (drawn by K. Middleton),,48-53,,
0:29.0,K. Middleton makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,50-53,,
0:29.0,K. Middleton makes free throw 1 of 1,1,51-53,,
0:06.0,,,51-53,,S. Curry misses 2-pt shot from 8 ft
0:05.0,,,51-53,,Offensive rebound by Team
0:05.0,,,51-53,,Turnover by Team (shot clock)
0:05.0,Milwaukee full timeout,,51-53,,
0:05.0,,,51-53,,A. Iguodala enters the game for A. Bogut
0:01.0,M. Carter-Williams makes 2-pt shot from 21 ft,2,53-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-53,,Personal foul by S. Curry (drawn by M. Carter-Williams)
11:43.0,M. Carter-Williams misses 2-pt shot from 15 ft,,53-53,,
11:42.0,,,53-53,,Defensive rebound by D. Green
11:34.0,Personal foul by K. Middleton (drawn by D. Green),,53-53,,
11:22.0,,,53-53,,H. Barnes misses 3-pt shot from 23 ft
11:19.0,Defensive rebound by J. Dudley,,53-53,,
11:06.0,Z. Pachulia makes 2-pt shot from 9 ft (assist by M. Carter-Williams),2,55-53,,
10:48.0,,,55-53,,K. Thompson misses 2-pt shot from 10 ft
10:47.0,Defensive rebound by G. Antetokounmpo,,55-53,,
10:25.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,55-53,,
10:24.0,Offensive rebound by M. Carter-Williams,,55-53,,
10:23.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,57-53,,
10:23.0,Shooting foul by A. Bogut (drawn by M. Carter-Williams),,57-53,,
10:23.0,M. Carter-Williams makes free throw 1 of 1,1,58-53,,
10:05.0,,,58-53,,Turnover by H. Barnes (lost ball; steal by K. Middleton)
10:00.0,Turnover by G. Antetokounmpo (offensive goaltending),,58-53,,
9:42.0,,,58-53,,Turnover by S. Curry (bad pass)
9:29.0,M. Carter-Williams misses 2-pt shot from 18 ft,,58-53,,
9:26.0,,,58-53,,Defensive rebound by D. Green
9:20.0,,,58-53,,S. Curry misses 3-pt shot from 27 ft
9:19.0,Defensive rebound by G. Antetokounmpo,,58-53,,
9:11.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Green),,58-53,,
8:58.0,,,58-53,,D. Green misses 3-pt shot from 26 ft
8:56.0,,,58-53,,Offensive rebound by D. Green
8:52.0,,,58-53,,S. Curry misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by G. Antetokounmpo,,58-53,,
8:38.0,J. Dudley makes 2-pt shot from 13 ft (assist by Z. Pachulia),2,60-53,,
8:38.0,,,60-53,,Golden State full timeout
8:26.0,Personal foul by K. Middleton (drawn by A. Bogut),,60-53,,
8:26.0,,,60-54,1,A. Bogut makes free throw 1 of 2
8:26.0,J. Bayless enters the game for K. Middleton,,60-54,,
8:26.0,,,60-54,,A. Bogut misses free throw 2 of 2
8:24.0,Defensive rebound by J. Dudley,,60-54,,
8:19.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,60-54,,
8:18.0,,,60-54,,Defensive rebound by A. Bogut
8:11.0,Personal foul by G. Antetokounmpo (drawn by K. Thompson),,60-54,,
8:11.0,,,60-55,1,K. Thompson makes free throw 1 of 2
8:11.0,,,60-56,1,K. Thompson makes free throw 2 of 2
8:00.0,Turnover by J. Dudley (bad pass; steal by H. Barnes),,60-56,,
7:56.0,,,60-56,,Turnover by S. Curry (bad pass; steal by J. Bayless)
7:41.0,J. Dudley misses 2-pt shot from 16 ft,,60-56,,
7:40.0,,,60-56,,Defensive rebound by H. Barnes
7:31.0,,,60-58,2,A. Bogut makes 2-pt shot from 5 ft (assist by S. Curry)
7:18.0,Offensive charge foul by Z. Pachulia,,60-58,,
7:18.0,Turnover by Z. Pachulia (offensive foul),,60-58,,
7:02.0,,,60-58,,Turnover by A. Bogut (lost ball; steal by Z. Pachulia)
6:44.0,Turnover by J. Dudley (bad pass; steal by K. Thompson),,60-58,,
6:35.0,,,60-58,,Shooting foul by J. Bayless (drawn by K. Thompson)
6:35.0,,,60-59,1,K. Thompson makes free throw 1 of 2
6:35.0,,,60-59,,A. Iguodala enters the game for H. Barnes
6:35.0,,,60-60,1,K. Thompson makes free throw 2 of 2
6:24.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,62-60,,
6:24.0,Shooting foul by K. Thompson (drawn by M. Carter-Williams),,62-60,,
6:24.0,M. Carter-Williams makes free throw 1 of 1,1,63-60,,
6:12.0,,,63-60,,K. Thompson misses 2-pt shot from 16 ft
6:11.0,Defensive rebound by J. Dudley,,63-60,,
6:01.0,Turnover by M. Carter-Williams (bad pass),,63-60,,
5:40.0,,,63-60,,Turnover by K. Thompson (lost ball; steal by M. Carter-Williams)
5:38.0,,,63-60,,Personal foul by D. Green (drawn by M. Carter-Williams)
5:22.0,J. Dudley misses 3-pt shot from 26 ft,,63-60,,
5:21.0,,,63-60,,Defensive rebound by S. Curry
5:15.0,,,63-62,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
4:59.0,E. Ilyasova enters the game for J. Dudley,,63-62,,
4:52.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,65-62,,
4:41.0,,,65-62,,Turnover by S. Curry (bad pass; steal by G. Antetokounmpo)
4:36.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,65-62,,
4:34.0,Offensive rebound by E. Ilyasova,,65-62,,
4:34.0,E. Ilyasova misses 2-pt shot at rim,,65-62,,
4:32.0,Offensive rebound by E. Ilyasova,,65-62,,
4:31.0,E. Ilyasova misses 2-pt shot from 1 ft (block by D. Green),,65-62,,
4:29.0,Offensive rebound by J. Bayless,,65-62,,
4:18.0,,,65-62,,Loose ball foul by A. Bogut (drawn by Z. Pachulia)
4:18.0,Z. Pachulia makes free throw 1 of 2,1,66-62,,
4:18.0,,,66-62,,S. Livingston enters the game for S. Curry
4:18.0,T. Ennis enters the game for M. Carter-Williams,,66-62,,
4:18.0,Z. Pachulia misses free throw 2 of 2,,66-62,,
4:17.0,,,66-62,,Defensive rebound by A. Bogut
3:55.0,,,66-62,,K. Thompson misses 2-pt shot from 11 ft
3:54.0,Defensive rebound by J. Bayless,,66-62,,
3:51.0,Turnover by J. Bayless (bad pass),,66-62,,
3:51.0,J. Henson enters the game for Z. Pachulia,,66-62,,
3:33.0,,,66-65,3,A. Iguodala makes 3-pt shot from 27 ft (assist by D. Green)
3:33.0,,,66-65,,Shooting foul by T. Ennis (drawn by A. Iguodala)
3:33.0,,,66-65,,H. Barnes enters the game for A. Bogut
3:33.0,,,66-66,1,A. Iguodala makes free throw 1 of 1
3:25.0,,,66-66,,Personal foul by D. Green (drawn by J. Henson)
3:25.0,J. Henson makes free throw 1 of 2,1,67-66,,
3:25.0,J. Henson misses free throw 2 of 2,,67-66,,
3:24.0,Offensive rebound by E. Ilyasova,,67-66,,
3:22.0,Turnover by E. Ilyasova (lost ball; steal by D. Green),,67-66,,
3:09.0,,,67-68,2,S. Livingston makes 2-pt shot from 6 ft
2:56.0,Turnover by T. Ennis (lost ball; steal by S. Livingston),,67-68,,
2:51.0,,,67-70,2,S. Livingston makes 2-pt shot from 8 ft (assist by K. Thompson)
2:29.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,67-70,,
2:28.0,,,67-70,,Defensive rebound by D. Green
2:23.0,,,67-70,,Shooting foul by J. Bayless (drawn by H. Barnes)
2:23.0,J. Dudley enters the game for J. Henson,,67-70,,
2:23.0,Milwaukee full timeout,,67-70,,
2:23.0,,,67-70,,H. Barnes misses free throw 1 of 2
2:23.0,,,67-70,,Offensive rebound by Team
2:23.0,,,67-70,,H. Barnes misses free throw 2 of 2
2:21.0,Defensive rebound by E. Ilyasova,,67-70,,
2:04.0,J. Bayless misses 3-pt shot from 22 ft,,67-70,,
2:03.0,Offensive rebound by G. Antetokounmpo,,67-70,,
1:44.0,Shooting foul by K. Thompson (drawn by J. Bayless),,67-70,,
1:44.0,J. Bayless makes free throw 1 of 2,1,68-70,,
1:44.0,J. Bayless makes free throw 2 of 2,1,69-70,,
1:27.0,,,69-70,,Turnover by H. Barnes (lost ball; steal by T. Ennis)
1:23.0,Turnover by J. Bayless (bad pass),,69-70,,
1:03.0,,,69-72,2,S. Livingston makes 2-pt shot from 16 ft
0:46.0,Turnover by J. Bayless (bad pass),,69-72,,
0:26.0,,,69-72,,S. Livingston misses 2-pt shot from 12 ft
0:24.0,Defensive rebound by E. Ilyasova,,69-72,,
0:04.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,71-72,,
0:00.0,,,71-72,,K. Thompson misses 3-pt shot from 26 ft
0:00.0,,,71-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Def 3 sec tech foul by J. Dudley,,71-72,,
11:46.0,,,71-72,,S. Curry misses technical free throw
11:46.0,,,71-72,,Offensive rebound by Team
11:37.0,,,71-75,3,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala)
11:21.0,T. Ennis makes 2-pt shot at rim,2,73-75,,
11:08.0,,,73-75,,Shooting foul by G. Antetokounmpo (drawn by D. Green)
11:08.0,,,73-75,,D. Green misses free throw 1 of 2
11:08.0,,,73-75,,Offensive rebound by Team
11:08.0,,,73-76,1,D. Green makes free throw 2 of 2
10:51.0,E. Ilyasova misses 3-pt shot from 26 ft,,73-76,,
10:50.0,,,73-76,,Defensive rebound by H. Barnes
10:39.0,,,73-76,,S. Curry misses 3-pt shot from 24 ft
10:38.0,,,73-76,,Offensive rebound by Team
10:31.0,,,73-76,,Shooting foul by G. Antetokounmpo (drawn by D. Green)
10:31.0,,,73-76,,D. Green misses free throw 1 of 2
10:31.0,,,73-76,,Offensive rebound by Team
10:31.0,K. Middleton enters the game for J. Bayless,,73-76,,
10:31.0,,,73-76,,D. Green misses free throw 2 of 2
10:30.0,,,73-76,,Offensive rebound by H. Barnes
10:18.0,,,73-79,3,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston)
9:58.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,75-79,,
9:48.0,,,75-82,3,S. Curry makes 3-pt shot from 26 ft
9:21.0,T. Ennis misses 2-pt shot from 21 ft,,75-82,,
9:20.0,,,75-82,,Defensive rebound by D. Green
9:13.0,,,75-85,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
9:12.0,Milwaukee full timeout,,75-85,,
9:12.0,M. Carter-Williams enters the game for T. Ennis,,75-85,,
8:56.0,Turnover by M. Carter-Williams (lost ball; steal by S. Curry),,75-85,,
8:39.0,,,75-85,,A. Iguodala misses 2-pt shot from 3 ft
8:38.0,Defensive rebound by E. Ilyasova,,75-85,,
8:19.0,Turnover by G. Antetokounmpo (lost ball; steal by D. Green),,75-85,,
8:15.0,,,75-87,2,D. Green makes 2-pt shot at rim
7:55.0,Turnover by M. Carter-Williams (bad pass; steal by A. Iguodala),,75-87,,
7:54.0,Personal foul by E. Ilyasova (drawn by A. Iguodala),,75-87,,
7:36.0,,,75-89,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
7:25.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,78-89,,
7:08.0,,,78-89,,Turnover by S. Curry (traveling)
6:49.0,,,78-89,,Personal foul by A. Iguodala (drawn by G. Antetokounmpo)
6:46.0,Shooting foul by D. Green (drawn by K. Middleton),,78-89,,
6:46.0,K. Middleton makes free throw 1 of 2,1,79-89,,
6:46.0,K. Middleton misses free throw 2 of 2,,79-89,,
6:45.0,,,79-89,,Defensive rebound by H. Barnes
6:34.0,,,79-91,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
6:14.0,,,79-91,,Personal foul by H. Barnes (drawn by J. Dudley)
6:14.0,,,79-91,,K. Thompson enters the game for H. Barnes
6:09.0,K. Middleton misses 2-pt shot from 20 ft,,79-91,,
6:08.0,,,79-91,,Defensive rebound by S. Livingston
5:53.0,,,79-91,,K. Thompson misses 2-pt shot from 12 ft
5:52.0,Defensive rebound by M. Carter-Williams,,79-91,,
5:45.0,E. Ilyasova misses 3-pt shot from 28 ft,,79-91,,
5:43.0,,,79-91,,Defensive rebound by A. Iguodala
5:36.0,,,79-91,,S. Curry misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by J. Dudley,,79-91,,
5:25.0,Official timeout,,79-91,,
5:25.0,J. Bayless enters the game for J. Dudley,,79-91,,
5:22.0,Shooting foul by S. Curry (drawn by M. Carter-Williams),,79-91,,
5:22.0,M. Carter-Williams makes free throw 1 of 2,1,80-91,,
5:22.0,M. Carter-Williams makes free throw 2 of 2,1,81-91,,
5:11.0,,,81-91,,S. Curry misses 2-pt shot from 2 ft
