time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession)
11:50.0,,,0-0,,D. Green misses 2-pt shot from 7 ft
11:49.0,,,0-0,,Offensive rebound by A. Bogut
11:41.0,,,0-0,,S. Curry misses 2-pt shot from 7 ft (block by J. Smith)
11:41.0,,,0-0,,Offensive rebound by Team
11:30.0,,,0-0,,K. Thompson misses 3-pt shot from 23 ft
11:28.0,Defensive rebound by J. Smith,,0-0,,
11:08.0,D. Howard makes 2-pt shot at rim (assist by J. Terry),2,2-0,,
11:08.0,Shooting foul by H. Barnes (drawn by D. Howard),,2-0,,
11:08.0,D. Howard makes free throw 1 of 1,1,3-0,,
10:51.0,,,3-0,,K. Thompson misses 2-pt shot from 15 ft
10:50.0,Defensive rebound by D. Howard,,3-0,,
10:44.0,Turnover by J. Harden (traveling),,3-0,,
10:38.0,,,3-0,,Turnover by S. Curry (bad pass; steal by J. Harden)
10:34.0,Turnover by J. Harden (bad pass; steal by S. Curry),,3-0,,
10:28.0,,,3-0,,D. Green misses 2-pt shot from 13 ft
10:27.0,,,3-0,,Offensive rebound by A. Bogut
10:16.0,,,3-0,,Turnover by H. Barnes (bad pass; steal by J. Harden)
10:10.0,J. Smith misses 3-pt shot from 26 ft,,3-0,,
10:09.0,,,3-0,,Defensive rebound by D. Green
9:58.0,,,3-2,2,D. Green makes 2-pt shot from 5 ft
9:45.0,D. Howard misses 2-pt shot from 3 ft,,3-2,,
9:43.0,,,3-2,,Defensive rebound by A. Bogut
9:32.0,,,3-2,,S. Curry misses 2-pt shot from 4 ft (block by D. Howard)
9:32.0,Defensive rebound by Team,,3-2,,
9:18.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Terry),3,6-2,,
8:59.0,,,6-2,,H. Barnes misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by D. Howard,,6-2,,
8:48.0,J. Harden misses 2-pt shot from 7 ft,,6-2,,
8:47.0,Offensive rebound by D. Howard,,6-2,,
8:47.0,D. Howard makes 2-pt shot from 1 ft,2,8-2,,
8:47.0,Shooting foul by K. Thompson (drawn by D. Howard),,8-2,,
8:47.0,D. Howard misses free throw 1 of 1,,8-2,,
8:46.0,,,8-2,,Defensive rebound by A. Bogut
8:33.0,,,8-4,2,H. Barnes makes 2-pt shot from 9 ft
8:16.0,J. Terry misses 3-pt shot from 25 ft,,8-4,,
8:15.0,Offensive rebound by J. Smith,,8-4,,
8:13.0,Shooting foul by A. Bogut (drawn by D. Howard),,8-4,,
8:13.0,D. Howard makes free throw 1 of 2,1,9-4,,
8:13.0,D. Howard misses free throw 2 of 2,,9-4,,
8:12.0,,,9-4,,Defensive rebound by Team
8:09.0,Jump ball: A. Bogut vs. J. Smith (S. Curry gains possession),,,,Jump ball: A. Bogut vs. J. Smith (S. Curry gains possession)
8:03.0,,,9-4,,S. Curry misses 2-pt shot from 20 ft
8:01.0,Defensive rebound by J. Smith,,9-4,,
7:51.0,J. Smith misses 3-pt shot from 27 ft,,9-4,,
7:49.0,,,9-4,,Defensive rebound by S. Curry
7:40.0,,,9-4,,K. Thompson misses 2-pt shot from 19 ft
7:39.0,Defensive rebound by D. Howard,,9-4,,
7:34.0,Turnover by J. Terry (lost ball; steal by S. Curry),,9-4,,
7:30.0,,,9-6,2,S. Curry makes 2-pt shot from 5 ft
7:12.0,J. Smith misses 2-pt shot from 4 ft,,9-6,,
7:11.0,,,9-6,,Defensive rebound by A. Bogut
7:05.0,,,9-6,,D. Green misses 2-pt shot from 2 ft (block by D. Howard)
7:04.0,Defensive rebound by J. Harden,,9-6,,
6:50.0,J. Smith misses 2-pt shot from 10 ft,,9-6,,
6:49.0,,,9-6,,Defensive rebound by A. Bogut
6:42.0,,,9-6,,Golden State full timeout
6:36.0,,,9-6,,S. Curry misses 3-pt shot from 28 ft
6:35.0,Defensive rebound by D. Howard,,9-6,,
6:20.0,J. Harden misses 2-pt shot from 9 ft,,9-6,,
6:18.0,,,9-6,,Defensive rebound by A. Bogut
6:09.0,,,9-8,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
