time,Detroit,pts.away,score,pts.home,New Orleans
8:17.0,A. Drummond makes 2-pt shot from 11 ft (assist by R. Jackson),2,8-5,,
7:56.0,,,8-5,,T. Evans misses 2-pt shot from 14 ft
7:55.0,Defensive rebound by A. Drummond,,8-5,,
7:48.0,G. Monroe makes 2-pt shot from 1 ft (assist by R. Jackson),2,10-5,,
7:31.0,,,10-5,,Shooting foul by K. Caldwell-Pope (drawn by E. Gordon)
7:31.0,,,10-5,,E. Gordon misses free throw 1 of 2
7:31.0,,,10-5,,Offensive rebound by Team
7:31.0,,,10-6,1,E. Gordon makes free throw 2 of 2
7:17.0,Turnover by A. Drummond (traveling),,10-6,,
7:04.0,,,10-6,,A. Davis misses 2-pt shot from 15 ft
7:02.0,Defensive rebound by G. Monroe,,10-6,,
6:58.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by G. Monroe),2,12-6,,
6:58.0,,,12-6,,New Orleans full timeout
6:40.0,,,12-6,,Turnover by E. Gordon (bad pass; steal by G. Monroe)
6:34.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by G. Monroe),2,14-6,,
6:04.0,,,14-6,,O. Asik misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by A. Drummond,,14-6,,
5:56.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,14-6,,
5:55.0,Offensive rebound by G. Monroe,,14-6,,
5:52.0,G. Monroe misses 2-pt shot from 3 ft,,14-6,,
5:51.0,Offensive rebound by A. Drummond,,14-6,,
5:49.0,Turnover by A. Drummond (bad pass),,14-6,,
5:42.0,Personal foul by G. Monroe (drawn by A. Davis),,14-6,,
5:33.0,,,14-6,,A. Davis misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by G. Monroe,,14-6,,
5:22.0,Turnover by G. Monroe (bad pass),,14-6,,
5:10.0,,,14-6,,A. Davis misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by A. Drummond,,14-6,,
5:03.0,T. Prince makes 2-pt shot from 1 ft (assist by R. Jackson),2,16-6,,
4:44.0,,,16-6,,Turnover by T. Evans (bad pass; steal by R. Jackson)
4:41.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson),2,18-6,,
4:41.0,,,18-6,,New Orleans full timeout
4:41.0,,,18-6,,A. Ajinca enters the game for O. Asik
4:30.0,,,18-6,,A. Ajinca misses 2-pt shot from 6 ft (block by A. Drummond)
4:26.0,,,18-6,,Offensive rebound by A. Davis
4:26.0,,,18-8,2,A. Davis makes 2-pt shot from 1 ft
4:06.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,18-8,,
4:04.0,Offensive rebound by A. Drummond,,18-8,,
4:04.0,A. Drummond makes 2-pt shot from 2 ft,2,20-8,,
3:44.0,,,20-10,2,A. Davis makes 2-pt shot at rim (assist by A. Ajinca)
3:35.0,T. Prince misses 3-pt shot from 24 ft,,20-10,,
3:34.0,,,20-10,,Defensive rebound by T. Evans
3:22.0,,,20-10,,A. Ajinca misses 2-pt shot from 11 ft
3:22.0,Defensive rebound by R. Jackson,,20-10,,
3:17.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by R. Jackson),2,22-10,,
3:12.0,,,22-10,,New Orleans full timeout
3:12.0,,,22-10,,N. Cole enters the game for E. Gordon
3:12.0,S. Dinwiddie enters the game for A. Drummond,,22-10,,
3:12.0,A. Tolliver enters the game for R. Jackson,,22-10,,
2:56.0,,,22-10,,N. Cole misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by G. Monroe,,22-10,,
2:45.0,,,22-10,,Personal foul by A. Ajinca (drawn by G. Monroe)
2:45.0,,,22-10,,D. Cunningham enters the game for Q. Pondexter
2:30.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,22-10,,
2:29.0,,,22-10,,Defensive rebound by A. Davis
2:25.0,,,22-12,2,T. Evans makes 2-pt shot from 1 ft
2:25.0,,,22-12,,Shooting foul by A. Tolliver (drawn by T. Evans)
2:25.0,,,22-13,1,T. Evans makes free throw 1 of 1
2:09.0,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,24-13,,
1:53.0,,,24-13,,D. Cunningham misses 2-pt shot from 1 ft (block by T. Prince)
1:51.0,Defensive rebound by K. Caldwell-Pope,,24-13,,
1:45.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by A. Davis),,24-13,,
1:43.0,,,24-13,,Defensive rebound by D. Cunningham
1:38.0,,,24-13,,T. Evans misses 3-pt shot from 24 ft
1:35.0,,,24-13,,Offensive rebound by A. Davis
1:35.0,,,24-15,2,A. Davis makes 2-pt shot from 1 ft
1:25.0,C. Butler enters the game for T. Prince,,24-15,,
1:25.0,,,24-15,,Personal foul by T. Evans (drawn by K. Caldwell-Pope)
1:16.0,A. Tolliver misses 3-pt shot from 24 ft,,24-15,,
1:15.0,,,24-15,,Defensive rebound by A. Ajinca
1:05.0,,,24-15,,D. Cunningham misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by S. Dinwiddie,,24-15,,
0:47.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by A. Davis),,24-15,,
0:45.0,,,24-15,,Defensive rebound by A. Davis
0:26.0,,,24-17,2,T. Evans makes 2-pt shot from 20 ft
0:06.0,Offensive foul by S. Dinwiddie,,24-17,,
0:06.0,Turnover by S. Dinwiddie (offensive foul),,24-17,,
0:01.0,Personal foul by K. Caldwell-Pope (drawn by T. Evans),,24-17,,
0:00.0,,,24-17,,A. Davis misses 2-pt shot from 13 ft
0:00.0,,,24-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,24-17,,A. Ajinca misses 2-pt shot from 14 ft
11:45.0,,,24-17,,Offensive rebound by D. Cunningham
11:41.0,,,24-17,,A. Davis misses 2-pt shot from 17 ft
11:40.0,,,24-17,,Offensive rebound by D. Cunningham
11:34.0,,,24-19,2,T. Evans makes 2-pt shot from 1 ft
11:25.0,,,24-19,,Personal foul by A. Davis (drawn by S. Dinwiddie)
11:06.0,Turnover by C. Butler (bad pass),,24-19,,
10:55.0,,,24-19,,Shooting foul by C. Butler (drawn by D. Cunningham)
10:55.0,,,24-20,1,D. Cunningham makes free throw 1 of 2
10:55.0,,,24-21,1,D. Cunningham makes free throw 2 of 2
10:35.0,S. Dinwiddie misses 3-pt shot from 25 ft,,24-21,,
10:33.0,Offensive rebound by Team,,24-21,,
10:30.0,J. Meeks misses 2-pt shot from 8 ft,,24-21,,
10:28.0,,,24-21,,Defensive rebound by A. Ajinca
10:17.0,,,24-23,2,A. Ajinca makes 2-pt shot from 6 ft
10:10.0,Detroit full timeout,,24-23,,
10:08.0,Turnover by A. Tolliver (bad pass; steal by A. Davis),,24-23,,
10:04.0,,,24-25,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
10:04.0,,,24-25,,Shooting foul by A. Tolliver (drawn by A. Davis)
10:04.0,,,24-26,1,A. Davis makes free throw 1 of 1
9:40.0,A. Drummond misses 2-pt shot from 9 ft,,24-26,,
9:38.0,Offensive rebound by A. Drummond,,24-26,,
9:36.0,A. Drummond misses 2-pt shot at rim,,24-26,,
9:34.0,,,24-26,,Defensive rebound by A. Ajinca
9:29.0,Personal block foul by A. Tolliver (drawn by T. Evans),,24-26,,
9:29.0,S. Williams enters the game for A. Tolliver,,24-26,,
9:16.0,,,24-26,,T. Evans misses 2-pt shot from 1 ft
9:15.0,,,24-26,,Offensive rebound by T. Evans
9:15.0,,,24-26,,Shooting foul by A. Drummond (drawn by T. Evans)
9:15.0,,,24-27,1,T. Evans makes free throw 1 of 2
9:15.0,,,24-27,,L. Babbitt enters the game for A. Davis
9:15.0,,,24-28,1,T. Evans makes free throw 2 of 2
8:59.0,A. Drummond makes 2-pt shot at rim (assist by S. Dinwiddie),2,26-28,,
8:43.0,,,26-30,2,T. Evans makes 2-pt shot from 21 ft
8:35.0,,,26-30,,Personal foul by T. Evans (drawn by J. Meeks)
8:35.0,,,26-30,,E. Gordon enters the game for T. Evans
8:32.0,J. Meeks misses 2-pt shot from 1 ft (block by E. Gordon),,26-30,,
8:29.0,,,26-30,,Defensive rebound by A. Ajinca
8:20.0,,,26-30,,N. Cole misses 2-pt shot from 15 ft
8:18.0,,,26-30,,Offensive rebound by Team
8:09.0,,,26-30,,A. Ajinca misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by A. Drummond,,26-30,,
8:00.0,J. Meeks makes 2-pt shot from 14 ft (assist by S. Dinwiddie),2,28-30,,
8:00.0,Shooting foul by E. Gordon (drawn by J. Meeks),,28-30,,
8:00.0,J. Meeks makes free throw 1 of 1,1,29-30,,
7:41.0,,,29-32,2,A. Ajinca makes 2-pt shot at rim (assist by E. Gordon)
7:25.0,S. Dinwiddie misses 2-pt shot from 1 ft,,29-32,,
7:24.0,,,29-32,,Defensive rebound by Team
7:10.0,,,29-32,,Turnover by E. Gordon (lost ball)
6:55.0,Turnover by J. Meeks (lost ball; steal by E. Gordon),,29-32,,
6:45.0,,,29-32,,N. Cole misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by A. Drummond,,29-32,,
6:35.0,S. Williams makes 2-pt shot from 2 ft,2,31-32,,
6:20.0,,,31-32,,L. Babbitt misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by A. Drummond,,31-32,,
6:12.0,,,31-32,,Personal foul by N. Cole (drawn by S. Dinwiddie)
6:12.0,,,31-32,,Q. Pondexter enters the game for D. Cunningham
6:12.0,,,31-32,,O. Asik enters the game for A. Ajinca
6:05.0,J. Meeks makes 2-pt shot from 20 ft (assist by S. Dinwiddie),2,33-32,,
5:48.0,,,33-34,2,N. Cole makes 2-pt shot from 19 ft
5:32.0,Shooting foul by E. Gordon (drawn by J. Meeks),,33-34,,
5:32.0,Official timeout,,33-34,,
5:32.0,R. Jackson enters the game for S. Dinwiddie,,33-34,,
5:32.0,J. Meeks makes free throw 1 of 2,1,34-34,,
5:32.0,J. Meeks makes free throw 2 of 2,1,35-34,,
5:19.0,,,35-34,,E. Gordon misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by C. Butler,,35-34,,
5:11.0,Turnover by R. Jackson (bad pass; steal by O. Asik),,35-34,,
5:03.0,,,35-34,,N. Cole misses 2-pt shot from 20 ft
4:59.0,Defensive rebound by A. Drummond,,35-34,,
4:45.0,R. Jackson misses 2-pt shot from 11 ft,,35-34,,
4:44.0,,,35-34,,Defensive rebound by O. Asik
4:44.0,,,35-34,,Turnover by O. Asik (bad pass)
4:44.0,,,35-34,,A. Davis enters the game for L. Babbitt
4:44.0,G. Monroe enters the game for S. Williams,,35-34,,
4:44.0,T. Prince enters the game for C. Butler,,35-34,,
4:28.0,Turnover by G. Monroe (traveling),,35-34,,
4:13.0,,,35-34,,E. Gordon misses 2-pt shot from 2 ft
4:11.0,,,35-34,,Offensive rebound by O. Asik
4:11.0,,,35-34,,O. Asik misses 2-pt shot from 1 ft
4:08.0,Defensive rebound by R. Jackson,,35-34,,
4:03.0,A. Drummond misses 2-pt shot from 2 ft (block by A. Davis),,35-34,,
4:03.0,Offensive rebound by Team,,35-34,,
4:03.0,,,35-34,,T. Evans enters the game for N. Cole
3:51.0,J. Meeks makes 2-pt shot from 14 ft (assist by T. Prince),2,37-34,,
3:38.0,,,37-34,,E. Gordon misses 2-pt shot from 3 ft (block by A. Drummond)
3:33.0,,,37-34,,Offensive rebound by A. Davis
3:31.0,,,37-36,2,A. Davis makes 2-pt shot from 2 ft
3:11.0,T. Prince misses 2-pt shot from 13 ft,,37-36,,
3:09.0,,,37-36,,Defensive rebound by O. Asik
3:03.0,,,37-36,,Shooting foul by A. Drummond (drawn by A. Davis)
3:03.0,,,37-36,,A. Davis misses free throw 1 of 2
3:03.0,,,37-36,,Offensive rebound by Team
3:03.0,J. Anthony enters the game for A. Drummond,,37-36,,
3:03.0,,,37-37,1,A. Davis makes free throw 2 of 2
2:50.0,J. Meeks misses 2-pt shot from 16 ft,,37-37,,
2:49.0,,,37-37,,Defensive rebound by O. Asik
2:42.0,,,37-39,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
2:30.0,J. Meeks makes 2-pt shot at rim (assist by R. Jackson),2,39-39,,
2:19.0,,,39-39,,T. Evans misses 2-pt shot from 2 ft
2:18.0,,,39-39,,Offensive rebound by O. Asik
2:15.0,,,39-39,,O. Asik misses 2-pt shot from 2 ft
2:13.0,,,39-39,,Offensive rebound by A. Davis
2:13.0,,,39-41,2,A. Davis makes 2-pt shot from 1 ft
2:03.0,T. Prince makes 2-pt shot from 16 ft (assist by J. Meeks),2,41-41,,
1:46.0,,,41-41,,A. Davis misses 2-pt shot from 16 ft
1:44.0,Defensive rebound by R. Jackson,,41-41,,
1:38.0,J. Meeks makes 3-pt shot from 24 ft (assist by R. Jackson),3,44-41,,
1:18.0,,,44-41,,T. Evans misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by G. Monroe,,44-41,,
1:01.0,J. Meeks misses 3-pt shot from 23 ft,,44-41,,
1:00.0,Offensive rebound by J. Anthony,,44-41,,
0:56.0,J. Meeks misses 2-pt shot from 4 ft,,44-41,,
0:56.0,,,44-41,,Defensive rebound by Team
0:56.0,,,44-41,,New Orleans full timeout
0:56.0,,,44-41,,D. Cunningham enters the game for O. Asik
0:40.0,,,44-41,,Turnover by E. Gordon (lost ball; steal by J. Meeks)
0:36.0,T. Prince makes 2-pt shot from 1 ft (assist by R. Jackson),2,46-41,,
0:22.0,,,46-41,,Shooting foul by J. Anthony (drawn by A. Davis)
0:22.0,,,46-42,1,A. Davis makes free throw 1 of 2
0:22.0,K. Caldwell-Pope enters the game for J. Anthony,,46-42,,
0:22.0,,,46-42,,N. Cole enters the game for E. Gordon
0:22.0,,,46-42,,A. Davis misses free throw 2 of 2
0:21.0,Defensive rebound by T. Prince,,46-42,,
0:00.0,R. Jackson misses 3-pt shot from 25 ft,,46-42,,
0:00.0,Offensive rebound by Team,,46-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,46-42,,A. Davis misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by K. Caldwell-Pope,,46-42,,
11:36.0,G. Monroe misses 2-pt shot from 13 ft,,46-42,,
11:33.0,,,46-42,,Defensive rebound by A. Davis
11:31.0,Personal foul by R. Jackson (drawn by O. Asik),,46-42,,
11:31.0,A. Tolliver enters the game for A. Drummond,,46-42,,
11:13.0,,,46-42,,Q. Pondexter misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by A. Tolliver,,46-42,,
11:06.0,Turnover by R. Jackson (bad pass; steal by A. Davis),,46-42,,
11:01.0,,,46-44,2,A. Davis makes 2-pt shot at rim
10:45.0,A. Tolliver misses 2-pt shot from 2 ft,,46-44,,
10:45.0,Offensive rebound by G. Monroe,,46-44,,
10:45.0,G. Monroe misses 2-pt shot from 1 ft,,46-44,,
10:43.0,,,46-44,,Defensive rebound by O. Asik
10:33.0,,,46-46,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
10:22.0,,,46-46,,Personal foul by E. Gordon (drawn by R. Jackson)
10:22.0,A. Drummond enters the game for A. Tolliver,,46-46,,
10:09.0,R. Jackson misses 2-pt shot from 16 ft,,46-46,,
10:08.0,Offensive rebound by A. Drummond,,46-46,,
10:06.0,A. Drummond makes 2-pt shot from 4 ft,2,48-46,,
9:52.0,,,48-46,,T. Evans misses 2-pt shot from 1 ft (block by A. Drummond)
9:49.0,Defensive rebound by G. Monroe,,48-46,,
9:48.0,Turnover by G. Monroe (bad pass; steal by T. Evans),,48-46,,
9:48.0,,,48-46,,T. Evans misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by G. Monroe,,48-46,,
9:42.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,48-46,,
9:36.0,Offensive rebound by T. Prince,,48-46,,
9:31.0,Turnover by T. Prince (bad pass; steal by A. Davis),,48-46,,
9:27.0,,,48-46,,Shooting foul by A. Drummond (drawn by A. Davis)
9:27.0,,,48-47,1,A. Davis makes free throw 1 of 2
9:27.0,,,48-48,1,A. Davis makes free throw 2 of 2
9:09.0,Turnover by G. Monroe (traveling),,48-48,,
8:58.0,,,48-50,2,T. Evans makes 2-pt shot from 2 ft
8:31.0,Turnover by R. Jackson (lost ball; steal by Q. Pondexter),,48-50,,
8:26.0,,,48-52,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
8:26.0,Detroit full timeout,,48-52,,
8:12.0,G. Monroe misses 2-pt shot from 2 ft (block by A. Davis),,48-52,,
8:12.0,Offensive rebound by G. Monroe,,48-52,,
8:03.0,A. Drummond misses 2-pt shot from 7 ft,,48-52,,
8:01.0,Offensive rebound by G. Monroe,,48-52,,
7:58.0,G. Monroe misses 2-pt shot from 2 ft (block by E. Gordon),,48-52,,
7:52.0,,,48-52,,Defensive rebound by A. Davis
7:36.0,,,48-52,,A. Davis misses 2-pt shot from 16 ft
7:34.0,,,48-52,,Offensive rebound by O. Asik
7:23.0,,,48-52,,T. Evans misses 2-pt shot from 16 ft
7:22.0,Defensive rebound by A. Drummond,,48-52,,
7:12.0,A. Drummond makes 2-pt shot from 1 ft (assist by G. Monroe),2,50-52,,
6:54.0,,,50-52,,A. Davis misses 2-pt shot from 1 ft (block by A. Drummond)
6:52.0,,,50-52,,Offensive rebound by Q. Pondexter
6:45.0,,,50-52,,Turnover by Team (shot clock)
6:35.0,R. Jackson misses 2-pt shot from 17 ft,,50-52,,
6:34.0,,,50-52,,Defensive rebound by O. Asik
6:22.0,,,50-52,,O. Asik misses 2-pt shot from 1 ft
6:21.0,Defensive rebound by G. Monroe,,50-52,,
6:17.0,Shooting foul by Q. Pondexter (drawn by A. Drummond),,50-52,,
6:17.0,A. Drummond misses free throw 1 of 2,,50-52,,
6:17.0,Offensive rebound by Team,,50-52,,
6:17.0,A. Drummond makes free throw 2 of 2,1,51-52,,
6:01.0,,,51-54,2,A. Davis makes 2-pt shot from 13 ft
5:43.0,G. Monroe makes 2-pt shot from 2 ft (assist by R. Jackson),2,53-54,,
5:24.0,,,53-54,,A. Davis misses 2-pt shot from 12 ft
5:23.0,Defensive rebound by G. Monroe,,53-54,,
5:16.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,55-54,,
4:49.0,,,55-56,2,T. Evans makes 2-pt shot from 2 ft
4:32.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,55-56,,
4:31.0,,,55-56,,Defensive rebound by O. Asik
4:10.0,,,55-56,,T. Evans misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by A. Drummond,,55-56,,
3:58.0,,,55-56,,Personal foul by E. Gordon (drawn by G. Monroe)
3:58.0,,,55-56,,N. Cole enters the game for Q. Pondexter
3:58.0,,,55-56,,A. Ajinca enters the game for O. Asik
3:58.0,,,55-56,,D. Cunningham enters the game for E. Gordon
3:58.0,A. Tolliver enters the game for T. Prince,,55-56,,
3:58.0,J. Meeks enters the game for G. Monroe,,55-56,,
3:52.0,R. Jackson makes 2-pt shot from 4 ft,2,57-56,,
3:31.0,,,57-56,,D. Cunningham misses 2-pt shot from 20 ft
3:30.0,,,57-56,,Offensive rebound by A. Ajinca
3:27.0,Jump ball: A. Ajinca vs. K. Caldwell-Pope (D. Cunningham gains possession),,,,Jump ball: A. Ajinca vs. K. Caldwell-Pope (D. Cunningham gains possession)
3:18.0,,,57-56,,Turnover by N. Cole (bad pass; steal by A. Drummond)
3:11.0,R. Jackson misses 2-pt shot from 2 ft (block by A. Davis),,57-56,,
3:08.0,,,57-56,,Defensive rebound by D. Cunningham
2:58.0,,,57-56,,Turnover by T. Evans (bad pass)
2:58.0,,,57-56,,New Orleans full timeout
2:44.0,R. Jackson misses 2-pt shot from 1 ft (block by A. Ajinca),,57-56,,
2:44.0,Offensive rebound by Team,,57-56,,
2:44.0,C. Butler enters the game for K. Caldwell-Pope,,57-56,,
2:34.0,J. Meeks makes 2-pt shot from 3 ft (assist by R. Jackson),2,59-56,,
2:18.0,,,59-58,2,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans)
2:06.0,A. Tolliver misses 3-pt shot from 25 ft,,59-58,,
2:05.0,,,59-58,,Defensive rebound by A. Ajinca
1:52.0,,,59-58,,A. Ajinca misses 2-pt shot from 17 ft
1:51.0,Defensive rebound by A. Drummond,,59-58,,
1:41.0,,,59-58,,Violation by A. Ajinca (kicked ball)
1:41.0,S. Dinwiddie enters the game for R. Jackson,,59-58,,
1:33.0,A. Tolliver misses 3-pt shot from 26 ft,,59-58,,
1:31.0,,,59-58,,Defensive rebound by A. Ajinca
1:25.0,,,59-58,,T. Evans misses 2-pt shot from 2 ft
1:23.0,,,59-58,,Offensive rebound by A. Ajinca
1:23.0,,,59-60,2,A. Ajinca makes 2-pt shot at rim
1:13.0,J. Meeks misses 2-pt shot from 20 ft,,59-60,,
1:09.0,Offensive rebound by A. Tolliver,,59-60,,
1:09.0,A. Tolliver makes 2-pt shot at rim,2,61-60,,
0:52.0,,,61-63,3,T. Evans makes 3-pt shot from 23 ft (assist by N. Cole)
0:38.0,Turnover by J. Meeks (lost ball),,61-63,,
0:22.0,,,61-65,2,A. Ajinca makes 2-pt shot at rim (assist by T. Evans)
0:08.0,,,61-65,,Personal take foul by N. Cole (drawn by S. Dinwiddie)
0:04.0,S. Dinwiddie makes 2-pt shot from 1 ft,2,63-65,,
0:02.0,Personal foul by A. Drummond (drawn by T. Evans),,63-65,,
0:02.0,G. Monroe enters the game for A. Drummond,,63-65,,
0:00.0,,,63-65,,N. Cole misses 3-pt shot from 23 ft
0:00.0,,,63-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by A. Tolliver (bad pass),,63-65,,
11:26.0,,,63-67,2,D. Cunningham makes 2-pt shot from 14 ft (assist by A. Davis)
11:14.0,S. Dinwiddie misses 2-pt shot from 11 ft,,63-67,,
11:13.0,,,63-67,,Defensive rebound by Team
10:56.0,,,63-69,2,A. Davis makes 2-pt shot from 11 ft
10:37.0,A. Tolliver makes 3-pt shot from 25 ft (assist by C. Butler),3,66-69,,
10:17.0,,,66-71,2,A. Ajinca makes 2-pt shot at rim (assist by N. Cole)
10:01.0,G. Monroe makes 2-pt shot from 4 ft,2,68-71,,
9:41.0,,,68-73,2,Q. Pondexter makes 2-pt shot from 5 ft (assist by A. Davis)
9:41.0,Detroit full timeout,,68-73,,
9:24.0,J. Meeks makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,70-73,,
9:06.0,,,70-73,,Turnover by A. Davis (lost ball)
8:40.0,S. Dinwiddie misses 3-pt shot from 22 ft,,70-73,,
8:39.0,,,70-73,,Defensive rebound by A. Davis
8:33.0,,,70-73,,Turnover by N. Cole (bad pass; steal by J. Meeks)
8:27.0,G. Monroe misses 2-pt shot from 2 ft (block by A. Davis),,70-73,,
8:27.0,,,70-73,,Defensive rebound by A. Davis
8:27.0,Personal foul by G. Monroe (drawn by A. Davis),,70-73,,
8:27.0,,,70-73,,L. Babbitt enters the game for A. Davis
8:27.0,T. Prince enters the game for A. Tolliver,,70-73,,
8:15.0,,,70-73,,Turnover by A. Ajinca (lost ball)
8:15.0,R. Jackson enters the game for S. Dinwiddie,,70-73,,
8:06.0,,,70-73,,Personal foul by A. Ajinca (drawn by G. Monroe)
7:57.0,Shooting foul by A. Ajinca (drawn by G. Monroe),,70-73,,
7:57.0,G. Monroe makes free throw 1 of 2,1,71-73,,
7:57.0,G. Monroe misses free throw 2 of 2,,71-73,,
7:56.0,,,71-73,,Defensive rebound by A. Ajinca
7:37.0,,,71-73,,D. Cunningham misses 2-pt shot from 16 ft
7:36.0,Defensive rebound by T. Prince,,71-73,,
7:27.0,C. Butler misses 2-pt shot from 1 ft,,71-73,,
7:24.0,Offensive rebound by T. Prince,,71-73,,
7:11.0,G. Monroe misses 2-pt shot at rim,,71-73,,
7:10.0,Offensive rebound by T. Prince,,71-73,,
7:10.0,Turnover by Team (shot clock),,71-73,,
6:51.0,,,71-73,,Turnover by D. Cunningham (bad pass; steal by T. Prince)
6:48.0,Offensive foul by G. Monroe,,71-73,,
6:48.0,Turnover by G. Monroe (offensive foul),,71-73,,
6:48.0,,,71-73,,E. Gordon enters the game for D. Cunningham
6:48.0,,,71-73,,A. Davis enters the game for L. Babbitt
6:28.0,,,71-75,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by A. Ajinca)
6:03.0,T. Prince misses 2-pt shot from 9 ft,,71-75,,
6:01.0,,,71-75,,Defensive rebound by A. Ajinca
5:55.0,,,71-77,2,N. Cole makes 2-pt shot from 1 ft
5:55.0,Detroit full timeout,,71-77,,
5:55.0,A. Drummond enters the game for C. Butler,,71-77,,
5:41.0,T. Prince misses 2-pt shot from 20 ft,,71-77,,
5:40.0,,,71-77,,Defensive rebound by Q. Pondexter
5:25.0,,,71-77,,A. Davis misses 2-pt shot from 14 ft
5:24.0,Defensive rebound by R. Jackson,,71-77,,
5:16.0,R. Jackson misses 2-pt shot from 8 ft,,71-77,,
5:15.0,Offensive rebound by A. Drummond,,71-77,,
5:13.0,A. Drummond misses 2-pt shot from 2 ft,,71-77,,
5:12.0,,,71-77,,Defensive rebound by A. Ajinca
5:07.0,Violation by A. Drummond (def goaltending),,71-77,,
5:07.0,,,71-79,2,A. Davis makes 2-pt shot from 1 ft (assist by N. Cole)
4:54.0,G. Monroe makes 2-pt shot from 2 ft,2,73-79,,
4:33.0,,,73-79,,N. Cole misses 2-pt shot from 20 ft
