time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,,,0-0,,M. Morris misses 2-pt shot from 10 ft (block by D. Jordan)
12:00.0,Jump ball: D. Jordan vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: D. Jordan vs. A. Len (E. Bledsoe gains possession)
11:41.0,Defensive rebound by D. Jordan,,0-0,,
11:28.0,M. Barnes misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by A. Len
11:15.0,,,0-0,,P. Tucker misses 2-pt shot from 1 ft (block by D. Jordan)
11:13.0,Defensive rebound by D. Jordan,,0-0,,
11:07.0,J. Redick misses 3-pt shot from 25 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by A. Len
10:59.0,,,0-0,,G. Dragic misses 2-pt shot at rim
10:58.0,Defensive rebound by D. Jordan,,0-0,,
10:47.0,M. Barnes misses 2-pt shot from 8 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by P. Tucker
10:35.0,,,0-2,2,A. Len makes 2-pt shot from 8 ft (assist by E. Bledsoe)
10:16.0,J. Redick misses 2-pt shot from 3 ft (block by A. Len),,0-2,,
10:15.0,,,0-2,,Defensive rebound by A. Len
9:59.0,,,0-4,2,M. Morris makes 2-pt shot from 10 ft
9:47.0,Shooting foul by A. Len (drawn by D. Jordan),,0-4,,
9:47.0,D. Jordan misses free throw 1 of 2,,0-4,,
9:47.0,Offensive rebound by Team,,0-4,,
9:47.0,D. Jordan misses free throw 2 of 2,,0-4,,
9:47.0,,,0-4,,Defensive rebound by Team
9:33.0,,,0-4,,P. Tucker misses 2-pt shot from 6 ft (block by D. Jordan)
9:32.0,,,0-4,,Offensive rebound by Team
9:23.0,,,0-4,,P. Tucker misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by J. Redick,,0-4,,
9:10.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,2-4,,
8:57.0,,,2-4,,E. Bledsoe misses 2-pt shot from 22 ft
8:56.0,Defensive rebound by Team,,2-4,,
8:53.0,,,2-4,,Personal foul by E. Bledsoe (drawn by C. Paul)
8:44.0,J. Redick misses 2-pt shot from 21 ft,,2-4,,
8:43.0,Offensive rebound by Team,,2-4,,
8:37.0,B. Griffin misses 2-pt shot from 5 ft,,2-4,,
8:36.0,Offensive rebound by D. Jordan,,2-4,,
8:26.0,Turnover by D. Jordan (3 sec),,2-4,,
8:06.0,Personal block foul by D. Jordan (drawn by E. Bledsoe),,2-4,,
7:55.0,,,2-6,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
7:33.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,4-6,,
7:14.0,,,4-8,2,E. Bledsoe makes 2-pt shot at rim (assist by P. Tucker)
6:56.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,6-8,,
6:43.0,,,6-8,,A. Len misses 2-pt shot from 9 ft
6:42.0,Defensive rebound by M. Barnes,,6-8,,
6:33.0,C. Paul makes 2-pt shot from 16 ft,2,8-8,,
6:19.0,,,8-10,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
6:00.0,M. Barnes misses 2-pt shot from 1 ft (block by A. Len),,8-10,,
5:59.0,,,8-10,,Defensive rebound by G. Dragic
5:50.0,,,8-10,,Turnover by G. Dragic (bad pass; steal by B. Griffin)
5:43.0,M. Barnes misses 2-pt shot from 1 ft,,8-10,,
5:41.0,Offensive rebound by J. Redick,,8-10,,
5:41.0,J. Redick makes 2-pt shot from 1 ft,2,10-10,,
