time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. L. Sanders (K. Walker gains possession),,,,Jump ball: A. Jefferson vs. L. Sanders (K. Walker gains possession)
11:42.0,,,0-0,,K. Walker misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by B. Knight,,0-0,,
11:25.0,J. Parker misses 2-pt shot from 19 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by L. Stephenson
11:07.0,,,0-0,,L. Stephenson misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by L. Sanders,,0-0,,
10:49.0,K. Middleton makes 2-pt shot from 19 ft,2,2-0,,
10:33.0,,,2-2,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by A. Jefferson)
10:24.0,Shooting foul by A. Jefferson (drawn by B. Knight),,2-2,,
10:24.0,B. Knight makes 2-pt shot from 1 ft,2,4-2,,
10:24.0,B. Knight makes free throw 1 of 1,1,5-2,,
10:12.0,,,5-2,,L. Stephenson misses 2-pt shot at rim
10:12.0,,,5-2,,Offensive rebound by Team
10:04.0,,,5-2,,M. Williams misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by L. Sanders,,5-2,,
9:54.0,B. Knight misses 2-pt shot from 19 ft,,5-2,,
9:53.0,,,5-2,,Defensive rebound by A. Jefferson
9:42.0,,,5-5,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
9:25.0,B. Knight makes 2-pt shot at rim (assist by L. Sanders),2,7-5,,
9:09.0,,,7-7,2,A. Jefferson makes 2-pt shot from 18 ft (assist by M. Williams)
8:56.0,L. Sanders makes 2-pt shot from 1 ft (assist by B. Knight),2,9-7,,
8:36.0,,,9-9,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by L. Stephenson)
8:14.0,J. Parker misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,9-9,,
8:12.0,,,9-9,,Defensive rebound by A. Jefferson
