time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (C. Copeland gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (C. Copeland gains possession)
11:33.0,R. Hibbert misses 2-pt shot from 10 ft,,0-0,,
11:32.0,Offensive rebound by L. Scola,,0-0,,
11:24.0,L. Scola misses 2-pt shot from 2 ft (block by J. Noah),,0-0,,
11:19.0,,,0-0,,Defensive rebound by K. Hinrich
11:11.0,,,0-0,,P. Gasol misses 2-pt shot from 15 ft
11:10.0,Defensive rebound by D. Sloan,,0-0,,
11:10.0,Turnover by D. Sloan (lost ball),,0-0,,
11:01.0,,,0-2,2,M. Dunleavy makes 2-pt shot from 19 ft (assist by K. Hinrich)
10:38.0,R. Hibbert misses 2-pt shot from 20 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by J. Butler
10:26.0,,,0-2,,K. Hinrich misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by L. Scola,,0-2,,
10:13.0,,,0-2,,Personal foul by M. Dunleavy
10:07.0,D. Sloan makes 3-pt shot from 25 ft (assist by R. Hibbert),3,3-2,,
10:07.0,Shooting foul by K. Hinrich (drawn by D. Sloan),,3-2,,
10:07.0,D. Sloan makes free throw 1 of 1,1,4-2,,
9:57.0,Personal foul by S. Hill,,4-2,,
9:50.0,,,4-2,,P. Gasol misses 2-pt shot from 3 ft (block by L. Scola)
9:50.0,,,4-2,,Offensive rebound by Team
9:50.0,Jump ball: P. Gasol vs. L. Scola (J. Noah gains possession),,,,Jump ball: P. Gasol vs. L. Scola (J. Noah gains possession)
9:43.0,,,4-4,2,J. Noah makes 2-pt shot from 3 ft (assist by P. Gasol)
9:34.0,S. Hill makes 2-pt shot from 15 ft,2,6-4,,
9:11.0,,,6-6,2,J. Butler makes 2-pt shot from 14 ft (assist by J. Noah)
8:52.0,S. Hill misses 3-pt shot from 24 ft,,6-6,,
8:51.0,,,6-6,,Defensive rebound by K. Hinrich
8:41.0,,,6-8,2,P. Gasol makes 2-pt shot from 4 ft
8:20.0,L. Scola makes 2-pt shot from 15 ft (assist by R. Hibbert),2,8-8,,
8:04.0,,,8-10,2,K. Hinrich makes 2-pt shot from 2 ft
7:41.0,S. Hill makes 2-pt shot from 4 ft,2,10-10,,
7:16.0,,,10-10,,J. Butler misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by L. Scola,,10-10,,
7:09.0,L. Scola makes 2-pt shot from 2 ft (assist by D. Sloan),2,12-10,,
6:53.0,,,12-10,,K. Hinrich misses 2-pt shot from 16 ft
6:52.0,Defensive rebound by L. Scola,,12-10,,
6:32.0,R. Hibbert misses 2-pt shot from 7 ft,,12-10,,
6:31.0,,,12-10,,Defensive rebound by M. Dunleavy
6:23.0,,,12-10,,Shooting foul by R. Hibbert (drawn by J. Butler)
6:23.0,,,12-11,1,J. Butler makes free throw 1 of 2
6:23.0,,,12-12,1,J. Butler makes free throw 2 of 2
6:07.0,R. Hibbert makes 2-pt shot from 4 ft,2,14-12,,
5:55.0,Personal foul by D. Sloan,,14-12,,
5:55.0,,,14-12,,Chicago full timeout
5:47.0,,,14-14,2,J. Butler makes 2-pt shot from 20 ft
5:30.0,C. Copeland misses 3-pt shot from 25 ft,,14-14,,
5:28.0,,,14-14,,Defensive rebound by M. Dunleavy
5:14.0,,,14-14,,P. Gasol misses 2-pt shot from 6 ft (block by R. Hibbert)
5:13.0,,,14-14,,Offensive rebound by J. Butler
5:10.0,,,14-14,,M. Dunleavy misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by L. Scola,,14-14,,
4:59.0,L. Scola makes 2-pt shot from 22 ft (assist by D. Sloan),2,16-14,,
4:40.0,,,16-14,,P. Gasol misses 2-pt shot from 8 ft (block by R. Hibbert)
4:39.0,Defensive rebound by R. Hibbert,,16-14,,
4:21.0,D. Sloan misses 3-pt shot from 25 ft,,16-14,,
4:20.0,,,16-14,,Defensive rebound by M. Dunleavy
4:10.0,,,16-14,,K. Hinrich misses 2-pt shot from 17 ft
4:08.0,Defensive rebound by R. Hibbert,,16-14,,
3:57.0,Turnover by R. Hibbert (discontinued dribble),,16-14,,
3:57.0,,,16-14,,A. Brooks enters the game for J. Noah
3:57.0,,,16-14,,T. Gibson enters the game for K. Hinrich
3:33.0,,,16-14,,A. Brooks misses 2-pt shot from 22 ft
3:32.0,,,16-14,,Offensive rebound by P. Gasol
3:28.0,,,16-14,,J. Butler misses 2-pt shot from 2 ft (block by L. Scola)
3:27.0,Defensive rebound by S. Hill,,16-14,,
3:22.0,S. Hill misses 2-pt shot from 2 ft (block by P. Gasol),,16-14,,
3:20.0,Offensive rebound by L. Scola,,16-14,,
3:18.0,L. Scola makes 2-pt shot from 2 ft,2,18-14,,
2:59.0,,,18-14,,P. Gasol misses 2-pt shot from 18 ft
2:58.0,Defensive rebound by S. Hill,,18-14,,
2:49.0,R. Hibbert misses 2-pt shot from 19 ft,,18-14,,
2:48.0,,,18-14,,Defensive rebound by M. Dunleavy
2:43.0,Indiana full timeout,,18-14,,
2:43.0,I. Mahinmi enters the game for R. Hibbert,,18-14,,
2:43.0,D. Rudez enters the game for C. Copeland,,18-14,,
2:28.0,,,18-14,,P. Gasol misses 2-pt shot from 2 ft
2:25.0,,,18-14,,Offensive rebound by P. Gasol
2:25.0,,,18-16,2,P. Gasol makes 2-pt shot from 1 ft
2:06.0,I. Mahinmi makes 2-pt shot from 5 ft (assist by D. Sloan),2,20-16,,
1:49.0,Personal foul by I. Mahinmi,,20-16,,
1:49.0,A. Price enters the game for D. Sloan,,20-16,,
1:49.0,L. Allen enters the game for L. Scola,,20-16,,
