time,Washington,pts.away,score,pts.home,Detroit
0:54.0,,,20-27,,S. Dinwiddie misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by K. Seraphin,,20-27,,
0:40.0,R. Sessions misses 2-pt shot from 1 ft,,20-27,,
0:39.0,,,20-27,,Defensive rebound by A. Tolliver
0:32.0,,,20-27,,S. Dinwiddie misses 2-pt shot at rim
0:31.0,,,20-27,,Offensive rebound by A. Drummond
0:30.0,,,20-27,,A. Drummond misses 2-pt shot at rim
0:29.0,Defensive rebound by O. Porter,,20-27,,
0:09.0,K. Humphries makes 2-pt shot from 14 ft (assist by R. Sessions),2,22-27,,
0:02.0,,,22-27,,C. Martin misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by K. Humphries,,22-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,22-27,,Personal foul by G. Monroe (drawn by N. Hilario)
11:36.0,R. Sessions makes 2-pt shot at rim,2,24-27,,
11:36.0,Shooting foul by S. Dinwiddie (drawn by R. Sessions),,24-27,,
11:36.0,R. Sessions makes free throw 1 of 1,1,25-27,,
11:26.0,Personal foul by R. Butler (drawn by J. Meeks),,25-27,,
11:13.0,K. Humphries makes 2-pt shot from 20 ft (assist by R. Sessions),2,27-27,,
10:54.0,,,27-30,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
10:32.0,N. Hilario misses 2-pt shot at rim,,27-30,,
10:31.0,,,27-30,,Defensive rebound by C. Martin
10:18.0,,,27-30,,G. Monroe misses 2-pt shot from 5 ft
10:16.0,Defensive rebound by K. Humphries,,27-30,,
10:12.0,,,27-30,,Personal foul by J. Meeks (drawn by R. Butler)
10:04.0,N. Hilario misses 2-pt shot from 16 ft,,27-30,,
10:03.0,,,27-30,,Defensive rebound by C. Martin
9:51.0,,,27-30,,Turnover by A. Tolliver (bad pass; steal by O. Porter)
9:45.0,K. Humphries makes 2-pt shot at rim (assist by R. Sessions),2,29-30,,
9:23.0,,,29-30,,A. Tolliver misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by R. Butler,,29-30,,
9:07.0,O. Porter makes 2-pt shot from 1 ft (assist by N. Hilario),2,31-30,,
9:00.0,,,31-30,,Detroit full timeout
8:41.0,,,31-32,2,G. Monroe makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
8:23.0,N. Hilario makes 2-pt shot at rim (assist by R. Sessions),2,33-32,,
8:10.0,,,33-32,,J. Meeks misses 2-pt shot from 6 ft
8:07.0,Defensive rebound by K. Humphries,,33-32,,
8:03.0,R. Sessions misses 2-pt shot at rim,,33-32,,
8:02.0,,,33-32,,Defensive rebound by Team
7:42.0,Personal block foul by N. Hilario (drawn by S. Dinwiddie),,33-32,,
7:42.0,,,33-32,,R. Jackson enters the game for S. Dinwiddie
7:42.0,,,33-32,,C. Butler enters the game for C. Martin
7:42.0,J. Wall enters the game for R. Sessions,,33-32,,
7:42.0,M. Gortat enters the game for N. Hilario,,33-32,,
7:29.0,,,33-32,,R. Jackson misses 2-pt shot from 20 ft
7:28.0,Defensive rebound by J. Wall,,33-32,,
7:11.0,K. Humphries makes 2-pt shot at rim (assist by R. Butler),2,35-32,,
6:43.0,,,35-34,2,G. Monroe makes 2-pt shot from 5 ft
6:23.0,K. Humphries makes 2-pt shot from 20 ft (assist by J. Wall),2,37-34,,
6:08.0,,,37-34,,R. Jackson misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by R. Butler,,37-34,,
5:59.0,J. Wall makes 2-pt shot at rim,2,39-34,,
5:44.0,Personal foul by M. Gortat (drawn by G. Monroe),,39-34,,
5:44.0,Official timeout,,39-34,,
5:44.0,,,39-34,,A. Drummond enters the game for A. Tolliver
5:44.0,,,39-34,,K. Caldwell-Pope enters the game for J. Meeks
5:31.0,,,39-34,,Turnover by K. Caldwell-Pope (bad pass; steal by K. Humphries)
5:31.0,R. Butler makes 2-pt shot at rim (assist by J. Wall),2,41-34,,
5:31.0,Shooting foul by K. Caldwell-Pope (drawn by R. Butler),,41-34,,
5:31.0,R. Butler makes free throw 1 of 1,1,42-34,,
5:18.0,Personal foul by K. Humphries (drawn by R. Jackson),,42-34,,
5:07.0,,,42-34,,R. Jackson misses 2-pt shot from 7 ft
5:06.0,,,42-34,,Offensive rebound by G. Monroe
5:04.0,,,42-34,,G. Monroe misses 2-pt shot at rim
5:03.0,Defensive rebound by K. Humphries,,42-34,,
5:00.0,J. Wall makes 2-pt shot at rim (assist by K. Humphries),2,44-34,,
4:56.0,,,44-34,,Detroit full timeout
4:49.0,,,44-36,2,G. Monroe makes 2-pt shot from 1 ft (assist by R. Jackson)
4:34.0,J. Wall misses 2-pt shot from 15 ft,,44-36,,
4:32.0,Offensive rebound by K. Humphries,,44-36,,
4:32.0,Shooting foul by C. Butler (drawn by K. Humphries),,44-36,,
4:32.0,K. Humphries misses free throw 1 of 2,,44-36,,
4:32.0,Offensive rebound by Team,,44-36,,
4:32.0,K. Humphries makes free throw 2 of 2,1,45-36,,
4:14.0,,,45-36,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:13.0,,,45-36,,Offensive rebound by Team
4:13.0,Loose ball foul by K. Humphries (drawn by A. Drummond),,45-36,,
4:13.0,,,45-37,1,A. Drummond makes free throw 1 of 2
4:13.0,,,45-37,,A. Drummond misses free throw 2 of 2
4:12.0,Defensive rebound by K. Humphries,,45-37,,
3:51.0,M. Gortat makes 2-pt shot from 8 ft,2,47-37,,
3:38.0,Personal foul by J. Wall (drawn by C. Butler),,47-37,,
3:38.0,,,47-37,,C. Butler misses free throw 1 of 2
3:38.0,,,47-37,,Offensive rebound by Team
3:38.0,,,47-38,1,C. Butler makes free throw 2 of 2
3:25.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,49-38,,
3:12.0,,,49-38,,R. Jackson misses 2-pt shot from 8 ft
3:09.0,Defensive rebound by O. Porter,,49-38,,
3:02.0,J. Wall misses 2-pt shot from 19 ft,,49-38,,
3:01.0,,,49-38,,Defensive rebound by G. Monroe
2:42.0,,,49-40,2,A. Drummond makes 2-pt shot from 5 ft
2:25.0,O. Porter misses 3-pt shot from 27 ft,,49-40,,
2:24.0,,,49-40,,Defensive rebound by G. Monroe
2:14.0,,,49-40,,C. Butler misses 2-pt shot from 12 ft
2:13.0,Defensive rebound by K. Humphries,,49-40,,
2:08.0,R. Butler makes 2-pt shot at rim (assist by J. Wall),2,51-40,,
2:01.0,,,51-40,,Detroit full timeout
2:01.0,K. Seraphin enters the game for O. Porter,,51-40,,
2:01.0,G. Temple enters the game for K. Humphries,,51-40,,
1:46.0,,,51-42,2,G. Monroe makes 2-pt shot from 5 ft
1:39.0,R. Butler misses 3-pt shot from 26 ft,,51-42,,
1:38.0,,,51-42,,Defensive rebound by R. Jackson
1:31.0,,,51-42,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:30.0,,,51-42,,Offensive rebound by R. Jackson
1:27.0,,,51-42,,A. Drummond misses 2-pt shot from 7 ft (block by K. Seraphin)
1:26.0,,,51-42,,Offensive rebound by A. Drummond
1:25.0,,,51-42,,Turnover by A. Drummond (step out of bounds)
1:18.0,,,51-42,,Personal foul by K. Caldwell-Pope (drawn by G. Temple)
1:18.0,G. Temple misses free throw 1 of 2,,51-42,,
1:18.0,Offensive rebound by Team,,51-42,,
1:18.0,D. Blair enters the game for M. Gortat,,51-42,,
1:18.0,,,51-42,,C. Martin enters the game for K. Caldwell-Pope
1:18.0,,,51-42,,J. Meeks enters the game for C. Butler
1:18.0,,,51-42,,A. Tolliver enters the game for G. Monroe
1:18.0,P. Pierce enters the game for K. Seraphin,,51-42,,
1:18.0,G. Temple makes free throw 2 of 2,1,52-42,,
1:10.0,Personal foul by D. Blair (drawn by R. Jackson),,52-42,,
1:10.0,,,52-43,1,R. Jackson makes free throw 1 of 2
1:10.0,,,52-44,1,R. Jackson makes free throw 2 of 2
0:55.0,,,52-44,,Violation by R. Jackson (kicked ball)
0:45.0,Turnover by D. Blair (lost ball; steal by C. Martin),,52-44,,
0:39.0,,,52-44,,J. Meeks misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by R. Butler,,52-44,,
0:32.0,J. Wall misses 3-pt shot from 26 ft,,52-44,,
0:31.0,,,52-44,,Defensive rebound by J. Meeks
