time,Washington,pts.away,score,pts.home,Detroit
4:20.0,,,87-101,,G. Monroe misses 2-pt shot at rim
4:19.0,Defensive rebound by M. Gortat,,87-101,,
4:14.0,J. Wall misses 2-pt shot from 1 ft,,87-101,,
4:13.0,,,87-101,,Defensive rebound by A. Tolliver
4:08.0,,,87-101,,J. Meeks misses 3-pt shot from 26 ft
4:08.0,,,87-101,,Offensive rebound by A. Tolliver
4:07.0,,,87-101,,A. Tolliver misses 2-pt shot at rim
4:06.0,,,87-101,,Offensive rebound by G. Monroe
4:04.0,,,87-101,,G. Monroe misses 2-pt shot from 4 ft (block by M. Gortat)
4:03.0,,,87-101,,Offensive rebound by Team
3:51.0,,,87-101,,Turnover by R. Jackson (lost ball)
3:41.0,G. Temple misses 3-pt shot from 23 ft,,87-101,,
3:40.0,,,87-101,,Defensive rebound by G. Monroe
3:25.0,,,87-103,2,R. Jackson makes 2-pt shot from 1 ft
3:11.0,J. Wall misses 2-pt shot at rim,,87-103,,
3:09.0,Offensive rebound by M. Gortat,,87-103,,
3:08.0,M. Gortat makes 2-pt shot at rim,2,89-103,,
2:41.0,,,89-103,,K. Caldwell-Pope misses 3-pt shot from 22 ft
2:40.0,Defensive rebound by P. Pierce,,89-103,,
2:30.0,Turnover by J. Wall (bad pass; steal by A. Tolliver),,89-103,,
2:22.0,,,89-106,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by R. Jackson)
2:21.0,Washington full timeout,,89-106,,
2:21.0,M. Webster enters the game for P. Pierce,,89-106,,
2:21.0,R. Sessions enters the game for G. Temple,,89-106,,
2:21.0,O. Porter enters the game for J. Wall,,89-106,,
2:10.0,M. Webster misses 2-pt shot from 6 ft,,89-106,,
2:09.0,Offensive rebound by M. Webster,,89-106,,
2:07.0,Turnover by M. Webster (lost ball; steal by G. Monroe),,89-106,,
1:57.0,,,89-106,,Offensive foul by G. Monroe
1:57.0,,,89-106,,Turnover by G. Monroe (offensive foul)
1:57.0,K. Seraphin enters the game for M. Gortat,,89-106,,
1:42.0,K. Seraphin misses 2-pt shot from 5 ft,,89-106,,
1:40.0,,,89-106,,Defensive rebound by G. Monroe
1:25.0,,,89-106,,K. Caldwell-Pope misses 2-pt shot from 18 ft
1:23.0,Defensive rebound by M. Webster,,89-106,,
1:15.0,R. Butler misses 2-pt shot from 16 ft,,89-106,,
1:14.0,,,89-106,,Defensive rebound by G. Monroe
0:58.0,,,89-106,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:57.0,,,89-106,,Offensive rebound by R. Jackson
0:39.0,,,89-106,,R. Jackson misses 3-pt shot from 27 ft
0:38.0,,,89-106,,Offensive rebound by A. Tolliver
0:14.0,,,89-106,,K. Caldwell-Pope misses 3-pt shot from 26 ft
0:13.0,,,89-106,,Offensive rebound by A. Tolliver
0:00.0,End of 4th quarter,,,,End of 4th quarter
