time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. J. Valanciunas (G. Vasquez gains possession),,,,Jump ball: L. Amundson vs. J. Valanciunas (G. Vasquez gains possession)
11:37.0,J. Valanciunas makes 2-pt shot from 5 ft,2,2-0,,
11:14.0,,,2-0,,L. Amundson misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by J. Valanciunas,,2-0,,
10:53.0,D. DeRozan misses 2-pt shot from 13 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by T. Hardaway
10:46.0,,,2-0,,T. Hardaway misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by J. Valanciunas,,2-0,,
10:34.0,D. DeRozan misses 2-pt shot from 2 ft,,2-0,,
10:33.0,Offensive rebound by A. Johnson,,2-0,,
10:22.0,G. Vasquez misses 2-pt shot from 23 ft,,2-0,,
10:21.0,,,2-0,,Defensive rebound by L. Galloway
10:03.0,,,2-0,,Shooting foul by J. Valanciunas (drawn by A. Bargnani)
10:03.0,,,2-1,1,A. Bargnani makes free throw 1 of 2
10:03.0,,,2-2,1,A. Bargnani makes free throw 2 of 2
9:51.0,Shooting foul by L. Amundson (drawn by D. DeRozan),,2-2,,
9:51.0,D. DeRozan makes free throw 1 of 2,1,3-2,,
9:51.0,D. DeRozan makes free throw 2 of 2,1,4-2,,
9:30.0,,,4-2,,T. Hardaway misses 2-pt shot from 17 ft
9:29.0,,,4-2,,Offensive rebound by C. Early
9:29.0,,,4-2,,C. Early misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by J. Valanciunas,,4-2,,
9:18.0,J. Johnson makes 2-pt shot at rim,2,6-2,,
8:59.0,,,6-4,2,C. Early makes 2-pt shot from 19 ft (assist by L. Amundson)
8:41.0,Turnover by G. Vasquez (bad pass; steal by C. Early),,6-4,,
8:37.0,,,6-4,,C. Early misses 2-pt shot from 2 ft (block by J. Johnson)
8:35.0,,,6-4,,Offensive rebound by Team
8:21.0,,,6-4,,A. Bargnani misses 2-pt shot from 11 ft (block by J. Johnson)
8:20.0,,,6-4,,Offensive rebound by L. Galloway
8:19.0,,,6-7,3,L. Galloway makes 3-pt shot from 25 ft
7:54.0,J. Johnson misses 2-pt shot from 1 ft,,6-7,,
7:53.0,Offensive rebound by Team,,6-7,,
7:44.0,Jump ball: T. Hardaway vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: T. Hardaway vs. J. Valanciunas (A. Johnson gains possession)
7:34.0,A. Johnson misses 3-pt shot from 26 ft,,6-7,,
7:33.0,,,6-7,,Defensive rebound by L. Galloway
